YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/07/2023 Time: 14:20:22,	
A_WL(nm),	A_I(mW)
1.553000E+3,	559.613198E-12
1.553004E+3,	509.267259E-12
1.553008E+3,	432.445885E-12
1.553012E+3,	381.476766E-12
1.553016E+3,	317.156270E-12
1.553020E+3,	263.301925E-12
1.553024E+3,	210.023418E-12
1.553028E+3,	138.460537E-12
1.553032E+3,	135.765028E-12
1.553036E+3,	112.825863E-12
1.553040E+3,	116.987167E-12
1.553044E+3,	137.091819E-12
1.553048E+3,	173.421217E-12
1.553052E+3,	236.640688E-12
1.553056E+3,	299.043755E-12
1.553060E+3,	372.318731E-12
1.553064E+3,	443.892063E-12
1.553068E+3,	528.471802E-12
1.553072E+3,	651.957608E-12
1.553076E+3,	703.765113E-12
1.553080E+3,	791.361126E-12
1.553084E+3,	856.528150E-12
1.553088E+3,	922.600258E-12
1.553092E+3,	951.713948E-12
1.553096E+3,	986.145775E-12
1.553100E+3,	1.009449E-9
1.553104E+3,	994.234809E-12
1.553108E+3,	938.805334E-12
1.553112E+3,	906.276021E-12
1.553116E+3,	866.762313E-12
1.553120E+3,	756.523146E-12
1.553124E+3,	711.959017E-12
1.553128E+3,	620.794577E-12
1.553132E+3,	535.656895E-12
1.553136E+3,	429.953098E-12
1.553140E+3,	339.623398E-12
1.553144E+3,	291.038408E-12
1.553148E+3,	202.418487E-12
1.553152E+3,	151.067155E-12
1.553156E+3,	125.332485E-12
1.553160E+3,	167.411240E-12
1.553164E+3,	168.914073E-12
1.553168E+3,	273.114281E-12
1.553172E+3,	346.422942E-12
1.553176E+3,	446.138419E-12
1.553180E+3,	612.569188E-12
1.553184E+3,	792.362207E-12
1.553188E+3,	953.497383E-12
1.553192E+3,	1.075363E-9
1.553196E+3,	1.224471E-9
1.553200E+3,	1.405470E-9
1.553204E+3,	1.578802E-9
1.553208E+3,	1.684627E-9
1.553212E+3,	1.752406E-9
1.553216E+3,	1.841593E-9
1.553220E+3,	1.897790E-9
1.553224E+3,	1.880863E-9
1.553228E+3,	1.881811E-9
1.553232E+3,	1.789983E-9
1.553236E+3,	1.707248E-9
1.553240E+3,	1.605534E-9
1.553244E+3,	1.459660E-9
1.553248E+3,	1.293029E-9
1.553252E+3,	1.129944E-9
1.553256E+3,	982.795503E-12
1.553260E+3,	835.143505E-12
1.553264E+3,	638.224106E-12
1.553268E+3,	489.558171E-12
1.553272E+3,	405.752718E-12
1.553276E+3,	312.475999E-12
1.553280E+3,	292.754434E-12
1.553284E+3,	291.029442E-12
1.553288E+3,	341.657271E-12
1.553292E+3,	431.216981E-12
1.553296E+3,	575.603896E-12
1.553300E+3,	787.970483E-12
1.553304E+3,	951.987151E-12
1.553308E+3,	1.191004E-9
1.553312E+3,	1.487013E-9
1.553316E+3,	1.805679E-9
1.553320E+3,	2.022487E-9
1.553324E+3,	2.273252E-9
1.553328E+3,	2.532113E-9
1.553332E+3,	2.744667E-9
1.553336E+3,	2.894758E-9
1.553340E+3,	3.021421E-9
1.553344E+3,	3.111501E-9
1.553348E+3,	3.119761E-9
1.553352E+3,	3.131877E-9
1.553356E+3,	3.087392E-9
1.553360E+3,	2.937174E-9
1.553364E+3,	2.788967E-9
1.553368E+3,	2.629946E-9
1.553372E+3,	2.405616E-9
1.553376E+3,	2.088874E-9
1.553380E+3,	1.854272E-9
1.553384E+3,	1.599134E-9
1.553388E+3,	1.361412E-9
1.553392E+3,	1.071089E-9
1.553396E+3,	839.506970E-12
1.553400E+3,	677.768424E-12
1.553404E+3,	536.891563E-12
1.553408E+3,	443.822426E-12
1.553412E+3,	420.395371E-12
1.553416E+3,	478.447908E-12
1.553420E+3,	572.465808E-12
1.553424E+3,	790.939451E-12
1.553428E+3,	1.012590E-9
1.553432E+3,	1.227833E-9
1.553436E+3,	1.513620E-9
1.553440E+3,	1.874015E-9
1.553444E+3,	2.162152E-9
1.553448E+3,	2.452737E-9
1.553452E+3,	2.761983E-9
1.553456E+3,	3.050014E-9
1.553460E+3,	3.246466E-9
1.553464E+3,	3.414851E-9
1.553468E+3,	3.518383E-9
1.553472E+3,	3.556151E-9
1.553476E+3,	3.530550E-9
1.553480E+3,	3.437440E-9
1.553484E+3,	3.337396E-9
1.553488E+3,	3.099061E-9
1.553492E+3,	2.826674E-9
1.553496E+3,	2.586238E-9
1.553500E+3,	2.307072E-9
1.553504E+3,	1.922588E-9
1.553508E+3,	1.585067E-9
1.553512E+3,	1.322108E-9
1.553516E+3,	1.081054E-9
1.553520E+3,	830.931806E-12
1.553524E+3,	628.020653E-12
1.553528E+3,	550.412091E-12
1.553532E+3,	523.971294E-12
1.553536E+3,	590.035969E-12
1.553540E+3,	693.440027E-12
1.553544E+3,	907.269747E-12
1.553548E+3,	1.222129E-9
1.553552E+3,	1.611720E-9
1.553556E+3,	1.956543E-9
1.553560E+3,	2.354298E-9
1.553564E+3,	2.903574E-9
1.553568E+3,	3.373019E-9
1.553572E+3,	3.679450E-9
1.553576E+3,	4.057764E-9
1.553580E+3,	4.437865E-9
1.553584E+3,	4.727533E-9
1.553588E+3,	4.896751E-9
1.553592E+3,	4.994430E-9
1.553596E+3,	4.993254E-9
1.553600E+3,	4.920002E-9
1.553604E+3,	4.753926E-9
1.553608E+3,	4.504347E-9
1.553612E+3,	4.141832E-9
1.553616E+3,	3.700960E-9
1.553620E+3,	3.340868E-9
1.553624E+3,	2.902689E-9
1.553628E+3,	2.380185E-9
1.553632E+3,	1.897054E-9
1.553636E+3,	1.552928E-9
1.553640E+3,	1.194064E-9
1.553644E+3,	874.280760E-12
