YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/07/2023 Time: 14:19:36,	
A_WL(nm),	A_I(mW)
1.553000E+3,	1.236669E-9
1.553004E+3,	1.154970E-9
1.553008E+3,	1.056299E-9
1.553012E+3,	926.453554E-12
1.553016E+3,	807.093606E-12
1.553020E+3,	670.540588E-12
1.553024E+3,	548.590058E-12
1.553028E+3,	417.181103E-12
1.553032E+3,	334.876291E-12
1.553036E+3,	214.427962E-12
1.553040E+3,	136.797547E-12
1.553044E+3,	89.542245E-12
1.553048E+3,	108.446133E-12
1.553052E+3,	100.647648E-12
1.553056E+3,	148.476811E-12
1.553060E+3,	248.017512E-12
1.553064E+3,	332.144489E-12
1.553068E+3,	453.324781E-12
1.553072E+3,	636.421494E-12
1.553076E+3,	813.593776E-12
1.553080E+3,	986.488848E-12
1.553084E+3,	1.161593E-9
1.553088E+3,	1.395926E-9
1.553092E+3,	1.587179E-9
1.553096E+3,	1.701722E-9
1.553100E+3,	1.875709E-9
1.553104E+3,	1.988396E-9
1.553108E+3,	2.090896E-9
1.553112E+3,	2.133134E-9
1.553116E+3,	2.130131E-9
1.553120E+3,	2.102084E-9
1.553124E+3,	1.997681E-9
1.553128E+3,	1.911169E-9
1.553132E+3,	1.789026E-9
1.553136E+3,	1.590525E-9
1.553140E+3,	1.372366E-9
1.553144E+3,	1.187480E-9
1.553148E+3,	983.649375E-12
1.553152E+3,	751.752135E-12
1.553156E+3,	566.592469E-12
1.553160E+3,	433.466378E-12
1.553164E+3,	314.771974E-12
1.553168E+3,	196.959441E-12
1.553172E+3,	129.348411E-12
1.553176E+3,	167.583225E-12
1.553180E+3,	207.453411E-12
1.553184E+3,	306.748259E-12
1.553188E+3,	430.681840E-12
1.553192E+3,	592.983090E-12
1.553196E+3,	789.865521E-12
1.553200E+3,	1.084526E-9
1.553204E+3,	1.360819E-9
1.553208E+3,	1.596752E-9
1.553212E+3,	1.857752E-9
1.553216E+3,	2.206197E-9
1.553220E+3,	2.475934E-9
1.553224E+3,	2.640530E-9
1.553228E+3,	2.828035E-9
1.553232E+3,	3.006559E-9
1.553236E+3,	3.091842E-9
1.553240E+3,	3.115681E-9
1.553244E+3,	3.092478E-9
1.553248E+3,	2.983246E-9
1.553252E+3,	2.802285E-9
1.553256E+3,	2.635364E-9
1.553260E+3,	2.402770E-9
1.553264E+3,	2.088719E-9
1.553268E+3,	1.775545E-9
1.553272E+3,	1.504750E-9
1.553276E+3,	1.182849E-9
1.553280E+3,	865.783094E-12
1.553284E+3,	608.572762E-12
1.553288E+3,	427.851344E-12
1.553292E+3,	301.454387E-12
1.553296E+3,	219.927207E-12
1.553300E+3,	202.638672E-12
1.553304E+3,	223.489601E-12
1.553308E+3,	325.064585E-12
1.553312E+3,	534.533980E-12
1.553316E+3,	798.178387E-12
1.553320E+3,	1.030627E-9
1.553324E+3,	1.370142E-9
1.553328E+3,	1.784821E-9
1.553332E+3,	2.245623E-9
1.553336E+3,	2.606948E-9
1.553340E+3,	3.017056E-9
1.553344E+3,	3.473838E-9
1.553348E+3,	3.859666E-9
1.553352E+3,	4.111655E-9
1.553356E+3,	4.383411E-9
1.553360E+3,	4.560874E-9
1.553364E+3,	4.638310E-9
1.553368E+3,	4.601692E-9
1.553372E+3,	4.515368E-9
1.553376E+3,	4.275620E-9
1.553380E+3,	4.006582E-9
1.553384E+3,	3.687134E-9
1.553388E+3,	3.294334E-9
1.553392E+3,	2.785217E-9
1.553396E+3,	2.308430E-9
1.553400E+3,	1.934260E-9
1.553404E+3,	1.525956E-9
1.553408E+3,	1.084249E-9
1.553412E+3,	736.563092E-12
