YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/07/2023 Time: 14:30:53,	
A_WL(nm),	A_I(mW)
1.553000E+3,	1.512072E-9
1.553004E+3,	1.564450E-9
1.553008E+3,	1.585331E-9
1.553012E+3,	1.607166E-9
1.553016E+3,	1.640441E-9
1.553020E+3,	1.643618E-9
1.553024E+3,	1.647154E-9
1.553028E+3,	1.666793E-9
1.553032E+3,	1.665844E-9
1.553036E+3,	1.660943E-9
1.553040E+3,	1.658204E-9
1.553044E+3,	1.659007E-9
1.553048E+3,	1.670792E-9
1.553052E+3,	1.657561E-9
1.553056E+3,	1.649979E-9
1.553060E+3,	1.633493E-9
1.553064E+3,	1.620730E-9
1.553068E+3,	1.639334E-9
1.553072E+3,	1.642104E-9
1.553076E+3,	1.637858E-9
1.553080E+3,	1.669609E-9
1.553084E+3,	1.664454E-9
1.553088E+3,	1.706722E-9
1.553092E+3,	1.747222E-9
1.553096E+3,	1.770692E-9
1.553100E+3,	1.810907E-9
1.553104E+3,	1.857034E-9
1.553108E+3,	1.928011E-9
1.553112E+3,	1.968281E-9
1.553116E+3,	2.044463E-9
1.553120E+3,	2.100752E-9
1.553124E+3,	2.195630E-9
1.553128E+3,	2.251578E-9
1.553132E+3,	2.296605E-9
1.553136E+3,	2.388728E-9
1.553140E+3,	2.471934E-9
1.553144E+3,	2.505974E-9
1.553148E+3,	2.553160E-9
1.553152E+3,	2.606464E-9
1.553156E+3,	2.662153E-9
1.553160E+3,	2.687894E-9
1.553164E+3,	2.687133E-9
1.553168E+3,	2.706043E-9
1.553172E+3,	2.721504E-9
1.553176E+3,	2.700885E-9
1.553180E+3,	2.702127E-9
1.553184E+3,	2.662172E-9
1.553188E+3,	2.619589E-9
1.553192E+3,	2.608570E-9
1.553196E+3,	2.587586E-9
1.553200E+3,	2.528458E-9
1.553204E+3,	2.473064E-9
1.553208E+3,	2.427439E-9
1.553212E+3,	2.427051E-9
1.553216E+3,	2.354936E-9
1.553220E+3,	2.329743E-9
1.553224E+3,	2.308707E-9
1.553228E+3,	2.266738E-9
1.553232E+3,	2.246660E-9
1.553236E+3,	2.251064E-9
1.553240E+3,	2.269383E-9
1.553244E+3,	2.301560E-9
1.553248E+3,	2.369948E-9
1.553252E+3,	2.425703E-9
1.553256E+3,	2.502701E-9
1.553260E+3,	2.572943E-9
1.553264E+3,	2.721893E-9
1.553268E+3,	2.836283E-9
1.553272E+3,	2.966780E-9
1.553276E+3,	3.110191E-9
1.553280E+3,	3.258429E-9
1.553284E+3,	3.422059E-9
1.553288E+3,	3.517140E-9
1.553292E+3,	3.669592E-9
1.553296E+3,	3.865054E-9
1.553300E+3,	3.996995E-9
1.553304E+3,	4.144999E-9
1.553308E+3,	4.236649E-9
1.553312E+3,	4.350730E-9
1.553316E+3,	4.494381E-9
1.553320E+3,	4.564893E-9
1.553324E+3,	4.647364E-9
1.553328E+3,	4.707663E-9
1.553332E+3,	4.795689E-9
1.553336E+3,	4.782556E-9
1.553340E+3,	4.787636E-9
1.553344E+3,	4.792118E-9
1.553348E+3,	4.767774E-9
1.553352E+3,	4.742441E-9
1.553356E+3,	4.680125E-9
1.553360E+3,	4.615651E-9
1.553364E+3,	4.547027E-9
1.553368E+3,	4.490329E-9
1.553372E+3,	4.401585E-9
1.553376E+3,	4.343219E-9
1.553380E+3,	4.286733E-9
1.553384E+3,	4.231150E-9
1.553388E+3,	4.208882E-9
1.553392E+3,	4.218150E-9
1.553396E+3,	4.222753E-9
1.553400E+3,	4.240603E-9
1.553404E+3,	4.323738E-9
1.553408E+3,	4.434341E-9
1.553412E+3,	4.537551E-9
1.553416E+3,	4.658663E-9
1.553420E+3,	4.835765E-9
1.553424E+3,	5.034354E-9
1.553428E+3,	5.210484E-9
1.553432E+3,	5.426946E-9
1.553436E+3,	5.708774E-9
1.553440E+3,	5.955570E-9
1.553444E+3,	6.206031E-9
1.553448E+3,	6.456533E-9
1.553452E+3,	6.757959E-9
1.553456E+3,	7.040935E-9
1.553460E+3,	7.270250E-9
1.553464E+3,	7.529322E-9
1.553468E+3,	7.814503E-9
1.553472E+3,	8.043665E-9
1.553476E+3,	8.192679E-9
1.553480E+3,	8.337062E-9
1.553484E+3,	8.492989E-9
1.553488E+3,	8.575422E-9
1.553492E+3,	8.612247E-9
1.553496E+3,	8.630582E-9
1.553500E+3,	8.615155E-9
1.553504E+3,	8.560217E-9
1.553508E+3,	8.486876E-9
1.553512E+3,	8.350384E-9
1.553516E+3,	8.169415E-9
1.553520E+3,	7.999537E-9
1.553524E+3,	7.838439E-9
1.553528E+3,	7.645585E-9
1.553532E+3,	7.432628E-9
1.553536E+3,	7.231101E-9
1.553540E+3,	7.075081E-9
1.553544E+3,	6.897541E-9
1.553548E+3,	6.728656E-9
1.553552E+3,	6.621616E-9
1.553556E+3,	6.543922E-9
1.553560E+3,	6.507614E-9
1.553564E+3,	6.509284E-9
1.553568E+3,	6.553968E-9
1.553572E+3,	6.613372E-9
1.553576E+3,	6.747851E-9
1.553580E+3,	6.989839E-9
1.553584E+3,	7.239008E-9
1.553588E+3,	7.469856E-9
1.553592E+3,	7.833599E-9
1.553596E+3,	8.296425E-9
1.553600E+3,	8.786384E-9
1.553604E+3,	9.209672E-9
1.553608E+3,	9.676020E-9
1.553612E+3,	10.293158E-9
1.553616E+3,	10.855356E-9
1.553620E+3,	11.368208E-9
1.553624E+3,	11.908248E-9
1.553628E+3,	12.570220E-9
1.553632E+3,	13.123392E-9
1.553636E+3,	13.553586E-9
1.553640E+3,	13.927778E-9
1.553644E+3,	14.365843E-9
1.553648E+3,	14.698378E-9
1.553652E+3,	14.913980E-9
1.553656E+3,	15.100028E-9
1.553660E+3,	15.208041E-9
1.553664E+3,	15.249652E-9
1.553668E+3,	15.215611E-9
1.553672E+3,	15.131941E-9
1.553676E+3,	14.985755E-9
1.553680E+3,	14.735604E-9
1.553684E+3,	14.553149E-9
1.553688E+3,	14.297228E-9
1.553692E+3,	13.940395E-9
1.553696E+3,	13.588802E-9
1.553700E+3,	13.265432E-9
1.553704E+3,	12.905037E-9
1.553708E+3,	12.519392E-9
1.553712E+3,	12.216676E-9
1.553716E+3,	11.944851E-9
1.553720E+3,	11.684341E-9
1.553724E+3,	11.414333E-9
1.553728E+3,	11.237543E-9
1.553732E+3,	11.149542E-9
1.553736E+3,	11.118321E-9
1.553740E+3,	11.204939E-9
1.553744E+3,	11.345704E-9
1.553748E+3,	11.572534E-9
1.553752E+3,	11.915893E-9
1.553756E+3,	12.437830E-9
1.553760E+3,	12.995427E-9
1.553764E+3,	13.545590E-9
1.553768E+3,	14.188181E-9
1.553772E+3,	15.006681E-9
1.553776E+3,	15.865432E-9
1.553780E+3,	16.607475E-9
1.553784E+3,	17.428553E-9
1.553788E+3,	18.428722E-9
1.553792E+3,	19.265531E-9
1.553796E+3,	19.966540E-9
1.553800E+3,	20.734527E-9
1.553804E+3,	21.622618E-9
1.553808E+3,	22.351577E-9
1.553812E+3,	22.866630E-9
1.553816E+3,	23.411028E-9
1.553820E+3,	23.953435E-9
1.553824E+3,	24.366258E-9
1.553828E+3,	24.636499E-9
1.553832E+3,	24.843085E-9
1.553836E+3,	24.950333E-9
1.553840E+3,	24.931918E-9
1.553844E+3,	24.811098E-9
1.553848E+3,	24.594714E-9
1.553852E+3,	24.247069E-9
1.553856E+3,	23.772418E-9
1.553860E+3,	23.333058E-9
1.553864E+3,	22.677351E-9
1.553868E+3,	22.040173E-9
1.553872E+3,	21.525774E-9
1.553876E+3,	20.958202E-9
1.553880E+3,	20.261837E-9
1.553884E+3,	19.678090E-9
1.553888E+3,	19.200716E-9
1.553892E+3,	18.756681E-9
1.553896E+3,	18.346328E-9
1.553900E+3,	18.144430E-9
1.553904E+3,	18.053077E-9
1.553908E+3,	18.044627E-9
1.553912E+3,	18.189626E-9
1.553916E+3,	18.499562E-9
1.553920E+3,	18.868007E-9
1.553924E+3,	19.359747E-9
1.553928E+3,	20.109399E-9
1.553932E+3,	20.909700E-9
1.553936E+3,	21.698110E-9
1.553940E+3,	22.622526E-9
1.553944E+3,	23.853746E-9
1.553948E+3,	25.065008E-9
1.553952E+3,	26.089344E-9
1.553956E+3,	27.241169E-9
1.553960E+3,	28.713916E-9
1.553964E+3,	30.079045E-9
1.553968E+3,	31.156861E-9
1.553972E+3,	32.342193E-9
1.553976E+3,	33.677516E-9
1.553980E+3,	34.788380E-9
1.553984E+3,	35.578063E-9
1.553988E+3,	36.388244E-9
1.553992E+3,	37.200804E-9
1.553996E+3,	37.825194E-9
1.554000E+3,	38.160481E-9
1.554004E+3,	38.393385E-9
1.554008E+3,	38.518081E-9
1.554012E+3,	38.434693E-9
1.554016E+3,	38.278499E-9
1.554020E+3,	38.057201E-9
1.554024E+3,	37.580803E-9
1.554028E+3,	37.028423E-9
1.554032E+3,	36.498266E-9
1.554036E+3,	35.917139E-9
1.554040E+3,	35.177429E-9
1.554044E+3,	34.522237E-9
1.554048E+3,	33.954667E-9
1.554052E+3,	33.350800E-9
1.554056E+3,	32.720992E-9
1.554060E+3,	32.216951E-9
1.554064E+3,	31.959155E-9
1.554068E+3,	31.671481E-9
1.554072E+3,	31.569720E-9
1.554076E+3,	31.646040E-9
1.554080E+3,	31.823756E-9
1.554084E+3,	32.164056E-9
1.554088E+3,	32.896479E-9
1.554092E+3,	33.675992E-9
1.554096E+3,	34.485107E-9
1.554100E+3,	35.491268E-9
1.554104E+3,	36.925674E-9
1.554108E+3,	38.389628E-9
1.554112E+3,	39.685079E-9
1.554116E+3,	41.162665E-9
1.554120E+3,	43.017397E-9
1.554124E+3,	44.646431E-9
1.554128E+3,	46.050315E-9
1.554132E+3,	48.017254E-9
1.554136E+3,	49.868738E-9
1.554140E+3,	51.156752E-9
1.554144E+3,	52.455097E-9
1.554148E+3,	53.766738E-9
1.554152E+3,	54.871155E-9
1.554156E+3,	55.703178E-9
1.554160E+3,	56.461126E-9
1.554164E+3,	57.110993E-9
1.554168E+3,	57.423087E-9
