YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 11:35:13,	
A_WL(nm),	A_I(mW)
1.553000E+3,	2.592336E-9
1.553004E+3,	2.696146E-9
1.553008E+3,	2.811175E-9
1.553012E+3,	2.888014E-9
1.553016E+3,	2.971064E-9
1.553020E+3,	3.014269E-9
1.553024E+3,	3.046941E-9
1.553028E+3,	3.134700E-9
1.553032E+3,	3.166811E-9
1.553036E+3,	3.210468E-9
1.553040E+3,	3.243510E-9
1.553044E+3,	3.269696E-9
1.553048E+3,	3.232146E-9
1.553052E+3,	3.225330E-9
1.553056E+3,	3.201302E-9
1.553060E+3,	3.157561E-9
1.553064E+3,	3.164523E-9
1.553068E+3,	3.113890E-9
1.553072E+3,	3.111008E-9
1.553076E+3,	3.077044E-9
1.553080E+3,	3.040417E-9
1.553084E+3,	3.008170E-9
1.553088E+3,	3.016135E-9
1.553092E+3,	3.004788E-9
1.553096E+3,	3.001490E-9
1.553100E+3,	3.033590E-9
1.553104E+3,	3.045370E-9
1.553108E+3,	3.060247E-9
1.553112E+3,	3.070894E-9
1.553116E+3,	3.085375E-9
1.553120E+3,	3.140562E-9
1.553124E+3,	3.184628E-9
1.553128E+3,	3.251817E-9
1.553132E+3,	3.293969E-9
1.553136E+3,	3.347122E-9
1.553140E+3,	3.398285E-9
1.553144E+3,	3.388976E-9
1.553148E+3,	3.439527E-9
1.553152E+3,	3.477188E-9
1.553156E+3,	3.516196E-9
1.553160E+3,	3.575871E-9
1.553164E+3,	3.603707E-9
1.553168E+3,	3.603939E-9
1.553172E+3,	3.629234E-9
1.553176E+3,	3.620312E-9
1.553180E+3,	3.648000E-9
1.553184E+3,	3.695731E-9
1.553188E+3,	3.740020E-9
1.553192E+3,	3.811331E-9
1.553196E+3,	3.856104E-9
1.553200E+3,	3.889027E-9
1.553204E+3,	3.938595E-9
1.553208E+3,	4.014327E-9
1.553212E+3,	4.110893E-9
1.553216E+3,	4.184749E-9
1.553220E+3,	4.309043E-9
1.553224E+3,	4.445154E-9
1.553228E+3,	4.494300E-9
1.553232E+3,	4.565566E-9
1.553236E+3,	4.631927E-9
1.553240E+3,	4.691138E-9
1.553244E+3,	4.788375E-9
1.553248E+3,	4.893407E-9
1.553252E+3,	5.010762E-9
1.553256E+3,	5.089062E-9
1.553260E+3,	5.108741E-9
1.553264E+3,	5.096613E-9
1.553268E+3,	5.058463E-9
1.553272E+3,	5.064913E-9
1.553276E+3,	5.066514E-9
1.553280E+3,	5.093922E-9
1.553284E+3,	5.084958E-9
1.553288E+3,	5.045221E-9
1.553292E+3,	5.013608E-9
1.553296E+3,	4.972148E-9
1.553300E+3,	4.917433E-9
1.553304E+3,	4.922703E-9
1.553308E+3,	4.925362E-9
1.553312E+3,	4.936882E-9
1.553316E+3,	4.960731E-9
1.553320E+3,	4.960661E-9
1.553324E+3,	4.982133E-9
1.553328E+3,	5.014680E-9
1.553332E+3,	5.106085E-9
1.553336E+3,	5.233589E-9
1.553340E+3,	5.367297E-9
1.553344E+3,	5.481969E-9
1.553348E+3,	5.628954E-9
1.553352E+3,	5.735027E-9
1.553356E+3,	5.809629E-9
1.553360E+3,	5.915577E-9
1.553364E+3,	6.085699E-9
1.553368E+3,	6.282924E-9
1.553372E+3,	6.446678E-9
1.553376E+3,	6.613593E-9
1.553380E+3,	6.777426E-9
1.553384E+3,	6.862588E-9
1.553388E+3,	6.939423E-9
1.553392E+3,	7.021191E-9
1.553396E+3,	7.152784E-9
1.553400E+3,	7.299091E-9
1.553404E+3,	7.373020E-9
1.553408E+3,	7.468794E-9
1.553412E+3,	7.507140E-9
1.553416E+3,	7.532408E-9
1.553420E+3,	7.546946E-9
1.553424E+3,	7.586814E-9
1.553428E+3,	7.666222E-9
1.553432E+3,	7.718391E-9
1.553436E+3,	7.779059E-9
1.553440E+3,	7.794692E-9
1.553444E+3,	7.755066E-9
1.553448E+3,	7.738909E-9
1.553452E+3,	7.780521E-9
1.553456E+3,	7.773528E-9
1.553460E+3,	7.823273E-9
1.553464E+3,	7.910874E-9
1.553468E+3,	7.945256E-9
1.553472E+3,	7.958983E-9
1.553476E+3,	7.906666E-9
1.553480E+3,	7.892239E-9
1.553484E+3,	7.928178E-9
1.553488E+3,	7.974678E-9
1.553492E+3,	8.097714E-9
1.553496E+3,	8.230797E-9
1.553500E+3,	8.336585E-9
1.553504E+3,	8.442012E-9
1.553508E+3,	8.545249E-9
1.553512E+3,	8.682058E-9
1.553516E+3,	8.826479E-9
1.553520E+3,	9.106725E-9
1.553524E+3,	9.442000E-9
1.553528E+3,	9.801638E-9
1.553532E+3,	10.084476E-9
1.553536E+3,	10.351286E-9
1.553540E+3,	10.703543E-9
1.553544E+3,	11.096811E-9
1.553548E+3,	11.452022E-9
1.553552E+3,	11.891266E-9
1.553556E+3,	12.318546E-9
1.553560E+3,	12.670406E-9
1.553564E+3,	12.901881E-9
1.553568E+3,	13.077472E-9
1.553572E+3,	13.315550E-9
1.553576E+3,	13.556154E-9
1.553580E+3,	13.721128E-9
1.553584E+3,	13.934637E-9
1.553588E+3,	14.116331E-9
1.553592E+3,	14.158976E-9
1.553596E+3,	14.086396E-9
1.553600E+3,	13.925069E-9
1.553604E+3,	13.729324E-9
1.553608E+3,	13.577078E-9
1.553612E+3,	13.463493E-9
1.553616E+3,	13.355414E-9
1.553620E+3,	13.192436E-9
1.553624E+3,	12.971240E-9
1.553628E+3,	12.796108E-9
1.553632E+3,	12.570107E-9
1.553636E+3,	12.394497E-9
1.553640E+3,	12.384062E-9
1.553644E+3,	12.441138E-9
1.553648E+3,	12.593244E-9
1.553652E+3,	12.818529E-9
1.553656E+3,	13.058089E-9
1.553660E+3,	13.289949E-9
1.553664E+3,	13.641455E-9
1.553668E+3,	14.218761E-9
1.553672E+3,	14.868446E-9
1.553676E+3,	15.500177E-9
1.553680E+3,	16.202279E-9
1.553684E+3,	16.932738E-9
1.553688E+3,	17.549464E-9
1.553692E+3,	18.020310E-9
1.553696E+3,	18.587097E-9
1.553700E+3,	19.347222E-9
1.553704E+3,	20.102977E-9
1.553708E+3,	20.703698E-9
1.553712E+3,	21.220825E-9
1.553716E+3,	21.702149E-9
1.553720E+3,	21.932282E-9
1.553724E+3,	22.022781E-9
1.553728E+3,	22.132511E-9
1.553732E+3,	22.260549E-9
1.553736E+3,	22.316839E-9
1.553740E+3,	22.417770E-9
1.553744E+3,	22.382530E-9
1.553748E+3,	22.206757E-9
1.553752E+3,	21.917492E-9
1.553756E+3,	21.612287E-9
1.553760E+3,	21.250714E-9
1.553764E+3,	21.017956E-9
1.553768E+3,	20.909830E-9
1.553772E+3,	20.811111E-9
1.553776E+3,	20.636825E-9
1.553780E+3,	20.453448E-9
1.553784E+3,	20.297490E-9
1.553788E+3,	20.222105E-9
1.553792E+3,	20.379664E-9
1.553796E+3,	20.727081E-9
1.553800E+3,	21.127124E-9
1.553804E+3,	21.573567E-9
1.553808E+3,	22.099644E-9
1.553812E+3,	22.548903E-9
1.553816E+3,	22.877139E-9
1.553820E+3,	23.366141E-9
1.553824E+3,	24.156575E-9
1.553828E+3,	24.965648E-9
1.553832E+3,	25.737983E-9
1.553836E+3,	26.538893E-9
1.553840E+3,	27.408387E-9
1.553844E+3,	28.018813E-9
1.553848E+3,	28.500528E-9
1.553852E+3,	29.056148E-9
1.553856E+3,	29.794365E-9
1.553860E+3,	30.578453E-9
1.553864E+3,	31.239657E-9
1.553868E+3,	31.905760E-9
1.553872E+3,	32.449493E-9
1.553876E+3,	32.813875E-9
1.553880E+3,	33.053595E-9
1.553884E+3,	33.390439E-9
1.553888E+3,	33.939801E-9
1.553892E+3,	34.509530E-9
1.553896E+3,	34.907105E-9
1.553900E+3,	35.153854E-9
1.553904E+3,	35.182664E-9
1.553908E+3,	35.085563E-9
1.553912E+3,	35.124668E-9
1.553916E+3,	35.338637E-9
1.553920E+3,	35.652347E-9
1.553924E+3,	35.960072E-9
1.553928E+3,	36.049987E-9
1.553932E+3,	35.932320E-9
1.553936E+3,	35.610007E-9
1.553940E+3,	35.300646E-9
1.553944E+3,	35.220182E-9
1.553948E+3,	35.273710E-9
1.553952E+3,	35.517817E-9
1.553956E+3,	35.783044E-9
1.553960E+3,	35.870589E-9
1.553964E+3,	35.831009E-9
1.553968E+3,	35.794088E-9
1.553972E+3,	35.871339E-9
1.553976E+3,	36.107309E-9
1.553980E+3,	36.574556E-9
1.553984E+3,	37.351848E-9
1.553988E+3,	38.168921E-9
1.553992E+3,	38.808368E-9
1.553996E+3,	39.555950E-9
1.554000E+3,	40.480925E-9
1.554004E+3,	41.553376E-9
1.554008E+3,	42.688324E-9
1.554012E+3,	44.063755E-9
1.554016E+3,	45.811491E-9
1.554020E+3,	47.286525E-9
1.554024E+3,	48.354147E-9
1.554028E+3,	49.442597E-9
1.554032E+3,	50.708692E-9
1.554036E+3,	52.054191E-9
1.554040E+3,	53.296805E-9
1.554044E+3,	54.614874E-9
1.554048E+3,	56.034808E-9
1.554052E+3,	56.891181E-9
1.554056E+3,	57.189313E-9
1.554060E+3,	57.296029E-9
1.554064E+3,	57.327510E-9
1.554068E+3,	57.510113E-9
1.554072E+3,	57.814065E-9
1.554076E+3,	58.001684E-9
1.554080E+3,	57.974103E-9
1.554084E+3,	57.621031E-9
1.554088E+3,	56.960091E-9
1.554092E+3,	56.179692E-9
1.554096E+3,	55.661448E-9
1.554100E+3,	55.364230E-9
1.554104E+3,	55.270816E-9
1.554108E+3,	55.216858E-9
1.554112E+3,	55.133817E-9
1.554116E+3,	54.936708E-9
1.554120E+3,	54.768908E-9
1.554124E+3,	54.859816E-9
1.554128E+3,	55.403747E-9
1.554132E+3,	56.243078E-9
1.554136E+3,	57.445072E-9
1.554140E+3,	59.020308E-9
1.554144E+3,	60.264578E-9
1.554148E+3,	61.143916E-9
1.554152E+3,	62.158116E-9
1.554156E+3,	63.712038E-9
1.554160E+3,	65.653436E-9
1.554164E+3,	67.642249E-9
1.554168E+3,	69.763151E-9
1.554172E+3,	72.065083E-9
1.554176E+3,	73.686786E-9
1.554180E+3,	74.832170E-9
1.554184E+3,	76.000236E-9
1.554188E+3,	77.600268E-9
1.554192E+3,	79.404185E-9
1.554196E+3,	80.849724E-9
1.554200E+3,	82.362685E-9
1.554204E+3,	83.668605E-9
1.554208E+3,	84.337282E-9
1.554212E+3,	84.626392E-9
1.554216E+3,	85.022412E-9
1.554220E+3,	85.788278E-9
1.554224E+3,	86.678988E-9
1.554228E+3,	87.387004E-9
1.554232E+3,	87.924276E-9
1.554236E+3,	88.047631E-9
1.554240E+3,	87.718596E-9
1.554244E+3,	87.371057E-9
1.554248E+3,	87.190887E-9
1.554252E+3,	87.426194E-9
1.554256E+3,	87.869439E-9
1.554260E+3,	88.206901E-9
1.554264E+3,	88.184703E-9
1.554268E+3,	87.555502E-9
1.554272E+3,	86.708053E-9
1.554276E+3,	85.836553E-9
1.554280E+3,	85.178703E-9
1.554284E+3,	85.032240E-9
1.554288E+3,	84.972356E-9
1.554292E+3,	84.828497E-9
1.554296E+3,	84.182735E-9
1.554300E+3,	83.092340E-9
1.554304E+3,	82.139813E-9
1.554308E+3,	81.271059E-9
1.554312E+3,	80.726991E-9
1.554316E+3,	80.570456E-9
1.554320E+3,	80.618757E-9
1.554324E+3,	80.608428E-9
1.554328E+3,	80.278216E-9
1.554332E+3,	79.797653E-9
1.554336E+3,	79.441267E-9
1.554340E+3,	79.294865E-9
1.554344E+3,	79.482762E-9
1.554348E+3,	79.858709E-9
1.554352E+3,	80.133919E-9
1.554356E+3,	80.095509E-9
1.554360E+3,	79.564140E-9
1.554364E+3,	78.736575E-9
1.554368E+3,	78.146678E-9
1.554372E+3,	77.585449E-9
1.554376E+3,	77.153917E-9
1.554380E+3,	76.694332E-9
1.554384E+3,	76.043656E-9
1.554388E+3,	74.780222E-9
1.554392E+3,	72.575614E-9
1.554396E+3,	70.169923E-9
1.554400E+3,	68.195447E-9
1.554404E+3,	66.094657E-9
1.554408E+3,	63.774858E-9
1.554412E+3,	61.619855E-9
1.554416E+3,	59.512918E-9
1.554420E+3,	56.262417E-9
1.554424E+3,	53.171053E-9
1.554428E+3,	50.575698E-9
1.554432E+3,	47.840877E-9
1.554436E+3,	44.967500E-9
1.554440E+3,	42.691855E-9
1.554444E+3,	41.017866E-9
1.554448E+3,	39.004352E-9
1.554452E+3,	36.544974E-9
1.554456E+3,	34.314408E-9
1.554460E+3,	32.607838E-9
1.554464E+3,	30.965784E-9
1.554468E+3,	29.312466E-9
1.554472E+3,	27.968498E-9
1.554476E+3,	26.944698E-9
1.554480E+3,	25.832985E-9
1.554484E+3,	24.532114E-9
1.554488E+3,	23.404333E-9
1.554492E+3,	22.660071E-9
1.554496E+3,	22.056160E-9
1.554500E+3,	21.664924E-9
1.554504E+3,	21.461477E-9
1.554508E+3,	21.360467E-9
1.554512E+3,	21.240833E-9
1.554516E+3,	21.201656E-9
1.554520E+3,	21.333126E-9
1.554524E+3,	21.653406E-9
1.554528E+3,	22.210174E-9
1.554532E+3,	23.208590E-9
1.554536E+3,	24.363449E-9
1.554540E+3,	25.503004E-9
1.554544E+3,	26.888823E-9
1.554548E+3,	28.808419E-9
1.554552E+3,	30.830782E-9
1.554556E+3,	32.715415E-9
1.554560E+3,	35.109568E-9
1.554564E+3,	38.408030E-9
1.554568E+3,	41.578617E-9
1.554572E+3,	44.007402E-9
1.554576E+3,	46.996797E-9
1.554580E+3,	49.762743E-9
1.554584E+3,	52.300739E-9
1.554588E+3,	55.789357E-9
1.554592E+3,	60.756231E-9
1.554596E+3,	65.854877E-9
1.554600E+3,	70.102056E-9
1.554604E+3,	74.626970E-9
1.554608E+3,	79.761644E-9
1.554612E+3,	84.578885E-9
1.554616E+3,	89.083321E-9
1.554620E+3,	94.678679E-9
1.554624E+3,	102.048558E-9
1.554628E+3,	109.005082E-9
1.554632E+3,	114.799499E-9
1.554636E+3,	120.831441E-9
1.554640E+3,	127.991956E-9
1.554644E+3,	135.295242E-9
1.554648E+3,	142.549762E-9
1.554652E+3,	151.602597E-9
1.554656E+3,	164.044117E-9
1.554660E+3,	176.224836E-9
1.554664E+3,	186.006342E-9
1.554668E+3,	196.704461E-9
1.554672E+3,	211.464470E-9
1.554676E+3,	226.592329E-9
1.554680E+3,	238.047891E-9
1.554684E+3,	251.981741E-9
1.554688E+3,	268.480334E-9
1.554692E+3,	284.950401E-9
1.554696E+3,	298.982731E-9
1.554700E+3,	314.118865E-9
1.554704E+3,	331.307775E-9
1.554708E+3,	347.337384E-9
1.554712E+3,	361.409888E-9
1.554716E+3,	377.233914E-9
1.554720E+3,	395.894629E-9
1.554724E+3,	411.307700E-9
1.554728E+3,	421.014701E-9
1.554732E+3,	429.104697E-9
1.554736E+3,	436.808700E-9
1.554740E+3,	443.278606E-9
1.554744E+3,	448.489647E-9
1.554748E+3,	454.993248E-9
1.554752E+3,	458.927440E-9
1.554756E+3,	458.758345E-9
1.554760E+3,	455.803530E-9
1.554764E+3,	449.865589E-9
1.554768E+3,	444.671628E-9
1.554772E+3,	442.118480E-9
1.554776E+3,	440.747699E-9
1.554780E+3,	440.537466E-9
1.554784E+3,	440.005342E-9
1.554788E+3,	439.122846E-9
1.554792E+3,	438.029483E-9
1.554796E+3,	439.149542E-9
1.554800E+3,	444.429234E-9
1.554804E+3,	452.407699E-9
1.554808E+3,	464.622863E-9
1.554812E+3,	481.501392E-9
1.554816E+3,	497.879567E-9
1.554820E+3,	511.018635E-9
1.554824E+3,	526.870961E-9
1.554828E+3,	549.798395E-9
1.554832E+3,	574.823531E-9
1.554836E+3,	599.230899E-9
1.554840E+3,	627.444011E-9
1.554844E+3,	657.874433E-9
1.554848E+3,	680.789713E-9
1.554852E+3,	696.846079E-9
1.554856E+3,	712.319240E-9
1.554860E+3,	728.776840E-9
1.554864E+3,	743.591239E-9
1.554868E+3,	755.740074E-9
1.554872E+3,	767.366705E-9
1.554876E+3,	775.477704E-9
1.554880E+3,	775.465163E-9
1.554884E+3,	769.838669E-9
1.554888E+3,	761.382163E-9
1.554892E+3,	750.996680E-9
1.554896E+3,	742.623675E-9
1.554900E+3,	736.805876E-9
1.554904E+3,	729.719534E-9
1.554908E+3,	716.594655E-9
1.554912E+3,	700.959480E-9
1.554916E+3,	687.100725E-9
1.554920E+3,	671.588979E-9
1.554924E+3,	662.255542E-9
1.554928E+3,	657.932298E-9
1.554932E+3,	655.547055E-9
1.554936E+3,	653.080047E-9
1.554940E+3,	649.546186E-9
1.554944E+3,	646.616887E-9
1.554948E+3,	645.598677E-9
1.554952E+3,	649.560933E-9
1.554956E+3,	658.402106E-9
1.554960E+3,	668.850949E-9
1.554964E+3,	681.959542E-9
1.554968E+3,	696.989355E-9
1.554972E+3,	708.210079E-9
1.554976E+3,	715.131073E-9
1.554980E+3,	722.298067E-9
1.554984E+3,	732.729093E-9
1.554988E+3,	746.008212E-9
1.554992E+3,	760.082931E-9
1.554996E+3,	775.140200E-9
1.555000E+3,	787.117230E-9
1.555004E+3,	792.613137E-9
1.555008E+3,	795.322855E-9
1.555012E+3,	799.793359E-9
1.555016E+3,	809.119845E-9
1.555020E+3,	820.364650E-9
1.555024E+3,	828.100093E-9
1.555028E+3,	833.858863E-9
1.555032E+3,	834.972372E-9
1.555036E+3,	833.726373E-9
1.555040E+3,	832.318616E-9
1.555044E+3,	835.164895E-9
1.555048E+3,	843.594721E-9
1.555052E+3,	852.852720E-9
1.555056E+3,	861.355392E-9
1.555060E+3,	865.061136E-9
1.555064E+3,	863.508174E-9
1.555068E+3,	860.062786E-9
1.555072E+3,	857.979485E-9
1.555076E+3,	860.157834E-9
1.555080E+3,	865.639293E-9
1.555084E+3,	870.882645E-9
1.555088E+3,	874.900009E-9
1.555092E+3,	872.349811E-9
1.555096E+3,	864.315510E-9
1.555100E+3,	853.221292E-9
1.555104E+3,	841.193624E-9
1.555108E+3,	834.384162E-9
1.555112E+3,	831.444171E-9
1.555116E+3,	828.996120E-9
1.555120E+3,	823.728395E-9
1.555124E+3,	817.053566E-9
1.555128E+3,	810.796169E-9
1.555132E+3,	805.930553E-9
1.555136E+3,	805.044662E-9
1.555140E+3,	808.368168E-9
1.555144E+3,	812.746920E-9
1.555148E+3,	819.172574E-9
1.555152E+3,	823.854628E-9
1.555156E+3,	827.056032E-9
1.555160E+3,	832.679105E-9
1.555164E+3,	846.640981E-9
1.555168E+3,	866.495198E-9
1.555172E+3,	885.644572E-9
1.555176E+3,	907.844401E-9
1.555180E+3,	930.853831E-9
1.555184E+3,	946.824761E-9
1.555188E+3,	956.035564E-9
1.555192E+3,	968.519143E-9
1.555196E+3,	981.665129E-9
1.555200E+3,	994.862610E-9
1.555204E+3,	1.010717E-6
1.555208E+3,	1.025873E-6
1.555212E+3,	1.032048E-6
1.555216E+3,	1.029649E-6
1.555220E+3,	1.022363E-6
1.555224E+3,	1.011138E-6
1.555228E+3,	1.001947E-6
1.555232E+3,	996.281648E-9
1.555236E+3,	991.246395E-9
1.555240E+3,	981.607198E-9
1.555244E+3,	965.881621E-9
1.555248E+3,	948.989477E-9
1.555252E+3,	926.073658E-9
1.555256E+3,	907.302474E-9
1.555260E+3,	896.494446E-9
1.555264E+3,	888.084879E-9
1.555268E+3,	880.011782E-9
1.555272E+3,	871.509013E-9
1.555276E+3,	862.370236E-9
1.555280E+3,	851.716225E-9
1.555284E+3,	840.355938E-9
1.555288E+3,	836.090219E-9
1.555292E+3,	839.374052E-9
1.555296E+3,	846.471357E-9
1.555300E+3,	856.051194E-9
1.555304E+3,	863.208304E-9
1.555308E+3,	865.934614E-9
1.555312E+3,	867.407899E-9
1.555316E+3,	869.863992E-9
1.555320E+3,	874.623639E-9
1.555324E+3,	883.578439E-9
1.555328E+3,	896.685843E-9
1.555332E+3,	907.933281E-9
1.555336E+3,	914.862084E-9
1.555340E+3,	918.442636E-9
1.555344E+3,	920.257575E-9
1.555348E+3,	922.797174E-9
1.555352E+3,	928.696710E-9
1.555356E+3,	938.743777E-9
1.555360E+3,	954.179757E-9
1.555364E+3,	967.709720E-9
1.555368E+3,	975.617438E-9
1.555372E+3,	982.425696E-9
1.555376E+3,	989.407911E-9
1.555380E+3,	997.920857E-9
1.555384E+3,	1.011109E-6
1.555388E+3,	1.032143E-6
1.555392E+3,	1.049577E-6
1.555396E+3,	1.061128E-6
1.555400E+3,	1.070634E-6
1.555404E+3,	1.078746E-6
1.555408E+3,	1.086845E-6
1.555412E+3,	1.096632E-6
