YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 11:39:46,	
A_WL(nm),	A_I(mW)
1.552600E+3,	316.761041E-12
1.552604E+3,	327.199513E-12
1.552608E+3,	346.152148E-12
1.552612E+3,	330.410550E-12
1.552616E+3,	308.804938E-12
1.552620E+3,	289.623641E-12
1.552624E+3,	226.457380E-12
1.552628E+3,	226.972489E-12
1.552632E+3,	170.762239E-12
1.552636E+3,	110.084452E-12
1.552640E+3,	93.069570E-12
1.552644E+3,	81.738611E-12
1.552648E+3,	53.743404E-12
1.552652E+3,	44.481027E-12
1.552656E+3,	45.943924E-12
1.552660E+3,	82.274273E-12
1.552664E+3,	105.329022E-12
1.552668E+3,	133.642808E-12
1.552672E+3,	170.451842E-12
1.552676E+3,	225.568154E-12
1.552680E+3,	272.729832E-12
1.552684E+3,	291.956919E-12
1.552688E+3,	369.058234E-12
1.552692E+3,	370.117267E-12
1.552696E+3,	391.104589E-12
1.552700E+3,	423.529572E-12
1.552704E+3,	378.261161E-12
1.552708E+3,	377.511858E-12
1.552712E+3,	339.992820E-12
1.552716E+3,	298.322091E-12
1.552720E+3,	249.656589E-12
1.552724E+3,	200.224541E-12
1.552728E+3,	185.266662E-12
1.552732E+3,	140.683521E-12
1.552736E+3,	86.184018E-12
1.552740E+3,	63.867335E-12
1.552744E+3,	44.555221E-12
1.552748E+3,	67.079859E-12
1.552752E+3,	78.070277E-12
1.552756E+3,	138.937157E-12
1.552760E+3,	153.153519E-12
1.552764E+3,	181.124668E-12
1.552768E+3,	237.360747E-12
1.552772E+3,	282.947153E-12
1.552776E+3,	333.387599E-12
1.552780E+3,	378.953817E-12
1.552784E+3,	413.878741E-12
1.552788E+3,	452.540726E-12
1.552792E+3,	451.697355E-12
1.552796E+3,	456.497655E-12
1.552800E+3,	430.971985E-12
1.552804E+3,	407.150227E-12
1.552808E+3,	355.737248E-12
1.552812E+3,	297.472042E-12
1.552816E+3,	260.252201E-12
1.552820E+3,	178.508108E-12
1.552824E+3,	128.221323E-12
1.552828E+3,	96.575172E-12
1.552832E+3,	60.442821E-12
1.552836E+3,	37.124221E-12
1.552840E+3,	53.835950E-12
1.552844E+3,	65.673346E-12
1.552848E+3,	106.134696E-12
1.552852E+3,	162.029464E-12
1.552856E+3,	209.252874E-12
1.552860E+3,	267.721595E-12
1.552864E+3,	349.604568E-12
1.552868E+3,	419.373156E-12
1.552872E+3,	494.516692E-12
1.552876E+3,	532.446991E-12
1.552880E+3,	605.151861E-12
1.552884E+3,	624.844053E-12
1.552888E+3,	637.563563E-12
1.552892E+3,	629.137791E-12
1.552896E+3,	608.246643E-12
1.552900E+3,	551.482604E-12
1.552904E+3,	519.251850E-12
1.552908E+3,	455.622146E-12
1.552912E+3,	384.004751E-12
1.552916E+3,	322.466987E-12
1.552920E+3,	251.415639E-12
1.552924E+3,	197.222772E-12
1.552928E+3,	161.012533E-12
1.552932E+3,	135.402511E-12
1.552936E+3,	117.675519E-12
1.552940E+3,	150.213254E-12
1.552944E+3,	152.983930E-12
1.552948E+3,	194.248879E-12
1.552952E+3,	271.511113E-12
1.552956E+3,	333.615002E-12
1.552960E+3,	406.521380E-12
1.552964E+3,	486.743431E-12
1.552968E+3,	565.301740E-12
1.552972E+3,	631.852737E-12
1.552976E+3,	700.228714E-12
1.552980E+3,	728.478026E-12
1.552984E+3,	722.256868E-12
1.552988E+3,	710.640254E-12
1.552992E+3,	685.466875E-12
1.552996E+3,	639.555001E-12
1.553000E+3,	569.722337E-12
1.553004E+3,	501.235752E-12
1.553008E+3,	422.413243E-12
1.553012E+3,	344.241448E-12
1.553016E+3,	253.707828E-12
1.553020E+3,	188.812219E-12
1.553024E+3,	145.979976E-12
