YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/07/2023 Time: 14:49:01,	
A_WL(nm),	A_I(mW)
1.553000E+3,	200.531495E-12
1.553004E+3,	220.650666E-12
1.553008E+3,	240.967106E-12
1.553012E+3,	287.971811E-12
1.553016E+3,	303.051753E-12
1.553020E+3,	338.284709E-12
1.553024E+3,	403.216301E-12
1.553028E+3,	450.797991E-12
1.553032E+3,	502.199975E-12
1.553036E+3,	566.052600E-12
1.553040E+3,	614.745315E-12
1.553044E+3,	699.270855E-12
1.553048E+3,	763.010695E-12
1.553052E+3,	805.956149E-12
1.553056E+3,	901.898470E-12
1.553060E+3,	985.992116E-12
1.553064E+3,	1.056099E-9
1.553068E+3,	1.128597E-9
1.553072E+3,	1.180645E-9
1.553076E+3,	1.257959E-9
1.553080E+3,	1.306840E-9
1.553084E+3,	1.360685E-9
1.553088E+3,	1.398304E-9
1.553092E+3,	1.413565E-9
1.553096E+3,	1.440333E-9
1.553100E+3,	1.432480E-9
1.553104E+3,	1.437951E-9
1.553108E+3,	1.413285E-9
1.553112E+3,	1.399585E-9
1.553116E+3,	1.324123E-9
1.553120E+3,	1.305130E-9
1.553124E+3,	1.244405E-9
1.553128E+3,	1.175308E-9
1.553132E+3,	1.116347E-9
1.553136E+3,	1.009279E-9
1.553140E+3,	909.823561E-12
1.553144E+3,	838.472095E-12
1.553148E+3,	746.523378E-12
1.553152E+3,	640.580288E-12
1.553156E+3,	552.477457E-12
1.553160E+3,	486.042353E-12
1.553164E+3,	399.327053E-12
1.553168E+3,	318.724709E-12
1.553172E+3,	256.817703E-12
1.553176E+3,	236.426784E-12
1.553180E+3,	190.974427E-12
1.553184E+3,	192.495173E-12
1.553188E+3,	196.882515E-12
1.553192E+3,	203.387118E-12
1.553196E+3,	234.817299E-12
1.553200E+3,	292.820263E-12
1.553204E+3,	372.267444E-12
1.553208E+3,	434.232508E-12
1.553212E+3,	522.732300E-12
1.553216E+3,	663.370543E-12
1.553220E+3,	781.821253E-12
1.553224E+3,	914.726215E-12
1.553228E+3,	1.053229E-9
1.553232E+3,	1.245688E-9
1.553236E+3,	1.387546E-9
1.553240E+3,	1.526196E-9
1.553244E+3,	1.643962E-9
1.553248E+3,	1.840866E-9
1.553252E+3,	1.966298E-9
1.553256E+3,	2.097352E-9
1.553260E+3,	2.199056E-9
1.553264E+3,	2.293958E-9
1.553268E+3,	2.372381E-9
1.553272E+3,	2.439615E-9
1.553276E+3,	2.490784E-9
1.553280E+3,	2.482251E-9
1.553284E+3,	2.448625E-9
1.553288E+3,	2.406717E-9
1.553292E+3,	2.357767E-9
1.553296E+3,	2.270440E-9
1.553300E+3,	2.161915E-9
1.553304E+3,	2.041099E-9
1.553308E+3,	1.861923E-9
1.553312E+3,	1.706885E-9
1.553316E+3,	1.530543E-9
1.553320E+3,	1.381128E-9
1.553324E+3,	1.200259E-9
1.553328E+3,	975.728595E-12
1.553332E+3,	777.189283E-12
1.553336E+3,	644.704365E-12
1.553340E+3,	470.968050E-12
1.553344E+3,	340.616501E-12
1.553348E+3,	259.687134E-12
1.553352E+3,	210.768562E-12
1.553356E+3,	132.160271E-12
1.553360E+3,	124.261680E-12
1.553364E+3,	151.227165E-12
