YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 12:05:04,	
A_WL(nm),	A_I(mW)
1.552600E+3,	195.475590E-12
1.552604E+3,	207.289143E-12
1.552608E+3,	215.041572E-12
1.552612E+3,	200.333462E-12
1.552616E+3,	189.259813E-12
1.552620E+3,	175.741655E-12
1.552624E+3,	178.557383E-12
1.552628E+3,	142.047498E-12
1.552632E+3,	110.318732E-12
1.552636E+3,	85.342679E-12
1.552640E+3,	74.825661E-12
1.552644E+3,	69.215547E-12
1.552648E+3,	39.681923E-12
1.552652E+3,	47.019850E-12
1.552656E+3,	20.740819E-12
1.552660E+3,	12.951303E-12
1.552664E+3,	44.478542E-12
1.552668E+3,	49.088144E-12
1.552672E+3,	87.064398E-12
1.552676E+3,	116.743820E-12
1.552680E+3,	124.884066E-12
1.552684E+3,	145.636504E-12
1.552688E+3,	194.761415E-12
1.552692E+3,	191.464110E-12
1.552696E+3,	228.362822E-12
1.552700E+3,	247.729181E-12
1.552704E+3,	251.302923E-12
1.552708E+3,	237.352125E-12
1.552712E+3,	246.027657E-12
1.552716E+3,	188.456431E-12
1.552720E+3,	177.484200E-12
1.552724E+3,	149.840036E-12
1.552728E+3,	142.561752E-12
1.552732E+3,	117.967541E-12
1.552736E+3,	76.916293E-12
1.552740E+3,	61.086861E-12
1.552744E+3,	35.146600E-12
1.552748E+3,	5.930023E-12
1.552752E+3,	38.855678E-12
1.552756E+3,	45.744259E-12
1.552760E+3,	56.803480E-12
1.552764E+3,	60.440662E-12
1.552768E+3,	120.224928E-12
1.552772E+3,	135.313222E-12
1.552776E+3,	169.223584E-12
1.552780E+3,	184.196937E-12
1.552784E+3,	213.640087E-12
1.552788E+3,	264.024340E-12
1.552792E+3,	273.280045E-12
1.552796E+3,	272.283030E-12
1.552800E+3,	259.360781E-12
1.552804E+3,	247.652695E-12
1.552808E+3,	267.913678E-12
1.552812E+3,	234.137374E-12
1.552816E+3,	203.469023E-12
1.552820E+3,	163.266600E-12
1.552824E+3,	131.386597E-12
1.552828E+3,	90.675527E-12
1.552832E+3,	59.960318E-12
1.552836E+3,	33.079576E-12
1.552840E+3,	46.511934E-12
1.552844E+3,	38.718834E-12
1.552848E+3,	30.791427E-12
1.552852E+3,	55.076766E-12
1.552856E+3,	58.921812E-12
1.552860E+3,	94.526325E-12
1.552864E+3,	132.328430E-12
1.552868E+3,	179.803903E-12
1.552872E+3,	242.391188E-12
1.552876E+3,	255.577629E-12
1.552880E+3,	273.453754E-12
1.552884E+3,	315.874899E-12
1.552888E+3,	328.729499E-12
1.552892E+3,	322.428826E-12
1.552896E+3,	316.998245E-12
1.552900E+3,	297.739342E-12
1.552904E+3,	276.605354E-12
1.552908E+3,	250.224386E-12
1.552912E+3,	200.056289E-12
1.552916E+3,	168.090020E-12
1.552920E+3,	106.420288E-12
1.552924E+3,	109.029605E-12
1.552928E+3,	65.967332E-12
1.552932E+3,	47.913438E-12
1.552936E+3,	29.470702E-12
1.552940E+3,	38.524570E-12
1.552944E+3,	32.798450E-12
1.552948E+3,	75.761076E-12
1.552952E+3,	91.254353E-12
1.552956E+3,	127.556360E-12
1.552960E+3,	154.062697E-12
1.552964E+3,	218.504026E-12
1.552968E+3,	265.774614E-12
1.552972E+3,	313.122313E-12
1.552976E+3,	339.445194E-12
1.552980E+3,	374.382483E-12
1.552984E+3,	382.674697E-12
1.552988E+3,	390.696417E-12
1.552992E+3,	381.126125E-12
1.552996E+3,	364.073086E-12
1.553000E+3,	331.467024E-12
1.553004E+3,	278.629405E-12
1.553008E+3,	230.901141E-12
1.553012E+3,	201.192420E-12
1.553016E+3,	153.874285E-12
1.553020E+3,	79.933314E-12
1.553024E+3,	77.738608E-12
1.553028E+3,	59.331316E-12
1.553032E+3,	54.601753E-12
1.553036E+3,	56.899133E-12
1.553040E+3,	62.473692E-12
1.553044E+3,	109.024384E-12
1.553048E+3,	148.142865E-12
1.553052E+3,	197.926994E-12
1.553056E+3,	242.910774E-12
1.553060E+3,	316.867096E-12
1.553064E+3,	383.165979E-12
1.553068E+3,	429.302233E-12
1.553072E+3,	483.296405E-12
1.553076E+3,	521.383408E-12
1.553080E+3,	538.490671E-12
1.553084E+3,	520.876604E-12
1.553088E+3,	492.148289E-12
1.553092E+3,	469.103878E-12
1.553096E+3,	414.201413E-12
1.553100E+3,	356.402246E-12
1.553104E+3,	294.813411E-12
1.553108E+3,	231.416298E-12
1.553112E+3,	169.628481E-12
1.553116E+3,	100.750152E-12
1.553120E+3,	86.018324E-12
1.553124E+3,	55.464124E-12
1.553128E+3,	45.244105E-12
1.553132E+3,	83.425699E-12
1.553136E+3,	116.110428E-12
1.553140E+3,	188.586513E-12
1.553144E+3,	274.554355E-12
1.553148E+3,	351.884665E-12
1.553152E+3,	438.546887E-12
1.553156E+3,	502.187598E-12
1.553160E+3,	634.651186E-12
1.553164E+3,	691.649448E-12
1.553168E+3,	741.168316E-12
1.553172E+3,	792.942292E-12
1.553176E+3,	792.431341E-12
1.553180E+3,	772.920341E-12
1.553184E+3,	728.701190E-12
1.553188E+3,	675.845561E-12
1.553192E+3,	610.138225E-12
1.553196E+3,	484.497955E-12
1.553200E+3,	406.977309E-12
1.553204E+3,	320.762145E-12
1.553208E+3,	242.437566E-12
1.553212E+3,	138.769806E-12
1.553216E+3,	114.121936E-12
1.553220E+3,	97.519396E-12
1.553224E+3,	97.714006E-12
1.553228E+3,	121.498800E-12
1.553232E+3,	149.878388E-12
1.553236E+3,	262.327827E-12
1.553240E+3,	336.552258E-12
1.553244E+3,	425.243756E-12
1.553248E+3,	545.455022E-12
1.553252E+3,	666.908154E-12
1.553256E+3,	754.770356E-12
1.553260E+3,	799.169731E-12
1.553264E+3,	850.808449E-12
1.553268E+3,	863.270567E-12
1.553272E+3,	836.607334E-12
1.553276E+3,	797.875140E-12
1.553280E+3,	735.740088E-12
1.553284E+3,	648.271642E-12
1.553288E+3,	539.223031E-12
1.553292E+3,	436.862575E-12
1.553296E+3,	338.925813E-12
1.553300E+3,	227.339762E-12
1.553304E+3,	171.060653E-12
1.553308E+3,	103.496490E-12
1.553312E+3,	87.648314E-12
1.553316E+3,	86.917001E-12
1.553320E+3,	134.573771E-12
1.553324E+3,	213.194579E-12
1.553328E+3,	316.087433E-12
1.553332E+3,	477.875955E-12
1.553336E+3,	624.507080E-12
1.553340E+3,	763.905824E-12
1.553344E+3,	931.687692E-12
1.553348E+3,	1.075051E-9
1.553352E+3,	1.204814E-9
1.553356E+3,	1.294163E-9
1.553360E+3,	1.331997E-9
1.553364E+3,	1.317277E-9
1.553368E+3,	1.279884E-9
1.553372E+3,	1.186216E-9
1.553376E+3,	1.062157E-9
1.553380E+3,	906.153029E-12
1.553384E+3,	755.725473E-12
1.553388E+3,	586.861757E-12
1.553392E+3,	442.031352E-12
1.553396E+3,	312.854330E-12
1.553400E+3,	179.885077E-12
1.553404E+3,	125.772026E-12
1.553408E+3,	88.019937E-12
1.553412E+3,	118.267333E-12
1.553416E+3,	190.892074E-12
1.553420E+3,	287.924364E-12
1.553424E+3,	404.427884E-12
1.553428E+3,	576.460996E-12
1.553432E+3,	765.294089E-12
1.553436E+3,	910.951573E-12
1.553440E+3,	1.090579E-9
1.553444E+3,	1.253041E-9
1.553448E+3,	1.352228E-9
1.553452E+3,	1.408780E-9
1.553456E+3,	1.422563E-9
1.553460E+3,	1.384027E-9
1.553464E+3,	1.316589E-9
1.553468E+3,	1.207636E-9
1.553472E+3,	1.048766E-9
1.553476E+3,	847.373190E-12
1.553480E+3,	663.752244E-12
1.553484E+3,	500.837240E-12
1.553488E+3,	337.194777E-12
1.553492E+3,	205.444939E-12
1.553496E+3,	161.164056E-12
1.553500E+3,	146.514942E-12
1.553504E+3,	217.616638E-12
1.553508E+3,	354.829687E-12
1.553512E+3,	543.125292E-12
1.553516E+3,	709.230601E-12
1.553520E+3,	939.420618E-12
1.553524E+3,	1.268247E-9
1.553528E+3,	1.536268E-9
1.553532E+3,	1.719384E-9
1.553536E+3,	1.913098E-9
1.553540E+3,	2.088439E-9
1.553544E+3,	2.181634E-9
1.553548E+3,	2.208351E-9
1.553552E+3,	2.158054E-9
1.553556E+3,	2.046838E-9
1.553560E+3,	1.874624E-9
1.553564E+3,	1.693384E-9
1.553568E+3,	1.443321E-9
1.553572E+3,	1.115472E-9
1.553576E+3,	811.683037E-12
1.553580E+3,	615.013270E-12
1.553584E+3,	414.942578E-12
1.553588E+3,	266.666116E-12
1.553592E+3,	178.653317E-12
1.553596E+3,	199.786475E-12
1.553600E+3,	278.678575E-12
1.553604E+3,	516.115155E-12
1.553608E+3,	786.665890E-12
1.553612E+3,	1.062761E-9
1.553616E+3,	1.355417E-9
