YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 11:34:31,	
A_WL(nm),	A_I(mW)
1.553000E+3,	1.132724E-9
1.553004E+3,	1.084502E-9
1.553008E+3,	1.057343E-9
1.553012E+3,	1.051039E-9
1.553016E+3,	1.027791E-9
1.553020E+3,	1.039537E-9
1.553024E+3,	1.039533E-9
1.553028E+3,	1.062203E-9
1.553032E+3,	1.102464E-9
1.553036E+3,	1.164206E-9
1.553040E+3,	1.237839E-9
1.553044E+3,	1.268626E-9
1.553048E+3,	1.350012E-9
1.553052E+3,	1.413380E-9
1.553056E+3,	1.447604E-9
1.553060E+3,	1.517014E-9
1.553064E+3,	1.577912E-9
1.553068E+3,	1.675358E-9
1.553072E+3,	1.731694E-9
1.553076E+3,	1.794618E-9
1.553080E+3,	1.834601E-9
1.553084E+3,	1.848236E-9
1.553088E+3,	1.883876E-9
1.553092E+3,	1.907710E-9
1.553096E+3,	1.916520E-9
1.553100E+3,	1.938456E-9
1.553104E+3,	1.924938E-9
1.553108E+3,	1.930685E-9
1.553112E+3,	1.900120E-9
1.553116E+3,	1.862694E-9
1.553120E+3,	1.830558E-9
1.553124E+3,	1.826325E-9
1.553128E+3,	1.830385E-9
1.553132E+3,	1.788539E-9
1.553136E+3,	1.731853E-9
1.553140E+3,	1.707065E-9
1.553144E+3,	1.661836E-9
1.553148E+3,	1.617466E-9
1.553152E+3,	1.592575E-9
1.553156E+3,	1.592021E-9
1.553160E+3,	1.567274E-9
1.553164E+3,	1.552792E-9
1.553168E+3,	1.533273E-9
1.553172E+3,	1.510007E-9
1.553176E+3,	1.512539E-9
1.553180E+3,	1.501098E-9
1.553184E+3,	1.509489E-9
1.553188E+3,	1.518638E-9
1.553192E+3,	1.545144E-9
1.553196E+3,	1.580823E-9
1.553200E+3,	1.590723E-9
1.553204E+3,	1.607899E-9
1.553208E+3,	1.667571E-9
1.553212E+3,	1.725616E-9
1.553216E+3,	1.776494E-9
1.553220E+3,	1.828613E-9
1.553224E+3,	1.901089E-9
1.553228E+3,	1.965412E-9
1.553232E+3,	2.013662E-9
1.553236E+3,	2.091110E-9
1.553240E+3,	2.140106E-9
1.553244E+3,	2.237083E-9
1.553248E+3,	2.317526E-9
1.553252E+3,	2.408962E-9
1.553256E+3,	2.491003E-9
1.553260E+3,	2.576812E-9
1.553264E+3,	2.567074E-9
1.553268E+3,	2.611211E-9
1.553272E+3,	2.641328E-9
1.553276E+3,	2.681680E-9
1.553280E+3,	2.698371E-9
1.553284E+3,	2.727843E-9
1.553288E+3,	2.731435E-9
1.553292E+3,	2.706064E-9
1.553296E+3,	2.665140E-9
1.553300E+3,	2.605254E-9
1.553304E+3,	2.543511E-9
1.553308E+3,	2.511558E-9
1.553312E+3,	2.485429E-9
1.553316E+3,	2.447443E-9
1.553320E+3,	2.377965E-9
1.553324E+3,	2.311192E-9
1.553328E+3,	2.234389E-9
1.553332E+3,	2.207792E-9
1.553336E+3,	2.173526E-9
1.553340E+3,	2.180116E-9
1.553344E+3,	2.155946E-9
1.553348E+3,	2.180023E-9
1.553352E+3,	2.200265E-9
1.553356E+3,	2.205847E-9
1.553360E+3,	2.197543E-9
1.553364E+3,	2.262176E-9
1.553368E+3,	2.364588E-9
1.553372E+3,	2.459347E-9
1.553376E+3,	2.559952E-9
1.553380E+3,	2.627351E-9
1.553384E+3,	2.686480E-9
1.553388E+3,	2.728236E-9
1.553392E+3,	2.785687E-9
1.553396E+3,	2.890926E-9
1.553400E+3,	2.991456E-9
1.553404E+3,	3.099186E-9
1.553408E+3,	3.159731E-9
1.553412E+3,	3.217993E-9
1.553416E+3,	3.245685E-9
1.553420E+3,	3.255822E-9
1.553424E+3,	3.290817E-9
1.553428E+3,	3.315242E-9
1.553432E+3,	3.364567E-9
1.553436E+3,	3.360308E-9
1.553440E+3,	3.385913E-9
1.553444E+3,	3.368660E-9
1.553448E+3,	3.331591E-9
1.553452E+3,	3.329152E-9
1.553456E+3,	3.356330E-9
1.553460E+3,	3.375415E-9
1.553464E+3,	3.423879E-9
1.553468E+3,	3.426375E-9
1.553472E+3,	3.413554E-9
1.553476E+3,	3.416278E-9
1.553480E+3,	3.378290E-9
1.553484E+3,	3.367996E-9
1.553488E+3,	3.395423E-9
1.553492E+3,	3.452097E-9
