YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 11:39:20,	
A_WL(nm),	A_I(mW)
1.552600E+3,	65.333463E-12
1.552604E+3,	43.611991E-12
1.552608E+3,	51.524884E-12
1.552612E+3,	71.570282E-12
1.552616E+3,	103.883794E-12
1.552620E+3,	164.252896E-12
1.552624E+3,	222.493409E-12
1.552628E+3,	266.410169E-12
1.552632E+3,	321.607849E-12
1.552636E+3,	390.455479E-12
1.552640E+3,	423.030875E-12
1.552644E+3,	433.496378E-12
1.552648E+3,	456.287478E-12
1.552652E+3,	463.454502E-12
1.552656E+3,	468.548017E-12
1.552660E+3,	438.893919E-12
1.552664E+3,	400.629256E-12
1.552668E+3,	351.762659E-12
1.552672E+3,	305.825050E-12
1.552676E+3,	261.100916E-12
1.552680E+3,	221.064260E-12
1.552684E+3,	145.228041E-12
1.552688E+3,	111.508779E-12
1.552692E+3,	94.069295E-12
1.552696E+3,	59.385649E-12
1.552700E+3,	41.537898E-12
1.552704E+3,	71.457559E-12
1.552708E+3,	83.317588E-12
1.552712E+3,	138.905169E-12
1.552716E+3,	188.152642E-12
1.552720E+3,	247.105931E-12
1.552724E+3,	338.213439E-12
1.552728E+3,	380.998123E-12
1.552732E+3,	443.813717E-12
1.552736E+3,	504.891935E-12
1.552740E+3,	539.693058E-12
1.552744E+3,	542.700580E-12
1.552748E+3,	549.347178E-12
1.552752E+3,	551.926914E-12
1.552756E+3,	516.604800E-12
1.552760E+3,	486.462787E-12
1.552764E+3,	434.526944E-12
1.552768E+3,	368.278940E-12
1.552772E+3,	284.043253E-12
1.552776E+3,	234.168372E-12
1.552780E+3,	212.474571E-12
1.552784E+3,	138.561193E-12
1.552788E+3,	141.315955E-12
1.552792E+3,	143.571314E-12
1.552796E+3,	116.080190E-12
1.552800E+3,	152.082685E-12
1.552804E+3,	202.035709E-12
1.552808E+3,	242.969276E-12
1.552812E+3,	302.975224E-12
1.552816E+3,	381.848064E-12
1.552820E+3,	457.341481E-12
1.552824E+3,	552.550278E-12
1.552828E+3,	568.921117E-12
1.552832E+3,	617.894234E-12
1.552836E+3,	661.604720E-12
1.552840E+3,	644.414849E-12
1.552844E+3,	640.811798E-12
1.552848E+3,	604.948801E-12
1.552852E+3,	563.711705E-12
1.552856E+3,	493.513660E-12
1.552860E+3,	432.927957E-12
1.552864E+3,	366.686588E-12
1.552868E+3,	264.719797E-12
1.552872E+3,	190.871333E-12
1.552876E+3,	143.733648E-12
1.552880E+3,	108.738538E-12
1.552884E+3,	101.145002E-12
1.552888E+3,	96.419890E-12
1.552892E+3,	139.499876E-12
1.552896E+3,	163.641906E-12
1.552900E+3,	236.314787E-12
1.552904E+3,	319.628562E-12
1.552908E+3,	392.074363E-12
1.552912E+3,	459.404752E-12
1.552916E+3,	546.016788E-12
1.552920E+3,	654.948859E-12
1.552924E+3,	723.485459E-12
1.552928E+3,	762.567282E-12
1.552932E+3,	796.044675E-12
1.552936E+3,	807.124107E-12
1.552940E+3,	783.763026E-12
1.552944E+3,	772.770738E-12
1.552948E+3,	684.847224E-12
1.552952E+3,	609.475790E-12
1.552956E+3,	504.920040E-12
1.552960E+3,	400.795200E-12
1.552964E+3,	318.560343E-12
1.552968E+3,	249.953773E-12
1.552972E+3,	179.173785E-12
1.552976E+3,	113.259719E-12
1.552980E+3,	91.440068E-12
1.552984E+3,	96.317625E-12
1.552988E+3,	122.953559E-12
1.552992E+3,	186.866420E-12
