YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/07/2023 Time: 14:48:28,	
A_WL(nm),	A_I(mW)
1.553000E+3,	1.276696E-9
1.553004E+3,	1.228475E-9
1.553008E+3,	1.152089E-9
1.553012E+3,	1.065626E-9
1.553016E+3,	997.142256E-12
1.553020E+3,	898.482728E-12
1.553024E+3,	822.322986E-12
1.553028E+3,	754.256396E-12
1.553032E+3,	720.636802E-12
1.553036E+3,	653.573010E-12
1.553040E+3,	576.374443E-12
1.553044E+3,	537.270715E-12
1.553048E+3,	496.143423E-12
1.553052E+3,	483.706456E-12
1.553056E+3,	448.762695E-12
1.553060E+3,	470.976743E-12
1.553064E+3,	479.012554E-12
1.553068E+3,	516.571540E-12
1.553072E+3,	552.616723E-12
1.553076E+3,	629.241949E-12
1.553080E+3,	660.155168E-12
1.553084E+3,	742.719903E-12
1.553088E+3,	831.570871E-12
1.553092E+3,	954.239847E-12
1.553096E+3,	1.101685E-9
1.553100E+3,	1.218317E-9
1.553104E+3,	1.377216E-9
1.553108E+3,	1.520102E-9
1.553112E+3,	1.686928E-9
1.553116E+3,	1.794377E-9
1.553120E+3,	2.028550E-9
1.553124E+3,	2.191880E-9
1.553128E+3,	2.284094E-9
1.553132E+3,	2.435238E-9
1.553136E+3,	2.614179E-9
1.553140E+3,	2.727537E-9
1.553144E+3,	2.813479E-9
1.553148E+3,	2.921062E-9
1.553152E+3,	2.976451E-9
1.553156E+3,	3.017010E-9
1.553160E+3,	3.026858E-9
1.553164E+3,	3.048071E-9
1.553168E+3,	3.029816E-9
1.553172E+3,	2.971831E-9
1.553176E+3,	2.921602E-9
1.553180E+3,	2.824495E-9
1.553184E+3,	2.710364E-9
1.553188E+3,	2.586373E-9
1.553192E+3,	2.463217E-9
1.553196E+3,	2.331709E-9
1.553200E+3,	2.147934E-9
1.553204E+3,	1.962631E-9
1.553208E+3,	1.779519E-9
1.553212E+3,	1.637639E-9
1.553216E+3,	1.436825E-9
1.553220E+3,	1.275191E-9
1.553224E+3,	1.150637E-9
1.553228E+3,	1.005307E-9
1.553232E+3,	860.643439E-12
1.553236E+3,	717.201533E-12
1.553240E+3,	648.697380E-12
1.553244E+3,	591.277389E-12
1.553248E+3,	553.067007E-12
1.553252E+3,	560.988782E-12
1.553256E+3,	572.891913E-12
1.553260E+3,	634.590768E-12
1.553264E+3,	740.305461E-12
1.553268E+3,	874.993823E-12
1.553272E+3,	1.003369E-9
1.553276E+3,	1.204623E-9
1.553280E+3,	1.479117E-9
1.553284E+3,	1.754136E-9
1.553288E+3,	1.974766E-9
1.553292E+3,	2.236696E-9
1.553296E+3,	2.564317E-9
1.553300E+3,	2.866846E-9
1.553304E+3,	3.127651E-9
1.553308E+3,	3.423144E-9
1.553312E+3,	3.763391E-9
1.553316E+3,	4.067035E-9
1.553320E+3,	4.292870E-9
1.553324E+3,	4.524279E-9
1.553328E+3,	4.780055E-9
1.553332E+3,	4.985817E-9
1.553336E+3,	5.140227E-9
1.553340E+3,	5.276497E-9
1.553344E+3,	5.384372E-9
1.553348E+3,	5.436196E-9
1.553352E+3,	5.456311E-9
1.553356E+3,	5.446502E-9
1.553360E+3,	5.362758E-9
1.553364E+3,	5.267427E-9
1.553368E+3,	5.163359E-9
1.553372E+3,	4.948823E-9
1.553376E+3,	4.760004E-9
1.553380E+3,	4.552462E-9
1.553384E+3,	4.302403E-9
1.553388E+3,	3.967212E-9
1.553392E+3,	3.659981E-9
1.553396E+3,	3.405675E-9
1.553400E+3,	3.162386E-9
1.553404E+3,	2.839038E-9
1.553408E+3,	2.586408E-9
1.553412E+3,	2.394489E-9
1.553416E+3,	2.177307E-9
1.553420E+3,	1.978188E-9
1.553424E+3,	1.824656E-9
1.553428E+3,	1.770249E-9
1.553432E+3,	1.748482E-9
1.553436E+3,	1.753615E-9
1.553440E+3,	1.801847E-9
1.553444E+3,	1.925736E-9
1.553448E+3,	2.047516E-9
1.553452E+3,	2.283810E-9
1.553456E+3,	2.523368E-9
1.553460E+3,	2.766081E-9
1.553464E+3,	3.059619E-9
1.553468E+3,	3.454777E-9
1.553472E+3,	3.857318E-9
1.553476E+3,	4.202526E-9
1.553480E+3,	4.638190E-9
1.553484E+3,	5.160540E-9
1.553488E+3,	5.614425E-9
1.553492E+3,	6.001075E-9
1.553496E+3,	6.446565E-9
1.553500E+3,	6.927195E-9
1.553504E+3,	7.363040E-9
1.553508E+3,	7.670866E-9
1.553512E+3,	7.958476E-9
1.553516E+3,	8.274906E-9
1.553520E+3,	8.572942E-9
1.553524E+3,	8.735238E-9
1.553528E+3,	8.866239E-9
1.553532E+3,	8.922330E-9
1.553536E+3,	8.945333E-9
1.553540E+3,	8.891833E-9
1.553544E+3,	8.785149E-9
1.553548E+3,	8.614213E-9
1.553552E+3,	8.419949E-9
1.553556E+3,	8.187147E-9
1.553560E+3,	7.912047E-9
1.553564E+3,	7.574602E-9
1.553568E+3,	7.231110E-9
1.553572E+3,	6.921602E-9
1.553576E+3,	6.567625E-9
1.553580E+3,	6.140872E-9
1.553584E+3,	5.754163E-9
1.553588E+3,	5.435798E-9
1.553592E+3,	5.113539E-9
1.553596E+3,	4.747955E-9
1.553600E+3,	4.417726E-9
1.553604E+3,	4.158402E-9
1.553608E+3,	3.975609E-9
1.553612E+3,	3.747285E-9
1.553616E+3,	3.627509E-9
1.553620E+3,	3.575912E-9
1.553624E+3,	3.543557E-9
1.553628E+3,	3.644144E-9
1.553632E+3,	3.792016E-9
1.553636E+3,	3.985900E-9
1.553640E+3,	4.215845E-9
1.553644E+3,	4.593331E-9
1.553648E+3,	5.025178E-9
1.553652E+3,	5.429532E-9
1.553656E+3,	5.939497E-9
1.553660E+3,	6.600905E-9
1.553664E+3,	7.212480E-9
1.553668E+3,	7.723091E-9
1.553672E+3,	8.286177E-9
1.553676E+3,	9.085170E-9
1.553680E+3,	9.849462E-9
1.553684E+3,	10.413801E-9
1.553688E+3,	11.020083E-9
1.553692E+3,	11.744297E-9
1.553696E+3,	12.384876E-9
1.553700E+3,	12.856458E-9
1.553704E+3,	13.340229E-9
1.553708E+3,	13.951492E-9
1.553712E+3,	14.430263E-9
1.553716E+3,	14.779832E-9
1.553720E+3,	15.138965E-9
1.553724E+3,	15.474440E-9
1.553728E+3,	15.737606E-9
1.553732E+3,	15.892009E-9
1.553736E+3,	16.028453E-9
1.553740E+3,	16.101532E-9
1.553744E+3,	16.100243E-9
1.553748E+3,	16.015712E-9
1.553752E+3,	15.896966E-9
1.553756E+3,	15.627060E-9
1.553760E+3,	15.312537E-9
1.553764E+3,	15.043768E-9
1.553768E+3,	14.701315E-9
1.553772E+3,	14.190707E-9
1.553776E+3,	13.711845E-9
1.553780E+3,	13.270137E-9
1.553784E+3,	12.828160E-9
1.553788E+3,	12.218696E-9
1.553792E+3,	11.659252E-9
1.553796E+3,	11.183841E-9
1.553800E+3,	10.714351E-9
1.553804E+3,	10.165753E-9
1.553808E+3,	9.736430E-9
1.553812E+3,	9.399113E-9
1.553816E+3,	9.032276E-9
1.553820E+3,	8.664139E-9
1.553824E+3,	8.402932E-9
1.553828E+3,	8.227791E-9
1.553832E+3,	8.100912E-9
1.553836E+3,	8.058975E-9
1.553840E+3,	8.087146E-9
1.553844E+3,	8.197914E-9
1.553848E+3,	8.436482E-9
1.553852E+3,	8.747987E-9
1.553856E+3,	9.073138E-9
1.553860E+3,	9.533928E-9
1.553864E+3,	10.196073E-9
1.553868E+3,	10.915251E-9
1.553872E+3,	11.562377E-9
1.553876E+3,	12.371351E-9
1.553880E+3,	13.454012E-9
1.553884E+3,	14.540347E-9
1.553888E+3,	15.433199E-9
1.553892E+3,	16.411262E-9
1.553896E+3,	17.595906E-9
1.553900E+3,	18.773210E-9
1.553904E+3,	19.793643E-9
1.553908E+3,	20.864783E-9
1.553912E+3,	21.988348E-9
1.553916E+3,	22.990963E-9
1.553920E+3,	23.771463E-9
1.553924E+3,	24.566474E-9
1.553928E+3,	25.416192E-9
1.553932E+3,	26.073613E-9
1.553936E+3,	26.524809E-9
1.553940E+3,	26.888015E-9
1.553944E+3,	27.146311E-9
1.553948E+3,	27.249539E-9
1.553952E+3,	27.244989E-9
1.553956E+3,	27.102107E-9
1.553960E+3,	26.779228E-9
1.553964E+3,	26.359418E-9
1.553968E+3,	25.900573E-9
1.553972E+3,	25.265539E-9
1.553976E+3,	24.302865E-9
1.553980E+3,	23.374650E-9
1.553984E+3,	22.507347E-9
1.553988E+3,	21.469920E-9
1.553992E+3,	20.179767E-9
1.553996E+3,	18.999485E-9
1.554000E+3,	17.994769E-9
1.554004E+3,	16.826983E-9
1.554008E+3,	15.542536E-9
1.554012E+3,	14.433914E-9
1.554016E+3,	13.655983E-9
1.554020E+3,	12.907438E-9
1.554024E+3,	12.232543E-9
1.554028E+3,	11.786544E-9
1.554032E+3,	11.558844E-9
1.554036E+3,	11.532070E-9
1.554040E+3,	11.810566E-9
1.554044E+3,	12.339300E-9
1.554048E+3,	12.946040E-9
1.554052E+3,	13.797178E-9
1.554056E+3,	15.083286E-9
1.554060E+3,	16.587064E-9
1.554064E+3,	18.026177E-9
1.554068E+3,	19.842102E-9
1.554072E+3,	22.091220E-9
1.554076E+3,	24.277097E-9
1.554080E+3,	26.626067E-9
1.554084E+3,	29.006494E-9
1.554088E+3,	31.920997E-9
1.554092E+3,	34.518992E-9
1.554096E+3,	36.590523E-9
1.554100E+3,	38.815121E-9
1.554104E+3,	41.547036E-9
1.554108E+3,	43.963156E-9
1.554112E+3,	45.686529E-9
1.554116E+3,	47.717575E-9
1.554120E+3,	49.255867E-9
1.554124E+3,	50.318746E-9
1.554128E+3,	51.251434E-9
1.554132E+3,	51.921053E-9
1.554136E+3,	52.132166E-9
1.554140E+3,	51.987441E-9
1.554144E+3,	51.449332E-9
1.554148E+3,	50.393240E-9
1.554152E+3,	48.997605E-9
1.554156E+3,	47.482825E-9
1.554160E+3,	45.491926E-9
1.554164E+3,	42.763369E-9
1.554168E+3,	40.015722E-9
1.554172E+3,	37.661197E-9
1.554176E+3,	34.963587E-9
1.554180E+3,	31.466022E-9
1.554184E+3,	28.220368E-9
1.554188E+3,	25.627844E-9
1.554192E+3,	22.863010E-9
1.554196E+3,	19.746523E-9
1.554200E+3,	17.094587E-9
1.554204E+3,	15.101256E-9
1.554208E+3,	13.169410E-9
1.554212E+3,	11.293516E-9
1.554216E+3,	9.985654E-9
1.554220E+3,	9.315447E-9
1.554224E+3,	8.985447E-9
1.554228E+3,	9.208889E-9
1.554232E+3,	9.920852E-9
1.554236E+3,	11.011233E-9
1.554240E+3,	12.657963E-9
1.554244E+3,	15.167201E-9
1.554248E+3,	18.037809E-9
1.554252E+3,	20.828123E-9
1.554256E+3,	24.167093E-9
1.554260E+3,	28.360346E-9
1.554264E+3,	32.666688E-9
1.554268E+3,	36.557789E-9
1.554272E+3,	40.784259E-9
1.554276E+3,	45.741799E-9
1.554280E+3,	50.190999E-9
1.554284E+3,	53.536420E-9
1.554288E+3,	57.676445E-9
1.554292E+3,	61.292059E-9
1.554296E+3,	63.859476E-9
1.554300E+3,	66.187318E-9
1.554304E+3,	68.320933E-9
1.554308E+3,	69.792701E-9
1.554312E+3,	70.572422E-9
1.554316E+3,	70.888811E-9
1.554320E+3,	70.581731E-9
1.554324E+3,	69.693575E-9
1.554328E+3,	68.440302E-9
1.554332E+3,	66.576455E-9
1.554336E+3,	63.762300E-9
1.554340E+3,	60.858030E-9
1.554344E+3,	58.087782E-9
1.554348E+3,	54.552823E-9
1.554352E+3,	49.934800E-9
1.554356E+3,	45.524056E-9
1.554360E+3,	41.844197E-9
1.554364E+3,	37.899538E-9
1.554368E+3,	33.065991E-9
1.554372E+3,	28.637679E-9
1.554376E+3,	25.103169E-9
1.554380E+3,	21.424579E-9
1.554384E+3,	17.584155E-9
1.554388E+3,	14.541982E-9
1.554392E+3,	12.401558E-9
1.554396E+3,	10.245240E-9
1.554400E+3,	8.002142E-9
1.554404E+3,	6.408091E-9
1.554408E+3,	5.496601E-9
1.554412E+3,	4.827145E-9
1.554416E+3,	4.364204E-9
1.554420E+3,	4.269530E-9
1.554424E+3,	4.356900E-9
1.554428E+3,	4.669028E-9
1.554432E+3,	5.145871E-9
1.554436E+3,	5.699509E-9
1.554440E+3,	6.179241E-9
1.554444E+3,	6.908272E-9
1.554448E+3,	7.555039E-9
1.554452E+3,	8.041813E-9
1.554456E+3,	8.536676E-9
1.554460E+3,	9.033108E-9
1.554464E+3,	9.431344E-9
1.554468E+3,	9.692753E-9
