YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 12:05:40,	
A_WL(nm),	A_I(mW)
1.552600E+3,	17.888909E-12
1.552604E+3,	9.755722E-12
1.552608E+3,	26.696792E-12
1.552612E+3,	26.565201E-12
1.552616E+3,	31.143191E-12
1.552620E+3,	50.446525E-12
1.552624E+3,	70.193613E-12
1.552628E+3,	109.538225E-12
1.552632E+3,	152.434439E-12
1.552636E+3,	195.905395E-12
1.552640E+3,	218.640139E-12
1.552644E+3,	256.932893E-12
1.552648E+3,	262.469159E-12
1.552652E+3,	267.441739E-12
1.552656E+3,	276.391021E-12
1.552660E+3,	281.523462E-12
1.552664E+3,	244.920161E-12
1.552668E+3,	241.070688E-12
1.552672E+3,	188.862442E-12
1.552676E+3,	188.067727E-12
1.552680E+3,	168.926216E-12
1.552684E+3,	111.525111E-12
1.552688E+3,	80.256102E-12
1.552692E+3,	66.425775E-12
1.552696E+3,	22.180587E-12
1.552700E+3,	19.788576E-12
1.552704E+3,	42.740518E-12
1.552708E+3,	38.368751E-12
1.552712E+3,	41.633513E-12
1.552716E+3,	88.128721E-12
1.552720E+3,	130.595533E-12
1.552724E+3,	162.318056E-12
1.552728E+3,	196.798622E-12
1.552732E+3,	235.137542E-12
1.552736E+3,	275.381902E-12
1.552740E+3,	291.502847E-12
1.552744E+3,	329.037726E-12
1.552748E+3,	327.911501E-12
1.552752E+3,	318.132887E-12
1.552756E+3,	314.515288E-12
1.552760E+3,	293.478355E-12
1.552764E+3,	276.344893E-12
1.552768E+3,	215.936184E-12
1.552772E+3,	147.323767E-12
1.552776E+3,	161.783062E-12
1.552780E+3,	122.863451E-12
1.552784E+3,	58.203306E-12
1.552788E+3,	27.871272E-12
1.552792E+3,	11.329556E-12
1.552796E+3,	28.038406E-12
1.552800E+3,	34.754528E-12
1.552804E+3,	59.658417E-12
1.552808E+3,	71.424007E-12
1.552812E+3,	97.574202E-12
1.552816E+3,	175.625012E-12
1.552820E+3,	217.384824E-12
1.552824E+3,	260.046688E-12
1.552828E+3,	323.462614E-12
1.552832E+3,	344.637626E-12
1.552836E+3,	377.476839E-12
1.552840E+3,	371.366208E-12
1.552844E+3,	376.573922E-12
1.552848E+3,	395.447276E-12
1.552852E+3,	344.288499E-12
1.552856E+3,	306.026781E-12
1.552860E+3,	296.260604E-12
1.552864E+3,	236.390406E-12
1.552868E+3,	195.329635E-12
1.552872E+3,	128.206367E-12
1.552876E+3,	103.649055E-12
1.552880E+3,	75.893050E-12
1.552884E+3,	63.818528E-12
1.552888E+3,	47.716478E-12
1.552892E+3,	59.914356E-12
1.552896E+3,	53.486336E-12
1.552900E+3,	97.121050E-12
1.552904E+3,	128.982534E-12
1.552908E+3,	191.891951E-12
1.552912E+3,	237.779538E-12
1.552916E+3,	328.738371E-12
1.552920E+3,	387.643270E-12
1.552924E+3,	400.359351E-12
1.552928E+3,	455.958014E-12
1.552932E+3,	489.156009E-12
1.552936E+3,	502.344338E-12
1.552940E+3,	491.533827E-12
1.552944E+3,	475.038915E-12
1.552948E+3,	473.413434E-12
1.552952E+3,	437.785617E-12
1.552956E+3,	364.451036E-12
1.552960E+3,	302.128845E-12
1.552964E+3,	238.217552E-12
1.552968E+3,	184.159614E-12
1.552972E+3,	122.127628E-12
1.552976E+3,	94.126443E-12
1.552980E+3,	56.251516E-12
1.552984E+3,	31.867114E-12
1.552988E+3,	54.752077E-12
1.552992E+3,	94.847007E-12
1.552996E+3,	104.823801E-12
1.553000E+3,	173.267127E-12
1.553004E+3,	262.549808E-12
1.553008E+3,	326.955707E-12
1.553012E+3,	426.420138E-12
1.553016E+3,	497.598315E-12
1.553020E+3,	553.522629E-12
1.553024E+3,	620.902035E-12
1.553028E+3,	680.818518E-12
1.553032E+3,	684.290185E-12
1.553036E+3,	685.496706E-12
1.553040E+3,	632.650334E-12
1.553044E+3,	619.178639E-12
1.553048E+3,	547.065359E-12
1.553052E+3,	481.753835E-12
1.553056E+3,	415.512393E-12
1.553060E+3,	319.860834E-12
1.553064E+3,	234.735955E-12
1.553068E+3,	163.145972E-12
1.553072E+3,	115.621688E-12
1.553076E+3,	89.823856E-12
1.553080E+3,	59.375596E-12
1.553084E+3,	84.480264E-12
1.553088E+3,	130.789604E-12
1.553092E+3,	172.410222E-12
1.553096E+3,	268.023838E-12
1.553100E+3,	356.495631E-12
1.553104E+3,	451.344871E-12
1.553108E+3,	557.252805E-12
1.553112E+3,	686.678623E-12
1.553116E+3,	777.127638E-12
1.553120E+3,	828.801438E-12
1.553124E+3,	847.710695E-12
1.553128E+3,	875.966031E-12
1.553132E+3,	853.826925E-12
1.553136E+3,	814.735034E-12
1.553140E+3,	735.475202E-12
1.553144E+3,	635.578830E-12
1.553148E+3,	538.764657E-12
1.553152E+3,	441.374870E-12
1.553156E+3,	332.503621E-12
1.553160E+3,	225.326175E-12
1.553164E+3,	148.505635E-12
1.553168E+3,	98.184877E-12
1.553172E+3,	79.511923E-12
1.553176E+3,	71.158215E-12
1.553180E+3,	139.648453E-12
1.553184E+3,	195.832280E-12
1.553188E+3,	290.580095E-12
1.553192E+3,	439.958359E-12
1.553196E+3,	586.833900E-12
1.553200E+3,	724.107910E-12
1.553204E+3,	846.204995E-12
1.553208E+3,	1.004537E-9
1.553212E+3,	1.100545E-9
1.553216E+3,	1.169584E-9
1.553220E+3,	1.189700E-9
1.553224E+3,	1.197045E-9
1.553228E+3,	1.137257E-9
1.553232E+3,	1.082172E-9
1.553236E+3,	981.040301E-12
