YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 10:31:58,	
A_WL(nm),	A_I(mW)
1.553000E+3,	98.956415E-12
1.553004E+3,	77.428686E-12
1.553008E+3,	119.128058E-12
1.553012E+3,	165.113762E-12
1.553016E+3,	228.710053E-12
1.553020E+3,	286.935874E-12
1.553024E+3,	355.208921E-12
1.553028E+3,	421.979717E-12
1.553032E+3,	478.661105E-12
1.553036E+3,	536.928006E-12
1.553040E+3,	559.067883E-12
1.553044E+3,	592.257596E-12
1.553048E+3,	560.230491E-12
1.553052E+3,	501.967137E-12
1.553056E+3,	457.133144E-12
1.553060E+3,	374.787032E-12
1.553064E+3,	274.961123E-12
1.553068E+3,	210.553816E-12
1.553072E+3,	171.028377E-12
1.553076E+3,	139.774949E-12
1.553080E+3,	137.784244E-12
1.553084E+3,	143.699627E-12
1.553088E+3,	184.648018E-12
1.553092E+3,	250.842751E-12
1.553096E+3,	354.049237E-12
1.553100E+3,	448.091625E-12
1.553104E+3,	515.714203E-12
1.553108E+3,	602.846595E-12
1.553112E+3,	689.414584E-12
1.553116E+3,	730.616042E-12
1.553120E+3,	768.510426E-12
1.553124E+3,	778.214643E-12
1.553128E+3,	702.855034E-12
1.553132E+3,	639.207428E-12
1.553136E+3,	572.616143E-12
1.553140E+3,	486.812966E-12
1.553144E+3,	375.621411E-12
1.553148E+3,	272.218560E-12
1.553152E+3,	226.370585E-12
1.553156E+3,	177.740513E-12
1.553160E+3,	153.473077E-12
1.553164E+3,	187.253981E-12
1.553168E+3,	243.081779E-12
1.553172E+3,	323.601845E-12
1.553176E+3,	441.750700E-12
1.553180E+3,	541.950998E-12
1.553184E+3,	689.250720E-12
1.553188E+3,	798.394255E-12
1.553192E+3,	887.837990E-12
1.553196E+3,	923.804648E-12
1.553200E+3,	938.706170E-12
1.553204E+3,	915.599093E-12
1.553208E+3,	848.446137E-12
1.553212E+3,	775.922086E-12
1.553216E+3,	669.035180E-12
1.553220E+3,	532.523835E-12
1.553224E+3,	413.500999E-12
1.553228E+3,	326.058012E-12
1.553232E+3,	245.734191E-12
1.553236E+3,	202.735293E-12
1.553240E+3,	212.565812E-12
1.553244E+3,	225.333460E-12
1.553248E+3,	312.505987E-12
1.553252E+3,	447.528086E-12
1.553256E+3,	561.213174E-12
1.553260E+3,	698.579636E-12
1.553264E+3,	814.852938E-12
1.553268E+3,	947.052366E-12
1.553272E+3,	1.024927E-9
1.553276E+3,	1.098587E-9
1.553280E+3,	1.114269E-9
1.553284E+3,	1.107070E-9
1.553288E+3,	1.020778E-9
1.553292E+3,	940.218541E-12
1.553296E+3,	813.671944E-12
1.553300E+3,	648.575455E-12
1.553304E+3,	491.989343E-12
1.553308E+3,	393.557080E-12
1.553312E+3,	304.587549E-12
1.553316E+3,	259.826230E-12
1.553320E+3,	247.957020E-12
1.553324E+3,	306.937807E-12
1.553328E+3,	419.187895E-12
1.553332E+3,	592.290410E-12
1.553336E+3,	755.760049E-12
1.553340E+3,	924.313326E-12
1.553344E+3,	1.096054E-9
1.553348E+3,	1.252691E-9
1.553352E+3,	1.344788E-9
1.553356E+3,	1.397750E-9
1.553360E+3,	1.385024E-9
1.553364E+3,	1.292496E-9
1.553368E+3,	1.167756E-9
1.553372E+3,	1.049620E-9
1.553376E+3,	906.251320E-12
1.553380E+3,	696.734096E-12
1.553384E+3,	521.822225E-12
1.553388E+3,	437.744215E-12
1.553392E+3,	339.206651E-12
1.553396E+3,	315.781392E-12
1.553400E+3,	348.808414E-12
1.553404E+3,	401.453389E-12
1.553408E+3,	548.392520E-12
1.553412E+3,	744.033793E-12
1.553416E+3,	922.779684E-12
1.553420E+3,	1.066897E-9
1.553424E+3,	1.260386E-9
1.553428E+3,	1.408200E-9
1.553432E+3,	1.519343E-9
1.553436E+3,	1.519273E-9
1.553440E+3,	1.479939E-9
1.553444E+3,	1.370821E-9
1.553448E+3,	1.241897E-9
1.553452E+3,	1.066772E-9
1.553456E+3,	885.960565E-12
1.553460E+3,	672.017164E-12
1.553464E+3,	537.791881E-12
1.553468E+3,	469.616315E-12
1.553472E+3,	427.743523E-12
1.553476E+3,	485.851150E-12
1.553480E+3,	576.884817E-12
1.553484E+3,	731.032397E-12
1.553488E+3,	922.204352E-12
1.553492E+3,	1.210433E-9
1.553496E+3,	1.434044E-9
1.553500E+3,	1.609281E-9
1.553504E+3,	1.781714E-9
1.553508E+3,	1.929555E-9
1.553512E+3,	1.961111E-9
1.553516E+3,	1.954573E-9
1.553520E+3,	1.869208E-9
1.553524E+3,	1.713534E-9
1.553528E+3,	1.490825E-9
1.553532E+3,	1.282568E-9
1.553536E+3,	1.072533E-9
1.553540E+3,	791.709847E-12
1.553544E+3,	646.749535E-12
1.553548E+3,	571.372077E-12
1.553552E+3,	562.172444E-12
1.553556E+3,	663.065958E-12
1.553560E+3,	839.170704E-12
1.553564E+3,	1.061910E-9
1.553568E+3,	1.370264E-9
1.553572E+3,	1.765381E-9
1.553576E+3,	2.124409E-9
1.553580E+3,	2.377857E-9
1.553584E+3,	2.599251E-9
1.553588E+3,	2.793653E-9
1.553592E+3,	2.811447E-9
1.553596E+3,	2.712326E-9
1.553600E+3,	2.564009E-9
1.553604E+3,	2.237973E-9
1.553608E+3,	1.891958E-9
