YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 10:29:12,	
A_WL(nm),	A_I(mW)
1.553000E+3,	807.720498E-12
1.553004E+3,	828.819547E-12
1.553008E+3,	815.517290E-12
1.553012E+3,	804.732296E-12
1.553016E+3,	821.257628E-12
1.553020E+3,	811.711188E-12
1.553024E+3,	843.212085E-12
1.553028E+3,	831.646322E-12
1.553032E+3,	829.017792E-12
1.553036E+3,	809.097384E-12
1.553040E+3,	798.370897E-12
1.553044E+3,	796.523086E-12
1.553048E+3,	785.112537E-12
1.553052E+3,	812.248299E-12
1.553056E+3,	831.911740E-12
1.553060E+3,	838.841818E-12
1.553064E+3,	879.084044E-12
1.553068E+3,	890.422643E-12
1.553072E+3,	926.228839E-12
1.553076E+3,	974.335813E-12
1.553080E+3,	978.947156E-12
1.553084E+3,	1.026000E-9
1.553088E+3,	1.027003E-9
1.553092E+3,	1.041138E-9
1.553096E+3,	1.012772E-9
1.553100E+3,	1.019767E-9
1.553104E+3,	970.750730E-12
1.553108E+3,	963.248067E-12
1.553112E+3,	928.663840E-12
1.553116E+3,	899.244338E-12
1.553120E+3,	885.337610E-12
1.553124E+3,	866.224980E-12
1.553128E+3,	845.074279E-12
1.553132E+3,	815.937578E-12
1.553136E+3,	834.728085E-12
1.553140E+3,	877.444922E-12
1.553144E+3,	894.517276E-12
1.553148E+3,	952.157516E-12
1.553152E+3,	986.272568E-12
1.553156E+3,	1.044134E-9
1.553160E+3,	1.094096E-9
1.553164E+3,	1.123505E-9
1.553168E+3,	1.163357E-9
1.553172E+3,	1.169117E-9
1.553176E+3,	1.166069E-9
1.553180E+3,	1.175852E-9
1.553184E+3,	1.159956E-9
1.553188E+3,	1.107387E-9
1.553192E+3,	1.099499E-9
1.553196E+3,	1.052805E-9
1.553200E+3,	994.992301E-12
1.553204E+3,	925.125048E-12
1.553208E+3,	877.896063E-12
1.553212E+3,	878.700735E-12
1.553216E+3,	879.847002E-12
1.553220E+3,	867.684905E-12
1.553224E+3,	887.587903E-12
1.553228E+3,	908.289466E-12
1.553232E+3,	954.299508E-12
1.553236E+3,	991.874440E-12
1.553240E+3,	1.027593E-9
1.553244E+3,	1.039143E-9
1.553248E+3,	1.133304E-9
1.553252E+3,	1.154259E-9
1.553256E+3,	1.168486E-9
1.553260E+3,	1.181337E-9
1.553264E+3,	1.170650E-9
1.553268E+3,	1.130088E-9
1.553272E+3,	1.114025E-9
1.553276E+3,	1.118697E-9
1.553280E+3,	1.063644E-9
1.553284E+3,	1.032595E-9
1.553288E+3,	1.037080E-9
1.553292E+3,	1.041250E-9
1.553296E+3,	1.034759E-9
1.553300E+3,	1.028090E-9
1.553304E+3,	1.073449E-9
1.553308E+3,	1.110438E-9
1.553312E+3,	1.162728E-9
1.553316E+3,	1.248188E-9
1.553320E+3,	1.293843E-9
1.553324E+3,	1.337501E-9
1.553328E+3,	1.397629E-9
1.553332E+3,	1.429934E-9
1.553336E+3,	1.474035E-9
1.553340E+3,	1.457333E-9
1.553344E+3,	1.471646E-9
1.553348E+3,	1.485165E-9
1.553352E+3,	1.479514E-9
1.553356E+3,	1.453267E-9
1.553360E+3,	1.437026E-9
1.553364E+3,	1.372368E-9
1.553368E+3,	1.322692E-9
1.553372E+3,	1.301740E-9
1.553376E+3,	1.278712E-9
1.553380E+3,	1.277032E-9
1.553384E+3,	1.255217E-9
1.553388E+3,	1.280080E-9
1.553392E+3,	1.268464E-9
1.553396E+3,	1.279720E-9
1.553400E+3,	1.283183E-9
1.553404E+3,	1.302388E-9
1.553408E+3,	1.358809E-9
1.553412E+3,	1.372435E-9
1.553416E+3,	1.398650E-9
1.553420E+3,	1.419103E-9
1.553424E+3,	1.402298E-9
1.553428E+3,	1.423680E-9
1.553432E+3,	1.416546E-9
1.553436E+3,	1.428810E-9
1.553440E+3,	1.471973E-9
1.553444E+3,	1.459296E-9
1.553448E+3,	1.468194E-9
1.553452E+3,	1.509271E-9
1.553456E+3,	1.531731E-9
1.553460E+3,	1.534296E-9
1.553464E+3,	1.556508E-9
1.553468E+3,	1.552860E-9
1.553472E+3,	1.576967E-9
1.553476E+3,	1.598474E-9
1.553480E+3,	1.662958E-9
1.553484E+3,	1.674671E-9
1.553488E+3,	1.683898E-9
1.553492E+3,	1.680697E-9
1.553496E+3,	1.672563E-9
1.553500E+3,	1.654775E-9
1.553504E+3,	1.701094E-9
1.553508E+3,	1.749447E-9
1.553512E+3,	1.816168E-9
1.553516E+3,	1.827745E-9
1.553520E+3,	1.877598E-9
1.553524E+3,	1.932522E-9
1.553528E+3,	1.967944E-9
1.553532E+3,	2.028436E-9
1.553536E+3,	2.081620E-9
1.553540E+3,	2.194276E-9
1.553544E+3,	2.281031E-9
1.553548E+3,	2.316805E-9
1.553552E+3,	2.368786E-9
1.553556E+3,	2.363789E-9
1.553560E+3,	2.353237E-9
1.553564E+3,	2.317556E-9
1.553568E+3,	2.308533E-9
1.553572E+3,	2.267818E-9
1.553576E+3,	2.230423E-9
1.553580E+3,	2.228196E-9
1.553584E+3,	2.175777E-9
1.553588E+3,	2.132091E-9
1.553592E+3,	2.123995E-9
1.553596E+3,	2.107106E-9
1.553600E+3,	2.125023E-9
1.553604E+3,	2.153750E-9
1.553608E+3,	2.234304E-9
1.553612E+3,	2.293535E-9
1.553616E+3,	2.353525E-9
1.553620E+3,	2.450483E-9
1.553624E+3,	2.497616E-9
1.553628E+3,	2.495568E-9
1.553632E+3,	2.553984E-9
1.553636E+3,	2.595961E-9
1.553640E+3,	2.619102E-9
1.553644E+3,	2.619086E-9
1.553648E+3,	2.623747E-9
1.553652E+3,	2.600285E-9
1.553656E+3,	2.522513E-9
1.553660E+3,	2.480924E-9
1.553664E+3,	2.459323E-9
1.553668E+3,	2.429907E-9
1.553672E+3,	2.452028E-9
1.553676E+3,	2.502104E-9
1.553680E+3,	2.585492E-9
1.553684E+3,	2.691033E-9
1.553688E+3,	2.714292E-9
1.553692E+3,	2.827634E-9
1.553696E+3,	2.921449E-9
1.553700E+3,	3.030597E-9
1.553704E+3,	3.141352E-9
1.553708E+3,	3.224035E-9
1.553712E+3,	3.329186E-9
1.553716E+3,	3.361626E-9
1.553720E+3,	3.387420E-9
1.553724E+3,	3.397891E-9
1.553728E+3,	3.334140E-9
1.553732E+3,	3.269676E-9
1.553736E+3,	3.230518E-9
1.553740E+3,	3.208592E-9
1.553744E+3,	3.172662E-9
1.553748E+3,	3.165304E-9
1.553752E+3,	3.141594E-9
1.553756E+3,	3.152797E-9
1.553760E+3,	3.162251E-9
1.553764E+3,	3.215291E-9
1.553768E+3,	3.264036E-9
1.553772E+3,	3.383238E-9
1.553776E+3,	3.558136E-9
1.553780E+3,	3.699072E-9
1.553784E+3,	3.767101E-9
1.553788E+3,	3.823877E-9
1.553792E+3,	3.869211E-9
1.553796E+3,	3.863256E-9
1.553800E+3,	3.874375E-9
1.553804E+3,	3.854747E-9
1.553808E+3,	3.805762E-9
1.553812E+3,	3.754064E-9
1.553816E+3,	3.712993E-9
1.553820E+3,	3.622381E-9
1.553824E+3,	3.528902E-9
1.553828E+3,	3.447122E-9
1.553832E+3,	3.461588E-9
