YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 07/07/2023 Time: 10:31:33,	
A_WL(nm),	A_I(mW)
1.553000E+3,	365.501357E-12
1.553004E+3,	455.937774E-12
1.553008E+3,	539.484414E-12
1.553012E+3,	632.047708E-12
1.553016E+3,	667.853843E-12
1.553020E+3,	675.926540E-12
1.553024E+3,	699.150265E-12
1.553028E+3,	649.765150E-12
1.553032E+3,	584.018962E-12
1.553036E+3,	519.074626E-12
1.553040E+3,	435.234566E-12
1.553044E+3,	303.676627E-12
1.553048E+3,	209.516838E-12
1.553052E+3,	125.538815E-12
1.553056E+3,	95.408913E-12
1.553060E+3,	67.079327E-12
1.553064E+3,	84.767894E-12
1.553068E+3,	171.604960E-12
1.553072E+3,	244.579731E-12
1.553076E+3,	338.621962E-12
1.553080E+3,	475.117258E-12
1.553084E+3,	588.125988E-12
1.553088E+3,	684.804689E-12
1.553092E+3,	782.275353E-12
1.553096E+3,	862.972071E-12
1.553100E+3,	884.768105E-12
1.553104E+3,	878.953802E-12
1.553108E+3,	832.772760E-12
1.553112E+3,	757.487533E-12
1.553116E+3,	656.368497E-12
1.553120E+3,	549.085917E-12
1.553124E+3,	409.623412E-12
1.553128E+3,	275.610445E-12
1.553132E+3,	162.831654E-12
1.553136E+3,	141.973813E-12
1.553140E+3,	106.780106E-12
1.553144E+3,	127.334415E-12
1.553148E+3,	208.531318E-12
1.553152E+3,	295.979987E-12
1.553156E+3,	426.240538E-12
1.553160E+3,	619.272115E-12
1.553164E+3,	797.602424E-12
1.553168E+3,	935.384680E-12
1.553172E+3,	1.020273E-9
1.553176E+3,	1.114494E-9
1.553180E+3,	1.104656E-9
1.553184E+3,	1.109782E-9
1.553188E+3,	1.045236E-9
1.553192E+3,	929.219954E-12
1.553196E+3,	781.368440E-12
1.553200E+3,	612.701311E-12
1.553204E+3,	497.888694E-12
1.553208E+3,	301.692033E-12
1.553212E+3,	208.689110E-12
1.553216E+3,	142.579624E-12
1.553220E+3,	135.017911E-12
1.553224E+3,	191.783826E-12
1.553228E+3,	278.423290E-12
1.553232E+3,	408.793253E-12
1.553236E+3,	574.227051E-12
1.553240E+3,	821.229103E-12
1.553244E+3,	1.004606E-9
1.553248E+3,	1.151156E-9
1.553252E+3,	1.311035E-9
1.553256E+3,	1.386930E-9
1.553260E+3,	1.419089E-9
1.553264E+3,	1.379579E-9
1.553268E+3,	1.293382E-9
1.553272E+3,	1.119064E-9
1.553276E+3,	948.556947E-12
1.553280E+3,	763.372213E-12
1.553284E+3,	510.210075E-12
1.553288E+3,	316.002046E-12
1.553292E+3,	233.688544E-12
1.553296E+3,	166.209035E-12
1.553300E+3,	176.213535E-12
1.553304E+3,	257.292506E-12
1.553308E+3,	379.767254E-12
1.553312E+3,	579.074794E-12
1.553316E+3,	859.874064E-12
1.553320E+3,	1.118596E-9
1.553324E+3,	1.324678E-9
1.553328E+3,	1.511167E-9
1.553332E+3,	1.681664E-9
1.553336E+3,	1.768142E-9
1.553340E+3,	1.768408E-9
1.553344E+3,	1.686098E-9
1.553348E+3,	1.493365E-9
1.553352E+3,	1.278083E-9
1.553356E+3,	1.123423E-9
1.553360E+3,	883.906886E-12
1.553364E+3,	606.511373E-12
1.553368E+3,	411.098028E-12
1.553372E+3,	292.192409E-12
1.553376E+3,	219.407322E-12
1.553380E+3,	272.545440E-12
1.553384E+3,	373.349278E-12
1.553388E+3,	542.003022E-12
1.553392E+3,	760.273900E-12
1.553396E+3,	1.116595E-9
1.553400E+3,	1.417499E-9
1.553404E+3,	1.700821E-9
1.553408E+3,	1.888407E-9
1.553412E+3,	2.097081E-9
1.553416E+3,	2.161890E-9
1.553420E+3,	2.100612E-9
1.553424E+3,	1.991181E-9
1.553428E+3,	1.764418E-9
1.553432E+3,	1.486369E-9
1.553436E+3,	1.220424E-9
1.553440E+3,	935.599113E-12
1.553444E+3,	622.380317E-12
1.553448E+3,	404.789377E-12
1.553452E+3,	286.524374E-12
1.553456E+3,	253.481381E-12
1.553460E+3,	358.910830E-12
1.553464E+3,	562.395558E-12
1.553468E+3,	790.716796E-12
1.553472E+3,	1.124440E-9
1.553476E+3,	1.560592E-9
1.553480E+3,	1.978981E-9
1.553484E+3,	2.278114E-9
1.553488E+3,	2.566948E-9
1.553492E+3,	2.756918E-9
1.553496E+3,	2.854556E-9
1.553500E+3,	2.786112E-9
1.553504E+3,	2.640457E-9
1.553508E+3,	2.327186E-9
1.553512E+3,	1.928246E-9
1.553516E+3,	1.575046E-9
1.553520E+3,	1.171610E-9
1.553524E+3,	771.414578E-12
1.553528E+3,	495.508326E-12
1.553532E+3,	367.680945E-12
1.553536E+3,	369.272389E-12
1.553540E+3,	555.863842E-12
1.553544E+3,	896.066067E-12
1.553548E+3,	1.231087E-9
1.553552E+3,	1.710931E-9
1.553556E+3,	2.325298E-9
1.553560E+3,	2.907924E-9
1.553564E+3,	3.285773E-9
1.553568E+3,	3.610990E-9
1.553572E+3,	3.798931E-9
1.553576E+3,	3.807555E-9
1.553580E+3,	3.705739E-9
1.553584E+3,	3.414730E-9
1.553588E+3,	2.901682E-9
1.553592E+3,	2.374932E-9
1.553596E+3,	1.920873E-9
1.553600E+3,	1.434087E-9
1.553604E+3,	907.782709E-12
1.553608E+3,	582.411119E-12
1.553612E+3,	449.004417E-12
1.553616E+3,	467.347455E-12
1.553620E+3,	717.691972E-12
1.553624E+3,	1.133913E-9
1.553628E+3,	1.606079E-9
1.553632E+3,	2.201164E-9
1.553636E+3,	3.025563E-9
1.553640E+3,	3.732480E-9
1.553644E+3,	4.209276E-9
1.553648E+3,	4.652877E-9
1.553652E+3,	4.941768E-9
1.553656E+3,	4.974713E-9
1.553660E+3,	4.813020E-9
1.553664E+3,	4.465389E-9
