YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 17/07/2023 Time: 14:26:33,	
A_WL(nm),	A_I(mW)
1.555500E+3,	82.771837E-12
1.555504E+3,	58.470261E-12
1.555508E+3,	79.777205E-12
1.555512E+3,	65.974811E-12
1.555516E+3,	67.115668E-12
1.555520E+3,	72.431099E-12
1.555524E+3,	83.424193E-12
1.555528E+3,	79.646294E-12
1.555532E+3,	91.435620E-12
1.555536E+3,	64.650020E-12
1.555540E+3,	90.869971E-12
1.555544E+3,	93.266145E-12
1.555548E+3,	76.228508E-12
1.555552E+3,	103.029354E-12
1.555556E+3,	72.556067E-12
1.555560E+3,	79.593195E-12
1.555564E+3,	91.280525E-12
1.555568E+3,	96.556811E-12
1.555572E+3,	99.225446E-12
1.555576E+3,	93.113096E-12
1.555580E+3,	93.215983E-12
1.555584E+3,	101.256005E-12
1.555588E+3,	88.794148E-12
1.555592E+3,	91.088839E-12
1.555596E+3,	96.960591E-12
1.555600E+3,	83.462605E-12
1.555604E+3,	102.305734E-12
1.555608E+3,	126.570487E-12
1.555612E+3,	114.051324E-12
1.555616E+3,	101.635725E-12
1.555620E+3,	89.511574E-12
1.555624E+3,	75.956283E-12
1.555628E+3,	104.480459E-12
1.555632E+3,	85.970969E-12
1.555636E+3,	110.009983E-12
1.555640E+3,	118.816420E-12
1.555644E+3,	101.673163E-12
1.555648E+3,	110.157859E-12
1.555652E+3,	124.778904E-12
1.555656E+3,	112.179573E-12
1.555660E+3,	112.011103E-12
1.555664E+3,	119.619792E-12
1.555668E+3,	126.363182E-12
1.555672E+3,	111.131273E-12
1.555676E+3,	137.582166E-12
1.555680E+3,	126.971503E-12
1.555684E+3,	125.871933E-12
1.555688E+3,	134.318437E-12
1.555692E+3,	143.704010E-12
1.555696E+3,	128.598779E-12
1.555700E+3,	140.370218E-12
1.555704E+3,	132.684548E-12
1.555708E+3,	137.335191E-12
1.555712E+3,	141.694691E-12
1.555716E+3,	124.986560E-12
1.555720E+3,	151.298468E-12
1.555724E+3,	149.245129E-12
1.555728E+3,	147.002780E-12
1.555732E+3,	146.316739E-12
1.555736E+3,	152.272306E-12
1.555740E+3,	144.777608E-12
1.555744E+3,	143.170376E-12
1.555748E+3,	153.527132E-12
1.555752E+3,	179.840362E-12
1.555756E+3,	172.576065E-12
1.555760E+3,	167.386141E-12
1.555764E+3,	186.550582E-12
1.555768E+3,	184.251563E-12
1.555772E+3,	184.754228E-12
1.555776E+3,	182.410687E-12
1.555780E+3,	172.351277E-12
1.555784E+3,	184.237924E-12
1.555788E+3,	184.304637E-12
1.555792E+3,	186.269609E-12
1.555796E+3,	212.487977E-12
1.555800E+3,	199.010614E-12
1.555804E+3,	200.086079E-12
1.555808E+3,	206.773222E-12
1.555812E+3,	214.913547E-12
1.555816E+3,	239.966100E-12
1.555820E+3,	218.352593E-12
1.555824E+3,	240.818131E-12
1.555828E+3,	230.700223E-12
1.555832E+3,	238.293255E-12
1.555836E+3,	231.916971E-12
1.555840E+3,	259.970951E-12
1.555844E+3,	250.346476E-12
1.555848E+3,	273.329436E-12
1.555852E+3,	258.452909E-12
1.555856E+3,	255.304355E-12
1.555860E+3,	266.034580E-12
1.555864E+3,	245.537231E-12
1.555868E+3,	238.754627E-12
1.555872E+3,	249.872444E-12
1.555876E+3,	243.675814E-12
1.555880E+3,	263.273787E-12
1.555884E+3,	254.069715E-12
1.555888E+3,	280.996853E-12
1.555892E+3,	262.997537E-12
1.555896E+3,	282.731679E-12
1.555900E+3,	273.902512E-12
1.555904E+3,	278.511529E-12
1.555908E+3,	308.555129E-12
1.555912E+3,	327.871450E-12
1.555916E+3,	323.197036E-12
1.555920E+3,	326.814801E-12
1.555924E+3,	311.586672E-12
1.555928E+3,	327.305666E-12
1.555932E+3,	322.553077E-12
1.555936E+3,	314.097235E-12
1.555940E+3,	306.327825E-12
1.555944E+3,	318.555216E-12
1.555948E+3,	328.677240E-12
1.555952E+3,	324.758773E-12
1.555956E+3,	347.576856E-12
1.555960E+3,	320.520311E-12
1.555964E+3,	348.054834E-12
1.555968E+3,	346.600457E-12
1.555972E+3,	341.037335E-12
1.555976E+3,	347.768347E-12
1.555980E+3,	375.540672E-12
1.555984E+3,	349.969893E-12
1.555988E+3,	364.714009E-12
1.555992E+3,	392.773408E-12
1.555996E+3,	363.385177E-12
1.556000E+3,	381.878086E-12
1.556004E+3,	381.559265E-12
1.556008E+3,	369.035332E-12
1.556012E+3,	393.359293E-12
1.556016E+3,	370.003969E-12
1.556020E+3,	389.043848E-12
1.556024E+3,	390.917989E-12
1.556028E+3,	372.033830E-12
1.556032E+3,	380.996448E-12
1.556036E+3,	402.186670E-12
1.556040E+3,	397.174157E-12
1.556044E+3,	423.000313E-12
1.556048E+3,	384.701318E-12
1.556052E+3,	417.764420E-12
1.556056E+3,	426.393462E-12
1.556060E+3,	441.205110E-12
1.556064E+3,	421.311632E-12
1.556068E+3,	449.206493E-12
1.556072E+3,	455.165691E-12
1.556076E+3,	454.616517E-12
1.556080E+3,	464.874577E-12
1.556084E+3,	462.631290E-12
1.556088E+3,	452.873989E-12
1.556092E+3,	458.593321E-12
1.556096E+3,	444.212543E-12
1.556100E+3,	461.896640E-12
1.556104E+3,	461.295217E-12
1.556108E+3,	465.347950E-12
