YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 10/07/2023 Time: 12:43:39,	
A_WL(nm),	A_I(mW)
1.548700E+3,	210.137586E-12
1.548704E+3,	167.998423E-12
1.548708E+3,	198.858333E-12
1.548712E+3,	219.633495E-12
1.548716E+3,	276.725334E-12
1.548720E+3,	365.549010E-12
1.548724E+3,	506.833919E-12
1.548728E+3,	626.012457E-12
1.548732E+3,	722.318440E-12
1.548736E+3,	796.268477E-12
1.548740E+3,	841.544946E-12
1.548744E+3,	879.840678E-12
1.548748E+3,	871.036665E-12
1.548752E+3,	822.666128E-12
1.548756E+3,	723.574659E-12
1.548760E+3,	619.913622E-12
1.548764E+3,	470.818720E-12
1.548768E+3,	389.333353E-12
1.548772E+3,	292.758784E-12
1.548776E+3,	194.828074E-12
1.548780E+3,	158.721948E-12
1.548784E+3,	189.519549E-12
1.548788E+3,	217.808445E-12
1.548792E+3,	298.258000E-12
1.548796E+3,	405.493815E-12
1.548800E+3,	572.324946E-12
1.548804E+3,	738.771686E-12
1.548808E+3,	868.597760E-12
1.548812E+3,	1.005042E-9
1.548816E+3,	1.116468E-9
1.548820E+3,	1.180672E-9
1.548824E+3,	1.184813E-9
1.548828E+3,	1.147395E-9
1.548832E+3,	1.057328E-9
1.548836E+3,	893.604910E-12
1.548840E+3,	732.098823E-12
1.548844E+3,	546.743299E-12
1.548848E+3,	422.635175E-12
1.548852E+3,	294.574719E-12
1.548856E+3,	200.045621E-12
1.548860E+3,	189.331029E-12
1.548864E+3,	227.202254E-12
1.548868E+3,	304.953901E-12
1.548872E+3,	438.910058E-12
1.548876E+3,	649.745676E-12
1.548880E+3,	849.804830E-12
1.548884E+3,	1.039788E-9
1.548888E+3,	1.217597E-9
1.548892E+3,	1.364233E-9
1.548896E+3,	1.456664E-9
1.548900E+3,	1.490148E-9
1.548904E+3,	1.502824E-9
1.548908E+3,	1.419433E-9
1.548912E+3,	1.288337E-9
1.548916E+3,	1.076753E-9
1.548920E+3,	866.200058E-12
1.548924E+3,	723.293762E-12
1.548928E+3,	539.578812E-12
1.548932E+3,	413.208658E-12
1.548936E+3,	306.688909E-12
1.548940E+3,	273.948146E-12
1.548944E+3,	278.346946E-12
1.548948E+3,	372.519491E-12
1.548952E+3,	500.656440E-12
1.548956E+3,	723.419332E-12
1.548960E+3,	964.346060E-12
1.548964E+3,	1.131341E-9
1.548968E+3,	1.318755E-9
1.548972E+3,	1.464650E-9
1.548976E+3,	1.617289E-9
1.548980E+3,	1.661126E-9
1.548984E+3,	1.623292E-9
1.548988E+3,	1.517962E-9
1.548992E+3,	1.387982E-9
1.548996E+3,	1.215607E-9
1.549000E+3,	1.047159E-9
1.549004E+3,	845.467031E-12
1.549008E+3,	672.408596E-12
1.549012E+3,	545.783040E-12
1.549016E+3,	501.950613E-12
1.549020E+3,	470.680132E-12
1.549024E+3,	506.020907E-12
1.549028E+3,	629.630621E-12
1.549032E+3,	807.525311E-12
1.549036E+3,	1.024525E-9
1.549040E+3,	1.179115E-9
1.549044E+3,	1.380489E-9
1.549048E+3,	1.596731E-9
1.549052E+3,	1.760015E-9
1.549056E+3,	1.856742E-9
1.549060E+3,	1.877835E-9
1.549064E+3,	1.864527E-9
1.549068E+3,	1.751824E-9
1.549072E+3,	1.614202E-9
1.549076E+3,	1.462016E-9
1.549080E+3,	1.276885E-9
1.549084E+3,	1.096492E-9
1.549088E+3,	908.072192E-12
1.549092E+3,	799.080704E-12
1.549096E+3,	771.896716E-12
1.549100E+3,	791.918264E-12
1.549104E+3,	897.134148E-12
1.549108E+3,	1.075342E-9
1.549112E+3,	1.240710E-9
1.549116E+3,	1.439960E-9
1.549120E+3,	1.662679E-9
1.549124E+3,	1.883683E-9
1.549128E+3,	2.046125E-9
1.549132E+3,	2.094731E-9
1.549136E+3,	2.119672E-9
1.549140E+3,	2.057943E-9
1.549144E+3,	1.928744E-9
1.549148E+3,	1.789424E-9
1.549152E+3,	1.608746E-9
1.549156E+3,	1.416436E-9
1.549160E+3,	1.165050E-9
1.549164E+3,	997.281304E-12
1.549168E+3,	886.760401E-12
1.549172E+3,	829.909991E-12
1.549176E+3,	859.639364E-12
1.549180E+3,	992.355391E-12
1.549184E+3,	1.182146E-9
1.549188E+3,	1.400331E-9
1.549192E+3,	1.660599E-9
1.549196E+3,	1.965589E-9
1.549200E+3,	2.210933E-9
1.549204E+3,	2.370619E-9
1.549208E+3,	2.464626E-9
1.549212E+3,	2.478636E-9
1.549216E+3,	2.367224E-9
1.549220E+3,	2.140096E-9
1.549224E+3,	1.956611E-9
1.549228E+3,	1.646150E-9
1.549232E+3,	1.391130E-9
1.549236E+3,	1.052342E-9
1.549240E+3,	838.830728E-12
1.549244E+3,	705.829167E-12
1.549248E+3,	673.073660E-12
1.549252E+3,	785.459649E-12
1.549256E+3,	972.501940E-12
1.549260E+3,	1.201807E-9
1.549264E+3,	1.561935E-9
1.549268E+3,	1.926589E-9
1.549272E+3,	2.351551E-9
1.549276E+3,	2.728827E-9
1.549280E+3,	2.964402E-9
1.549284E+3,	3.171217E-9
1.549288E+3,	3.240225E-9
1.549292E+3,	3.168951E-9
1.549296E+3,	2.995842E-9
1.549300E+3,	2.762405E-9
1.549304E+3,	2.411627E-9
1.549308E+3,	1.937406E-9
1.549312E+3,	1.512547E-9
1.549316E+3,	1.187154E-9
1.549320E+3,	887.117765E-12
1.549324E+3,	684.106591E-12
1.549328E+3,	605.466254E-12
1.549332E+3,	732.520965E-12
1.549336E+3,	950.979727E-12
1.549340E+3,	1.264449E-9
1.549344E+3,	1.783350E-9
1.549348E+3,	2.315535E-9
1.549352E+3,	2.774996E-9
1.549356E+3,	3.233382E-9
1.549360E+3,	3.578811E-9
1.549364E+3,	3.812699E-9
1.549368E+3,	3.886971E-9
1.549372E+3,	3.794904E-9
1.549376E+3,	3.557671E-9
1.549380E+3,	3.221603E-9
1.549384E+3,	2.697447E-9
1.549388E+3,	2.164135E-9
1.549392E+3,	1.784462E-9
1.549396E+3,	1.378509E-9
1.549400E+3,	1.005186E-9
1.549404E+3,	781.830126E-12
1.549408E+3,	769.700690E-12
1.549412E+3,	832.536743E-12
1.549416E+3,	1.068336E-9
1.549420E+3,	1.526620E-9
1.549424E+3,	2.083494E-9
1.549428E+3,	2.553357E-9
1.549432E+3,	3.111599E-9
1.549436E+3,	3.645591E-9
1.549440E+3,	4.142693E-9
1.549444E+3,	4.446088E-9
1.549448E+3,	4.555280E-9
1.549452E+3,	4.552285E-9
1.549456E+3,	4.246646E-9
1.549460E+3,	3.814173E-9
1.549464E+3,	3.384273E-9
1.549468E+3,	2.848200E-9
1.549472E+3,	2.381423E-9
1.549476E+3,	1.883700E-9
1.549480E+3,	1.506371E-9
1.549484E+3,	1.334982E-9
