YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 10/07/2023 Time: 12:29:31,	
A_WL(nm),	A_I(mW)
1.548700E+3,	175.511526E-12
1.548704E+3,	161.935665E-12
1.548708E+3,	133.310303E-12
1.548712E+3,	105.039207E-12
1.548716E+3,	83.744763E-12
1.548720E+3,	63.828151E-12
1.548724E+3,	36.940566E-12
1.548728E+3,	47.064699E-12
1.548732E+3,	36.884292E-12
1.548736E+3,	39.862044E-12
1.548740E+3,	44.293841E-12
1.548744E+3,	54.560576E-12
1.548748E+3,	95.633782E-12
1.548752E+3,	105.536506E-12
1.548756E+3,	115.494802E-12
1.548760E+3,	118.444067E-12
1.548764E+3,	148.046916E-12
1.548768E+3,	152.268177E-12
1.548772E+3,	152.832682E-12
1.548776E+3,	138.356103E-12
1.548780E+3,	162.163063E-12
1.548784E+3,	117.659407E-12
1.548788E+3,	109.088679E-12
1.548792E+3,	79.721521E-12
1.548796E+3,	56.613675E-12
1.548800E+3,	39.697041E-12
1.548804E+3,	24.482478E-12
1.548808E+3,	38.336127E-12
1.548812E+3,	38.513431E-12
1.548816E+3,	31.801445E-12
1.548820E+3,	70.432694E-12
1.548824E+3,	110.395190E-12
1.548828E+3,	119.259779E-12
1.548832E+3,	139.899711E-12
1.548836E+3,	187.200671E-12
1.548840E+3,	176.904588E-12
1.548844E+3,	201.670021E-12
1.548848E+3,	205.887911E-12
1.548852E+3,	185.197175E-12
1.548856E+3,	166.437065E-12
1.548860E+3,	144.305792E-12
1.548864E+3,	128.991631E-12
1.548868E+3,	94.933750E-12
1.548872E+3,	61.412845E-12
1.548876E+3,	42.739499E-12
1.548880E+3,	35.090127E-12
1.548884E+3,	29.333058E-12
1.548888E+3,	62.196201E-12
1.548892E+3,	76.989124E-12
1.548896E+3,	77.972896E-12
1.548900E+3,	95.912559E-12
1.548904E+3,	126.006766E-12
1.548908E+3,	131.806753E-12
1.548912E+3,	165.947072E-12
1.548916E+3,	175.875822E-12
1.548920E+3,	178.285178E-12
1.548924E+3,	168.871086E-12
1.548928E+3,	163.707522E-12
1.548932E+3,	176.863887E-12
1.548936E+3,	137.905063E-12
1.548940E+3,	119.844095E-12
1.548944E+3,	112.831461E-12
1.548948E+3,	74.109555E-12
1.548952E+3,	50.748835E-12
1.548956E+3,	29.219981E-12
1.548960E+3,	44.186011E-12
1.548964E+3,	51.823947E-12
1.548968E+3,	21.557059E-12
1.548972E+3,	31.440671E-12
1.548976E+3,	59.968104E-12
1.548980E+3,	95.951135E-12
1.548984E+3,	110.743208E-12
1.548988E+3,	124.431144E-12
1.548992E+3,	186.309359E-12
1.548996E+3,	215.134758E-12
1.549000E+3,	225.868084E-12
1.549004E+3,	227.610110E-12
1.549008E+3,	216.710814E-12
1.549012E+3,	197.228585E-12
1.549016E+3,	177.407664E-12
1.549020E+3,	157.274919E-12
1.549024E+3,	128.459135E-12
1.549028E+3,	74.107224E-12
1.549032E+3,	79.189231E-12
1.549036E+3,	31.817314E-12
1.549040E+3,	26.179298E-12
1.549044E+3,	20.126782E-12
1.549048E+3,	30.645772E-12
1.549052E+3,	41.048733E-12
1.549056E+3,	79.835239E-12
1.549060E+3,	100.122103E-12
1.549064E+3,	133.929351E-12
1.549068E+3,	190.463783E-12
1.549072E+3,	204.158652E-12
1.549076E+3,	265.217318E-12
1.549080E+3,	255.117655E-12
1.549084E+3,	256.708076E-12
1.549088E+3,	256.963380E-12
1.549092E+3,	226.064224E-12
1.549096E+3,	205.559831E-12
1.549100E+3,	180.687746E-12
1.549104E+3,	151.603424E-12
1.549108E+3,	116.967491E-12
1.549112E+3,	64.278521E-12
1.549116E+3,	36.196166E-12
1.549120E+3,	52.315621E-12
1.549124E+3,	23.949971E-12
1.549128E+3,	39.794160E-12
1.549132E+3,	29.668154E-12
1.549136E+3,	48.369833E-12
1.549140E+3,	95.827388E-12
1.549144E+3,	129.317269E-12
1.549148E+3,	163.543520E-12
1.549152E+3,	182.316115E-12
1.549156E+3,	217.061161E-12
1.549160E+3,	241.446560E-12
1.549164E+3,	251.744002E-12
1.549168E+3,	260.512898E-12
1.549172E+3,	263.971571E-12
1.549176E+3,	222.295759E-12
1.549180E+3,	200.375926E-12
1.549184E+3,	177.481873E-12
1.549188E+3,	141.588724E-12
1.549192E+3,	104.642610E-12
1.549196E+3,	85.414412E-12
1.549200E+3,	46.045854E-12
1.549204E+3,	24.004382E-12
1.549208E+3,	58.451144E-12
1.549212E+3,	56.225495E-12
1.549216E+3,	99.348797E-12
1.549220E+3,	102.044796E-12
1.549224E+3,	144.510873E-12
1.549228E+3,	186.189151E-12
1.549232E+3,	245.479140E-12
1.549236E+3,	253.991122E-12
1.549240E+3,	299.079233E-12
1.549244E+3,	309.968408E-12
1.549248E+3,	296.135418E-12
1.549252E+3,	285.223566E-12
1.549256E+3,	257.837664E-12
1.549260E+3,	215.756101E-12
1.549264E+3,	187.157111E-12
1.549268E+3,	148.259432E-12
1.549272E+3,	95.401388E-12
1.549276E+3,	67.780322E-12
1.549280E+3,	64.705177E-12
1.549284E+3,	56.840593E-12
1.549288E+3,	53.026917E-12
1.549292E+3,	81.880852E-12
1.549296E+3,	101.936903E-12
1.549300E+3,	145.285157E-12
1.549304E+3,	164.099362E-12
1.549308E+3,	186.324123E-12
1.549312E+3,	244.883662E-12
1.549316E+3,	265.741866E-12
1.549320E+3,	298.959545E-12
1.549324E+3,	303.066148E-12
1.549328E+3,	291.959581E-12
1.549332E+3,	262.537275E-12
1.549336E+3,	257.857188E-12
1.549340E+3,	230.899790E-12
