YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 17/07/2023 Time: 14:59:17,	
A_WL(nm),	A_I(mW)
1.554300E+3,	5.668518E-12
1.554304E+3,	0.000000E+0
1.554308E+3,	15.231573E-12
1.554312E+3,	1.743347E-12
1.554316E+3,	16.891689E-12
1.554320E+3,	17.062148E-12
1.554324E+3,	17.275763E-12
1.554328E+3,	32.586723E-12
1.554332E+3,	21.500790E-12
1.554336E+3,	0.000000E+0
1.554340E+3,	0.000000E+0
1.554344E+3,	1.037304E-12
1.554348E+3,	8.260803E-12
1.554352E+3,	15.633836E-12
1.554356E+3,	16.932717E-12
1.554360E+3,	23.784825E-12
1.554364E+3,	0.000000E+0
1.554368E+3,	739.386674E-15
1.554372E+3,	13.871958E-12
1.554376E+3,	15.190690E-12
1.554380E+3,	4.075184E-12
1.554384E+3,	25.608571E-12
1.554388E+3,	6.869679E-12
1.554392E+3,	12.074347E-12
1.554396E+3,	15.700919E-12
1.554400E+3,	34.344154E-12
1.554404E+3,	5.272749E-12
1.554408E+3,	19.782945E-12
1.554412E+3,	7.272326E-12
1.554416E+3,	4.001455E-12
1.554420E+3,	26.558246E-12
1.554424E+3,	610.489774E-15
1.554428E+3,	9.007726E-12
1.554432E+3,	20.569086E-12
1.554436E+3,	19.114138E-12
1.554440E+3,	20.344966E-12
1.554444E+3,	21.861953E-12
1.554448E+3,	11.349207E-12
1.554452E+3,	5.033204E-12
1.554456E+3,	4.996037E-12
1.554460E+3,	3.631088E-12
1.554464E+3,	10.832815E-12
1.554468E+3,	16.907254E-12
1.554472E+3,	7.814075E-12
1.554476E+3,	11.956726E-12
1.554480E+3,	0.000000E+0
1.554484E+3,	34.196608E-12
1.554488E+3,	0.000000E+0
1.554492E+3,	14.321060E-12
1.554496E+3,	8.792752E-12
1.554500E+3,	0.000000E+0
1.554504E+3,	19.643364E-12
1.554508E+3,	6.619286E-12
1.554512E+3,	14.756090E-12
1.554516E+3,	4.217526E-12
1.554520E+3,	11.596382E-12
1.554524E+3,	13.796678E-12
1.554528E+3,	16.004090E-12
1.554532E+3,	8.549181E-12
1.554536E+3,	15.977051E-12
1.554540E+3,	18.305438E-12
1.554544E+3,	22.678184E-12
1.554548E+3,	7.377961E-12
1.554552E+3,	25.035840E-12
1.554556E+3,	7.575399E-12
1.554560E+3,	7.807346E-12
1.554564E+3,	27.183420E-12
1.554568E+3,	19.889079E-12
1.554572E+3,	29.772050E-12
1.554576E+3,	18.852821E-12
1.554580E+3,	14.086824E-12
1.554584E+3,	17.989791E-12
1.554588E+3,	0.000000E+0
1.554592E+3,	7.683649E-12
1.554596E+3,	39.948841E-12
1.554600E+3,	10.587212E-12
1.554604E+3,	14.296407E-12
1.554608E+3,	15.825471E-12
1.554612E+3,	24.678765E-12
1.554616E+3,	9.302166E-12
1.554620E+3,	7.788588E-12
1.554624E+3,	32.992675E-12
1.554628E+3,	41.436789E-12
1.554632E+3,	7.193642E-12
1.554636E+3,	11.667772E-12
1.554640E+3,	16.629070E-12
1.554644E+3,	6.434274E-12
1.554648E+3,	21.778896E-12
1.554652E+3,	7.790382E-12
1.554656E+3,	34.544379E-12
1.554660E+3,	8.560752E-12
1.554664E+3,	16.698011E-12
1.554668E+3,	26.354860E-12
1.554672E+3,	21.630344E-12
1.554676E+3,	9.070418E-12
1.554680E+3,	19.450533E-12
1.554684E+3,	28.783879E-12
1.554688E+3,	18.154704E-12
1.554692E+3,	23.676548E-12
1.554696E+3,	28.429350E-12
1.554700E+3,	16.077088E-12
1.554704E+3,	34.087136E-12
1.554708E+3,	23.643384E-12
1.554712E+3,	4.972751E-12
1.554716E+3,	0.000000E+0
1.554720E+3,	8.800988E-12
1.554724E+3,	5.328965E-12
1.554728E+3,	10.121476E-12
1.554732E+3,	11.388084E-12
1.554736E+3,	0.000000E+0
1.554740E+3,	20.665429E-12
1.554744E+3,	23.757373E-12
1.554748E+3,	35.796938E-12
1.554752E+3,	4.837701E-12
1.554756E+3,	1.119478E-12
1.554760E+3,	29.312517E-12
1.554764E+3,	7.369545E-12
1.554768E+3,	18.629290E-12
1.554772E+3,	5.329395E-12
1.554776E+3,	11.440679E-12
1.554780E+3,	19.814270E-12
1.554784E+3,	23.882381E-12
1.554788E+3,	32.145350E-12
1.554792E+3,	26.002811E-12
1.554796E+3,	24.781677E-12
1.554800E+3,	39.250025E-12
1.554804E+3,	20.404097E-12
1.554808E+3,	20.828192E-12
1.554812E+3,	27.276855E-12
1.554816E+3,	16.551289E-12
1.554820E+3,	41.259379E-12
1.554824E+3,	27.608592E-12
1.554828E+3,	22.999377E-12
1.554832E+3,	20.913368E-12
1.554836E+3,	23.537810E-12
1.554840E+3,	35.913411E-12
1.554844E+3,	18.492111E-12
1.554848E+3,	49.220089E-12
1.554852E+3,	37.419102E-12
1.554856E+3,	22.142622E-12
1.554860E+3,	13.487631E-12
1.554864E+3,	23.256717E-12
1.554868E+3,	28.367969E-12
1.554872E+3,	48.209396E-12
1.554876E+3,	21.383918E-12
1.554880E+3,	25.452790E-12
1.554884E+3,	26.556017E-12
1.554888E+3,	19.303102E-12
1.554892E+3,	30.679974E-12
1.554896E+3,	31.564021E-12
1.554900E+3,	29.810276E-12
1.554904E+3,	50.941822E-12
1.554908E+3,	14.084455E-12
1.554912E+3,	22.993032E-12
1.554916E+3,	22.301894E-12
1.554920E+3,	43.693325E-12
1.554924E+3,	32.718105E-12
1.554928E+3,	11.216563E-12
1.554932E+3,	3.683929E-12
1.554936E+3,	31.357850E-12
1.554940E+3,	34.216673E-12
1.554944E+3,	43.317076E-12
1.554948E+3,	2.154505E-12
1.554952E+3,	27.003791E-12
1.554956E+3,	48.192708E-12
1.554960E+3,	42.120256E-12
1.554964E+3,	34.596298E-12
1.554968E+3,	35.201245E-12
1.554972E+3,	28.401638E-12
1.554976E+3,	30.101075E-12
1.554980E+3,	25.491157E-12
1.554984E+3,	31.446867E-12
1.554988E+3,	23.896756E-12
1.554992E+3,	46.119986E-12
1.554996E+3,	50.664060E-12
1.555000E+3,	40.656128E-12
1.555004E+3,	48.316396E-12
1.555008E+3,	44.094148E-12
1.555012E+3,	42.352571E-12
1.555016E+3,	49.261552E-12
1.555020E+3,	17.842137E-12
1.555024E+3,	43.115056E-12
1.555028E+3,	16.313120E-12
1.555032E+3,	22.969929E-12
1.555036E+3,	27.145060E-12
1.555040E+3,	25.944544E-12
1.555044E+3,	28.843591E-12
1.555048E+3,	39.789912E-12
1.555052E+3,	49.561421E-12
1.555056E+3,	34.337496E-12
1.555060E+3,	43.516265E-12
1.555064E+3,	43.189426E-12
1.555068E+3,	55.799698E-12
1.555072E+3,	35.342341E-12
1.555076E+3,	16.857751E-12
1.555080E+3,	39.226671E-12
1.555084E+3,	42.936515E-12
1.555088E+3,	58.579649E-12
1.555092E+3,	24.211750E-12
1.555096E+3,	35.881373E-12
1.555100E+3,	47.070167E-12
1.555104E+3,	37.102435E-12
1.555108E+3,	32.084206E-12
1.555112E+3,	34.795983E-12
1.555116E+3,	36.961053E-12
1.555120E+3,	48.295514E-12
1.555124E+3,	30.522268E-12
1.555128E+3,	53.986945E-12
1.555132E+3,	71.948114E-12
1.555136E+3,	55.341237E-12
1.555140E+3,	36.432458E-12
1.555144E+3,	51.182140E-12
1.555148E+3,	46.571312E-12
1.555152E+3,	48.623849E-12
1.555156E+3,	61.320719E-12
1.555160E+3,	42.225627E-12
1.555164E+3,	58.340162E-12
1.555168E+3,	36.522285E-12
1.555172E+3,	45.913082E-12
1.555176E+3,	76.387984E-12
1.555180E+3,	44.675894E-12
1.555184E+3,	59.911213E-12
1.555188E+3,	61.543452E-12
1.555192E+3,	47.266090E-12
1.555196E+3,	35.047860E-12
1.555200E+3,	66.915429E-12
1.555204E+3,	59.010916E-12
1.555208E+3,	41.533722E-12
1.555212E+3,	48.272880E-12
1.555216E+3,	66.385937E-12
1.555220E+3,	43.329787E-12
1.555224E+3,	63.561972E-12
1.555228E+3,	70.486106E-12
1.555232E+3,	77.545302E-12
1.555236E+3,	51.726452E-12
1.555240E+3,	55.790255E-12
1.555244E+3,	47.756081E-12
1.555248E+3,	32.207134E-12
1.555252E+3,	56.649191E-12
1.555256E+3,	45.259089E-12
1.555260E+3,	50.906603E-12
1.555264E+3,	61.618967E-12
1.555268E+3,	44.250774E-12
1.555272E+3,	38.539484E-12
1.555276E+3,	72.160513E-12
1.555280E+3,	63.260965E-12
1.555284E+3,	58.380487E-12
1.555288E+3,	46.490271E-12
1.555292E+3,	71.824690E-12
1.555296E+3,	53.636620E-12
1.555300E+3,	54.178245E-12
1.555304E+3,	49.827701E-12
1.555308E+3,	12.822335E-12
1.555312E+3,	77.640949E-12
1.555316E+3,	54.433573E-12
1.555320E+3,	76.431185E-12
1.555324E+3,	51.146719E-12
1.555328E+3,	50.473223E-12
1.555332E+3,	38.947099E-12
1.555336E+3,	48.810618E-12
1.555340E+3,	60.821463E-12
1.555344E+3,	71.881550E-12
1.555348E+3,	56.132873E-12
1.555352E+3,	40.726244E-12
1.555356E+3,	61.695973E-12
1.555360E+3,	36.228024E-12
1.555364E+3,	58.470220E-12
1.555368E+3,	44.172190E-12
1.555372E+3,	70.702238E-12
1.555376E+3,	53.044717E-12
1.555380E+3,	67.806035E-12
1.555384E+3,	39.380907E-12
1.555388E+3,	72.867814E-12
1.555392E+3,	76.901347E-12
1.555396E+3,	59.244145E-12
1.555400E+3,	46.609046E-12
1.555404E+3,	42.709440E-12
1.555408E+3,	69.875297E-12
1.555412E+3,	60.731439E-12
1.555416E+3,	53.299892E-12
1.555420E+3,	45.283720E-12
1.555424E+3,	61.776070E-12
1.555428E+3,	62.374740E-12
1.555432E+3,	66.088173E-12
1.555436E+3,	60.135412E-12
1.555440E+3,	79.760533E-12
1.555444E+3,	84.736477E-12
1.555448E+3,	78.044098E-12
1.555452E+3,	79.774129E-12
1.555456E+3,	97.912673E-12
1.555460E+3,	78.155555E-12
1.555464E+3,	87.542016E-12
1.555468E+3,	79.098957E-12
1.555472E+3,	80.362908E-12
1.555476E+3,	72.807893E-12
1.555480E+3,	81.708195E-12
1.555484E+3,	51.901678E-12
1.555488E+3,	81.614710E-12
1.555492E+3,	51.136767E-12
1.555496E+3,	72.882685E-12
1.555500E+3,	67.297242E-12
1.555504E+3,	77.617395E-12
1.555508E+3,	91.583190E-12
1.555512E+3,	74.614990E-12
1.555516E+3,	83.570681E-12
1.555520E+3,	104.768394E-12
1.555524E+3,	81.457855E-12
1.555528E+3,	92.049664E-12
1.555532E+3,	107.501922E-12
1.555536E+3,	80.012614E-12
1.555540E+3,	69.137503E-12
1.555544E+3,	91.325393E-12
1.555548E+3,	89.800953E-12
1.555552E+3,	109.370804E-12
1.555556E+3,	93.061199E-12
1.555560E+3,	78.438686E-12
1.555564E+3,	95.452993E-12
1.555568E+3,	101.051172E-12
1.555572E+3,	109.771679E-12
1.555576E+3,	126.506722E-12
1.555580E+3,	107.847855E-12
1.555584E+3,	107.061997E-12
1.555588E+3,	107.812131E-12
1.555592E+3,	123.245087E-12
1.555596E+3,	109.756382E-12
1.555600E+3,	109.157630E-12
1.555604E+3,	110.234368E-12
1.555608E+3,	130.436512E-12
1.555612E+3,	127.130799E-12
1.555616E+3,	131.234569E-12
1.555620E+3,	105.424922E-12
1.555624E+3,	98.926758E-12
1.555628E+3,	133.325561E-12
1.555632E+3,	126.729268E-12
1.555636E+3,	120.129286E-12
1.555640E+3,	131.790928E-12
1.555644E+3,	156.779161E-12
1.555648E+3,	127.719456E-12
1.555652E+3,	119.021936E-12
1.555656E+3,	121.850172E-12
1.555660E+3,	135.022322E-12
1.555664E+3,	147.846986E-12
1.555668E+3,	143.779184E-12
1.555672E+3,	136.987882E-12
1.555676E+3,	140.285867E-12
1.555680E+3,	135.172109E-12
1.555684E+3,	147.531706E-12
1.555688E+3,	158.757978E-12
1.555692E+3,	126.760408E-12
1.555696E+3,	133.500313E-12
1.555700E+3,	155.893198E-12
1.555704E+3,	152.391821E-12
1.555708E+3,	147.458916E-12
1.555712E+3,	157.364526E-12
1.555716E+3,	152.691400E-12
1.555720E+3,	170.649532E-12
1.555724E+3,	161.971507E-12
1.555728E+3,	159.387931E-12
1.555732E+3,	166.379458E-12
1.555736E+3,	174.870212E-12
1.555740E+3,	149.948873E-12
1.555744E+3,	166.454402E-12
1.555748E+3,	178.197021E-12
1.555752E+3,	154.847971E-12
1.555756E+3,	155.236421E-12
1.555760E+3,	172.524634E-12
1.555764E+3,	164.840193E-12
1.555768E+3,	173.440342E-12
1.555772E+3,	191.179359E-12
1.555776E+3,	172.913126E-12
1.555780E+3,	178.703090E-12
1.555784E+3,	165.837100E-12
1.555788E+3,	166.188950E-12
1.555792E+3,	185.899717E-12
1.555796E+3,	165.561878E-12
1.555800E+3,	183.484024E-12
1.555804E+3,	173.445004E-12
1.555808E+3,	159.055040E-12
1.555812E+3,	162.305052E-12
1.555816E+3,	190.702653E-12
1.555820E+3,	164.601201E-12
1.555824E+3,	205.110360E-12
1.555828E+3,	197.939233E-12
1.555832E+3,	202.985611E-12
1.555836E+3,	217.114497E-12
1.555840E+3,	205.290508E-12
1.555844E+3,	172.399928E-12
1.555848E+3,	163.589551E-12
1.555852E+3,	201.578043E-12
1.555856E+3,	196.444621E-12
1.555860E+3,	212.336485E-12
1.555864E+3,	191.026729E-12
1.555868E+3,	203.527562E-12
1.555872E+3,	214.844445E-12
1.555876E+3,	211.793422E-12
1.555880E+3,	205.129874E-12
1.555884E+3,	236.154575E-12
1.555888E+3,	222.108910E-12
1.555892E+3,	210.254310E-12
1.555896E+3,	217.611156E-12
1.555900E+3,	218.721519E-12
1.555904E+3,	210.326408E-12
1.555908E+3,	199.739688E-12
1.555912E+3,	212.058328E-12
1.555916E+3,	191.230642E-12
1.555920E+3,	218.450035E-12
1.555924E+3,	227.639429E-12
1.555928E+3,	222.539504E-12
1.555932E+3,	252.362006E-12
1.555936E+3,	260.654982E-12
1.555940E+3,	259.870431E-12
1.555944E+3,	279.057892E-12
1.555948E+3,	280.756304E-12
1.555952E+3,	268.294667E-12
1.555956E+3,	244.083040E-12
1.555960E+3,	242.845261E-12
1.555964E+3,	245.672179E-12
1.555968E+3,	243.520352E-12
1.555972E+3,	224.709950E-12
1.555976E+3,	254.943368E-12
1.555980E+3,	283.214146E-12
1.555984E+3,	286.327054E-12
1.555988E+3,	311.756266E-12
1.555992E+3,	317.851346E-12
1.555996E+3,	342.451476E-12
1.556000E+3,	339.805921E-12
1.556004E+3,	345.684481E-12
1.556008E+3,	342.285659E-12
1.556012E+3,	337.612863E-12
1.556016E+3,	319.213980E-12
1.556020E+3,	320.473067E-12
1.556024E+3,	347.806580E-12
1.556028E+3,	315.710205E-12
1.556032E+3,	350.012194E-12
1.556036E+3,	337.184743E-12
1.556040E+3,	350.247148E-12
1.556044E+3,	386.417610E-12
1.556048E+3,	415.998053E-12
1.556052E+3,	423.846459E-12
1.556056E+3,	422.066925E-12
1.556060E+3,	412.798113E-12
1.556064E+3,	434.337834E-12
1.556068E+3,	452.760959E-12
1.556072E+3,	444.019430E-12
1.556076E+3,	459.742735E-12
1.556080E+3,	453.632766E-12
1.556084E+3,	444.276201E-12
1.556088E+3,	474.283839E-12
1.556092E+3,	482.684455E-12
1.556096E+3,	479.471318E-12
1.556100E+3,	488.487385E-12
1.556104E+3,	491.545661E-12
1.556108E+3,	516.034527E-12
1.556112E+3,	501.038649E-12
1.556116E+3,	514.136051E-12
1.556120E+3,	513.115550E-12
1.556124E+3,	509.080106E-12
1.556128E+3,	495.587561E-12
1.556132E+3,	517.873149E-12
1.556136E+3,	558.159691E-12
1.556140E+3,	550.177722E-12
1.556144E+3,	575.625423E-12
1.556148E+3,	621.283472E-12
1.556152E+3,	583.568141E-12
1.556156E+3,	609.537174E-12
1.556160E+3,	631.535200E-12
1.556164E+3,	616.310140E-12
1.556168E+3,	614.725240E-12
1.556172E+3,	633.195663E-12
1.556176E+3,	600.808527E-12
1.556180E+3,	635.058585E-12
1.556184E+3,	634.147421E-12
1.556188E+3,	617.360091E-12
1.556192E+3,	634.082598E-12
1.556196E+3,	655.944777E-12
1.556200E+3,	659.698813E-12
1.556204E+3,	668.745501E-12
1.556208E+3,	691.303663E-12
1.556212E+3,	704.479899E-12
1.556216E+3,	705.948962E-12
1.556220E+3,	713.317479E-12
1.556224E+3,	723.130298E-12
1.556228E+3,	713.201869E-12
1.556232E+3,	732.359899E-12
1.556236E+3,	720.652459E-12
1.556240E+3,	717.829906E-12
1.556244E+3,	736.414627E-12
1.556248E+3,	734.918818E-12
1.556252E+3,	729.031048E-12
1.556256E+3,	751.837451E-12
1.556260E+3,	744.263004E-12
1.556264E+3,	740.333028E-12
1.556268E+3,	738.842015E-12
1.556272E+3,	747.359104E-12
1.556276E+3,	744.169328E-12
1.556280E+3,	720.001076E-12
1.556284E+3,	707.435143E-12
1.556288E+3,	742.650691E-12
1.556292E+3,	745.131983E-12
1.556296E+3,	758.814802E-12
1.556300E+3,	796.629041E-12
1.556304E+3,	796.238224E-12
1.556308E+3,	827.874906E-12
1.556312E+3,	824.045768E-12
1.556316E+3,	808.842671E-12
1.556320E+3,	830.597495E-12
1.556324E+3,	790.945945E-12
1.556328E+3,	769.980354E-12
1.556332E+3,	754.751222E-12
1.556336E+3,	734.956498E-12
1.556340E+3,	728.122212E-12
1.556344E+3,	696.966367E-12
1.556348E+3,	689.269296E-12
1.556352E+3,	679.248784E-12
1.556356E+3,	705.272055E-12
1.556360E+3,	678.996217E-12
1.556364E+3,	721.025956E-12
1.556368E+3,	723.484539E-12
1.556372E+3,	705.132116E-12
1.556376E+3,	701.174950E-12
1.556380E+3,	680.863578E-12
1.556384E+3,	668.659372E-12
1.556388E+3,	634.544797E-12
1.556392E+3,	644.112364E-12
1.556396E+3,	611.998886E-12
1.556400E+3,	611.524578E-12
1.556404E+3,	614.311966E-12
1.556408E+3,	590.905772E-12
1.556412E+3,	587.212922E-12
1.556416E+3,	576.600728E-12
1.556420E+3,	535.399376E-12
1.556424E+3,	542.101502E-12
1.556428E+3,	504.787795E-12
1.556432E+3,	455.744461E-12
1.556436E+3,	414.392295E-12
1.556440E+3,	419.263254E-12
1.556444E+3,	385.459052E-12
1.556448E+3,	398.693908E-12
1.556452E+3,	365.785379E-12
1.556456E+3,	364.650643E-12
1.556460E+3,	375.010467E-12
1.556464E+3,	406.824882E-12
