YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/07/2023 Time: 15:19:20,	
A_WL(nm),	A_I(mW)
1.555000E+3,	0.000000E+0
1.555004E+3,	0.000000E+0
1.555008E+3,	0.000000E+0
1.555012E+3,	19.175798E-12
1.555016E+3,	0.000000E+0
1.555020E+3,	3.658942E-12
1.555024E+3,	4.057300E-12
1.555028E+3,	1.416451E-12
1.555032E+3,	4.945553E-12
1.555036E+3,	0.000000E+0
1.555040E+3,	4.342082E-12
1.555044E+3,	10.037036E-12
1.555048E+3,	0.000000E+0
1.555052E+3,	0.000000E+0
1.555056E+3,	0.000000E+0
1.555060E+3,	2.335576E-12
1.555064E+3,	0.000000E+0
1.555068E+3,	3.366457E-12
1.555072E+3,	1.228306E-12
1.555076E+3,	0.000000E+0
1.555080E+3,	0.000000E+0
1.555084E+3,	0.000000E+0
1.555088E+3,	3.608589E-12
1.555092E+3,	0.000000E+0
1.555096E+3,	9.107922E-12
1.555100E+3,	5.388770E-12
1.555104E+3,	17.312444E-12
1.555108E+3,	0.000000E+0
1.555112E+3,	3.418111E-12
1.555116E+3,	1.589909E-12
1.555120E+3,	3.844232E-12
1.555124E+3,	5.714006E-12
1.555128E+3,	0.000000E+0
1.555132E+3,	0.000000E+0
1.555136E+3,	11.610381E-12
1.555140E+3,	20.697515E-12
1.555144E+3,	0.000000E+0
1.555148E+3,	9.478297E-12
1.555152E+3,	3.101688E-12
1.555156E+3,	0.000000E+0
1.555160E+3,	5.296237E-12
1.555164E+3,	27.044015E-12
1.555168E+3,	0.000000E+0
1.555172E+3,	0.000000E+0
1.555176E+3,	0.000000E+0
1.555180E+3,	498.322758E-15
1.555184E+3,	7.395056E-12
1.555188E+3,	5.947769E-12
1.555192E+3,	0.000000E+0
1.555196E+3,	8.421560E-12
1.555200E+3,	0.000000E+0
1.555204E+3,	13.288160E-12
1.555208E+3,	6.181373E-12
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	0.000000E+0
1.555224E+3,	0.000000E+0
1.555228E+3,	0.000000E+0
1.555232E+3,	0.000000E+0
1.555236E+3,	0.000000E+0
1.555240E+3,	0.000000E+0
1.555244E+3,	0.000000E+0
1.555248E+3,	0.000000E+0
1.555252E+3,	1.654270E-12
1.555256E+3,	26.089444E-12
1.555260E+3,	3.738689E-12
1.555264E+3,	0.000000E+0
1.555268E+3,	10.522635E-12
1.555272E+3,	0.000000E+0
1.555276E+3,	0.000000E+0
1.555280E+3,	4.647912E-12
1.555284E+3,	29.775724E-12
1.555288E+3,	26.693103E-12
1.555292E+3,	14.047338E-12
1.555296E+3,	0.000000E+0
1.555300E+3,	18.848925E-12
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	17.842533E-12
1.555316E+3,	4.039308E-12
1.555320E+3,	5.204832E-12
1.555324E+3,	0.000000E+0
1.555328E+3,	1.301078E-12
1.555332E+3,	292.565246E-15
1.555336E+3,	0.000000E+0
1.555340E+3,	0.000000E+0
1.555344E+3,	0.000000E+0
1.555348E+3,	359.250223E-15
1.555352E+3,	20.223327E-12
1.555356E+3,	24.644124E-12
1.555360E+3,	5.628479E-12
1.555364E+3,	0.000000E+0
1.555368E+3,	464.567073E-15
1.555372E+3,	6.824332E-12
1.555376E+3,	10.542690E-12
1.555380E+3,	2.993865E-12
1.555384E+3,	0.000000E+0
1.555388E+3,	0.000000E+0
1.555392E+3,	0.000000E+0
1.555396E+3,	0.000000E+0
1.555400E+3,	6.613433E-12
1.555404E+3,	0.000000E+0
1.555408E+3,	0.000000E+0
1.555412E+3,	0.000000E+0
1.555416E+3,	0.000000E+0
1.555420E+3,	3.873853E-12
1.555424E+3,	0.000000E+0
1.555428E+3,	0.000000E+0
1.555432E+3,	8.858215E-12
1.555436E+3,	25.222193E-12
1.555440E+3,	0.000000E+0
1.555444E+3,	744.288161E-15
1.555448E+3,	27.205707E-12
1.555452E+3,	36.399470E-12
1.555456E+3,	27.188343E-12
1.555460E+3,	4.065663E-12
1.555464E+3,	0.000000E+0
1.555468E+3,	11.933636E-12
1.555472E+3,	11.656564E-12
1.555476E+3,	16.772512E-12
1.555480E+3,	0.000000E+0
1.555484E+3,	0.000000E+0
1.555488E+3,	2.967036E-12
1.555492E+3,	0.000000E+0
1.555496E+3,	11.973792E-12
1.555500E+3,	6.288251E-12
1.555504E+3,	0.000000E+0
1.555508E+3,	4.279216E-12
1.555512E+3,	5.614963E-12
1.555516E+3,	0.000000E+0
1.555520E+3,	15.689666E-12
1.555524E+3,	17.640624E-12
1.555528E+3,	0.000000E+0
1.555532E+3,	12.723117E-12
1.555536E+3,	7.848265E-12
1.555540E+3,	11.415343E-12
1.555544E+3,	5.543870E-12
1.555548E+3,	8.522402E-12
1.555552E+3,	0.000000E+0
1.555556E+3,	2.986740E-12
1.555560E+3,	0.000000E+0
1.555564E+3,	414.683476E-15
1.555568E+3,	0.000000E+0
1.555572E+3,	0.000000E+0
1.555576E+3,	2.739350E-12
1.555580E+3,	0.000000E+0
1.555584E+3,	0.000000E+0
1.555588E+3,	0.000000E+0
1.555592E+3,	0.000000E+0
1.555596E+3,	6.810133E-12
1.555600E+3,	0.000000E+0
1.555604E+3,	0.000000E+0
1.555608E+3,	0.000000E+0
1.555612E+3,	0.000000E+0
1.555616E+3,	0.000000E+0
1.555620E+3,	0.000000E+0
1.555624E+3,	0.000000E+0
1.555628E+3,	0.000000E+0
1.555632E+3,	0.000000E+0
1.555636E+3,	4.004219E-12
1.555640E+3,	14.636690E-12
1.555644E+3,	0.000000E+0
1.555648E+3,	0.000000E+0
1.555652E+3,	9.151346E-12
1.555656E+3,	7.475355E-12
1.555660E+3,	4.197443E-12
1.555664E+3,	0.000000E+0
1.555668E+3,	3.427735E-12
1.555672E+3,	12.440991E-12
1.555676E+3,	0.000000E+0
1.555680E+3,	6.045475E-12
1.555684E+3,	0.000000E+0
1.555688E+3,	0.000000E+0
1.555692E+3,	0.000000E+0
1.555696E+3,	0.000000E+0
1.555700E+3,	0.000000E+0
1.555704E+3,	0.000000E+0
1.555708E+3,	6.332943E-12
1.555712E+3,	11.305009E-12
1.555716E+3,	2.723785E-12
1.555720E+3,	6.858794E-12
1.555724E+3,	4.929780E-12
1.555728E+3,	3.625610E-12
1.555732E+3,	9.773506E-12
1.555736E+3,	0.000000E+0
1.555740E+3,	15.598091E-12
1.555744E+3,	22.808393E-12
1.555748E+3,	13.788257E-12
1.555752E+3,	0.000000E+0
1.555756E+3,	15.261092E-12
1.555760E+3,	1.162705E-12
1.555764E+3,	16.938513E-12
1.555768E+3,	0.000000E+0
1.555772E+3,	0.000000E+0
1.555776E+3,	0.000000E+0
1.555780E+3,	3.525970E-12
1.555784E+3,	0.000000E+0
1.555788E+3,	15.145688E-12
1.555792E+3,	0.000000E+0
1.555796E+3,	2.268151E-12
1.555800E+3,	0.000000E+0
1.555804E+3,	19.339751E-12
1.555808E+3,	8.544202E-12
1.555812E+3,	285.296003E-15
1.555816E+3,	7.006738E-12
1.555820E+3,	0.000000E+0
1.555824E+3,	7.461535E-12
1.555828E+3,	1.728436E-12
1.555832E+3,	0.000000E+0
1.555836E+3,	3.388514E-12
1.555840E+3,	22.756093E-12
1.555844E+3,	0.000000E+0
1.555848E+3,	0.000000E+0
1.555852E+3,	14.884779E-12
1.555856E+3,	6.863533E-12
1.555860E+3,	0.000000E+0
1.555864E+3,	14.541908E-12
1.555868E+3,	5.927835E-12
1.555872E+3,	0.000000E+0
1.555876E+3,	0.000000E+0
1.555880E+3,	0.000000E+0
1.555884E+3,	79.226594E-15
1.555888E+3,	12.675416E-12
1.555892E+3,	8.526850E-12
1.555896E+3,	2.229044E-12
1.555900E+3,	0.000000E+0
1.555904E+3,	10.209684E-12
1.555908E+3,	13.242635E-12
1.555912E+3,	0.000000E+0
1.555916E+3,	0.000000E+0
1.555920E+3,	0.000000E+0
1.555924E+3,	0.000000E+0
1.555928E+3,	0.000000E+0
1.555932E+3,	0.000000E+0
1.555936E+3,	0.000000E+0
1.555940E+3,	4.788536E-12
1.555944E+3,	0.000000E+0
1.555948E+3,	0.000000E+0
1.555952E+3,	0.000000E+0
1.555956E+3,	0.000000E+0
1.555960E+3,	8.687430E-12
1.555964E+3,	0.000000E+0
1.555968E+3,	0.000000E+0
1.555972E+3,	0.000000E+0
1.555976E+3,	9.195910E-12
1.555980E+3,	14.013433E-12
1.555984E+3,	13.248734E-12
1.555988E+3,	16.117794E-12
1.555992E+3,	6.006966E-12
1.555996E+3,	8.092571E-12
1.556000E+3,	9.291677E-12
1.556004E+3,	0.000000E+0
1.556008E+3,	4.490939E-12
1.556012E+3,	0.000000E+0
1.556016E+3,	0.000000E+0
1.556020E+3,	28.930668E-12
1.556024E+3,	14.531048E-12
1.556028E+3,	21.589351E-12
1.556032E+3,	3.973708E-12
1.556036E+3,	7.939090E-12
1.556040E+3,	5.832863E-12
1.556044E+3,	14.744908E-12
1.556048E+3,	6.598153E-12
1.556052E+3,	8.031423E-12
1.556056E+3,	11.166149E-12
1.556060E+3,	28.917751E-12
1.556064E+3,	12.838015E-12
1.556068E+3,	18.833587E-12
1.556072E+3,	2.254799E-12
1.556076E+3,	3.175164E-12
1.556080E+3,	8.691432E-12
1.556084E+3,	0.000000E+0
1.556088E+3,	2.965808E-12
1.556092E+3,	9.967303E-12
1.556096E+3,	15.763310E-12
1.556100E+3,	4.695940E-12
1.556104E+3,	0.000000E+0
1.556108E+3,	3.888153E-12
1.556112E+3,	0.000000E+0
1.556116E+3,	2.752507E-12
1.556120E+3,	10.436373E-12
1.556124E+3,	26.628684E-12
1.556128E+3,	12.119910E-12
1.556132E+3,	0.000000E+0
1.556136E+3,	16.894672E-12
1.556140E+3,	31.176467E-12
1.556144E+3,	22.260969E-12
1.556148E+3,	15.886187E-12
1.556152E+3,	7.500497E-12
1.556156E+3,	12.338675E-12
1.556160E+3,	0.000000E+0
1.556164E+3,	4.470826E-12
1.556168E+3,	0.000000E+0
1.556172E+3,	11.119914E-12
1.556176E+3,	23.780237E-12
1.556180E+3,	169.135233E-18
1.556184E+3,	0.000000E+0
1.556188E+3,	12.791493E-12
1.556192E+3,	13.373365E-12
1.556196E+3,	20.948374E-12
1.556200E+3,	5.653158E-12
1.556204E+3,	24.206941E-12
1.556208E+3,	27.028925E-12
1.556212E+3,	33.053182E-12
1.556216E+3,	34.056368E-12
1.556220E+3,	26.956821E-12
1.556224E+3,	27.710921E-12
1.556228E+3,	43.948232E-12
1.556232E+3,	46.405593E-12
1.556236E+3,	23.927981E-12
1.556240E+3,	11.755181E-12
1.556244E+3,	27.115358E-12
1.556248E+3,	9.464076E-12
1.556252E+3,	567.394672E-15
1.556256E+3,	12.093069E-12
1.556260E+3,	5.872891E-12
1.556264E+3,	22.149632E-12
1.556268E+3,	63.583182E-12
1.556272E+3,	44.973319E-12
1.556276E+3,	45.679629E-12
1.556280E+3,	78.108340E-12
1.556284E+3,	62.504223E-12
1.556288E+3,	75.546120E-12
1.556292E+3,	71.990817E-12
1.556296E+3,	67.431327E-12
1.556300E+3,	76.587729E-12
1.556304E+3,	68.152375E-12
1.556308E+3,	50.176400E-12
1.556312E+3,	25.940134E-12
1.556316E+3,	32.373696E-12
1.556320E+3,	28.569044E-12
1.556324E+3,	11.292449E-12
1.556328E+3,	10.556241E-12
1.556332E+3,	18.710052E-12
1.556336E+3,	22.557920E-12
1.556340E+3,	38.888896E-12
1.556344E+3,	51.262133E-12
1.556348E+3,	98.756326E-12
1.556352E+3,	83.794632E-12
1.556356E+3,	132.411047E-12
1.556360E+3,	184.889381E-12
1.556364E+3,	163.577158E-12
1.556368E+3,	156.794868E-12
1.556372E+3,	189.977585E-12
1.556376E+3,	169.203083E-12
