YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/07/2023 Time: 15:17:29,	
A_WL(nm),	A_I(mW)
1.555000E+3,	0.000000E+0
1.555004E+3,	11.146356E-12
1.555008E+3,	10.359992E-12
1.555012E+3,	0.000000E+0
1.555016E+3,	0.000000E+0
1.555020E+3,	2.347759E-12
1.555024E+3,	0.000000E+0
1.555028E+3,	1.931647E-12
1.555032E+3,	7.680667E-12
1.555036E+3,	0.000000E+0
1.555040E+3,	22.418208E-12
1.555044E+3,	0.000000E+0
1.555048E+3,	0.000000E+0
1.555052E+3,	23.890001E-12
1.555056E+3,	0.000000E+0
1.555060E+3,	0.000000E+0
1.555064E+3,	0.000000E+0
1.555068E+3,	7.258554E-12
1.555072E+3,	11.167199E-12
1.555076E+3,	1.024092E-12
1.555080E+3,	0.000000E+0
1.555084E+3,	1.641765E-12
1.555088E+3,	8.695510E-12
1.555092E+3,	5.986588E-12
1.555096E+3,	0.000000E+0
1.555100E+3,	0.000000E+0
1.555104E+3,	0.000000E+0
1.555108E+3,	0.000000E+0
1.555112E+3,	0.000000E+0
1.555116E+3,	12.700735E-12
1.555120E+3,	0.000000E+0
1.555124E+3,	9.682533E-12
1.555128E+3,	0.000000E+0
1.555132E+3,	1.579437E-12
1.555136E+3,	0.000000E+0
1.555140E+3,	5.372208E-12
1.555144E+3,	12.079420E-12
1.555148E+3,	0.000000E+0
1.555152E+3,	3.487606E-12
1.555156E+3,	0.000000E+0
1.555160E+3,	0.000000E+0
1.555164E+3,	0.000000E+0
1.555168E+3,	0.000000E+0
1.555172E+3,	0.000000E+0
1.555176E+3,	0.000000E+0
1.555180E+3,	0.000000E+0
1.555184E+3,	0.000000E+0
1.555188E+3,	1.155446E-12
1.555192E+3,	966.844410E-15
1.555196E+3,	1.864667E-12
1.555200E+3,	0.000000E+0
1.555204E+3,	0.000000E+0
1.555208E+3,	0.000000E+0
1.555212E+3,	8.585580E-12
1.555216E+3,	25.544250E-12
1.555220E+3,	0.000000E+0
1.555224E+3,	0.000000E+0
1.555228E+3,	14.966795E-12
1.555232E+3,	944.873334E-15
1.555236E+3,	12.548051E-12
1.555240E+3,	1.545662E-12
1.555244E+3,	0.000000E+0
1.555248E+3,	0.000000E+0
1.555252E+3,	0.000000E+0
1.555256E+3,	0.000000E+0
1.555260E+3,	3.135243E-12
1.555264E+3,	0.000000E+0
1.555268E+3,	19.600288E-12
1.555272E+3,	446.531802E-15
1.555276E+3,	10.438519E-12
1.555280E+3,	2.134220E-12
1.555284E+3,	14.933683E-12
1.555288E+3,	11.820588E-12
1.555292E+3,	898.167452E-15
1.555296E+3,	11.041087E-12
1.555300E+3,	21.999340E-12
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	7.976027E-12
1.555316E+3,	0.000000E+0
1.555320E+3,	13.827039E-12
1.555324E+3,	0.000000E+0
1.555328E+3,	2.100388E-12
1.555332E+3,	11.936207E-12
1.555336E+3,	0.000000E+0
1.555340E+3,	0.000000E+0
1.555344E+3,	0.000000E+0
1.555348E+3,	0.000000E+0
1.555352E+3,	5.575280E-12
1.555356E+3,	7.340599E-12
1.555360E+3,	3.087041E-12
1.555364E+3,	0.000000E+0
