YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/07/2023 Time: 14:16:51,	
A_WL(nm),	A_I(mW)
1.555000E+3,	305.987507E-15
1.555004E+3,	0.000000E+0
1.555008E+3,	0.000000E+0
1.555012E+3,	3.643786E-12
1.555016E+3,	399.291300E-15
1.555020E+3,	0.000000E+0
1.555024E+3,	0.000000E+0
1.555028E+3,	0.000000E+0
1.555032E+3,	11.731993E-12
1.555036E+3,	0.000000E+0
1.555040E+3,	0.000000E+0
1.555044E+3,	0.000000E+0
1.555048E+3,	22.434663E-15
1.555052E+3,	17.073220E-12
1.555056E+3,	10.830872E-12
1.555060E+3,	0.000000E+0
1.555064E+3,	2.213421E-12
1.555068E+3,	4.680963E-12
1.555072E+3,	19.311318E-12
1.555076E+3,	0.000000E+0
1.555080E+3,	21.107687E-12
1.555084E+3,	0.000000E+0
1.555088E+3,	0.000000E+0
1.555092E+3,	12.487991E-12
1.555096E+3,	10.846342E-12
1.555100E+3,	12.637233E-12
1.555104E+3,	1.566268E-12
1.555108E+3,	0.000000E+0
1.555112E+3,	0.000000E+0
1.555116E+3,	0.000000E+0
1.555120E+3,	7.440935E-12
1.555124E+3,	0.000000E+0
1.555128E+3,	0.000000E+0
1.555132E+3,	0.000000E+0
1.555136E+3,	480.987084E-15
1.555140E+3,	0.000000E+0
1.555144E+3,	10.550287E-12
1.555148E+3,	8.175453E-12
1.555152E+3,	13.763634E-12
1.555156E+3,	0.000000E+0
1.555160E+3,	0.000000E+0
1.555164E+3,	0.000000E+0
1.555168E+3,	0.000000E+0
1.555172E+3,	23.555638E-12
1.555176E+3,	0.000000E+0
1.555180E+3,	9.779821E-12
1.555184E+3,	0.000000E+0
1.555188E+3,	0.000000E+0
1.555192E+3,	1.538145E-12
1.555196E+3,	0.000000E+0
1.555200E+3,	20.089592E-12
1.555204E+3,	0.000000E+0
1.555208E+3,	0.000000E+0
1.555212E+3,	0.000000E+0
1.555216E+3,	5.869478E-12
1.555220E+3,	4.562717E-12
1.555224E+3,	9.713392E-12
1.555228E+3,	0.000000E+0
1.555232E+3,	6.242839E-12
1.555236E+3,	0.000000E+0
1.555240E+3,	8.289742E-12
1.555244E+3,	11.603228E-12
1.555248E+3,	0.000000E+0
1.555252E+3,	6.468343E-12
1.555256E+3,	0.000000E+0
1.555260E+3,	0.000000E+0
1.555264E+3,	7.401959E-12
1.555268E+3,	6.986077E-12
1.555272E+3,	0.000000E+0
1.555276E+3,	0.000000E+0
1.555280E+3,	0.000000E+0
1.555284E+3,	4.315431E-12
1.555288E+3,	0.000000E+0
1.555292E+3,	12.989592E-12
1.555296E+3,	0.000000E+0
1.555300E+3,	0.000000E+0
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	1.243964E-12
1.555316E+3,	24.091352E-12
1.555320E+3,	0.000000E+0
1.555324E+3,	0.000000E+0
1.555328E+3,	0.000000E+0
1.555332E+3,	0.000000E+0
1.555336E+3,	20.556728E-12
1.555340E+3,	14.279940E-12
1.555344E+3,	11.024369E-12
1.555348E+3,	0.000000E+0
