YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/07/2023 Time: 14:17:29,	
A_WL(nm),	A_I(mW)
1.555000E+3,	4.481850E-12
1.555004E+3,	17.214497E-12
1.555008E+3,	20.476886E-12
1.555012E+3,	0.000000E+0
1.555016E+3,	439.974362E-15
1.555020E+3,	0.000000E+0
1.555024E+3,	8.007075E-12
1.555028E+3,	0.000000E+0
1.555032E+3,	0.000000E+0
1.555036E+3,	0.000000E+0
1.555040E+3,	0.000000E+0
1.555044E+3,	0.000000E+0
1.555048E+3,	23.175537E-12
1.555052E+3,	0.000000E+0
1.555056E+3,	6.977447E-12
1.555060E+3,	0.000000E+0
1.555064E+3,	11.707671E-12
1.555068E+3,	11.006026E-12
1.555072E+3,	5.173995E-12
1.555076E+3,	12.824222E-12
1.555080E+3,	11.095137E-12
1.555084E+3,	8.195426E-12
1.555088E+3,	9.950895E-12
1.555092E+3,	10.508586E-12
1.555096E+3,	22.897546E-12
1.555100E+3,	18.606872E-12
1.555104E+3,	19.380213E-12
1.555108E+3,	5.371556E-12
1.555112E+3,	4.858049E-12
1.555116E+3,	4.186463E-12
1.555120E+3,	7.210290E-12
1.555124E+3,	0.000000E+0
1.555128E+3,	0.000000E+0
1.555132E+3,	5.456268E-12
1.555136E+3,	0.000000E+0
1.555140E+3,	0.000000E+0
1.555144E+3,	6.725108E-12
1.555148E+3,	3.846469E-12
1.555152E+3,	0.000000E+0
1.555156E+3,	0.000000E+0
1.555160E+3,	2.190870E-12
1.555164E+3,	8.659999E-12
1.555168E+3,	0.000000E+0
1.555172E+3,	0.000000E+0
1.555176E+3,	6.726657E-12
1.555180E+3,	12.203907E-12
1.555184E+3,	5.326879E-12
1.555188E+3,	0.000000E+0
1.555192E+3,	10.814011E-12
1.555196E+3,	16.470812E-12
1.555200E+3,	5.587493E-12
1.555204E+3,	2.229215E-12
1.555208E+3,	4.228391E-12
1.555212E+3,	0.000000E+0
1.555216E+3,	3.685321E-12
1.555220E+3,	0.000000E+0
1.555224E+3,	3.386633E-12
1.555228E+3,	0.000000E+0
1.555232E+3,	8.931030E-12
1.555236E+3,	35.447764E-12
1.555240E+3,	0.000000E+0
1.555244E+3,	0.000000E+0
1.555248E+3,	2.640520E-12
1.555252E+3,	22.694581E-12
1.555256E+3,	25.373207E-12
1.555260E+3,	11.367367E-12
1.555264E+3,	17.167578E-12
1.555268E+3,	0.000000E+0
1.555272E+3,	36.211842E-12
1.555276E+3,	12.278260E-12
1.555280E+3,	8.156410E-12
1.555284E+3,	9.786578E-12
1.555288E+3,	0.000000E+0
1.555292E+3,	23.416015E-12
1.555296E+3,	8.767054E-12
1.555300E+3,	24.170163E-12
1.555304E+3,	2.641127E-12
1.555308E+3,	11.904723E-12
1.555312E+3,	10.303107E-12
1.555316E+3,	3.255255E-12
1.555320E+3,	23.538363E-12
1.555324E+3,	16.204078E-12
1.555328E+3,	5.712198E-12
1.555332E+3,	69.670128E-15
1.555336E+3,	7.778985E-12
1.555340E+3,	12.561299E-12
1.555344E+3,	17.545705E-12
1.555348E+3,	5.285811E-12
1.555352E+3,	2.698400E-12
1.555356E+3,	27.587101E-12
1.555360E+3,	15.035736E-12
1.555364E+3,	4.978980E-12
1.555368E+3,	13.348974E-12
1.555372E+3,	2.207488E-12
1.555376E+3,	17.063393E-12
1.555380E+3,	18.898480E-12
1.555384E+3,	437.590664E-15
1.555388E+3,	3.105093E-12
1.555392E+3,	777.936085E-15
1.555396E+3,	23.033213E-12
1.555400E+3,	12.198981E-12
1.555404E+3,	9.898880E-12
1.555408E+3,	8.615730E-12
1.555412E+3,	10.268275E-12
1.555416E+3,	19.631723E-12
1.555420E+3,	33.029510E-12
1.555424E+3,	14.875223E-12
1.555428E+3,	23.337617E-12
1.555432E+3,	22.792101E-12
1.555436E+3,	0.000000E+0
1.555440E+3,	15.168421E-12
1.555444E+3,	8.345176E-12
1.555448E+3,	37.692772E-12
1.555452E+3,	30.743323E-12
1.555456E+3,	27.468954E-12
1.555460E+3,	26.203805E-12
1.555464E+3,	37.579062E-12
1.555468E+3,	20.925027E-12
1.555472E+3,	30.784844E-12
1.555476E+3,	18.989728E-12
1.555480E+3,	31.506203E-12
1.555484E+3,	30.803548E-12
