YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/07/2023 Time: 10:57:50,	
A_WL(nm),	A_I(mW)
1.547000E+3,	19.705546E-12
1.547004E+3,	21.339718E-12
1.547008E+3,	24.297763E-12
1.547012E+3,	18.862386E-12
1.547016E+3,	26.388547E-12
1.547020E+3,	27.420772E-12
1.547024E+3,	0.000000E+0
1.547028E+3,	24.341152E-12
1.547032E+3,	27.236819E-12
1.547036E+3,	8.931329E-12
1.547040E+3,	33.595989E-12
1.547044E+3,	37.887855E-12
1.547048E+3,	23.535823E-12
1.547052E+3,	6.216387E-12
1.547056E+3,	32.842963E-12
1.547060E+3,	14.783988E-12
1.547064E+3,	22.826301E-12
1.547068E+3,	32.529709E-12
1.547072E+3,	30.011569E-12
1.547076E+3,	48.076272E-12
1.547080E+3,	45.449839E-12
1.547084E+3,	28.531992E-12
1.547088E+3,	49.253626E-12
1.547092E+3,	32.436845E-12
1.547096E+3,	49.236238E-12
1.547100E+3,	32.752402E-12
1.547104E+3,	30.325214E-12
1.547108E+3,	35.158179E-12
1.547112E+3,	54.144222E-12
1.547116E+3,	24.547065E-12
1.547120E+3,	31.701828E-12
1.547124E+3,	51.861951E-12
1.547128E+3,	21.086357E-12
1.547132E+3,	34.976520E-12
1.547136E+3,	36.646759E-12
1.547140E+3,	32.589381E-12
1.547144E+3,	43.185669E-12
1.547148E+3,	29.461105E-12
1.547152E+3,	30.812366E-12
1.547156E+3,	13.008883E-12
1.547160E+3,	32.535038E-12
1.547164E+3,	45.097954E-12
1.547168E+3,	36.693565E-12
1.547172E+3,	7.979983E-12
1.547176E+3,	42.220893E-12
1.547180E+3,	38.738709E-12
1.547184E+3,	32.578765E-12
1.547188E+3,	36.246741E-12
1.547192E+3,	36.568238E-12
1.547196E+3,	12.703879E-12
1.547200E+3,	38.974240E-12
1.547204E+3,	30.368435E-12
1.547208E+3,	22.139892E-12
1.547212E+3,	24.731988E-12
1.547216E+3,	21.019808E-12
1.547220E+3,	21.382158E-12
1.547224E+3,	13.428581E-12
1.547228E+3,	19.914641E-12
1.547232E+3,	12.557033E-12
1.547236E+3,	9.950021E-12
1.547240E+3,	3.192197E-12
1.547244E+3,	4.931477E-12
1.547248E+3,	12.075098E-12
1.547252E+3,	29.560770E-12
1.547256E+3,	14.479394E-12
1.547260E+3,	11.331298E-12
1.547264E+3,	9.189086E-12
1.547268E+3,	16.100086E-12
