YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 08/08/2023 Time: 17:16:17,	
A_WL(nm),	A_I(mW)
1.557600E+3,	365.981375E-12
1.557604E+3,	386.758994E-12
1.557608E+3,	398.447816E-12
1.557612E+3,	390.961302E-12
1.557616E+3,	406.174890E-12
1.557620E+3,	397.577089E-12
1.557624E+3,	408.485378E-12
1.557628E+3,	428.081853E-12
1.557632E+3,	438.991842E-12
1.557636E+3,	431.052018E-12
1.557640E+3,	440.091356E-12
1.557644E+3,	459.597863E-12
1.557648E+3,	463.314520E-12
1.557652E+3,	457.140741E-12
1.557656E+3,	479.901798E-12
1.557660E+3,	480.112608E-12
1.557664E+3,	493.470071E-12
1.557668E+3,	501.471139E-12
1.557672E+3,	494.005133E-12
1.557676E+3,	487.988171E-12
1.557680E+3,	498.750625E-12
1.557684E+3,	518.662390E-12
1.557688E+3,	497.196224E-12
1.557692E+3,	518.776538E-12
1.557696E+3,	511.764587E-12
1.557700E+3,	528.170859E-12
1.557704E+3,	528.603483E-12
1.557708E+3,	534.566740E-12
1.557712E+3,	545.541320E-12
1.557716E+3,	533.528762E-12
1.557720E+3,	538.638897E-12
1.557724E+3,	541.875192E-12
1.557728E+3,	556.288567E-12
1.557732E+3,	557.464754E-12
1.557736E+3,	582.557491E-12
1.557740E+3,	555.514495E-12
1.557744E+3,	569.861140E-12
1.557748E+3,	588.640231E-12
1.557752E+3,	590.984868E-12
1.557756E+3,	585.527184E-12
1.557760E+3,	622.980400E-12
1.557764E+3,	630.305039E-12
1.557768E+3,	619.779429E-12
1.557772E+3,	610.176706E-12
1.557776E+3,	627.899689E-12
1.557780E+3,	615.642797E-12
1.557784E+3,	638.763970E-12
1.557788E+3,	644.851631E-12
1.557792E+3,	642.725394E-12
1.557796E+3,	623.489657E-12
1.557800E+3,	633.083202E-12
1.557804E+3,	628.111543E-12
1.557808E+3,	624.522483E-12
1.557812E+3,	623.633417E-12
1.557816E+3,	650.860801E-12
1.557820E+3,	633.248847E-12
1.557824E+3,	627.047141E-12
1.557828E+3,	640.487486E-12
1.557832E+3,	674.659636E-12
1.557836E+3,	654.472387E-12
1.557840E+3,	666.049179E-12
1.557844E+3,	666.377709E-12
1.557848E+3,	660.622679E-12
1.557852E+3,	696.233055E-12
1.557856E+3,	712.232612E-12
1.557860E+3,	736.706207E-12
1.557864E+3,	735.273668E-12
1.557868E+3,	748.768592E-12
1.557872E+3,	772.984001E-12
1.557876E+3,	775.401781E-12
1.557880E+3,	796.966774E-12
1.557884E+3,	814.889500E-12
1.557888E+3,	819.497686E-12
1.557892E+3,	823.045204E-12
1.557896E+3,	834.622736E-12
1.557900E+3,	839.171928E-12
1.557904E+3,	846.352085E-12
1.557908E+3,	853.257238E-12
1.557912E+3,	856.174634E-12
1.557916E+3,	839.290942E-12
1.557920E+3,	851.009956E-12
1.557924E+3,	860.999023E-12
1.557928E+3,	871.010172E-12
1.557932E+3,	895.375923E-12
1.557936E+3,	916.321065E-12
1.557940E+3,	913.840569E-12
1.557944E+3,	939.447627E-12
1.557948E+3,	971.121085E-12
1.557952E+3,	1.026812E-9
1.557956E+3,	1.045510E-9
1.557960E+3,	1.074925E-9
1.557964E+3,	1.106448E-9
1.557968E+3,	1.168613E-9
1.557972E+3,	1.203036E-9
1.557976E+3,	1.235012E-9
1.557980E+3,	1.269853E-9
1.557984E+3,	1.329644E-9
1.557988E+3,	1.360041E-9
1.557992E+3,	1.404869E-9
1.557996E+3,	1.433740E-9
1.558000E+3,	1.473051E-9
1.558004E+3,	1.471292E-9
1.558008E+3,	1.502677E-9
1.558012E+3,	1.520785E-9
1.558016E+3,	1.546394E-9
1.558020E+3,	1.569764E-9
1.558024E+3,	1.587745E-9
1.558028E+3,	1.624498E-9
1.558032E+3,	1.641964E-9
1.558036E+3,	1.681308E-9
1.558040E+3,	1.730750E-9
1.558044E+3,	1.782203E-9
1.558048E+3,	1.858194E-9
1.558052E+3,	1.936105E-9
1.558056E+3,	2.007397E-9
1.558060E+3,	2.079814E-9
1.558064E+3,	2.197159E-9
1.558068E+3,	2.293533E-9
1.558072E+3,	2.430384E-9
1.558076E+3,	2.554873E-9
1.558080E+3,	2.682431E-9
1.558084E+3,	2.794452E-9
1.558088E+3,	2.889786E-9
1.558092E+3,	3.024077E-9
1.558096E+3,	3.155630E-9
1.558100E+3,	3.230283E-9
1.558104E+3,	3.349928E-9
1.558108E+3,	3.441486E-9
1.558112E+3,	3.512449E-9
1.558116E+3,	3.583024E-9
1.558120E+3,	3.667207E-9
1.558124E+3,	3.761222E-9
1.558128E+3,	3.836639E-9
1.558132E+3,	3.945336E-9
1.558136E+3,	4.074927E-9
1.558140E+3,	4.173906E-9
1.558144E+3,	4.317735E-9
1.558148E+3,	4.467483E-9
1.558152E+3,	4.595573E-9
1.558156E+3,	4.756572E-9
1.558160E+3,	5.012458E-9
1.558164E+3,	5.244815E-9
1.558168E+3,	5.424521E-9
1.558172E+3,	5.695335E-9
1.558176E+3,	5.999832E-9
1.558180E+3,	6.251337E-9
1.558184E+3,	6.560533E-9
1.558188E+3,	6.894948E-9
1.558192E+3,	7.229209E-9
1.558196E+3,	7.514871E-9
1.558200E+3,	7.826667E-9
1.558204E+3,	8.134879E-9
1.558208E+3,	8.315644E-9
1.558212E+3,	8.556851E-9
1.558216E+3,	8.829642E-9
1.558220E+3,	9.013236E-9
1.558224E+3,	9.170891E-9
1.558228E+3,	9.288363E-9
1.558232E+3,	9.478050E-9
1.558236E+3,	9.676808E-9
1.558240E+3,	9.886742E-9
1.558244E+3,	10.059644E-9
1.558248E+3,	10.228815E-9
1.558252E+3,	10.400450E-9
1.558256E+3,	10.676957E-9
1.558260E+3,	10.916001E-9
1.558264E+3,	11.122769E-9
1.558268E+3,	11.496908E-9
1.558272E+3,	11.938743E-9
1.558276E+3,	12.324199E-9
1.558280E+3,	12.782891E-9
1.558284E+3,	13.358033E-9
1.558288E+3,	13.929031E-9
1.558292E+3,	14.433229E-9
1.558296E+3,	15.186844E-9
1.558300E+3,	15.867459E-9
1.558304E+3,	16.381021E-9
1.558308E+3,	17.029399E-9
1.558312E+3,	17.785628E-9
1.558316E+3,	18.391471E-9
1.558320E+3,	18.776432E-9
1.558324E+3,	19.338178E-9
1.558328E+3,	19.823005E-9
1.558332E+3,	20.256589E-9
1.558336E+3,	20.738374E-9
1.558340E+3,	21.112276E-9
1.558344E+3,	21.426602E-9
1.558348E+3,	21.802578E-9
1.558352E+3,	22.234645E-9
1.558356E+3,	22.548894E-9
1.558360E+3,	22.792185E-9
1.558364E+3,	23.242173E-9
1.558368E+3,	23.664777E-9
1.558372E+3,	24.044589E-9
1.558376E+3,	24.530023E-9
1.558380E+3,	25.162767E-9
1.558384E+3,	25.885828E-9
1.558388E+3,	26.655538E-9
1.558392E+3,	27.749852E-9
1.558396E+3,	28.817816E-9
1.558400E+3,	29.740591E-9
1.558404E+3,	30.966641E-9
1.558408E+3,	32.483795E-9
1.558412E+3,	33.624656E-9
1.558416E+3,	34.495480E-9
1.558420E+3,	35.692992E-9
1.558424E+3,	36.688380E-9
1.558428E+3,	37.584807E-9
1.558432E+3,	38.580459E-9
1.558436E+3,	39.295527E-9
1.558440E+3,	39.883002E-9
1.558444E+3,	40.591400E-9
1.558448E+3,	41.242315E-9
1.558452E+3,	41.710100E-9
1.558456E+3,	42.012995E-9
1.558460E+3,	42.393731E-9
1.558464E+3,	42.717902E-9
1.558468E+3,	42.980621E-9
1.558472E+3,	43.187949E-9
1.558476E+3,	43.600072E-9
1.558480E+3,	44.172556E-9
1.558484E+3,	44.820868E-9
1.558488E+3,	45.711416E-9
1.558492E+3,	46.543742E-9
1.558496E+3,	47.488865E-9
1.558500E+3,	48.790071E-9
1.558504E+3,	50.416533E-9
1.558508E+3,	52.083613E-9
1.558512E+3,	53.637072E-9
1.558516E+3,	55.884553E-9
1.558520E+3,	58.188023E-9
1.558524E+3,	60.160257E-9
1.558528E+3,	62.407590E-9
1.558532E+3,	64.331152E-9
1.558536E+3,	66.047401E-9
1.558540E+3,	67.940288E-9
1.558544E+3,	69.788932E-9
1.558548E+3,	71.080779E-9
1.558552E+3,	71.945756E-9
1.558556E+3,	73.013416E-9
1.558560E+3,	73.944643E-9
1.558564E+3,	74.542411E-9
1.558568E+3,	74.876381E-9
1.558572E+3,	75.201728E-9
1.558576E+3,	75.711256E-9
1.558580E+3,	76.158949E-9
1.558584E+3,	76.539609E-9
1.558588E+3,	76.976672E-9
1.558592E+3,	77.746528E-9
1.558596E+3,	79.177644E-9
1.558600E+3,	80.581520E-9
1.558604E+3,	81.718124E-9
1.558608E+3,	83.328679E-9
1.558612E+3,	85.591554E-9
1.558616E+3,	88.217035E-9
1.558620E+3,	90.581745E-9
1.558624E+3,	93.474760E-9
1.558628E+3,	96.382459E-9
1.558632E+3,	99.256964E-9
1.558636E+3,	102.133061E-9
1.558640E+3,	105.262922E-9
1.558644E+3,	108.175752E-9
1.558648E+3,	110.545972E-9
1.558652E+3,	113.916274E-9
1.558656E+3,	116.803193E-9
1.558660E+3,	118.400324E-9
1.558664E+3,	119.647007E-9
1.558668E+3,	121.065638E-9
1.558672E+3,	122.207601E-9
1.558676E+3,	122.665220E-9
1.558680E+3,	122.658182E-9
1.558684E+3,	122.434690E-9
1.558688E+3,	122.568676E-9
1.558692E+3,	122.978869E-9
1.558696E+3,	123.240016E-9
1.558700E+3,	123.344249E-9
1.558704E+3,	123.721714E-9
1.558708E+3,	124.870641E-9
1.558712E+3,	126.400459E-9
1.558716E+3,	127.761284E-9
1.558720E+3,	129.748413E-9
1.558724E+3,	132.135075E-9
1.558728E+3,	134.366932E-9
1.558732E+3,	136.546367E-9
1.558736E+3,	139.253953E-9
1.558740E+3,	142.152666E-9
1.558744E+3,	145.150600E-9
1.558748E+3,	149.611974E-9
1.558752E+3,	153.692294E-9
1.558756E+3,	156.855025E-9
1.558760E+3,	160.258528E-9
1.558764E+3,	165.063428E-9
1.558768E+3,	168.803771E-9
1.558772E+3,	170.780750E-9
1.558776E+3,	172.881928E-9
1.558780E+3,	174.694066E-9
1.558784E+3,	175.908790E-9
1.558788E+3,	176.560862E-9
1.558792E+3,	176.186641E-9
1.558796E+3,	175.337699E-9
1.558800E+3,	174.524921E-9
1.558804E+3,	173.817118E-9
1.558808E+3,	173.035220E-9
1.558812E+3,	172.518589E-9
1.558816E+3,	172.380463E-9
1.558820E+3,	173.154679E-9
1.558824E+3,	174.099961E-9
1.558828E+3,	175.185952E-9
1.558832E+3,	176.874002E-9
1.558836E+3,	179.281349E-9
1.558840E+3,	181.731772E-9
1.558844E+3,	185.190721E-9
1.558848E+3,	187.982104E-9
1.558852E+3,	190.767426E-9
1.558856E+3,	194.707019E-9
1.558860E+3,	200.356543E-9
1.558864E+3,	205.232300E-9
1.558868E+3,	208.489402E-9
1.558872E+3,	213.452851E-9
1.558876E+3,	218.088033E-9
1.558880E+3,	221.370213E-9
1.558884E+3,	224.302021E-9
1.558888E+3,	226.122775E-9
1.558892E+3,	227.165334E-9
1.558896E+3,	228.247591E-9
1.558900E+3,	228.363114E-9
1.558904E+3,	227.177542E-9
1.558908E+3,	225.685291E-9
1.558912E+3,	224.186958E-9
1.558916E+3,	223.242596E-9
1.558920E+3,	222.369751E-9
1.558924E+3,	221.077993E-9
1.558928E+3,	219.652187E-9
1.558932E+3,	219.216269E-9
1.558936E+3,	219.559882E-9
1.558940E+3,	219.821146E-9
1.558944E+3,	220.253065E-9
1.558948E+3,	221.794584E-9
1.558952E+3,	224.782898E-9
1.558956E+3,	229.610638E-9
1.558960E+3,	233.648454E-9
1.558964E+3,	237.411915E-9
1.558968E+3,	243.567066E-9
1.558972E+3,	249.534768E-9
1.558976E+3,	254.572387E-9
1.558980E+3,	260.087440E-9
1.558984E+3,	264.516891E-9
1.558988E+3,	268.242649E-9
1.558992E+3,	272.294571E-9
1.558996E+3,	275.897760E-9
1.559000E+3,	277.145758E-9
1.559004E+3,	277.508805E-9
1.559008E+3,	278.277221E-9
1.559012E+3,	278.360411E-9
1.559016E+3,	277.403597E-9
1.559020E+3,	274.736541E-9
1.559024E+3,	272.365412E-9
1.559028E+3,	270.762529E-9
1.559032E+3,	268.859518E-9
1.559036E+3,	265.811257E-9
1.559040E+3,	263.508919E-9
1.559044E+3,	262.817516E-9
1.559048E+3,	263.377309E-9
1.559052E+3,	264.307673E-9
1.559056E+3,	265.232280E-9
1.559060E+3,	267.278154E-9
1.559064E+3,	270.838990E-9
1.559068E+3,	274.549958E-9
1.559072E+3,	279.252471E-9
1.559076E+3,	284.769386E-9
1.559080E+3,	290.059177E-9
1.559084E+3,	294.830776E-9
1.559088E+3,	301.464194E-9
1.559092E+3,	306.497089E-9
1.559096E+3,	309.815213E-9
1.559100E+3,	315.082962E-9
1.559104E+3,	318.989900E-9
1.559108E+3,	321.158469E-9
1.559112E+3,	322.254846E-9
1.559116E+3,	322.463726E-9
1.559120E+3,	322.737159E-9
1.559124E+3,	322.713601E-9
1.559128E+3,	321.522461E-9
1.559132E+3,	318.718684E-9
1.559136E+3,	316.290210E-9
1.559140E+3,	312.917350E-9
1.559144E+3,	309.958143E-9
1.559148E+3,	307.360364E-9
1.559152E+3,	304.177734E-9
1.559156E+3,	301.074696E-9
1.559160E+3,	299.848930E-9
1.559164E+3,	299.577685E-9
1.559168E+3,	299.068190E-9
1.559172E+3,	299.377759E-9
1.559176E+3,	300.669141E-9
1.559180E+3,	304.106997E-9
1.559184E+3,	308.030332E-9
1.559188E+3,	311.246500E-9
1.559192E+3,	315.251996E-9
1.559196E+3,	321.510247E-9
1.559200E+3,	327.297019E-9
1.559204E+3,	331.363787E-9
1.559208E+3,	335.711132E-9
1.559212E+3,	339.198906E-9
1.559216E+3,	342.509721E-9
1.559220E+3,	347.425706E-9
1.559224E+3,	350.104311E-9
1.559228E+3,	351.132246E-9
1.559232E+3,	351.869210E-9
1.559236E+3,	353.312379E-9
1.559240E+3,	353.979944E-9
1.559244E+3,	352.997933E-9
1.559248E+3,	349.375856E-9
1.559252E+3,	345.659846E-9
1.559256E+3,	343.303342E-9
1.559260E+3,	339.371509E-9
1.559264E+3,	334.577887E-9
1.559268E+3,	330.864698E-9
1.559272E+3,	327.670661E-9
1.559276E+3,	325.983579E-9
1.559280E+3,	325.447603E-9
1.559284E+3,	325.088110E-9
1.559288E+3,	324.908910E-9
1.559292E+3,	325.691051E-9
1.559296E+3,	327.409102E-9
