YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 08/08/2023 Time: 17:18:38,	
A_WL(nm),	A_I(mW)
1.557600E+3,	18.171893E-12
1.557604E+3,	38.126873E-12
1.557608E+3,	27.700921E-12
1.557612E+3,	13.268545E-12
1.557616E+3,	19.069844E-12
1.557620E+3,	8.835650E-12
1.557624E+3,	18.105982E-12
1.557628E+3,	24.452388E-12
1.557632E+3,	23.037009E-12
1.557636E+3,	7.267927E-12
1.557640E+3,	22.173308E-12
1.557644E+3,	10.077056E-12
1.557648E+3,	33.368635E-12
1.557652E+3,	39.030181E-12
1.557656E+3,	40.869678E-12
1.557660E+3,	51.415892E-12
1.557664E+3,	55.968519E-12
1.557668E+3,	62.648835E-12
1.557672E+3,	72.151789E-12
1.557676E+3,	104.225237E-12
1.557680E+3,	76.042523E-12
1.557684E+3,	85.535199E-12
1.557688E+3,	86.074448E-12
1.557692E+3,	86.787685E-12
1.557696E+3,	79.918835E-12
1.557700E+3,	84.659178E-12
1.557704E+3,	62.265657E-12
1.557708E+3,	53.305969E-12
1.557712E+3,	66.466638E-12
1.557716E+3,	44.753758E-12
1.557720E+3,	40.636486E-12
1.557724E+3,	34.055167E-12
1.557728E+3,	20.177017E-12
1.557732E+3,	16.760870E-12
1.557736E+3,	31.133322E-12
1.557740E+3,	10.184031E-12
1.557744E+3,	18.061513E-12
1.557748E+3,	7.257096E-12
1.557752E+3,	23.357258E-12
1.557756E+3,	19.229349E-12
1.557760E+3,	34.851841E-12
1.557764E+3,	41.386650E-12
1.557768E+3,	58.113224E-12
1.557772E+3,	53.745594E-12
1.557776E+3,	84.103521E-12
1.557780E+3,	94.753245E-12
1.557784E+3,	108.750934E-12
1.557788E+3,	108.825357E-12
1.557792E+3,	149.500234E-12
1.557796E+3,	142.260792E-12
1.557800E+3,	160.685648E-12
1.557804E+3,	163.722531E-12
1.557808E+3,	162.792391E-12
1.557812E+3,	167.036682E-12
1.557816E+3,	163.651101E-12
1.557820E+3,	171.152070E-12
1.557824E+3,	155.877821E-12
1.557828E+3,	137.741047E-12
1.557832E+3,	123.609554E-12
1.557836E+3,	117.477610E-12
1.557840E+3,	79.451199E-12
1.557844E+3,	51.630023E-12
1.557848E+3,	48.110430E-12
1.557852E+3,	24.555891E-12
1.557856E+3,	14.601316E-12
1.557860E+3,	6.973115E-12
1.557864E+3,	2.788621E-12
1.557868E+3,	29.505138E-12
1.557872E+3,	44.607735E-12
1.557876E+3,	52.616625E-12
1.557880E+3,	78.704623E-12
1.557884E+3,	114.149364E-12
1.557888E+3,	147.269968E-12
1.557892E+3,	205.787219E-12
1.557896E+3,	238.727600E-12
1.557900E+3,	275.247772E-12
1.557904E+3,	314.237672E-12
1.557908E+3,	359.845812E-12
1.557912E+3,	398.520202E-12
1.557916E+3,	442.508776E-12
1.557920E+3,	460.507539E-12
1.557924E+3,	483.953527E-12
1.557928E+3,	505.697331E-12
1.557932E+3,	487.964008E-12
1.557936E+3,	485.171371E-12
1.557940E+3,	471.954341E-12
1.557944E+3,	403.600594E-12
1.557948E+3,	382.610757E-12
1.557952E+3,	327.634384E-12
1.557956E+3,	254.144232E-12
1.557960E+3,	229.521335E-12
1.557964E+3,	192.704795E-12
1.557968E+3,	125.681135E-12
1.557972E+3,	90.285192E-12
1.557976E+3,	58.067000E-12
1.557980E+3,	53.742930E-12
1.557984E+3,	60.737244E-12
1.557988E+3,	67.817370E-12
1.557992E+3,	126.176982E-12
1.557996E+3,	187.532732E-12
1.558000E+3,	257.477583E-12
1.558004E+3,	347.122427E-12
1.558008E+3,	467.273225E-12
1.558012E+3,	609.862622E-12
1.558016E+3,	694.599837E-12
1.558020E+3,	803.389585E-12
1.558024E+3,	952.736957E-12
1.558028E+3,	1.051669E-9
1.558032E+3,	1.147213E-9
1.558036E+3,	1.239355E-9
1.558040E+3,	1.296609E-9
1.558044E+3,	1.317842E-9
1.558048E+3,	1.328878E-9
1.558052E+3,	1.286763E-9
1.558056E+3,	1.249493E-9
1.558060E+3,	1.170012E-9
1.558064E+3,	1.056141E-9
1.558068E+3,	924.386883E-12
1.558072E+3,	808.898424E-12
