YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 08/08/2023 Time: 17:12:58,	
A_WL(nm),	A_I(mW)
1.557600E+3,	37.879743E-12
1.557604E+3,	52.384837E-12
1.557608E+3,	38.049233E-12
1.557612E+3,	51.327035E-12
1.557616E+3,	53.570287E-12
1.557620E+3,	52.363595E-12
1.557624E+3,	26.985393E-12
1.557628E+3,	46.071693E-12
1.557632E+3,	33.321384E-12
1.557636E+3,	40.172049E-12
1.557640E+3,	43.316595E-12
1.557644E+3,	37.103127E-12
1.557648E+3,	32.615269E-12
1.557652E+3,	23.416094E-12
1.557656E+3,	33.903713E-12
1.557660E+3,	25.203632E-12
1.557664E+3,	32.990992E-12
1.557668E+3,	5.737124E-12
1.557672E+3,	24.245771E-12
1.557676E+3,	0.000000E+0
1.557680E+3,	19.693697E-12
1.557684E+3,	18.259525E-12
1.557688E+3,	15.127147E-12
1.557692E+3,	26.936498E-12
1.557696E+3,	22.810123E-12
1.557700E+3,	25.074571E-12
1.557704E+3,	28.046934E-12
1.557708E+3,	36.777113E-12
1.557712E+3,	39.369696E-12
1.557716E+3,	35.553737E-12
1.557720E+3,	44.423098E-12
1.557724E+3,	59.955302E-12
1.557728E+3,	55.829280E-12
1.557732E+3,	53.244091E-12
1.557736E+3,	50.800220E-12
1.557740E+3,	69.439440E-12
1.557744E+3,	75.074499E-12
1.557748E+3,	58.725628E-12
1.557752E+3,	54.304269E-12
1.557756E+3,	55.074797E-12
1.557760E+3,	45.462247E-12
1.557764E+3,	39.979089E-12
1.557768E+3,	39.789830E-12
1.557772E+3,	31.063950E-12
1.557776E+3,	27.760471E-12
1.557780E+3,	23.113620E-12
1.557784E+3,	25.863019E-12
1.557788E+3,	8.407459E-12
1.557792E+3,	20.198518E-12
1.557796E+3,	17.441279E-12
1.557800E+3,	518.147483E-15
1.557804E+3,	745.248047E-15
1.557808E+3,	26.903613E-12
1.557812E+3,	29.321225E-12
1.557816E+3,	53.422948E-12
1.557820E+3,	51.995279E-12
1.557824E+3,	56.295173E-12
1.557828E+3,	64.734979E-12
1.557832E+3,	76.281739E-12
1.557836E+3,	75.518166E-12
1.557840E+3,	83.973078E-12
1.557844E+3,	108.457758E-12
1.557848E+3,	104.372513E-12
1.557852E+3,	109.129498E-12
1.557856E+3,	94.984240E-12
1.557860E+3,	140.499541E-12
1.557864E+3,	119.081108E-12
1.557868E+3,	128.994475E-12
