YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 08/08/2023 Time: 17:10:28,	
A_WL(nm),	A_I(mW)
1.557600E+3,	223.243797E-12
1.557604E+3,	227.489405E-12
1.557608E+3,	238.620163E-12
1.557612E+3,	218.324976E-12
1.557616E+3,	229.619282E-12
1.557620E+3,	235.720546E-12
1.557624E+3,	246.077666E-12
1.557628E+3,	249.314242E-12
1.557632E+3,	256.094844E-12
1.557636E+3,	242.365922E-12
1.557640E+3,	252.453520E-12
1.557644E+3,	257.590126E-12
1.557648E+3,	265.338084E-12
1.557652E+3,	265.265899E-12
1.557656E+3,	276.448113E-12
1.557660E+3,	277.080095E-12
1.557664E+3,	268.719180E-12
1.557668E+3,	284.782063E-12
1.557672E+3,	285.085461E-12
1.557676E+3,	288.453292E-12
1.557680E+3,	301.364464E-12
1.557684E+3,	309.131815E-12
1.557688E+3,	309.141536E-12
1.557692E+3,	311.406326E-12
1.557696E+3,	328.027225E-12
1.557700E+3,	334.416273E-12
1.557704E+3,	321.823482E-12
1.557708E+3,	322.751420E-12
1.557712E+3,	334.875205E-12
1.557716E+3,	342.951890E-12
1.557720E+3,	343.234243E-12
1.557724E+3,	348.180568E-12
1.557728E+3,	351.574609E-12
1.557732E+3,	367.316368E-12
1.557736E+3,	355.844198E-12
1.557740E+3,	357.526798E-12
1.557744E+3,	357.370751E-12
1.557748E+3,	352.773145E-12
1.557752E+3,	367.143952E-12
1.557756E+3,	366.364952E-12
1.557760E+3,	381.525573E-12
1.557764E+3,	358.670260E-12
1.557768E+3,	376.374631E-12
1.557772E+3,	384.440886E-12
1.557776E+3,	393.706959E-12
1.557780E+3,	387.145596E-12
1.557784E+3,	409.417815E-12
1.557788E+3,	422.899844E-12
1.557792E+3,	415.671313E-12
1.557796E+3,	425.531712E-12
1.557800E+3,	424.660969E-12
1.557804E+3,	464.785555E-12
1.557808E+3,	457.207379E-12
1.557812E+3,	492.543086E-12
1.557816E+3,	452.089072E-12
1.557820E+3,	476.744177E-12
1.557824E+3,	506.541850E-12
1.557828E+3,	508.986059E-12
1.557832E+3,	528.078710E-12
1.557836E+3,	510.147628E-12
1.557840E+3,	514.151858E-12
1.557844E+3,	522.926228E-12
1.557848E+3,	499.695251E-12
1.557852E+3,	515.307561E-12
1.557856E+3,	510.871317E-12
1.557860E+3,	513.929682E-12
1.557864E+3,	497.198225E-12
1.557868E+3,	483.672681E-12
1.557872E+3,	489.565986E-12
1.557876E+3,	496.985392E-12
1.557880E+3,	503.605975E-12
1.557884E+3,	488.823397E-12
1.557888E+3,	494.624423E-12
1.557892E+3,	501.055829E-12
1.557896E+3,	525.124942E-12
1.557900E+3,	548.921972E-12
1.557904E+3,	548.025768E-12
1.557908E+3,	562.958238E-12
1.557912E+3,	572.505013E-12
1.557916E+3,	619.466061E-12
1.557920E+3,	631.900125E-12
1.557924E+3,	654.243976E-12
1.557928E+3,	659.969127E-12
1.557932E+3,	668.506204E-12
1.557936E+3,	669.939963E-12
1.557940E+3,	687.370903E-12
1.557944E+3,	677.239263E-12
1.557948E+3,	677.334030E-12
1.557952E+3,	672.093104E-12
1.557956E+3,	661.752123E-12
1.557960E+3,	649.447978E-12
1.557964E+3,	655.025805E-12
1.557968E+3,	644.264582E-12
1.557972E+3,	608.120591E-12
1.557976E+3,	632.844391E-12
1.557980E+3,	623.975768E-12
1.557984E+3,	606.513332E-12
1.557988E+3,	610.927643E-12
1.557992E+3,	611.418643E-12
1.557996E+3,	644.963681E-12
1.558000E+3,	644.763929E-12
1.558004E+3,	678.314040E-12
1.558008E+3,	702.826916E-12
1.558012E+3,	731.859983E-12
1.558016E+3,	791.717964E-12
1.558020E+3,	812.994833E-12
1.558024E+3,	864.838418E-12
1.558028E+3,	897.830386E-12
1.558032E+3,	937.564351E-12
1.558036E+3,	959.181601E-12
1.558040E+3,	979.957530E-12
1.558044E+3,	973.725015E-12
1.558048E+3,	980.682736E-12
1.558052E+3,	981.374481E-12
1.558056E+3,	956.057434E-12
1.558060E+3,	949.326348E-12
1.558064E+3,	936.547536E-12
1.558068E+3,	924.602979E-12
1.558072E+3,	909.138644E-12
1.558076E+3,	884.614669E-12
1.558080E+3,	883.661445E-12
1.558084E+3,	845.210216E-12
1.558088E+3,	849.122872E-12
1.558092E+3,	845.554402E-12
1.558096E+3,	856.297907E-12
1.558100E+3,	882.208188E-12
1.558104E+3,	917.824648E-12
1.558108E+3,	960.609313E-12
1.558112E+3,	1.018213E-9
1.558116E+3,	1.047106E-9
1.558120E+3,	1.122108E-9
1.558124E+3,	1.210535E-9
1.558128E+3,	1.287465E-9
1.558132E+3,	1.371312E-9
1.558136E+3,	1.419889E-9
1.558140E+3,	1.465968E-9
1.558144E+3,	1.536530E-9
1.558148E+3,	1.577691E-9
1.558152E+3,	1.607676E-9
1.558156E+3,	1.627079E-9
1.558160E+3,	1.635968E-9
1.558164E+3,	1.645934E-9
1.558168E+3,	1.640105E-9
1.558172E+3,	1.643514E-9
1.558176E+3,	1.638935E-9
1.558180E+3,	1.613038E-9
1.558184E+3,	1.605638E-9
1.558188E+3,	1.610350E-9
1.558192E+3,	1.604493E-9
1.558196E+3,	1.607131E-9
1.558200E+3,	1.658585E-9
1.558204E+3,	1.698862E-9
1.558208E+3,	1.750433E-9
1.558212E+3,	1.841501E-9
1.558216E+3,	1.948483E-9
1.558220E+3,	2.073703E-9
1.558224E+3,	2.211703E-9
1.558228E+3,	2.398125E-9
1.558232E+3,	2.551713E-9
1.558236E+3,	2.697825E-9
1.558240E+3,	2.927963E-9
1.558244E+3,	3.116929E-9
1.558248E+3,	3.252396E-9
1.558252E+3,	3.433242E-9
1.558256E+3,	3.562711E-9
1.558260E+3,	3.684828E-9
1.558264E+3,	3.772551E-9
1.558268E+3,	3.893499E-9
1.558272E+3,	3.969230E-9
1.558276E+3,	4.015598E-9
1.558280E+3,	4.023567E-9
1.558284E+3,	4.006627E-9
1.558288E+3,	3.979031E-9
1.558292E+3,	3.904504E-9
1.558296E+3,	3.893616E-9
1.558300E+3,	3.898332E-9
1.558304E+3,	3.896068E-9
1.558308E+3,	3.924100E-9
1.558312E+3,	3.994190E-9
1.558316E+3,	4.117954E-9
1.558320E+3,	4.302742E-9
1.558324E+3,	4.568024E-9
1.558328E+3,	4.880579E-9
1.558332E+3,	5.180418E-9
1.558336E+3,	5.638020E-9
1.558340E+3,	6.081902E-9
1.558344E+3,	6.444585E-9
1.558348E+3,	6.849824E-9
1.558352E+3,	7.284320E-9
1.558356E+3,	7.718597E-9
1.558360E+3,	8.096497E-9
1.558364E+3,	8.550612E-9
1.558368E+3,	8.900855E-9
1.558372E+3,	9.183541E-9
1.558376E+3,	9.487509E-9
1.558380E+3,	9.737807E-9
1.558384E+3,	9.829083E-9
1.558388E+3,	9.863127E-9
1.558392E+3,	9.866235E-9
1.558396E+3,	9.824440E-9
1.558400E+3,	9.770891E-9
1.558404E+3,	9.681832E-9
1.558408E+3,	9.594884E-9
1.558412E+3,	9.583277E-9
1.558416E+3,	9.672722E-9
1.558420E+3,	9.870334E-9
1.558424E+3,	10.130021E-9
1.558428E+3,	10.524034E-9
1.558432E+3,	11.190111E-9
1.558436E+3,	11.942065E-9
1.558440E+3,	12.664403E-9
1.558444E+3,	13.462091E-9
1.558448E+3,	14.431835E-9
1.558452E+3,	15.536210E-9
1.558456E+3,	16.501560E-9
1.558460E+3,	17.625239E-9
1.558464E+3,	18.595561E-9
1.558468E+3,	19.409188E-9
1.558472E+3,	20.184541E-9
1.558476E+3,	21.065459E-9
1.558480E+3,	21.736277E-9
1.558484E+3,	22.124720E-9
1.558488E+3,	22.557514E-9
1.558492E+3,	22.935581E-9
1.558496E+3,	23.099715E-9
1.558500E+3,	23.114914E-9
1.558504E+3,	22.905841E-9
1.558508E+3,	22.756887E-9
1.558512E+3,	22.709604E-9
1.558516E+3,	22.696077E-9
1.558520E+3,	22.645434E-9
1.558524E+3,	22.705530E-9
1.558528E+3,	22.939439E-9
1.558532E+3,	23.400544E-9
1.558536E+3,	23.993313E-9
1.558540E+3,	24.585094E-9
1.558544E+3,	25.554045E-9
1.558548E+3,	26.834616E-9
1.558552E+3,	27.919222E-9
1.558556E+3,	29.539516E-9
1.558560E+3,	31.212352E-9
1.558564E+3,	32.702464E-9
1.558568E+3,	34.326132E-9
1.558572E+3,	36.282089E-9
1.558576E+3,	37.959533E-9
1.558580E+3,	39.002883E-9
1.558584E+3,	40.466093E-9
1.558588E+3,	41.919847E-9
1.558592E+3,	42.767947E-9
1.558596E+3,	43.451333E-9
1.558600E+3,	43.996304E-9
1.558604E+3,	44.338731E-9
1.558608E+3,	44.604386E-9
1.558612E+3,	44.739119E-9
1.558616E+3,	44.683240E-9
1.558620E+3,	44.554523E-9
1.558624E+3,	44.600639E-9
1.558628E+3,	44.733382E-9
1.558632E+3,	44.781382E-9
1.558636E+3,	44.899669E-9
1.558640E+3,	45.374731E-9
1.558644E+3,	46.187458E-9
1.558648E+3,	46.967089E-9
1.558652E+3,	48.202283E-9
1.558656E+3,	49.627943E-9
1.558660E+3,	50.962770E-9
1.558664E+3,	52.759267E-9
1.558668E+3,	55.165701E-9
1.558672E+3,	57.426562E-9
1.558676E+3,	59.358719E-9
1.558680E+3,	62.798960E-9
1.558684E+3,	66.044616E-9
1.558688E+3,	68.350501E-9
1.558692E+3,	71.153337E-9
1.558696E+3,	73.518760E-9
1.558700E+3,	75.228918E-9
1.558704E+3,	76.662301E-9
1.558708E+3,	77.742499E-9
1.558712E+3,	78.247743E-9
1.558716E+3,	78.425012E-9
1.558720E+3,	78.656717E-9
1.558724E+3,	78.559821E-9
1.558728E+3,	78.226517E-9
1.558732E+3,	77.721009E-9
1.558736E+3,	77.430133E-9
1.558740E+3,	77.416843E-9
1.558744E+3,	77.280640E-9
1.558748E+3,	76.903649E-9
1.558752E+3,	76.681120E-9
1.558756E+3,	76.883648E-9
1.558760E+3,	77.404527E-9
1.558764E+3,	78.277335E-9
1.558768E+3,	79.295872E-9
1.558772E+3,	80.661980E-9
1.558776E+3,	83.422614E-9
1.558780E+3,	86.317314E-9
1.558784E+3,	88.567785E-9
1.558788E+3,	92.206988E-9
1.558792E+3,	96.131885E-9
1.558796E+3,	99.409772E-9
1.558800E+3,	103.069443E-9
1.558804E+3,	107.129385E-9
1.558808E+3,	110.227559E-9
1.558812E+3,	112.748524E-9
1.558816E+3,	116.198529E-9
1.558820E+3,	118.462335E-9
1.558824E+3,	119.445128E-9
1.558828E+3,	120.303679E-9
1.558832E+3,	120.927996E-9
1.558836E+3,	121.214664E-9
1.558840E+3,	120.933355E-9
1.558844E+3,	120.170544E-9
1.558848E+3,	119.602988E-9
1.558852E+3,	119.465220E-9
1.558856E+3,	119.407195E-9
1.558860E+3,	119.139534E-9
1.558864E+3,	118.942309E-9
1.558868E+3,	119.184462E-9
1.558872E+3,	120.579426E-9
1.558876E+3,	122.123308E-9
1.558880E+3,	123.710078E-9
1.558884E+3,	126.799594E-9
1.558888E+3,	130.389325E-9
1.558892E+3,	133.890694E-9
1.558896E+3,	138.206150E-9
1.558900E+3,	142.901937E-9
1.558904E+3,	147.395662E-9
1.558908E+3,	152.115211E-9
1.558912E+3,	158.384038E-9
1.558916E+3,	162.929584E-9
1.558920E+3,	165.874411E-9
1.558924E+3,	168.794550E-9
1.558928E+3,	171.817803E-9
1.558932E+3,	173.873460E-9
1.558936E+3,	174.628187E-9
1.558940E+3,	174.726614E-9
1.558944E+3,	174.596188E-9
1.558948E+3,	174.581775E-9
1.558952E+3,	173.988109E-9
1.558956E+3,	172.790397E-9
1.558960E+3,	171.763555E-9
1.558964E+3,	170.812116E-9
1.558968E+3,	170.132072E-9
1.558972E+3,	169.455582E-9
1.558976E+3,	168.944662E-9
1.558980E+3,	169.107042E-9
1.558984E+3,	170.325844E-9
1.558988E+3,	172.152567E-9
1.558992E+3,	174.649836E-9
1.558996E+3,	178.036585E-9
1.559000E+3,	182.526974E-9
1.559004E+3,	187.562710E-9
1.559008E+3,	193.902289E-9
1.559012E+3,	199.163738E-9
1.559016E+3,	203.356713E-9
1.559020E+3,	210.206399E-9
1.559024E+3,	216.495813E-9
1.559028E+3,	220.552587E-9
1.559032E+3,	223.825621E-9
1.559036E+3,	226.767704E-9
1.559040E+3,	229.301332E-9
1.559044E+3,	231.511665E-9
1.559048E+3,	233.257865E-9
1.559052E+3,	233.339057E-9
1.559056E+3,	232.911285E-9
1.559060E+3,	232.056475E-9
1.559064E+3,	230.740354E-9
1.559068E+3,	228.886854E-9
1.559072E+3,	225.918358E-9
1.559076E+3,	223.236612E-9
1.559080E+3,	221.515745E-9
1.559084E+3,	220.566708E-9
1.559088E+3,	219.718117E-9
1.559092E+3,	219.427463E-9
1.559096E+3,	220.337021E-9
1.559100E+3,	222.678338E-9
1.559104E+3,	225.054198E-9
1.559108E+3,	227.115796E-9
1.559112E+3,	230.149430E-9
1.559116E+3,	235.180573E-9
1.559120E+3,	240.620921E-9
1.559124E+3,	245.607891E-9
1.559128E+3,	251.589728E-9
1.559132E+3,	256.869355E-9
1.559136E+3,	261.839086E-9
1.559140E+3,	268.281492E-9
1.559144E+3,	272.672365E-9
1.559148E+3,	275.285069E-9
1.559152E+3,	278.336462E-9
1.559156E+3,	281.386317E-9
1.559160E+3,	283.261834E-9
1.559164E+3,	283.611679E-9
1.559168E+3,	282.722587E-9
1.559172E+3,	281.430432E-9
1.559176E+3,	280.686813E-9
1.559180E+3,	278.531115E-9
1.559184E+3,	275.382129E-9
1.559188E+3,	271.860028E-9
1.559192E+3,	268.233191E-9
1.559196E+3,	265.285169E-9
1.559200E+3,	263.077914E-9
1.559204E+3,	260.923507E-9
1.559208E+3,	258.867249E-9
1.559212E+3,	258.474373E-9
1.559216E+3,	259.173400E-9
1.559220E+3,	260.773213E-9
1.559224E+3,	262.148489E-9
1.559228E+3,	263.810979E-9
1.559232E+3,	266.432751E-9
1.559236E+3,	270.558713E-9
1.559240E+3,	274.139435E-9
1.559244E+3,	277.179089E-9
1.559248E+3,	282.370335E-9
1.559252E+3,	288.212045E-9
1.559256E+3,	293.757938E-9
1.559260E+3,	299.560921E-9
1.559264E+3,	303.394692E-9
1.559268E+3,	306.576177E-9
1.559272E+3,	310.164877E-9
1.559276E+3,	313.117386E-9
1.559280E+3,	313.816733E-9
1.559284E+3,	312.943849E-9
1.559288E+3,	311.112341E-9
1.559292E+3,	309.321369E-9
1.559296E+3,	307.115599E-9
1.559300E+3,	302.547021E-9
1.559304E+3,	298.337686E-9
1.559308E+3,	295.923877E-9
1.559312E+3,	293.648564E-9
1.559316E+3,	290.754504E-9
1.559320E+3,	288.099443E-9
1.559324E+3,	286.350757E-9
1.559328E+3,	285.844602E-9
1.559332E+3,	286.531621E-9
1.559336E+3,	287.003716E-9
1.559340E+3,	288.278208E-9
1.559344E+3,	290.914001E-9
1.559348E+3,	294.006366E-9
1.559352E+3,	298.111340E-9
1.559356E+3,	302.779475E-9
1.559360E+3,	307.101669E-9
1.559364E+3,	312.202984E-9
1.559368E+3,	319.769358E-9
1.559372E+3,	325.913666E-9
1.559376E+3,	329.832629E-9
1.559380E+3,	334.011590E-9
1.559384E+3,	338.029257E-9
1.559388E+3,	341.083029E-9
1.559392E+3,	342.822512E-9
1.559396E+3,	341.920823E-9
1.559400E+3,	339.982994E-9
1.559404E+3,	338.169475E-9
1.559408E+3,	334.939295E-9
1.559412E+3,	330.950461E-9
1.559416E+3,	327.087903E-9
1.559420E+3,	322.155714E-9
1.559424E+3,	319.003252E-9
1.559428E+3,	316.518329E-9
1.559432E+3,	313.520140E-9
1.559436E+3,	310.588080E-9
1.559440E+3,	309.438765E-9
1.559444E+3,	309.401540E-9
1.559448E+3,	309.299278E-9
1.559452E+3,	309.609545E-9
1.559456E+3,	311.064868E-9
1.559460E+3,	315.513024E-9
1.559464E+3,	320.348075E-9
1.559468E+3,	324.089016E-9
1.559472E+3,	328.204685E-9
1.559476E+3,	334.218891E-9
1.559480E+3,	340.023917E-9
1.559484E+3,	345.411676E-9
1.559488E+3,	350.675930E-9
1.559492E+3,	354.405665E-9
1.559496E+3,	357.748477E-9
1.559500E+3,	361.326186E-9
1.559504E+3,	362.458355E-9
1.559508E+3,	361.499399E-9
1.559512E+3,	359.661711E-9
1.559516E+3,	357.664440E-9
1.559520E+3,	355.698608E-9
1.559524E+3,	352.750607E-9
1.559528E+3,	347.478773E-9
1.559532E+3,	342.940582E-9
1.559536E+3,	340.375586E-9
1.559540E+3,	336.430810E-9
1.559544E+3,	332.747322E-9
1.559548E+3,	330.024836E-9
1.559552E+3,	327.928852E-9
1.559556E+3,	327.532324E-9
1.559560E+3,	327.642486E-9
1.559564E+3,	327.720736E-9
1.559568E+3,	329.012652E-9
1.559572E+3,	332.112892E-9
1.559576E+3,	335.686248E-9
1.559580E+3,	340.229216E-9
1.559584E+3,	343.816471E-9
1.559588E+3,	347.373433E-9
1.559592E+3,	352.164977E-9
1.559596E+3,	357.108679E-9
1.559600E+3,	359.773232E-9
1.559604E+3,	361.112990E-9
1.559608E+3,	362.990543E-9
1.559612E+3,	364.597955E-9
1.559616E+3,	364.936124E-9
1.559620E+3,	362.927849E-9
1.559624E+3,	360.036450E-9
1.559628E+3,	357.888560E-9
1.559632E+3,	355.757860E-9
1.559636E+3,	352.005408E-9
1.559640E+3,	347.725988E-9
1.559644E+3,	344.112188E-9
1.559648E+3,	339.397894E-9
1.559652E+3,	335.845024E-9
1.559656E+3,	332.034777E-9
1.559660E+3,	326.401018E-9
1.559664E+3,	322.616664E-9
1.559668E+3,	320.828136E-9
1.559672E+3,	319.572272E-9
1.559676E+3,	318.487325E-9
1.559680E+3,	318.436107E-9
1.559684E+3,	319.646494E-9
1.559688E+3,	323.013200E-9
1.559692E+3,	326.135166E-9
1.559696E+3,	328.512774E-9
1.559700E+3,	331.421441E-9
1.559704E+3,	334.633672E-9
1.559708E+3,	336.881061E-9
1.559712E+3,	338.875519E-9
1.559716E+3,	340.458874E-9
1.559720E+3,	341.999798E-9
1.559724E+3,	343.969687E-9
1.559728E+3,	345.898373E-9
1.559732E+3,	345.902856E-9
1.559736E+3,	344.767416E-9
1.559740E+3,	343.624616E-9
1.559744E+3,	342.755495E-9
1.559748E+3,	341.245831E-9
1.559752E+3,	338.193130E-9
1.559756E+3,	333.101309E-9
1.559760E+3,	329.209972E-9
1.559764E+3,	326.297912E-9
1.559768E+3,	321.980732E-9
1.559772E+3,	318.313757E-9
1.559776E+3,	316.138303E-9
1.559780E+3,	314.751096E-9
1.559784E+3,	314.125387E-9
1.559788E+3,	313.400394E-9
1.559792E+3,	312.578041E-9
1.559796E+3,	313.304994E-9
1.559800E+3,	315.357538E-9
1.559804E+3,	316.947801E-9
1.559808E+3,	318.458775E-9
1.559812E+3,	319.670232E-9
1.559816E+3,	321.715230E-9
1.559820E+3,	325.048525E-9
1.559824E+3,	327.230519E-9
1.559828E+3,	327.685663E-9
1.559832E+3,	328.289920E-9
1.559836E+3,	330.008431E-9
1.559840E+3,	331.731327E-9
1.559844E+3,	332.282856E-9
1.559848E+3,	331.241330E-9
1.559852E+3,	329.775891E-9
