YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/08/2023 Time: 19:52:47,	
A_WL(nm),	A_I(mW)
1.557000E+3,	193.488839E-12
1.557004E+3,	201.591685E-12
1.557008E+3,	200.195114E-12
1.557012E+3,	204.479223E-12
1.557016E+3,	203.250586E-12
1.557020E+3,	207.663155E-12
1.557024E+3,	208.302631E-12
1.557028E+3,	208.856293E-12
1.557032E+3,	207.888965E-12
1.557036E+3,	204.964343E-12
1.557040E+3,	209.240609E-12
1.557044E+3,	211.172919E-12
1.557048E+3,	218.579196E-12
1.557052E+3,	209.950561E-12
1.557056E+3,	220.880137E-12
1.557060E+3,	217.708414E-12
1.557064E+3,	229.253546E-12
1.557068E+3,	238.915923E-12
1.557072E+3,	220.217719E-12
1.557076E+3,	225.563834E-12
1.557080E+3,	233.496704E-12
1.557084E+3,	226.898697E-12
1.557088E+3,	208.427655E-12
1.557092E+3,	231.891648E-12
1.557096E+3,	231.283316E-12
1.557100E+3,	227.278668E-12
1.557104E+3,	226.518291E-12
1.557108E+3,	227.752165E-12
1.557112E+3,	234.071952E-12
1.557116E+3,	236.330179E-12
1.557120E+3,	237.221241E-12
1.557124E+3,	234.065129E-12
1.557128E+3,	243.147409E-12
1.557132E+3,	242.236291E-12
1.557136E+3,	244.280608E-12
1.557140E+3,	242.186312E-12
1.557144E+3,	255.217330E-12
1.557148E+3,	255.858213E-12
1.557152E+3,	252.629088E-12
1.557156E+3,	264.895252E-12
1.557160E+3,	256.627825E-12
1.557164E+3,	257.082548E-12
1.557168E+3,	262.650888E-12
1.557172E+3,	267.799535E-12
1.557176E+3,	262.222285E-12
1.557180E+3,	254.166509E-12
1.557184E+3,	257.408216E-12
1.557188E+3,	261.410973E-12
1.557192E+3,	258.887139E-12
1.557196E+3,	258.450627E-12
1.557200E+3,	260.645424E-12
1.557204E+3,	260.517478E-12
1.557208E+3,	265.540699E-12
1.557212E+3,	272.646699E-12
1.557216E+3,	280.066177E-12
