YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/08/2023 Time: 19:52:22,	
A_WL(nm),	A_I(mW)
1.557000E+3,	134.994698E-12
1.557004E+3,	130.148052E-12
1.557008E+3,	124.000392E-12
1.557012E+3,	138.647792E-12
1.557016E+3,	128.744442E-12
1.557020E+3,	129.019350E-12
1.557024E+3,	138.361174E-12
1.557028E+3,	141.963128E-12
1.557032E+3,	123.401075E-12
1.557036E+3,	142.183029E-12
1.557040E+3,	139.129784E-12
1.557044E+3,	128.410528E-12
1.557048E+3,	143.375320E-12
1.557052E+3,	134.615965E-12
1.557056E+3,	129.958838E-12
1.557060E+3,	135.655649E-12
1.557064E+3,	138.251637E-12
1.557068E+3,	133.378378E-12
1.557072E+3,	149.241380E-12
1.557076E+3,	144.414591E-12
1.557080E+3,	145.988449E-12
1.557084E+3,	141.943701E-12
1.557088E+3,	135.990087E-12
1.557092E+3,	148.538253E-12
1.557096E+3,	136.308258E-12
1.557100E+3,	145.258062E-12
1.557104E+3,	140.426913E-12
1.557108E+3,	153.436048E-12
1.557112E+3,	150.982522E-12
1.557116E+3,	143.518226E-12
1.557120E+3,	145.393473E-12
1.557124E+3,	150.725858E-12
1.557128E+3,	150.646717E-12
1.557132E+3,	160.182232E-12
1.557136E+3,	151.527185E-12
1.557140E+3,	156.462291E-12
1.557144E+3,	161.537827E-12
1.557148E+3,	167.166968E-12
1.557152E+3,	163.932345E-12
1.557156E+3,	165.606600E-12
1.557160E+3,	161.572562E-12
1.557164E+3,	168.759235E-12
1.557168E+3,	169.782100E-12
1.557172E+3,	162.934296E-12
1.557176E+3,	178.794410E-12
1.557180E+3,	183.152964E-12
1.557184E+3,	170.621879E-12
1.557188E+3,	189.883904E-12
1.557192E+3,	186.635983E-12
1.557196E+3,	179.046370E-12
1.557200E+3,	175.855120E-12
1.557204E+3,	196.289350E-12
1.557208E+3,	175.089615E-12
1.557212E+3,	180.864065E-12
1.557216E+3,	195.633038E-12
1.557220E+3,	171.232514E-12
1.557224E+3,	184.812138E-12
1.557228E+3,	188.970809E-12
1.557232E+3,	200.273463E-12
1.557236E+3,	188.095654E-12
1.557240E+3,	202.044178E-12
1.557244E+3,	195.776869E-12
1.557248E+3,	205.293599E-12
1.557252E+3,	195.841407E-12
1.557256E+3,	195.487843E-12
1.557260E+3,	194.580949E-12
1.557264E+3,	180.521255E-12
1.557268E+3,	197.092540E-12
1.557272E+3,	203.627285E-12
1.557276E+3,	195.596540E-12
1.557280E+3,	199.216922E-12
1.557284E+3,	201.121389E-12
1.557288E+3,	202.124938E-12
1.557292E+3,	202.045040E-12
