YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/08/2023 Time: 19:55:00,	
A_WL(nm),	A_I(mW)
1.557000E+3,	44.799872E-12
1.557004E+3,	40.555143E-12
1.557008E+3,	48.852941E-12
1.557012E+3,	46.430281E-12
1.557016E+3,	36.668189E-12
1.557020E+3,	35.802039E-12
1.557024E+3,	34.764683E-12
1.557028E+3,	30.185725E-12
1.557032E+3,	40.091313E-12
1.557036E+3,	9.031568E-12
1.557040E+3,	30.003351E-12
1.557044E+3,	25.735555E-12
1.557048E+3,	22.880032E-12
1.557052E+3,	31.599144E-12
1.557056E+3,	37.467767E-12
1.557060E+3,	31.298068E-12
1.557064E+3,	38.255022E-12
1.557068E+3,	57.268677E-12
1.557072E+3,	51.520263E-12
1.557076E+3,	62.258327E-12
1.557080E+3,	43.004204E-12
1.557084E+3,	53.048633E-12
1.557088E+3,	44.800283E-12
1.557092E+3,	53.093973E-12
1.557096E+3,	44.082562E-12
1.557100E+3,	42.854150E-12
1.557104E+3,	38.925889E-12
1.557108E+3,	31.365369E-12
1.557112E+3,	40.334833E-12
1.557116E+3,	30.506189E-12
1.557120E+3,	38.065211E-12
1.557124E+3,	33.611129E-12
1.557128E+3,	41.998071E-12
1.557132E+3,	39.960349E-12
1.557136E+3,	29.391335E-12
1.557140E+3,	38.982436E-12
1.557144E+3,	47.871607E-12
1.557148E+3,	58.059436E-12
1.557152E+3,	51.524000E-12
1.557156E+3,	50.042866E-12
1.557160E+3,	56.553235E-12
1.557164E+3,	65.156396E-12
1.557168E+3,	58.324259E-12
1.557172E+3,	59.883112E-12
1.557176E+3,	41.234823E-12
1.557180E+3,	46.771481E-12
1.557184E+3,	36.850959E-12
1.557188E+3,	42.847088E-12
1.557192E+3,	41.023784E-12
1.557196E+3,	39.795722E-12
1.557200E+3,	40.596965E-12
1.557204E+3,	34.093938E-12
1.557208E+3,	37.118073E-12
1.557212E+3,	40.649177E-12
1.557216E+3,	39.390707E-12
1.557220E+3,	42.828769E-12
1.557224E+3,	55.574939E-12
1.557228E+3,	65.673109E-12
1.557232E+3,	66.116309E-12
1.557236E+3,	61.360215E-12
1.557240E+3,	67.230201E-12
1.557244E+3,	63.511140E-12
1.557248E+3,	44.682110E-12
1.557252E+3,	55.131589E-12
1.557256E+3,	49.260849E-12
1.557260E+3,	56.951403E-12
1.557264E+3,	48.217622E-12
1.557268E+3,	33.386177E-12
1.557272E+3,	45.799041E-12
1.557276E+3,	42.629085E-12
1.557280E+3,	36.540141E-12
1.557284E+3,	43.511271E-12
1.557288E+3,	54.460917E-12
1.557292E+3,	66.802560E-12
1.557296E+3,	64.710770E-12
1.557300E+3,	72.194244E-12
1.557304E+3,	67.775746E-12
1.557308E+3,	69.734969E-12
1.557312E+3,	83.656287E-12
1.557316E+3,	75.223014E-12
1.557320E+3,	87.427135E-12
1.557324E+3,	80.011415E-12
1.557328E+3,	81.702634E-12
1.557332E+3,	66.365273E-12
1.557336E+3,	62.488652E-12
1.557340E+3,	61.623163E-12
1.557344E+3,	70.935193E-12
1.557348E+3,	67.812598E-12
1.557352E+3,	73.051843E-12
1.557356E+3,	75.270891E-12
1.557360E+3,	86.281096E-12
1.557364E+3,	95.233852E-12
1.557368E+3,	106.988731E-12
1.557372E+3,	118.318908E-12
1.557376E+3,	136.196284E-12
1.557380E+3,	147.919408E-12
1.557384E+3,	145.648804E-12
1.557388E+3,	156.216212E-12
1.557392E+3,	170.616200E-12
1.557396E+3,	165.343098E-12
1.557400E+3,	163.848858E-12
1.557404E+3,	146.883288E-12
1.557408E+3,	151.588129E-12
1.557412E+3,	137.068489E-12
1.557416E+3,	129.487411E-12
1.557420E+3,	125.955351E-12
1.557424E+3,	128.587417E-12
1.557428E+3,	125.005116E-12
1.557432E+3,	141.194321E-12
1.557436E+3,	154.908108E-12
1.557440E+3,	176.302801E-12
1.557444E+3,	212.643659E-12
1.557448E+3,	230.164430E-12
1.557452E+3,	252.884156E-12
1.557456E+3,	280.450432E-12
1.557460E+3,	306.802613E-12
1.557464E+3,	321.819911E-12
1.557468E+3,	346.333016E-12
1.557472E+3,	344.661751E-12
1.557476E+3,	347.507239E-12
1.557480E+3,	334.794080E-12
1.557484E+3,	328.111064E-12
1.557488E+3,	299.222168E-12
1.557492E+3,	287.190016E-12
1.557496E+3,	250.438011E-12
1.557500E+3,	231.782106E-12
1.557504E+3,	231.324609E-12
1.557508E+3,	217.388312E-12
1.557512E+3,	235.812491E-12
1.557516E+3,	254.651338E-12
1.557520E+3,	280.704681E-12
1.557524E+3,	313.233859E-12
1.557528E+3,	363.974727E-12
1.557532E+3,	387.429615E-12
1.557536E+3,	432.601230E-12
1.557540E+3,	480.646226E-12
1.557544E+3,	515.258968E-12
1.557548E+3,	538.615460E-12
1.557552E+3,	554.224543E-12
1.557556E+3,	542.457358E-12
1.557560E+3,	539.004737E-12
1.557564E+3,	508.147020E-12
1.557568E+3,	466.429070E-12
1.557572E+3,	441.024362E-12
1.557576E+3,	409.599927E-12
1.557580E+3,	376.725996E-12
1.557584E+3,	358.294653E-12
1.557588E+3,	359.908309E-12
1.557592E+3,	364.589907E-12
1.557596E+3,	388.498230E-12
1.557600E+3,	426.972904E-12
1.557604E+3,	481.210121E-12
1.557608E+3,	553.340028E-12
1.557612E+3,	615.219018E-12
1.557616E+3,	696.230120E-12
1.557620E+3,	751.376194E-12
1.557624E+3,	804.158973E-12
1.557628E+3,	825.005508E-12
1.557632E+3,	847.557897E-12
1.557636E+3,	845.250923E-12
1.557640E+3,	828.798191E-12
1.557644E+3,	797.525605E-12
1.557648E+3,	764.715036E-12
1.557652E+3,	690.994350E-12
1.557656E+3,	647.889679E-12
1.557660E+3,	616.899518E-12
1.557664E+3,	578.178082E-12
1.557668E+3,	565.690210E-12
1.557672E+3,	589.433054E-12
1.557676E+3,	624.442524E-12
1.557680E+3,	693.612713E-12
1.557684E+3,	774.334259E-12
1.557688E+3,	837.589536E-12
1.557692E+3,	957.171077E-12
1.557696E+3,	1.056155E-9
1.557700E+3,	1.121192E-9
1.557704E+3,	1.189105E-9
1.557708E+3,	1.252568E-9
1.557712E+3,	1.265678E-9
1.557716E+3,	1.269112E-9
1.557720E+3,	1.228014E-9
1.557724E+3,	1.176028E-9
1.557728E+3,	1.099893E-9
1.557732E+3,	1.023153E-9
1.557736E+3,	943.995323E-12
1.557740E+3,	881.522867E-12
1.557744E+3,	863.804312E-12
1.557748E+3,	847.878419E-12
1.557752E+3,	881.733959E-12
1.557756E+3,	933.973223E-12
1.557760E+3,	1.026369E-9
1.557764E+3,	1.165787E-9
1.557768E+3,	1.303272E-9
1.557772E+3,	1.439152E-9
1.557776E+3,	1.611616E-9
1.557780E+3,	1.737496E-9
1.557784E+3,	1.821534E-9
1.557788E+3,	1.893284E-9
1.557792E+3,	1.893703E-9
1.557796E+3,	1.872688E-9
1.557800E+3,	1.799845E-9
1.557804E+3,	1.694367E-9
1.557808E+3,	1.589706E-9
1.557812E+3,	1.496295E-9
1.557816E+3,	1.406410E-9
1.557820E+3,	1.348982E-9
1.557824E+3,	1.344381E-9
1.557828E+3,	1.375070E-9
1.557832E+3,	1.468196E-9
1.557836E+3,	1.657663E-9
1.557840E+3,	1.887561E-9
1.557844E+3,	2.098258E-9
1.557848E+3,	2.414235E-9
1.557852E+3,	2.703328E-9
1.557856E+3,	2.911754E-9
1.557860E+3,	3.108250E-9
1.557864E+3,	3.243319E-9
1.557868E+3,	3.291182E-9
1.557872E+3,	3.268522E-9
1.557876E+3,	3.157239E-9
1.557880E+3,	2.965969E-9
1.557884E+3,	2.797937E-9
1.557888E+3,	2.592501E-9
