YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 25/09/2023 Time: 12:18:25,	
A_WL(nm),	A_I(mW)
1.547000E+3,	32.603283E-12
1.547004E+3,	3.856822E-12
1.547008E+3,	14.855466E-12
1.547012E+3,	22.094641E-12
1.547016E+3,	36.471398E-12
1.547020E+3,	39.105196E-12
1.547024E+3,	41.451415E-12
1.547028E+3,	28.088511E-12
1.547032E+3,	23.910892E-12
1.547036E+3,	4.526860E-12
1.547040E+3,	16.207261E-12
1.547044E+3,	8.565202E-12
1.547048E+3,	5.050960E-12
1.547052E+3,	11.114779E-12
1.547056E+3,	14.776640E-12
1.547060E+3,	0.000000E+0
1.547064E+3,	25.140861E-12
1.547068E+3,	12.263355E-12
1.547072E+3,	7.387899E-12
1.547076E+3,	33.165056E-12
1.547080E+3,	20.304601E-12
1.547084E+3,	13.439655E-12
1.547088E+3,	5.640276E-12
1.547092E+3,	0.000000E+0
1.547096E+3,	20.449511E-12
1.547100E+3,	20.938566E-12
1.547104E+3,	0.000000E+0
1.547108E+3,	0.000000E+0
1.547112E+3,	31.067535E-12
1.547116E+3,	16.917413E-12
1.547120E+3,	20.250264E-12
1.547124E+3,	27.839747E-12
1.547128E+3,	31.570020E-12
1.547132E+3,	0.000000E+0
1.547136E+3,	7.534714E-12
1.547140E+3,	13.258523E-12
1.547144E+3,	35.954511E-12
1.547148E+3,	8.274164E-12
1.547152E+3,	17.180532E-12
1.547156E+3,	14.272868E-12
1.547160E+3,	28.455599E-12
1.547164E+3,	22.278954E-12
1.547168E+3,	28.181765E-12
1.547172E+3,	33.867835E-12
1.547176E+3,	21.052097E-12
1.547180E+3,	21.160802E-12
1.547184E+3,	8.268395E-12
1.547188E+3,	13.831453E-12
1.547192E+3,	16.747381E-12
1.547196E+3,	10.145368E-12
1.547200E+3,	1.467090E-12
1.547204E+3,	14.475448E-12
1.547208E+3,	39.551703E-12
1.547212E+3,	47.032578E-12
1.547216E+3,	30.219538E-12
1.547220E+3,	35.310561E-12
1.547224E+3,	10.290308E-12
1.547228E+3,	27.753439E-12
1.547232E+3,	10.021405E-12
1.547236E+3,	36.470076E-12
1.547240E+3,	18.316357E-12
1.547244E+3,	24.566885E-12
1.547248E+3,	24.824798E-12
1.547252E+3,	9.037340E-12
1.547256E+3,	18.044594E-12
1.547260E+3,	32.683526E-12
1.547264E+3,	32.321173E-12
1.547268E+3,	4.106915E-12
1.547272E+3,	3.132945E-12
1.547276E+3,	23.956694E-12
1.547280E+3,	7.864374E-12
1.547284E+3,	1.050630E-12
1.547288E+3,	8.272936E-12
1.547292E+3,	35.083111E-12
1.547296E+3,	12.702858E-12
1.547300E+3,	11.198760E-12
1.547304E+3,	3.533298E-12
1.547308E+3,	21.824452E-12
1.547312E+3,	20.118432E-12
1.547316E+3,	25.333655E-12
1.547320E+3,	22.361704E-12
1.547324E+3,	39.613528E-12
1.547328E+3,	27.836579E-12
1.547332E+3,	29.411983E-12
1.547336E+3,	43.799627E-12
1.547340E+3,	28.051905E-12
1.547344E+3,	43.709024E-12
1.547348E+3,	37.980445E-12
1.547352E+3,	32.479314E-12
1.547356E+3,	45.273283E-12
1.547360E+3,	24.916856E-12
1.547364E+3,	51.048295E-12
1.547368E+3,	21.676377E-12
1.547372E+3,	28.928993E-12
1.547376E+3,	45.829258E-12
1.547380E+3,	23.539612E-12
