YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 25/09/2023 Time: 12:18:48,	
A_WL(nm),	A_I(mW)
1.547000E+3,	10.854921E-12
1.547004E+3,	868.813778E-15
1.547008E+3,	6.597696E-12
1.547012E+3,	0.000000E+0
1.547016E+3,	23.161178E-12
1.547020E+3,	13.997945E-12
1.547024E+3,	11.932778E-12
1.547028E+3,	10.519343E-12
1.547032E+3,	13.545216E-12
1.547036E+3,	4.671735E-12
1.547040E+3,	30.350509E-12
1.547044E+3,	10.539098E-12
1.547048E+3,	3.286917E-12
1.547052E+3,	23.444249E-12
1.547056E+3,	22.400593E-12
1.547060E+3,	3.604124E-12
1.547064E+3,	19.181578E-12
1.547068E+3,	40.061928E-15
1.547072E+3,	13.954455E-12
1.547076E+3,	12.099272E-12
1.547080E+3,	17.007980E-12
1.547084E+3,	16.555145E-12
1.547088E+3,	11.662420E-12
1.547092E+3,	3.109345E-12
1.547096E+3,	0.000000E+0
1.547100E+3,	8.730192E-12
1.547104E+3,	3.258522E-12
1.547108E+3,	26.369270E-12
1.547112E+3,	14.374305E-12
1.547116E+3,	9.581522E-12
1.547120E+3,	7.697734E-12
1.547124E+3,	31.190705E-12
1.547128E+3,	10.508591E-12
1.547132E+3,	9.005515E-12
1.547136E+3,	9.509065E-12
1.547140E+3,	0.000000E+0
1.547144E+3,	13.439655E-12
1.547148E+3,	32.145387E-12
1.547152E+3,	35.873475E-12
1.547156E+3,	8.621513E-12
1.547160E+3,	11.501530E-12
1.547164E+3,	18.891764E-12
1.547168E+3,	25.509519E-12
1.547172E+3,	14.094981E-12
1.547176E+3,	37.919482E-12
1.547180E+3,	0.000000E+0
1.547184E+3,	6.866102E-12
1.547188E+3,	13.391592E-12
1.547192E+3,	20.846127E-12
1.547196E+3,	13.521018E-12
1.547200E+3,	11.721590E-12
1.547204E+3,	19.276581E-12
1.547208E+3,	12.171233E-12
1.547212E+3,	0.000000E+0
1.547216E+3,	9.221376E-12
1.547220E+3,	14.348626E-12
1.547224E+3,	16.414020E-12
1.547228E+3,	11.511640E-12
1.547232E+3,	7.000553E-12
1.547236E+3,	11.051241E-12
1.547240E+3,	27.828039E-12
1.547244E+3,	2.970842E-12
1.547248E+3,	13.391596E-12
1.547252E+3,	24.210260E-12
1.547256E+3,	11.685354E-12
1.547260E+3,	17.954008E-12
1.547264E+3,	13.044170E-12
1.547268E+3,	17.471225E-12
1.547272E+3,	5.902061E-12
1.547276E+3,	19.573710E-12
1.547280E+3,	21.872418E-12
1.547284E+3,	20.368323E-12
1.547288E+3,	42.934733E-12
1.547292E+3,	2.137930E-12
1.547296E+3,	20.495171E-12
1.547300E+3,	90.182652E-15
1.547304E+3,	24.065137E-12
1.547308E+3,	32.288108E-12
1.547312E+3,	44.107698E-12
1.547316E+3,	7.121386E-12
1.547320E+3,	32.709170E-12
1.547324E+3,	22.669773E-12
1.547328E+3,	19.496351E-12
1.547332E+3,	41.566854E-12
1.547336E+3,	16.236584E-12
1.547340E+3,	16.290946E-12
1.547344E+3,	20.277715E-12
1.547348E+3,	33.938251E-12
1.547352E+3,	1.302425E-12
1.547356E+3,	0.000000E+0
1.547360E+3,	27.876489E-12
1.547364E+3,	28.486826E-12
1.547368E+3,	4.556348E-12
1.547372E+3,	31.951686E-12
1.547376E+3,	12.992804E-12
1.547380E+3,	29.211692E-12
1.547384E+3,	14.080108E-12
1.547388E+3,	15.236692E-12
1.547392E+3,	26.831533E-12
1.547396E+3,	11.038206E-12
1.547400E+3,	26.717053E-12
1.547404E+3,	34.656173E-12
1.547408E+3,	0.000000E+0
1.547412E+3,	8.881233E-12
1.547416E+3,	29.490307E-12
1.547420E+3,	24.070683E-12
1.547424E+3,	39.967039E-12
1.547428E+3,	20.255723E-12
1.547432E+3,	15.269159E-12
1.547436E+3,	23.762548E-12
1.547440E+3,	11.091135E-12
1.547444E+3,	12.923293E-12
1.547448E+3,	10.502671E-12
1.547452E+3,	14.166727E-12
1.547456E+3,	4.440403E-12
1.547460E+3,	8.863107E-12
1.547464E+3,	22.820001E-12
1.547468E+3,	5.605786E-12
1.547472E+3,	0.000000E+0
1.547476E+3,	27.460211E-12
1.547480E+3,	25.665754E-12
1.547484E+3,	21.134300E-12
1.547488E+3,	1.281178E-12
1.547492E+3,	0.000000E+0
1.547496E+3,	29.091538E-12
1.547500E+3,	11.273843E-12
1.547504E+3,	3.951915E-12
1.547508E+3,	29.269943E-12
1.547512E+3,	10.761165E-12
1.547516E+3,	26.995159E-12
1.547520E+3,	22.643956E-12
1.547524E+3,	320.111411E-15
1.547528E+3,	24.336640E-12
1.547532E+3,	14.365791E-12
1.547536E+3,	23.133465E-12
1.547540E+3,	24.166874E-12
1.547544E+3,	10.514980E-12
1.547548E+3,	13.554420E-12
1.547552E+3,	18.089508E-12
1.547556E+3,	7.541657E-12
1.547560E+3,	4.822156E-12
1.547564E+3,	10.097989E-12
1.547568E+3,	25.968142E-12
1.547572E+3,	17.356672E-12
1.547576E+3,	17.766987E-12
1.547580E+3,	11.131398E-12
1.547584E+3,	19.924449E-12
1.547588E+3,	20.938667E-12
1.547592E+3,	29.356832E-12
1.547596E+3,	18.691612E-12
1.547600E+3,	35.860726E-12
1.547604E+3,	49.053579E-12
1.547608E+3,	50.259257E-12
1.547612E+3,	44.432604E-12
1.547616E+3,	45.425710E-12
1.547620E+3,	44.265110E-12
1.547624E+3,	56.143004E-12
1.547628E+3,	62.135825E-12
1.547632E+3,	89.767603E-12
1.547636E+3,	66.134943E-12
1.547640E+3,	39.622763E-12
1.547644E+3,	57.521198E-12
1.547648E+3,	37.469059E-12
1.547652E+3,	39.900509E-12
1.547656E+3,	24.244979E-12
1.547660E+3,	44.754745E-12
1.547664E+3,	30.084185E-12
1.547668E+3,	26.716557E-12
1.547672E+3,	18.254016E-12
1.547676E+3,	33.837962E-12
1.547680E+3,	40.837753E-12
1.547684E+3,	41.422400E-12
1.547688E+3,	69.275459E-12
1.547692E+3,	67.319386E-12
1.547696E+3,	55.314640E-12
1.547700E+3,	78.502459E-12
1.547704E+3,	95.476058E-12
1.547708E+3,	95.731577E-12
1.547712E+3,	123.435338E-12
1.547716E+3,	120.736976E-12
1.547720E+3,	137.656169E-12
1.547724E+3,	157.386117E-12
1.547728E+3,	151.800599E-12
1.547732E+3,	151.557981E-12
1.547736E+3,	146.992859E-12
