YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 27/09/2023 Time: 14:55:51,	
A_WL(nm),	A_I(mW)
1.552400E+3,	0.000000E+0
1.552404E+3,	0.000000E+0
1.552408E+3,	7.486251E-12
1.552412E+3,	0.000000E+0
1.552416E+3,	0.000000E+0
1.552420E+3,	11.700554E-12
1.552424E+3,	0.000000E+0
1.552428E+3,	4.543062E-12
1.552432E+3,	1.911771E-12
1.552436E+3,	5.249151E-12
1.552440E+3,	0.000000E+0
1.552444E+3,	0.000000E+0
1.552448E+3,	0.000000E+0
1.552452E+3,	0.000000E+0
1.552456E+3,	3.642423E-12
1.552460E+3,	5.597680E-12
1.552464E+3,	0.000000E+0
1.552468E+3,	6.227751E-12
1.552472E+3,	4.380257E-12
1.552476E+3,	0.000000E+0
1.552480E+3,	7.370157E-12
1.552484E+3,	12.101677E-12
1.552488E+3,	11.433778E-12
1.552492E+3,	4.952076E-12
1.552496E+3,	0.000000E+0
1.552500E+3,	6.182574E-12
1.552504E+3,	0.000000E+0
1.552508E+3,	0.000000E+0
1.552512E+3,	0.000000E+0
1.552516E+3,	8.319812E-12
1.552520E+3,	8.839385E-12
1.552524E+3,	0.000000E+0
1.552528E+3,	3.542990E-12
1.552532E+3,	0.000000E+0
1.552536E+3,	0.000000E+0
1.552540E+3,	0.000000E+0
1.552544E+3,	13.550948E-12
1.552548E+3,	16.576764E-12
1.552552E+3,	12.055523E-12
1.552556E+3,	22.739087E-12
1.552560E+3,	9.122931E-12
1.552564E+3,	8.270874E-12
1.552568E+3,	0.000000E+0
1.552572E+3,	22.665286E-12
1.552576E+3,	17.591517E-12
1.552580E+3,	0.000000E+0
1.552584E+3,	7.213166E-12
1.552588E+3,	14.847477E-12
1.552592E+3,	9.069670E-12
1.552596E+3,	6.133262E-12
1.552600E+3,	705.978948E-15
1.552604E+3,	6.467611E-12
1.552608E+3,	13.865385E-12
1.552612E+3,	16.008494E-12
1.552616E+3,	8.347781E-12
1.552620E+3,	11.265733E-12
1.552624E+3,	7.058150E-12
1.552628E+3,	9.224526E-12
1.552632E+3,	14.001315E-12
1.552636E+3,	12.407959E-12
1.552640E+3,	22.043061E-12
1.552644E+3,	0.000000E+0
1.552648E+3,	6.715907E-12
1.552652E+3,	0.000000E+0
1.552656E+3,	11.231411E-12
1.552660E+3,	0.000000E+0
1.552664E+3,	5.307890E-12
1.552668E+3,	0.000000E+0
1.552672E+3,	0.000000E+0
1.552676E+3,	0.000000E+0
1.552680E+3,	0.000000E+0
1.552684E+3,	8.543845E-12
1.552688E+3,	0.000000E+0
