YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 27/09/2023 Time: 14:41:27,	
A_WL(nm),	A_I(mW)
1.552400E+3,	11.136217E-12
1.552404E+3,	17.497310E-12
1.552408E+3,	0.000000E+0
1.552412E+3,	12.100343E-12
1.552416E+3,	10.220980E-12
1.552420E+3,	15.349750E-12
1.552424E+3,	0.000000E+0
1.552428E+3,	0.000000E+0
1.552432E+3,	19.517267E-12
1.552436E+3,	14.929225E-12
1.552440E+3,	0.000000E+0
1.552444E+3,	31.494499E-12
1.552448E+3,	0.000000E+0
1.552452E+3,	0.000000E+0
1.552456E+3,	0.000000E+0
1.552460E+3,	12.342925E-12
1.552464E+3,	0.000000E+0
1.552468E+3,	0.000000E+0
1.552472E+3,	13.787524E-12
1.552476E+3,	0.000000E+0
1.552480E+3,	24.959870E-12
1.552484E+3,	5.970731E-12
1.552488E+3,	0.000000E+0
1.552492E+3,	2.455964E-12
1.552496E+3,	1.330769E-12
1.552500E+3,	9.407172E-12
1.552504E+3,	11.343636E-12
1.552508E+3,	12.124365E-12
1.552512E+3,	17.235034E-12
1.552516E+3,	0.000000E+0
1.552520E+3,	11.902966E-12
1.552524E+3,	26.611685E-12
1.552528E+3,	0.000000E+0
1.552532E+3,	0.000000E+0
1.552536E+3,	7.777918E-12
1.552540E+3,	4.578288E-12
1.552544E+3,	9.977741E-12
1.552548E+3,	11.515516E-12
1.552552E+3,	13.830456E-12
1.552556E+3,	13.580952E-12
1.552560E+3,	13.637272E-12
1.552564E+3,	101.338178E-15
1.552568E+3,	0.000000E+0
1.552572E+3,	16.330982E-12
1.552576E+3,	0.000000E+0
1.552580E+3,	0.000000E+0
1.552584E+3,	6.577441E-12
1.552588E+3,	3.653712E-12
1.552592E+3,	6.240232E-12
1.552596E+3,	0.000000E+0
1.552600E+3,	0.000000E+0
1.552604E+3,	0.000000E+0
1.552608E+3,	8.934562E-12
1.552612E+3,	6.387865E-12
1.552616E+3,	2.551044E-12
1.552620E+3,	0.000000E+0
1.552624E+3,	0.000000E+0
1.552628E+3,	0.000000E+0
1.552632E+3,	1.862215E-12
1.552636E+3,	8.735449E-12
1.552640E+3,	2.401732E-12
1.552644E+3,	0.000000E+0
1.552648E+3,	11.388986E-12
1.552652E+3,	10.993844E-12
1.552656E+3,	0.000000E+0
1.552660E+3,	22.891293E-12
1.552664E+3,	2.220107E-12
1.552668E+3,	12.064803E-12
1.552672E+3,	10.113109E-12
1.552676E+3,	21.359236E-12
1.552680E+3,	0.000000E+0
1.552684E+3,	0.000000E+0
1.552688E+3,	0.000000E+0
1.552692E+3,	0.000000E+0
1.552696E+3,	14.418813E-12
1.552700E+3,	11.062710E-12
1.552704E+3,	0.000000E+0
1.552708E+3,	5.909414E-12
1.552712E+3,	5.964789E-12
1.552716E+3,	9.120118E-12
1.552720E+3,	0.000000E+0
1.552724E+3,	0.000000E+0
1.552728E+3,	8.013691E-12
1.552732E+3,	5.642521E-12
