YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 27/09/2023 Time: 14:35:53,	
A_WL(nm),	A_I(mW)
1.552400E+3,	22.987643E-12
1.552404E+3,	0.000000E+0
1.552408E+3,	0.000000E+0
1.552412E+3,	0.000000E+0
1.552416E+3,	8.752651E-12
1.552420E+3,	27.615813E-12
1.552424E+3,	32.202564E-12
1.552428E+3,	14.727148E-12
1.552432E+3,	12.543655E-12
1.552436E+3,	291.289114E-15
1.552440E+3,	7.632727E-12
1.552444E+3,	14.310114E-12
1.552448E+3,	10.030683E-12
1.552452E+3,	0.000000E+0
1.552456E+3,	0.000000E+0
1.552460E+3,	4.349369E-12
1.552464E+3,	15.066392E-12
1.552468E+3,	0.000000E+0
1.552472E+3,	18.348779E-12
1.552476E+3,	11.155877E-12
1.552480E+3,	0.000000E+0
1.552484E+3,	14.336946E-12
1.552488E+3,	11.218982E-12
1.552492E+3,	0.000000E+0
1.552496E+3,	23.975723E-12
1.552500E+3,	774.412040E-15
1.552504E+3,	9.776634E-12
1.552508E+3,	9.128939E-12
1.552512E+3,	13.224855E-12
1.552516E+3,	10.046016E-12
1.552520E+3,	0.000000E+0
1.552524E+3,	6.675081E-12
1.552528E+3,	0.000000E+0
1.552532E+3,	0.000000E+0
1.552536E+3,	128.218709E-15
1.552540E+3,	0.000000E+0
1.552544E+3,	494.306896E-15
1.552548E+3,	17.271839E-12
1.552552E+3,	13.314934E-12
1.552556E+3,	4.905816E-12
1.552560E+3,	0.000000E+0
1.552564E+3,	6.453679E-12
1.552568E+3,	10.744160E-12
1.552572E+3,	8.494839E-12
1.552576E+3,	36.066041E-12
1.552580E+3,	13.024902E-12
1.552584E+3,	5.109678E-12
1.552588E+3,	11.107597E-12
1.552592E+3,	0.000000E+0
1.552596E+3,	0.000000E+0
1.552600E+3,	0.000000E+0
1.552604E+3,	10.408275E-12
1.552608E+3,	0.000000E+0
1.552612E+3,	5.661629E-12
1.552616E+3,	10.413075E-12
1.552620E+3,	0.000000E+0
1.552624E+3,	35.114726E-12
1.552628E+3,	22.898768E-12
1.552632E+3,	3.613201E-12
1.552636E+3,	26.609225E-12
1.552640E+3,	36.738699E-12
1.552644E+3,	33.878284E-12
1.552648E+3,	35.723713E-12
1.552652E+3,	3.222406E-12
1.552656E+3,	18.524671E-12
1.552660E+3,	12.104973E-12
1.552664E+3,	1.823552E-12
1.552668E+3,	10.588015E-12
1.552672E+3,	0.000000E+0
1.552676E+3,	15.095263E-12
1.552680E+3,	33.793794E-12
1.552684E+3,	3.862384E-12
1.552688E+3,	0.000000E+0
1.552692E+3,	2.967982E-12
1.552696E+3,	0.000000E+0
1.552700E+3,	26.187185E-12
1.552704E+3,	827.761586E-15
1.552708E+3,	8.044089E-12
1.552712E+3,	20.669751E-12
1.552716E+3,	6.793250E-12
1.552720E+3,	32.397743E-12
1.552724E+3,	12.031140E-12
1.552728E+3,	0.000000E+0
1.552732E+3,	0.000000E+0
1.552736E+3,	9.760069E-12
1.552740E+3,	29.942845E-12
1.552744E+3,	10.409182E-12
1.552748E+3,	0.000000E+0
1.552752E+3,	0.000000E+0
1.552756E+3,	26.271661E-12
1.552760E+3,	18.255880E-12
1.552764E+3,	21.062229E-12
1.552768E+3,	0.000000E+0
1.552772E+3,	0.000000E+0
1.552776E+3,	0.000000E+0
1.552780E+3,	5.498072E-12
1.552784E+3,	0.000000E+0
1.552788E+3,	21.024332E-12
1.552792E+3,	12.310851E-12
1.552796E+3,	568.499958E-15
1.552800E+3,	14.215879E-12
1.552804E+3,	571.415312E-15
1.552808E+3,	2.175266E-12
1.552812E+3,	24.058747E-12
1.552816E+3,	30.977376E-12
1.552820E+3,	5.423527E-12
1.552824E+3,	16.708849E-12
1.552828E+3,	13.568646E-12
1.552832E+3,	0.000000E+0
1.552836E+3,	4.443801E-12
1.552840E+3,	10.226909E-12
1.552844E+3,	0.000000E+0
1.552848E+3,	5.667950E-12
1.552852E+3,	0.000000E+0
1.552856E+3,	9.295779E-12
1.552860E+3,	26.865738E-12
1.552864E+3,	19.866720E-12
1.552868E+3,	21.471676E-12
1.552872E+3,	38.407659E-12
1.552876E+3,	26.625668E-12
1.552880E+3,	8.657207E-12
1.552884E+3,	37.373497E-12
1.552888E+3,	16.787558E-12
1.552892E+3,	26.908870E-12
1.552896E+3,	0.000000E+0
1.552900E+3,	23.437940E-12
1.552904E+3,	20.357384E-12
1.552908E+3,	12.205697E-12
1.552912E+3,	21.533714E-12
1.552916E+3,	0.000000E+0
1.552920E+3,	0.000000E+0
1.552924E+3,	0.000000E+0
1.552928E+3,	16.617129E-12
1.552932E+3,	29.093919E-12
1.552936E+3,	11.024505E-12
1.552940E+3,	5.980859E-12
1.552944E+3,	6.516528E-12
1.552948E+3,	34.002663E-12
1.552952E+3,	26.851281E-12
1.552956E+3,	29.946920E-12
1.552960E+3,	18.116519E-12
1.552964E+3,	32.383837E-12
1.552968E+3,	21.535310E-12
1.552972E+3,	15.694556E-12
1.552976E+3,	27.025923E-12
1.552980E+3,	6.721261E-12
1.552984E+3,	13.809164E-12
1.552988E+3,	0.000000E+0
1.552992E+3,	0.000000E+0
1.552996E+3,	0.000000E+0
1.553000E+3,	0.000000E+0
1.553004E+3,	25.146273E-12
1.553008E+3,	40.790225E-12
1.553012E+3,	0.000000E+0
1.553016E+3,	0.000000E+0
1.553020E+3,	0.000000E+0
1.553024E+3,	16.901304E-12
1.553028E+3,	11.512058E-12
1.553032E+3,	3.095701E-12
1.553036E+3,	34.107904E-12
1.553040E+3,	23.705777E-12
1.553044E+3,	772.301891E-15
1.553048E+3,	25.195920E-12
1.553052E+3,	13.994134E-12
1.553056E+3,	14.281057E-12
1.553060E+3,	24.629769E-12
1.553064E+3,	11.782921E-12
1.553068E+3,	16.491832E-12
1.553072E+3,	1.308217E-12
1.553076E+3,	217.906688E-15
1.553080E+3,	802.541850E-15
1.553084E+3,	19.012869E-12
1.553088E+3,	0.000000E+0
1.553092E+3,	10.732932E-12
1.553096E+3,	19.819964E-12
1.553100E+3,	28.610320E-12
1.553104E+3,	30.875146E-12
1.553108E+3,	7.868556E-12
1.553112E+3,	25.089587E-12
1.553116E+3,	49.229971E-12
1.553120E+3,	41.123238E-12
1.553124E+3,	21.345271E-12
1.553128E+3,	31.654354E-12
1.553132E+3,	16.075358E-12
1.553136E+3,	13.896183E-12
1.553140E+3,	27.851668E-12
1.553144E+3,	28.616242E-12
1.553148E+3,	735.511567E-15
1.553152E+3,	9.367580E-12
1.553156E+3,	0.000000E+0
1.553160E+3,	0.000000E+0
1.553164E+3,	0.000000E+0
1.553168E+3,	0.000000E+0
1.553172E+3,	18.276910E-12
1.553176E+3,	32.917992E-12
1.553180E+3,	12.203039E-12
1.553184E+3,	22.009892E-12
1.553188E+3,	49.847739E-12
1.553192E+3,	46.986992E-12
1.553196E+3,	14.888021E-12
1.553200E+3,	15.933097E-12
1.553204E+3,	44.432482E-12
1.553208E+3,	24.096254E-12
1.553212E+3,	24.860050E-12
1.553216E+3,	24.400762E-12
1.553220E+3,	2.048353E-12
1.553224E+3,	1.407985E-12
1.553228E+3,	0.000000E+0
1.553232E+3,	9.018459E-12
1.553236E+3,	5.357767E-12
1.553240E+3,	14.813715E-12
1.553244E+3,	20.703089E-12
1.553248E+3,	17.652518E-12
1.553252E+3,	17.800423E-12
1.553256E+3,	30.908659E-12
1.553260E+3,	35.279302E-12
1.553264E+3,	42.676890E-12
1.553268E+3,	25.779775E-12
1.553272E+3,	48.902270E-12
1.553276E+3,	29.269933E-12
1.553280E+3,	4.156982E-12
1.553284E+3,	45.736765E-12
1.553288E+3,	2.090677E-12
1.553292E+3,	23.241345E-12
1.553296E+3,	23.185866E-12
1.553300E+3,	20.102645E-12
1.553304E+3,	13.256315E-12
1.553308E+3,	21.687968E-12
1.553312E+3,	5.895285E-12
1.553316E+3,	0.000000E+0
1.553320E+3,	3.188554E-12
1.553324E+3,	23.759139E-12
1.553328E+3,	35.058117E-12
1.553332E+3,	26.712514E-12
1.553336E+3,	20.567708E-12
1.553340E+3,	27.403790E-12
1.553344E+3,	11.849904E-12
1.553348E+3,	29.943652E-12
1.553352E+3,	22.161220E-12
1.553356E+3,	33.771408E-12
1.553360E+3,	35.454630E-12
1.553364E+3,	27.842328E-12
1.553368E+3,	8.329468E-12
1.553372E+3,	22.747284E-12
1.553376E+3,	6.525536E-12
1.553380E+3,	278.643204E-15
1.553384E+3,	0.000000E+0
1.553388E+3,	0.000000E+0
1.553392E+3,	1.235435E-12
1.553396E+3,	9.816297E-12
1.553400E+3,	18.936931E-12
1.553404E+3,	1.808837E-12
1.553408E+3,	10.557852E-12
1.553412E+3,	27.384953E-12
1.553416E+3,	27.726639E-12
1.553420E+3,	51.015310E-12
1.553424E+3,	46.933487E-12
1.553428E+3,	45.857155E-12
1.553432E+3,	43.760060E-12
1.553436E+3,	17.757218E-12
1.553440E+3,	57.011769E-12
1.553444E+3,	24.112897E-12
1.553448E+3,	22.329920E-12
1.553452E+3,	9.931246E-12
1.553456E+3,	16.369635E-12
1.553460E+3,	10.370228E-12
1.553464E+3,	24.222874E-12
1.553468E+3,	5.176458E-12
1.553472E+3,	0.000000E+0
1.553476E+3,	27.619996E-12
1.553480E+3,	14.314066E-12
1.553484E+3,	23.825587E-12
1.553488E+3,	16.092119E-12
1.553492E+3,	45.663643E-12
1.553496E+3,	26.232680E-12
1.553500E+3,	12.949909E-12
1.553504E+3,	31.677352E-12
1.553508E+3,	23.831076E-12
1.553512E+3,	15.392620E-12
1.553516E+3,	31.177712E-12
1.553520E+3,	33.988117E-12
1.553524E+3,	4.054264E-12
1.553528E+3,	19.740411E-12
1.553532E+3,	0.000000E+0
1.553536E+3,	0.000000E+0
1.553540E+3,	588.315435E-15
1.553544E+3,	0.000000E+0
1.553548E+3,	11.006843E-12
1.553552E+3,	0.000000E+0
1.553556E+3,	4.545102E-12
1.553560E+3,	0.000000E+0
1.553564E+3,	14.485856E-12
1.553568E+3,	30.511517E-12
1.553572E+3,	19.282116E-12
