YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 27/09/2023 Time: 14:34:17,	
A_WL(nm),	A_I(mW)
1.552400E+3,	12.152844E-12
1.552404E+3,	0.000000E+0
1.552408E+3,	0.000000E+0
1.552412E+3,	0.000000E+0
1.552416E+3,	20.676757E-12
1.552420E+3,	0.000000E+0
1.552424E+3,	0.000000E+0
1.552428E+3,	0.000000E+0
1.552432E+3,	0.000000E+0
1.552436E+3,	5.557086E-12
1.552440E+3,	2.080533E-12
1.552444E+3,	0.000000E+0
1.552448E+3,	26.083364E-12
1.552452E+3,	4.718286E-12
1.552456E+3,	0.000000E+0
1.552460E+3,	0.000000E+0
1.552464E+3,	4.183357E-12
1.552468E+3,	0.000000E+0
1.552472E+3,	0.000000E+0
1.552476E+3,	0.000000E+0
1.552480E+3,	16.210034E-12
1.552484E+3,	2.370636E-12
1.552488E+3,	7.887085E-12
1.552492E+3,	11.801481E-12
1.552496E+3,	17.058541E-12
1.552500E+3,	0.000000E+0
1.552504E+3,	4.475832E-12
1.552508E+3,	0.000000E+0
1.552512E+3,	0.000000E+0
1.552516E+3,	12.650733E-12
1.552520E+3,	10.732155E-12
1.552524E+3,	4.350373E-12
1.552528E+3,	0.000000E+0
1.552532E+3,	8.952035E-12
1.552536E+3,	2.202396E-12
1.552540E+3,	1.748912E-12
1.552544E+3,	8.704589E-12
1.552548E+3,	0.000000E+0
1.552552E+3,	3.312827E-12
1.552556E+3,	0.000000E+0
1.552560E+3,	0.000000E+0
1.552564E+3,	531.205531E-15
1.552568E+3,	0.000000E+0
1.552572E+3,	3.390968E-12
1.552576E+3,	0.000000E+0
1.552580E+3,	17.398577E-12
1.552584E+3,	19.819447E-12
1.552588E+3,	1.293784E-12
1.552592E+3,	0.000000E+0
1.552596E+3,	13.301717E-12
1.552600E+3,	90.103026E-15
1.552604E+3,	6.314913E-12
1.552608E+3,	0.000000E+0
1.552612E+3,	1.324865E-12
1.552616E+3,	1.385655E-12
1.552620E+3,	5.885996E-12
1.552624E+3,	10.256755E-12
1.552628E+3,	9.476862E-12
1.552632E+3,	9.136471E-12
1.552636E+3,	0.000000E+0
1.552640E+3,	0.000000E+0
1.552644E+3,	0.000000E+0
1.552648E+3,	11.190704E-12
1.552652E+3,	12.692723E-12
1.552656E+3,	6.610150E-12
1.552660E+3,	531.451321E-15
1.552664E+3,	15.482893E-12
1.552668E+3,	1.002984E-12
1.552672E+3,	18.151615E-12
1.552676E+3,	9.853029E-12
