YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 25/09/2023 Time: 12:19:36,	
A_WL(nm),	A_I(mW)
1.547000E+3,	11.793699E-12
1.547004E+3,	29.915889E-12
1.547008E+3,	0.000000E+0
1.547012E+3,	3.314501E-12
1.547016E+3,	1.086122E-12
1.547020E+3,	18.651998E-12
1.547024E+3,	0.000000E+0
1.547028E+3,	934.858585E-15
1.547032E+3,	11.595148E-12
1.547036E+3,	13.114944E-12
1.547040E+3,	12.440559E-12
1.547044E+3,	3.132456E-12
1.547048E+3,	23.557932E-12
1.547052E+3,	6.134952E-12
1.547056E+3,	32.958227E-12
1.547060E+3,	34.523560E-12
1.547064E+3,	23.528776E-12
1.547068E+3,	18.093714E-12
1.547072E+3,	41.868027E-12
1.547076E+3,	25.557462E-12
1.547080E+3,	9.128686E-12
1.547084E+3,	19.362711E-12
1.547088E+3,	29.434782E-12
1.547092E+3,	5.534622E-12
1.547096E+3,	21.011024E-12
1.547100E+3,	7.480375E-12
1.547104E+3,	18.420818E-12
1.547108E+3,	11.483418E-12
1.547112E+3,	0.000000E+0
1.547116E+3,	0.000000E+0
1.547120E+3,	14.635136E-12
1.547124E+3,	16.790620E-12
1.547128E+3,	0.000000E+0
1.547132E+3,	0.000000E+0
1.547136E+3,	14.399663E-12
1.547140E+3,	22.786130E-12
1.547144E+3,	0.000000E+0
1.547148E+3,	17.479990E-12
1.547152E+3,	31.732200E-12
1.547156E+3,	35.882055E-12
1.547160E+3,	22.134050E-12
1.547164E+3,	26.282000E-12
1.547168E+3,	29.677713E-12
1.547172E+3,	28.100755E-12
1.547176E+3,	23.407374E-12
1.547180E+3,	20.707864E-12
1.547184E+3,	19.946929E-12
1.547188E+3,	44.468419E-12
1.547192E+3,	11.051242E-12
1.547196E+3,	0.000000E+0
1.547200E+3,	18.841763E-12
1.547204E+3,	19.095408E-12
1.547208E+3,	15.096384E-12
1.547212E+3,	19.965046E-12
1.547216E+3,	11.069358E-12
1.547220E+3,	17.954006E-12
1.547224E+3,	10.707009E-12
1.547228E+3,	8.928299E-12
1.547232E+3,	16.886982E-12
1.547236E+3,	5.833405E-12
1.547240E+3,	6.050815E-12
1.547244E+3,	8.224914E-12
1.547248E+3,	17.420071E-12
1.547252E+3,	22.562523E-12
1.547256E+3,	19.584581E-12
1.547260E+3,	24.476307E-12
1.547264E+3,	0.000000E+0
1.547268E+3,	19.632536E-12
1.547272E+3,	27.276882E-12
1.547276E+3,	29.875316E-12
1.547280E+3,	37.984029E-12
1.547284E+3,	33.089730E-12
1.547288E+3,	25.617011E-12
1.547292E+3,	16.707745E-12
1.547296E+3,	24.880613E-12
1.547300E+3,	24.391329E-12
1.547304E+3,	30.933252E-12
1.547308E+3,	37.545521E-12
1.547312E+3,	51.455564E-12
1.547316E+3,	49.091149E-12
1.547320E+3,	38.798047E-12
1.547324E+3,	31.875578E-12
1.547328E+3,	39.950384E-12
1.547332E+3,	40.033182E-12
1.547336E+3,	3.497054E-12
1.547340E+3,	4.674963E-12
1.547344E+3,	0.000000E+0
1.547348E+3,	0.000000E+0
1.547352E+3,	20.530461E-12
1.547356E+3,	960.020638E-15
1.547360E+3,	10.497088E-12
1.547364E+3,	18.284330E-12
1.547368E+3,	721.145155E-15
1.547372E+3,	19.730436E-12
1.547376E+3,	32.201766E-12
1.547380E+3,	54.745114E-12
1.547384E+3,	27.345161E-12
1.547388E+3,	54.878364E-12
1.547392E+3,	52.245862E-12
