YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/08/2023 Time: 19:38:12,	
A_WL(nm),	A_I(mW)
1.557000E+3,	274.164931E-12
1.557004E+3,	268.972893E-12
1.557008E+3,	275.052905E-12
1.557012E+3,	269.183684E-12
1.557016E+3,	287.234583E-12
1.557020E+3,	289.020877E-12
1.557024E+3,	278.056926E-12
1.557028E+3,	298.050586E-12
1.557032E+3,	281.284997E-12
1.557036E+3,	280.967962E-12
1.557040E+3,	296.696540E-12
1.557044E+3,	311.593517E-12
1.557048E+3,	288.272555E-12
1.557052E+3,	294.786125E-12
1.557056E+3,	307.628468E-12
1.557060E+3,	296.049273E-12
1.557064E+3,	290.893235E-12
1.557068E+3,	305.265566E-12
1.557072E+3,	290.399247E-12
1.557076E+3,	278.846642E-12
1.557080E+3,	298.397758E-12
1.557084E+3,	281.002517E-12
1.557088E+3,	287.492249E-12
1.557092E+3,	314.713203E-12
1.557096E+3,	300.443712E-12
1.557100E+3,	303.758100E-12
1.557104E+3,	310.198590E-12
1.557108E+3,	299.348731E-12
1.557112E+3,	309.131898E-12
1.557116E+3,	305.775989E-12
1.557120E+3,	313.149447E-12
1.557124E+3,	306.677624E-12
1.557128E+3,	301.172568E-12
1.557132E+3,	292.485216E-12
1.557136E+3,	311.345729E-12
1.557140E+3,	326.794877E-12
1.557144E+3,	315.776147E-12
1.557148E+3,	300.826081E-12
1.557152E+3,	307.387481E-12
1.557156E+3,	325.728402E-12
1.557160E+3,	321.032208E-12
1.557164E+3,	314.482211E-12
1.557168E+3,	316.183319E-12
1.557172E+3,	312.852306E-12
1.557176E+3,	306.570301E-12
1.557180E+3,	313.963242E-12
1.557184E+3,	324.216423E-12
1.557188E+3,	325.877219E-12
1.557192E+3,	320.379034E-12
1.557196E+3,	330.353808E-12
1.557200E+3,	318.818251E-12
1.557204E+3,	314.649485E-12
1.557208E+3,	315.919973E-12
1.557212E+3,	314.104304E-12
1.557216E+3,	318.701255E-12
1.557220E+3,	324.480666E-12
1.557224E+3,	306.786605E-12
