YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/08/2023 Time: 19:41:14,	
A_WL(nm),	A_I(mW)
1.557000E+3,	112.481030E-12
1.557004E+3,	134.677923E-12
1.557008E+3,	116.260567E-12
1.557012E+3,	118.709863E-12
1.557016E+3,	112.219327E-12
1.557020E+3,	98.527432E-12
1.557024E+3,	82.515779E-12
1.557028E+3,	76.551067E-12
1.557032E+3,	84.694083E-12
1.557036E+3,	77.995055E-12
1.557040E+3,	70.828825E-12
1.557044E+3,	76.631415E-12
1.557048E+3,	81.756374E-12
1.557052E+3,	92.841266E-12
1.557056E+3,	88.146498E-12
1.557060E+3,	86.006377E-12
1.557064E+3,	95.424331E-12
1.557068E+3,	113.305398E-12
1.557072E+3,	131.424954E-12
1.557076E+3,	126.354728E-12
1.557080E+3,	134.480301E-12
1.557084E+3,	119.334109E-12
1.557088E+3,	116.321924E-12
1.557092E+3,	111.688724E-12
1.557096E+3,	104.746669E-12
1.557100E+3,	95.630453E-12
1.557104E+3,	90.800030E-12
1.557108E+3,	88.005388E-12
1.557112E+3,	74.504744E-12
1.557116E+3,	71.204301E-12
1.557120E+3,	88.994221E-12
1.557124E+3,	73.248661E-12
1.557128E+3,	78.584815E-12
1.557132E+3,	98.584490E-12
1.557136E+3,	96.977971E-12
1.557140E+3,	114.808619E-12
1.557144E+3,	131.308657E-12
1.557148E+3,	148.791713E-12
1.557152E+3,	154.591000E-12
1.557156E+3,	144.016600E-12
1.557160E+3,	143.762548E-12
1.557164E+3,	165.335383E-12
1.557168E+3,	164.525173E-12
1.557172E+3,	165.732260E-12
1.557176E+3,	125.297669E-12
1.557180E+3,	121.127998E-12
1.557184E+3,	120.932644E-12
1.557188E+3,	129.230920E-12
1.557192E+3,	105.246771E-12
1.557196E+3,	99.789693E-12
1.557200E+3,	95.898789E-12
1.557204E+3,	96.338823E-12
1.557208E+3,	113.432369E-12
1.557212E+3,	116.389729E-12
1.557216E+3,	153.460341E-12
1.557220E+3,	154.639004E-12
1.557224E+3,	172.163162E-12
1.557228E+3,	178.553607E-12
1.557232E+3,	210.332324E-12
1.557236E+3,	215.127985E-12
1.557240E+3,	222.525316E-12
1.557244E+3,	215.346933E-12
1.557248E+3,	221.536199E-12
1.557252E+3,	217.157145E-12
1.557256E+3,	204.311819E-12
1.557260E+3,	182.389870E-12
1.557264E+3,	176.959621E-12
1.557268E+3,	173.961810E-12
1.557272E+3,	151.284948E-12
1.557276E+3,	153.896255E-12
1.557280E+3,	145.564609E-12
1.557284E+3,	165.927739E-12
1.557288E+3,	166.094523E-12
1.557292E+3,	189.490673E-12
1.557296E+3,	190.166754E-12
1.557300E+3,	225.725225E-12
1.557304E+3,	244.746691E-12
1.557308E+3,	264.965585E-12
1.557312E+3,	273.942349E-12
1.557316E+3,	287.816220E-12
1.557320E+3,	309.218359E-12
1.557324E+3,	332.608484E-12
1.557328E+3,	322.591315E-12
1.557332E+3,	298.644121E-12
1.557336E+3,	308.862802E-12
1.557340E+3,	301.240299E-12
1.557344E+3,	283.727587E-12
1.557348E+3,	274.383134E-12
1.557352E+3,	274.600079E-12
1.557356E+3,	276.298540E-12
1.557360E+3,	274.044355E-12
1.557364E+3,	270.726491E-12
1.557368E+3,	293.198456E-12
1.557372E+3,	332.226496E-12
1.557376E+3,	329.993758E-12
1.557380E+3,	366.845934E-12
1.557384E+3,	404.543975E-12
1.557388E+3,	450.350281E-12
1.557392E+3,	466.569696E-12
1.557396E+3,	487.360191E-12
1.557400E+3,	510.517722E-12
1.557404E+3,	519.253011E-12
1.557408E+3,	514.043333E-12
1.557412E+3,	508.531395E-12
1.557416E+3,	476.017417E-12
1.557420E+3,	475.787805E-12
1.557424E+3,	471.391002E-12
1.557428E+3,	449.351619E-12
1.557432E+3,	456.150468E-12
1.557436E+3,	449.768236E-12
1.557440E+3,	473.697830E-12
1.557444E+3,	494.872561E-12
1.557448E+3,	504.527581E-12
1.557452E+3,	557.045960E-12
1.557456E+3,	613.280177E-12
1.557460E+3,	642.635782E-12
1.557464E+3,	671.535906E-12
1.557468E+3,	709.943231E-12
1.557472E+3,	737.149119E-12
1.557476E+3,	772.830737E-12
1.557480E+3,	761.357564E-12
1.557484E+3,	760.076995E-12
1.557488E+3,	760.245861E-12
1.557492E+3,	770.629328E-12
1.557496E+3,	741.502939E-12
1.557500E+3,	747.236800E-12
1.557504E+3,	745.824499E-12
1.557508E+3,	731.376393E-12
1.557512E+3,	754.918419E-12
1.557516E+3,	754.419518E-12
1.557520E+3,	837.204300E-12
1.557524E+3,	886.894191E-12
1.557528E+3,	945.471553E-12
1.557532E+3,	1.013978E-9
1.557536E+3,	1.095423E-9
1.557540E+3,	1.155064E-9
1.557544E+3,	1.203516E-9
1.557548E+3,	1.271287E-9
1.557552E+3,	1.300171E-9
1.557556E+3,	1.289858E-9
1.557560E+3,	1.280516E-9
1.557564E+3,	1.266787E-9
1.557568E+3,	1.237894E-9
1.557572E+3,	1.182664E-9
1.557576E+3,	1.136402E-9
1.557580E+3,	1.106557E-9
1.557584E+3,	1.079265E-9
1.557588E+3,	1.112882E-9
1.557592E+3,	1.157260E-9
1.557596E+3,	1.221952E-9
1.557600E+3,	1.260497E-9
1.557604E+3,	1.378311E-9
1.557608E+3,	1.482671E-9
1.557612E+3,	1.604341E-9
1.557616E+3,	1.705480E-9
1.557620E+3,	1.812760E-9
1.557624E+3,	1.899028E-9
1.557628E+3,	1.948320E-9
1.557632E+3,	1.993009E-9
1.557636E+3,	1.975421E-9
1.557640E+3,	1.947196E-9
1.557644E+3,	1.898259E-9
1.557648E+3,	1.830017E-9
1.557652E+3,	1.746507E-9
1.557656E+3,	1.716145E-9
1.557660E+3,	1.672765E-9
1.557664E+3,	1.676548E-9
1.557668E+3,	1.710591E-9
1.557672E+3,	1.794662E-9
1.557676E+3,	1.891799E-9
1.557680E+3,	2.081887E-9
1.557684E+3,	2.306543E-9
1.557688E+3,	2.479322E-9
1.557692E+3,	2.721153E-9
1.557696E+3,	2.968807E-9
1.557700E+3,	3.112024E-9
1.557704E+3,	3.263604E-9
1.557708E+3,	3.350673E-9
1.557712E+3,	3.346932E-9
1.557716E+3,	3.289266E-9
1.557720E+3,	3.179439E-9
1.557724E+3,	3.007460E-9
1.557728E+3,	2.883573E-9
1.557732E+3,	2.708678E-9
1.557736E+3,	2.518665E-9
1.557740E+3,	2.402347E-9
1.557744E+3,	2.331648E-9
1.557748E+3,	2.317267E-9
1.557752E+3,	2.389347E-9
1.557756E+3,	2.509660E-9
1.557760E+3,	2.725167E-9
1.557764E+3,	3.061954E-9
1.557768E+3,	3.436388E-9
1.557772E+3,	3.702457E-9
1.557776E+3,	4.089393E-9
1.557780E+3,	4.347954E-9
1.557784E+3,	4.471795E-9
1.557788E+3,	4.581443E-9
1.557792E+3,	4.614150E-9
1.557796E+3,	4.535371E-9
1.557800E+3,	4.404950E-9
1.557804E+3,	4.112076E-9
1.557808E+3,	3.840909E-9
1.557812E+3,	3.605518E-9
1.557816E+3,	3.353569E-9
1.557820E+3,	3.119827E-9
1.557824E+3,	2.977808E-9
1.557828E+3,	2.977992E-9
1.557832E+3,	3.103754E-9
1.557836E+3,	3.365694E-9
1.557840E+3,	3.652208E-9
1.557844E+3,	4.047681E-9
1.557848E+3,	4.556423E-9
1.557852E+3,	5.025570E-9
1.557856E+3,	5.383268E-9
1.557860E+3,	5.792244E-9
1.557864E+3,	6.047049E-9
1.557868E+3,	6.164570E-9
1.557872E+3,	6.193239E-9
1.557876E+3,	6.046500E-9
1.557880E+3,	5.761445E-9
1.557884E+3,	5.440342E-9
1.557888E+3,	4.944023E-9
1.557892E+3,	4.511610E-9
1.557896E+3,	4.158507E-9
1.557900E+3,	3.870423E-9
1.557904E+3,	3.710616E-9
1.557908E+3,	3.707656E-9
1.557912E+3,	3.859068E-9
1.557916E+3,	4.207864E-9
1.557920E+3,	4.649807E-9
1.557924E+3,	5.075014E-9
1.557928E+3,	5.607763E-9
1.557932E+3,	6.235587E-9
1.557936E+3,	6.798138E-9
1.557940E+3,	7.200585E-9
1.557944E+3,	7.520769E-9
1.557948E+3,	7.645223E-9
1.557952E+3,	7.582353E-9
1.557956E+3,	7.365364E-9
1.557960E+3,	6.938566E-9
1.557964E+3,	6.420983E-9
1.557968E+3,	5.957912E-9
1.557972E+3,	5.401283E-9
1.557976E+3,	4.969361E-9
1.557980E+3,	4.694061E-9
1.557984E+3,	4.543267E-9
1.557988E+3,	4.559043E-9
1.557992E+3,	4.800719E-9
1.557996E+3,	5.140172E-9
1.558000E+3,	5.612096E-9
1.558004E+3,	6.429542E-9
1.558008E+3,	7.217855E-9
1.558012E+3,	7.819440E-9
1.558016E+3,	8.543330E-9
1.558020E+3,	9.081234E-9
1.558024E+3,	9.306604E-9
1.558028E+3,	9.349777E-9
1.558032E+3,	9.160995E-9
1.558036E+3,	8.815322E-9
1.558040E+3,	8.368449E-9
1.558044E+3,	7.636114E-9
1.558048E+3,	6.951972E-9
1.558052E+3,	6.421478E-9
1.558056E+3,	5.815849E-9
1.558060E+3,	5.381322E-9
1.558064E+3,	5.198624E-9
1.558068E+3,	5.233404E-9
1.558072E+3,	5.583521E-9
1.558076E+3,	6.164495E-9
1.558080E+3,	6.777175E-9
1.558084E+3,	7.738061E-9
1.558088E+3,	8.630828E-9
1.558092E+3,	9.268807E-9
1.558096E+3,	9.938376E-9
1.558100E+3,	10.361315E-9
1.558104E+3,	10.473205E-9
1.558108E+3,	10.403718E-9
1.558112E+3,	10.008872E-9
1.558116E+3,	9.409263E-9
1.558120E+3,	8.743658E-9
1.558124E+3,	7.784412E-9
1.558128E+3,	6.873531E-9
1.558132E+3,	6.219827E-9
1.558136E+3,	5.660705E-9
1.558140E+3,	5.294130E-9
1.558144E+3,	5.317568E-9
1.558148E+3,	5.616410E-9
1.558152E+3,	6.363410E-9
1.558156E+3,	7.397636E-9
1.558160E+3,	8.300685E-9
1.558164E+3,	9.323653E-9
1.558168E+3,	10.637444E-9
1.558172E+3,	11.713349E-9
1.558176E+3,	12.432996E-9
1.558180E+3,	13.146391E-9
1.558184E+3,	13.408966E-9
1.558188E+3,	13.352455E-9
1.558192E+3,	12.787565E-9
1.558196E+3,	11.916255E-9
1.558200E+3,	10.958887E-9
1.558204E+3,	9.854083E-9
1.558208E+3,	8.436948E-9
1.558212E+3,	7.256411E-9
1.558216E+3,	6.601621E-9
1.558220E+3,	6.020851E-9
1.558224E+3,	5.875825E-9
1.558228E+3,	6.048317E-9
1.558232E+3,	6.552646E-9
1.558236E+3,	7.506118E-9
1.558240E+3,	8.662788E-9
1.558244E+3,	9.672593E-9
1.558248E+3,	11.103435E-9
1.558252E+3,	12.328380E-9
1.558256E+3,	13.046225E-9
1.558260E+3,	13.590339E-9
1.558264E+3,	13.816475E-9
1.558268E+3,	13.533872E-9
1.558272E+3,	12.964761E-9
1.558276E+3,	11.781896E-9
1.558280E+3,	10.573738E-9
1.558284E+3,	9.510540E-9
1.558288E+3,	8.133392E-9
1.558292E+3,	7.067084E-9
1.558296E+3,	6.456665E-9
1.558300E+3,	6.001346E-9
1.558304E+3,	5.860404E-9
1.558308E+3,	6.162093E-9
1.558312E+3,	6.735099E-9
1.558316E+3,	8.009621E-9
1.558320E+3,	9.376986E-9
1.558324E+3,	10.522275E-9
1.558328E+3,	11.921480E-9
1.558332E+3,	13.361818E-9
1.558336E+3,	14.298027E-9
1.558340E+3,	14.780084E-9
1.558344E+3,	14.905061E-9
1.558348E+3,	14.555253E-9
1.558352E+3,	13.992796E-9
1.558356E+3,	13.069113E-9
1.558360E+3,	11.670468E-9
1.558364E+3,	10.307292E-9
1.558368E+3,	9.184293E-9
1.558372E+3,	7.670175E-9
1.558376E+3,	6.690334E-9
1.558380E+3,	6.220742E-9
1.558384E+3,	6.014686E-9
1.558388E+3,	6.346434E-9
1.558392E+3,	7.061428E-9
1.558396E+3,	8.136249E-9
1.558400E+3,	9.770886E-9
1.558404E+3,	11.263703E-9
1.558408E+3,	12.530360E-9
1.558412E+3,	14.010261E-9
1.558416E+3,	14.983874E-9
1.558420E+3,	15.519158E-9
1.558424E+3,	15.829927E-9
1.558428E+3,	15.670152E-9
1.558432E+3,	15.085981E-9
1.558436E+3,	14.179707E-9
1.558440E+3,	12.617456E-9
1.558444E+3,	11.144737E-9
1.558448E+3,	9.777792E-9
1.558452E+3,	8.344838E-9
1.558456E+3,	7.036053E-9
1.558460E+3,	6.203752E-9
1.558464E+3,	5.853932E-9
1.558468E+3,	5.921196E-9
1.558472E+3,	6.390710E-9
1.558476E+3,	7.073696E-9
1.558480E+3,	8.307446E-9
1.558484E+3,	9.480735E-9
1.558488E+3,	10.539278E-9
1.558492E+3,	11.700133E-9
1.558496E+3,	12.786131E-9
1.558500E+3,	13.518563E-9
1.558504E+3,	13.789214E-9
1.558508E+3,	13.607394E-9
1.558512E+3,	13.006240E-9
1.558516E+3,	12.162640E-9
1.558520E+3,	10.966600E-9
1.558524E+3,	9.436544E-9
1.558528E+3,	8.061178E-9
1.558532E+3,	7.023802E-9
1.558536E+3,	6.051834E-9
1.558540E+3,	5.555924E-9
1.558544E+3,	5.502251E-9
1.558548E+3,	5.778509E-9
1.558552E+3,	6.599901E-9
1.558556E+3,	7.828394E-9
1.558560E+3,	9.153622E-9
1.558564E+3,	11.010921E-9
1.558568E+3,	12.747640E-9
1.558572E+3,	14.063482E-9
1.558576E+3,	15.416226E-9
1.558580E+3,	16.120076E-9
1.558584E+3,	16.296500E-9
1.558588E+3,	16.032531E-9
1.558592E+3,	15.189104E-9
1.558596E+3,	13.965062E-9
1.558600E+3,	12.689324E-9
1.558604E+3,	10.958988E-9
1.558608E+3,	9.429647E-9
1.558612E+3,	8.239078E-9
1.558616E+3,	7.076954E-9
1.558620E+3,	6.243769E-9
1.558624E+3,	5.929997E-9
1.558628E+3,	6.113665E-9
1.558632E+3,	6.926332E-9
1.558636E+3,	8.140855E-9
1.558640E+3,	9.534551E-9
1.558644E+3,	11.214737E-9
1.558648E+3,	12.849640E-9
1.558652E+3,	14.123597E-9
1.558656E+3,	15.135028E-9
1.558660E+3,	15.822492E-9
1.558664E+3,	16.016003E-9
1.558668E+3,	15.766831E-9
1.558672E+3,	14.984296E-9
1.558676E+3,	13.898471E-9
1.558680E+3,	12.599150E-9
1.558684E+3,	11.124319E-9
1.558688E+3,	9.368379E-9
1.558692E+3,	7.820718E-9
1.558696E+3,	6.807223E-9
1.558700E+3,	6.006015E-9
1.558704E+3,	5.807039E-9
1.558708E+3,	6.132688E-9
1.558712E+3,	6.891994E-9
1.558716E+3,	8.271667E-9
1.558720E+3,	9.817191E-9
1.558724E+3,	11.158910E-9
1.558728E+3,	12.825008E-9
1.558732E+3,	14.273320E-9
1.558736E+3,	15.199442E-9
1.558740E+3,	15.956004E-9
1.558744E+3,	16.227647E-9
1.558748E+3,	15.965558E-9
1.558752E+3,	15.236935E-9
1.558756E+3,	13.839888E-9
1.558760E+3,	12.151447E-9
1.558764E+3,	10.613132E-9
1.558768E+3,	8.824502E-9
1.558772E+3,	7.237357E-9
1.558776E+3,	6.242831E-9
1.558780E+3,	5.525887E-9
1.558784E+3,	5.215634E-9
1.558788E+3,	5.435989E-9
1.558792E+3,	5.989498E-9
1.558796E+3,	7.088971E-9
1.558800E+3,	8.462577E-9
1.558804E+3,	9.736846E-9
1.558808E+3,	11.096984E-9
1.558812E+3,	12.667271E-9
1.558816E+3,	13.857138E-9
1.558820E+3,	14.378475E-9
1.558824E+3,	14.575638E-9
1.558828E+3,	14.250606E-9
1.558832E+3,	13.597064E-9
1.558836E+3,	12.341647E-9
1.558840E+3,	10.824884E-9
1.558844E+3,	9.560180E-9
1.558848E+3,	8.272494E-9
1.558852E+3,	6.837160E-9
1.558856E+3,	5.828682E-9
1.558860E+3,	5.384922E-9
1.558864E+3,	5.223508E-9
1.558868E+3,	5.541177E-9
1.558872E+3,	6.209935E-9
1.558876E+3,	7.214365E-9
1.558880E+3,	8.815568E-9
1.558884E+3,	10.484534E-9
1.558888E+3,	11.806466E-9
1.558892E+3,	13.290351E-9
1.558896E+3,	14.354975E-9
1.558900E+3,	14.789109E-9
1.558904E+3,	14.918427E-9
1.558908E+3,	14.449903E-9
1.558912E+3,	13.607435E-9
1.558916E+3,	12.638628E-9
1.558920E+3,	11.093850E-9
1.558924E+3,	9.509289E-9
1.558928E+3,	8.343159E-9
1.558932E+3,	6.846995E-9
1.558936E+3,	5.763001E-9
1.558940E+3,	5.233536E-9
1.558944E+3,	5.068665E-9
1.558948E+3,	5.468659E-9
1.558952E+3,	6.378680E-9
1.558956E+3,	7.347660E-9
1.558960E+3,	9.072081E-9
1.558964E+3,	10.813051E-9
1.558968E+3,	12.039938E-9
1.558972E+3,	13.209498E-9
1.558976E+3,	14.256585E-9
1.558980E+3,	14.806911E-9
1.558984E+3,	14.865237E-9
1.558988E+3,	14.450224E-9
1.558992E+3,	13.665273E-9
