YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/08/2023 Time: 19:37:40,	
A_WL(nm),	A_I(mW)
1.557000E+3,	366.050852E-12
1.557004E+3,	349.538142E-12
1.557008E+3,	334.808715E-12
1.557012E+3,	351.549417E-12
1.557016E+3,	356.386240E-12
1.557020E+3,	361.259897E-12
1.557024E+3,	364.600043E-12
1.557028E+3,	345.278664E-12
1.557032E+3,	340.322401E-12
1.557036E+3,	356.176377E-12
1.557040E+3,	354.017443E-12
1.557044E+3,	337.511779E-12
1.557048E+3,	344.073206E-12
1.557052E+3,	342.678294E-12
1.557056E+3,	358.363720E-12
1.557060E+3,	348.800523E-12
1.557064E+3,	332.046451E-12
1.557068E+3,	360.486468E-12
1.557072E+3,	347.582933E-12
1.557076E+3,	352.349810E-12
1.557080E+3,	342.322837E-12
1.557084E+3,	333.389884E-12
1.557088E+3,	345.018066E-12
1.557092E+3,	331.902890E-12
1.557096E+3,	343.725284E-12
1.557100E+3,	356.386198E-12
1.557104E+3,	342.714913E-12
1.557108E+3,	357.537662E-12
1.557112E+3,	339.388416E-12
1.557116E+3,	339.408920E-12
1.557120E+3,	335.978139E-12
1.557124E+3,	365.490904E-12
1.557128E+3,	349.370856E-12
1.557132E+3,	353.792144E-12
1.557136E+3,	338.000482E-12
1.557140E+3,	357.596931E-12
1.557144E+3,	361.153812E-12
1.557148E+3,	357.562331E-12
1.557152E+3,	379.363231E-12
1.557156E+3,	363.918858E-12
1.557160E+3,	371.899119E-12
1.557164E+3,	366.968131E-12
1.557168E+3,	374.565455E-12
1.557172E+3,	370.165485E-12
1.557176E+3,	378.745660E-12
1.557180E+3,	369.617195E-12
1.557184E+3,	382.726802E-12
1.557188E+3,	379.343652E-12
1.557192E+3,	388.525985E-12
1.557196E+3,	389.632242E-12
1.557200E+3,	405.714952E-12
1.557204E+3,	413.905813E-12
1.557208E+3,	415.346364E-12
1.557212E+3,	409.231570E-12
1.557216E+3,	427.488982E-12
1.557220E+3,	421.536431E-12
1.557224E+3,	430.944618E-12
1.557228E+3,	452.868137E-12
1.557232E+3,	462.503009E-12
1.557236E+3,	466.991968E-12
1.557240E+3,	476.215351E-12
1.557244E+3,	470.636061E-12
1.557248E+3,	484.391536E-12
1.557252E+3,	482.542408E-12
1.557256E+3,	499.212431E-12
1.557260E+3,	498.207333E-12
1.557264E+3,	529.841648E-12
1.557268E+3,	530.985117E-12
1.557272E+3,	531.136564E-12
1.557276E+3,	565.932173E-12
1.557280E+3,	570.509957E-12
1.557284E+3,	573.434929E-12
1.557288E+3,	604.097192E-12
1.557292E+3,	614.532163E-12
1.557296E+3,	645.004548E-12
1.557300E+3,	664.936573E-12
1.557304E+3,	697.994495E-12
1.557308E+3,	722.881881E-12
1.557312E+3,	732.965815E-12
1.557316E+3,	735.648470E-12
1.557320E+3,	774.178758E-12
1.557324E+3,	795.704491E-12
1.557328E+3,	813.607025E-12
1.557332E+3,	841.752279E-12
1.557336E+3,	858.561698E-12
1.557340E+3,	896.376961E-12
1.557344E+3,	919.092799E-12
1.557348E+3,	947.893973E-12
1.557352E+3,	985.396921E-12
1.557356E+3,	1.009366E-9
1.557360E+3,	1.047022E-9
1.557364E+3,	1.083035E-9
1.557368E+3,	1.118015E-9
1.557372E+3,	1.125700E-9
1.557376E+3,	1.164448E-9
1.557380E+3,	1.201819E-9
1.557384E+3,	1.252394E-9
1.557388E+3,	1.285326E-9
1.557392E+3,	1.315644E-9
1.557396E+3,	1.357914E-9
1.557400E+3,	1.416718E-9
1.557404E+3,	1.436043E-9
1.557408E+3,	1.471108E-9
1.557412E+3,	1.532945E-9
1.557416E+3,	1.577117E-9
1.557420E+3,	1.595188E-9
1.557424E+3,	1.671581E-9
1.557428E+3,	1.733188E-9
1.557432E+3,	1.759284E-9
1.557436E+3,	1.826625E-9
1.557440E+3,	1.896345E-9
