YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 03/10/2023 Time: 12:43:02,	
A_WL(nm),	A_I(mW)
1.549200E+3,	8.768385E-12
1.549204E+3,	6.047562E-12
1.549208E+3,	0.000000E+0
1.549212E+3,	0.000000E+0
1.549216E+3,	0.000000E+0
1.549220E+3,	10.315762E-12
1.549224E+3,	8.933954E-12
1.549228E+3,	10.098349E-12
1.549232E+3,	0.000000E+0
1.549236E+3,	4.343138E-12
1.549240E+3,	16.222600E-12
1.549244E+3,	12.264471E-12
1.549248E+3,	0.000000E+0
1.549252E+3,	13.449530E-12
1.549256E+3,	0.000000E+0
1.549260E+3,	5.422386E-12
1.549264E+3,	13.581101E-12
1.549268E+3,	0.000000E+0
1.549272E+3,	3.030334E-12
1.549276E+3,	10.739272E-12
1.549280E+3,	22.063202E-12
1.549284E+3,	17.098983E-12
1.549288E+3,	1.625294E-12
1.549292E+3,	5.511963E-12
1.549296E+3,	0.000000E+0
1.549300E+3,	0.000000E+0
1.549304E+3,	0.000000E+0
1.549308E+3,	0.000000E+0
1.549312E+3,	8.287458E-12
1.549316E+3,	9.659539E-12
1.549320E+3,	466.219726E-15
1.549324E+3,	10.094355E-12
1.549328E+3,	0.000000E+0
1.549332E+3,	0.000000E+0
1.549336E+3,	0.000000E+0
1.549340E+3,	12.649562E-12
1.549344E+3,	0.000000E+0
1.549348E+3,	0.000000E+0
1.549352E+3,	1.684717E-12
1.549356E+3,	18.056800E-12
1.549360E+3,	10.407025E-12
1.549364E+3,	8.198087E-12
1.549368E+3,	0.000000E+0
1.549372E+3,	0.000000E+0
1.549376E+3,	10.128386E-12
1.549380E+3,	1.224418E-12
1.549384E+3,	0.000000E+0
1.549388E+3,	0.000000E+0
1.549392E+3,	0.000000E+0
1.549396E+3,	6.336008E-12
1.549400E+3,	12.652476E-12
1.549404E+3,	0.000000E+0
1.549408E+3,	0.000000E+0
1.549412E+3,	12.495474E-12
1.549416E+3,	0.000000E+0
1.549420E+3,	19.032848E-12
1.549424E+3,	13.556567E-12
1.549428E+3,	24.085117E-12
1.549432E+3,	4.474960E-12
1.549436E+3,	23.666101E-12
1.549440E+3,	0.000000E+0
1.549444E+3,	0.000000E+0
1.549448E+3,	0.000000E+0
1.549452E+3,	0.000000E+0
1.549456E+3,	0.000000E+0
1.549460E+3,	1.027017E-12
1.549464E+3,	203.219737E-15
1.549468E+3,	0.000000E+0
1.549472E+3,	7.288661E-12
1.549476E+3,	1.754641E-12
1.549480E+3,	11.522705E-12
1.549484E+3,	8.425838E-12
1.549488E+3,	3.507993E-12
1.549492E+3,	0.000000E+0
1.549496E+3,	0.000000E+0
1.549500E+3,	9.186463E-12
1.549504E+3,	16.800405E-12
1.549508E+3,	3.033127E-12
1.549512E+3,	11.197173E-12
1.549516E+3,	7.507829E-12
1.549520E+3,	5.141017E-12
1.549524E+3,	0.000000E+0
1.549528E+3,	19.036851E-12
1.549532E+3,	1.426215E-12
1.549536E+3,	3.860881E-12
1.549540E+3,	7.804735E-12
1.549544E+3,	0.000000E+0
1.549548E+3,	0.000000E+0
1.549552E+3,	27.513342E-12
1.549556E+3,	0.000000E+0
1.549560E+3,	0.000000E+0
1.549564E+3,	15.109168E-12
1.549568E+3,	19.767586E-12
1.549572E+3,	15.366586E-12
1.549576E+3,	0.000000E+0
1.549580E+3,	9.831894E-12
1.549584E+3,	5.665764E-12
1.549588E+3,	3.875059E-12
1.549592E+3,	0.000000E+0
1.549596E+3,	24.886515E-12
1.549600E+3,	2.815254E-12
1.549604E+3,	23.700725E-12
1.549608E+3,	0.000000E+0
1.549612E+3,	11.542863E-12
1.549616E+3,	19.633264E-12
1.549620E+3,	0.000000E+0
1.549624E+3,	0.000000E+0
1.549628E+3,	6.794359E-12
1.549632E+3,	7.460316E-12
1.549636E+3,	18.113509E-12
