YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 03/10/2023 Time: 15:42:32,	
A_WL(nm),	A_I(mW)
1.549200E+3,	0.000000E+0
1.549204E+3,	9.651000E-12
1.549208E+3,	4.524695E-12
1.549212E+3,	0.000000E+0
1.549216E+3,	0.000000E+0
1.549220E+3,	6.148330E-12
1.549224E+3,	0.000000E+0
1.549228E+3,	0.000000E+0
1.549232E+3,	5.810002E-12
1.549236E+3,	0.000000E+0
1.549240E+3,	6.750351E-12
1.549244E+3,	0.000000E+0
1.549248E+3,	14.942785E-12
1.549252E+3,	7.582636E-12
1.549256E+3,	10.273628E-12
1.549260E+3,	0.000000E+0
1.549264E+3,	0.000000E+0
1.549268E+3,	4.364829E-12
1.549272E+3,	0.000000E+0
1.549276E+3,	0.000000E+0
1.549280E+3,	3.804574E-12
1.549284E+3,	0.000000E+0
1.549288E+3,	7.291811E-12
1.549292E+3,	0.000000E+0
1.549296E+3,	6.916130E-12
1.549300E+3,	22.681776E-12
1.549304E+3,	11.506358E-12
1.549308E+3,	0.000000E+0
1.549312E+3,	0.000000E+0
1.549316E+3,	0.000000E+0
1.549320E+3,	3.522948E-12
1.549324E+3,	0.000000E+0
1.549328E+3,	2.719884E-12
1.549332E+3,	1.588292E-12
1.549336E+3,	3.212673E-12
1.549340E+3,	4.764048E-12
1.549344E+3,	0.000000E+0
1.549348E+3,	5.301987E-12
1.549352E+3,	0.000000E+0
1.549356E+3,	0.000000E+0
1.549360E+3,	0.000000E+0
1.549364E+3,	0.000000E+0
1.549368E+3,	0.000000E+0
1.549372E+3,	4.874679E-12
1.549376E+3,	3.432483E-12
1.549380E+3,	5.916328E-12
1.549384E+3,	0.000000E+0
1.549388E+3,	0.000000E+0
1.549392E+3,	0.000000E+0
1.549396E+3,	0.000000E+0
1.549400E+3,	7.032694E-12
1.549404E+3,	4.692124E-12
1.549408E+3,	7.211406E-12
1.549412E+3,	7.140029E-12
1.549416E+3,	0.000000E+0
1.549420E+3,	0.000000E+0
1.549424E+3,	0.000000E+0
1.549428E+3,	0.000000E+0
1.549432E+3,	0.000000E+0
1.549436E+3,	19.852226E-12
1.549440E+3,	0.000000E+0
1.549444E+3,	10.992865E-12
1.549448E+3,	0.000000E+0
1.549452E+3,	14.377236E-15
1.549456E+3,	0.000000E+0
1.549460E+3,	0.000000E+0
1.549464E+3,	0.000000E+0
1.549468E+3,	0.000000E+0
1.549472E+3,	11.435394E-12
1.549476E+3,	0.000000E+0
1.549480E+3,	0.000000E+0
1.549484E+3,	28.291487E-12
1.549488E+3,	16.438095E-12
1.549492E+3,	24.935193E-12
1.549496E+3,	0.000000E+0
1.549500E+3,	26.830359E-12
1.549504E+3,	19.031593E-12
1.549508E+3,	11.036905E-12
1.549512E+3,	12.650122E-12
1.549516E+3,	8.420159E-12
1.549520E+3,	16.766849E-12
1.549524E+3,	3.275204E-12
1.549528E+3,	0.000000E+0
1.549532E+3,	0.000000E+0
1.549536E+3,	0.000000E+0
1.549540E+3,	9.262439E-12
1.549544E+3,	8.396307E-12
1.549548E+3,	29.536404E-12
1.549552E+3,	292.707043E-15
1.549556E+3,	4.677098E-12
1.549560E+3,	0.000000E+0
1.549564E+3,	18.413195E-12
1.549568E+3,	0.000000E+0
1.549572E+3,	15.254441E-12
1.549576E+3,	0.000000E+0
1.549580E+3,	13.284523E-12
1.549584E+3,	0.000000E+0
1.549588E+3,	0.000000E+0
1.549592E+3,	0.000000E+0
1.549596E+3,	20.118438E-12
1.549600E+3,	9.912414E-12
1.549604E+3,	1.638207E-12
1.549608E+3,	21.306151E-12
1.549612E+3,	0.000000E+0
1.549616E+3,	14.728050E-12
1.549620E+3,	0.000000E+0
1.549624E+3,	0.000000E+0
1.549628E+3,	0.000000E+0
1.549632E+3,	0.000000E+0
1.549636E+3,	8.462530E-12
1.549640E+3,	1.620395E-12
1.549644E+3,	0.000000E+0
1.549648E+3,	5.593087E-12
1.549652E+3,	9.540856E-12
1.549656E+3,	0.000000E+0
1.549660E+3,	11.565723E-12
1.549664E+3,	3.783694E-12
1.549668E+3,	0.000000E+0
1.549672E+3,	5.903791E-12
1.549676E+3,	0.000000E+0
1.549680E+3,	0.000000E+0
1.549684E+3,	0.000000E+0
1.549688E+3,	0.000000E+0
1.549692E+3,	0.000000E+0
1.549696E+3,	0.000000E+0
1.549700E+3,	14.222969E-12
1.549704E+3,	256.347228E-15
1.549708E+3,	1.974754E-12
1.549712E+3,	7.430777E-12
1.549716E+3,	0.000000E+0
1.549720E+3,	0.000000E+0
1.549724E+3,	0.000000E+0
1.549728E+3,	0.000000E+0
1.549732E+3,	12.634680E-12
1.549736E+3,	853.844389E-15
1.549740E+3,	6.215928E-12
1.549744E+3,	256.347076E-15
1.549748E+3,	0.000000E+0
1.549752E+3,	6.828081E-12
1.549756E+3,	19.894634E-12
1.549760E+3,	0.000000E+0
1.549764E+3,	0.000000E+0
1.549768E+3,	22.498651E-12
1.549772E+3,	0.000000E+0
1.549776E+3,	146.695113E-15
1.549780E+3,	18.029551E-12
1.549784E+3,	19.547214E-12
1.549788E+3,	0.000000E+0
1.549792E+3,	19.400936E-12
1.549796E+3,	0.000000E+0
1.549800E+3,	6.235644E-12
1.549804E+3,	11.211780E-12
1.549808E+3,	0.000000E+0
1.549812E+3,	0.000000E+0
1.549816E+3,	3.566836E-12
1.549820E+3,	6.986942E-12
1.549824E+3,	15.596918E-12
1.549828E+3,	0.000000E+0
1.549832E+3,	9.712054E-12
1.549836E+3,	0.000000E+0
1.549840E+3,	0.000000E+0
1.549844E+3,	0.000000E+0
1.549848E+3,	0.000000E+0
1.549852E+3,	0.000000E+0
1.549856E+3,	22.958822E-12
1.549860E+3,	16.956387E-12
1.549864E+3,	14.418619E-12
1.549868E+3,	0.000000E+0
1.549872E+3,	9.202071E-12
1.549876E+3,	10.866784E-12
1.549880E+3,	20.753616E-12
1.549884E+3,	5.036918E-12
1.549888E+3,	14.068156E-12
1.549892E+3,	0.000000E+0
1.549896E+3,	0.000000E+0
1.549900E+3,	14.118224E-12
1.549904E+3,	750.450476E-15
1.549908E+3,	0.000000E+0
1.549912E+3,	35.095527E-12
1.549916E+3,	3.285694E-12
1.549920E+3,	2.199806E-12
1.549924E+3,	2.173076E-12
1.549928E+3,	24.135163E-12
1.549932E+3,	0.000000E+0
1.549936E+3,	0.000000E+0
1.549940E+3,	16.617675E-12
1.549944E+3,	0.000000E+0
1.549948E+3,	1.372747E-12
1.549952E+3,	1.569032E-12
1.549956E+3,	17.240567E-12
1.549960E+3,	13.668846E-12
1.549964E+3,	5.476222E-12
1.549968E+3,	15.154452E-12
1.549972E+3,	0.000000E+0
1.549976E+3,	0.000000E+0
1.549980E+3,	21.102594E-12
1.549984E+3,	9.023290E-12
1.549988E+3,	0.000000E+0
1.549992E+3,	2.155057E-12
1.549996E+3,	12.852063E-12
1.550000E+3,	7.577434E-12
1.550004E+3,	19.729945E-12
1.550008E+3,	0.000000E+0
1.550012E+3,	11.396766E-12
1.550016E+3,	15.721815E-12
1.550020E+3,	9.554047E-12
1.550024E+3,	1.281553E-12
1.550028E+3,	1.345072E-12
1.550032E+3,	0.000000E+0
1.550036E+3,	0.000000E+0
1.550040E+3,	0.000000E+0
1.550044E+3,	0.000000E+0
1.550048E+3,	6.589680E-12
1.550052E+3,	1.519829E-12
1.550056E+3,	0.000000E+0
1.550060E+3,	0.000000E+0
1.550064E+3,	0.000000E+0
1.550068E+3,	0.000000E+0
1.550072E+3,	0.000000E+0
1.550076E+3,	0.000000E+0
1.550080E+3,	13.112641E-12
1.550084E+3,	7.537750E-12
1.550088E+3,	22.590258E-12
1.550092E+3,	8.366344E-12
1.550096E+3,	6.720941E-12
1.550100E+3,	0.000000E+0
