YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 03/10/2023 Time: 13:05:50,	
A_WL(nm),	A_I(mW)
1.549200E+3,	17.341545E-12
1.549204E+3,	11.647517E-12
1.549208E+3,	26.333194E-12
1.549212E+3,	17.594761E-12
1.549216E+3,	23.450787E-12
1.549220E+3,	138.283586E-15
1.549224E+3,	40.991023E-12
1.549228E+3,	37.333769E-12
1.549232E+3,	20.896753E-12
1.549236E+3,	8.451662E-12
1.549240E+3,	11.877379E-12
1.549244E+3,	33.630420E-12
1.549248E+3,	17.033143E-12
1.549252E+3,	26.393999E-12
1.549256E+3,	7.596082E-12
1.549260E+3,	14.609138E-12
1.549264E+3,	6.595703E-12
1.549268E+3,	24.678754E-12
1.549272E+3,	18.091487E-12
1.549276E+3,	24.443686E-12
1.549280E+3,	24.935175E-12
1.549284E+3,	18.821378E-12
1.549288E+3,	38.765653E-12
1.549292E+3,	3.834999E-12
1.549296E+3,	23.805765E-12
1.549300E+3,	25.280914E-12
1.549304E+3,	34.430723E-12
1.549308E+3,	24.173391E-12
1.549312E+3,	4.750603E-12
1.549316E+3,	47.787924E-12
1.549320E+3,	20.766211E-12
1.549324E+3,	28.206974E-12
1.549328E+3,	23.746975E-12
1.549332E+3,	39.851415E-12
1.549336E+3,	19.336752E-12
1.549340E+3,	25.140727E-12
1.549344E+3,	34.010942E-12
1.549348E+3,	23.444411E-12
1.549352E+3,	33.839952E-12
1.549356E+3,	22.585516E-12
1.549360E+3,	29.710432E-12
1.549364E+3,	18.501446E-12
1.549368E+3,	25.125035E-12
1.549372E+3,	37.998513E-12
1.549376E+3,	39.130365E-12
1.549380E+3,	21.933512E-12
1.549384E+3,	2.509470E-12
1.549388E+3,	32.648638E-12
1.549392E+3,	27.245919E-12
1.549396E+3,	5.503402E-12
1.549400E+3,	34.639473E-12
1.549404E+3,	16.246333E-12
1.549408E+3,	17.106325E-12
1.549412E+3,	44.465401E-12
1.549416E+3,	33.204912E-12
1.549420E+3,	50.204869E-12
1.549424E+3,	20.331694E-12
1.549428E+3,	23.676902E-12
1.549432E+3,	46.315512E-12
1.549436E+3,	37.788144E-12
1.549440E+3,	29.087847E-12
1.549444E+3,	23.061066E-12
1.549448E+3,	33.314473E-12
1.549452E+3,	9.722701E-12
1.549456E+3,	28.731239E-12
1.549460E+3,	33.379989E-12
1.549464E+3,	51.246636E-12
1.549468E+3,	29.121401E-12
1.549472E+3,	41.449665E-12
1.549476E+3,	31.286235E-12
1.549480E+3,	29.041621E-12
1.549484E+3,	28.281257E-12
1.549488E+3,	26.728802E-12
1.549492E+3,	33.559578E-12
1.549496E+3,	35.398874E-12
1.549500E+3,	32.133059E-12
1.549504E+3,	36.858802E-12
1.549508E+3,	34.344933E-12
1.549512E+3,	50.143367E-12
1.549516E+3,	45.892816E-12
1.549520E+3,	30.871102E-12
1.549524E+3,	36.033528E-12
1.549528E+3,	33.256747E-12
1.549532E+3,	41.570969E-12
1.549536E+3,	50.762577E-12
1.549540E+3,	43.249505E-12
1.549544E+3,	29.292525E-12
1.549548E+3,	31.046281E-12
1.549552E+3,	36.902873E-12
1.549556E+3,	47.924263E-12
1.549560E+3,	40.089088E-12
1.549564E+3,	35.101837E-12
1.549568E+3,	45.752262E-12
1.549572E+3,	35.832572E-12
1.549576E+3,	57.616076E-12
1.549580E+3,	51.609995E-12
1.549584E+3,	52.978974E-12
1.549588E+3,	54.977125E-12
1.549592E+3,	32.792973E-12
1.549596E+3,	34.744473E-12
1.549600E+3,	29.354087E-12
1.549604E+3,	46.658148E-12
1.549608E+3,	49.964400E-12
1.549612E+3,	45.096328E-12
1.549616E+3,	50.531912E-12
1.549620E+3,	28.458738E-12
1.549624E+3,	51.518638E-12
1.549628E+3,	49.964392E-12
1.549632E+3,	48.673894E-12
1.549636E+3,	59.371197E-12
1.549640E+3,	42.154546E-12
1.549644E+3,	33.965507E-12
1.549648E+3,	48.061771E-12
1.549652E+3,	36.305999E-12
1.549656E+3,	55.350325E-12
1.549660E+3,	42.410420E-12
1.549664E+3,	64.438162E-12
1.549668E+3,	68.100735E-12
1.549672E+3,	43.305976E-12
1.549676E+3,	29.041372E-12
1.549680E+3,	51.400894E-12
1.549684E+3,	51.903337E-12
1.549688E+3,	57.086619E-12
1.549692E+3,	79.347634E-12
1.549696E+3,	49.641150E-12
1.549700E+3,	39.251141E-12
1.549704E+3,	61.604564E-12
1.549708E+3,	41.652385E-12
1.549712E+3,	53.827480E-12
1.549716E+3,	58.653648E-12
1.549720E+3,	50.193884E-12
1.549724E+3,	63.821364E-12
1.549728E+3,	71.139510E-12
1.549732E+3,	40.153351E-12
1.549736E+3,	58.891288E-12
1.549740E+3,	65.414693E-12
1.549744E+3,	52.566099E-12
1.549748E+3,	55.394113E-12
1.549752E+3,	62.305882E-12
1.549756E+3,	56.413773E-12
1.549760E+3,	61.387783E-12
1.549764E+3,	42.641330E-12
1.549768E+3,	48.134918E-12
1.549772E+3,	69.089672E-12
1.549776E+3,	66.770789E-12
1.549780E+3,	74.769031E-12
1.549784E+3,	60.422522E-12
1.549788E+3,	55.778095E-12
1.549792E+3,	74.832282E-12
1.549796E+3,	73.490612E-12
1.549800E+3,	63.421272E-12
1.549804E+3,	59.467098E-12
1.549808E+3,	54.876476E-12
1.549812E+3,	70.163138E-12
1.549816E+3,	63.850766E-12
1.549820E+3,	86.992562E-12
1.549824E+3,	71.263720E-12
1.549828E+3,	65.476761E-12
1.549832E+3,	63.042193E-12
1.549836E+3,	84.633234E-12
1.549840E+3,	58.058823E-12
1.549844E+3,	56.211591E-12
1.549848E+3,	82.776334E-12
1.549852E+3,	81.685759E-12
1.549856E+3,	77.626217E-12
1.549860E+3,	94.842229E-12
1.549864E+3,	81.487941E-12
1.549868E+3,	92.186332E-12
1.549872E+3,	65.846947E-12
1.549876E+3,	78.597554E-12
1.549880E+3,	83.427049E-12
1.549884E+3,	81.723608E-12
1.549888E+3,	82.004966E-12
1.549892E+3,	55.840378E-12
1.549896E+3,	91.256698E-12
1.549900E+3,	92.006741E-12
1.549904E+3,	87.030892E-12
1.549908E+3,	103.102239E-12
1.549912E+3,	94.293416E-12
1.549916E+3,	80.573509E-12
1.549920E+3,	82.677767E-12
1.549924E+3,	88.523364E-12
1.549928E+3,	90.159632E-12
1.549932E+3,	86.831357E-12
1.549936E+3,	93.699601E-12
1.549940E+3,	84.888461E-12
1.549944E+3,	97.283028E-12
1.549948E+3,	74.205900E-12
1.549952E+3,	88.752617E-12
1.549956E+3,	74.608444E-12
1.549960E+3,	58.446529E-12
1.549964E+3,	77.675156E-12
1.549968E+3,	81.250940E-12
1.549972E+3,	94.776098E-12
1.549976E+3,	82.484723E-12
1.549980E+3,	104.883616E-12
1.549984E+3,	89.560032E-12
1.549988E+3,	85.881337E-12
1.549992E+3,	92.049121E-12
1.549996E+3,	73.906455E-12
1.550000E+3,	79.915857E-12
1.550004E+3,	101.218404E-12
1.550008E+3,	77.224509E-12
1.550012E+3,	106.800495E-12
1.550016E+3,	79.164518E-12
1.550020E+3,	93.671241E-12
1.550024E+3,	107.404462E-12
1.550028E+3,	94.546955E-12
1.550032E+3,	97.029620E-12
1.550036E+3,	112.485362E-12
1.550040E+3,	107.593968E-12
1.550044E+3,	119.401441E-12
1.550048E+3,	90.148150E-12
1.550052E+3,	108.218520E-12
1.550056E+3,	107.335737E-12
1.550060E+3,	96.482104E-12
1.550064E+3,	113.763142E-12
1.550068E+3,	113.103039E-12
1.550072E+3,	101.716715E-12
1.550076E+3,	119.511284E-12
1.550080E+3,	110.706016E-12
1.550084E+3,	137.641954E-12
1.550088E+3,	113.694736E-12
1.550092E+3,	128.261646E-12
1.550096E+3,	116.380927E-12
1.550100E+3,	140.288821E-12
1.550104E+3,	114.731767E-12
1.550108E+3,	133.426767E-12
1.550112E+3,	142.078928E-12
1.550116E+3,	121.449691E-12
1.550120E+3,	119.290775E-12
1.550124E+3,	148.807519E-12
1.550128E+3,	116.580576E-12
1.550132E+3,	150.593247E-12
1.550136E+3,	166.797980E-12
1.550140E+3,	150.278673E-12
1.550144E+3,	156.236532E-12
1.550148E+3,	151.783431E-12
1.550152E+3,	142.683158E-12
1.550156E+3,	147.509587E-12
1.550160E+3,	146.656509E-12
1.550164E+3,	160.425955E-12
1.550168E+3,	178.663114E-12
1.550172E+3,	150.190448E-12
1.550176E+3,	144.802795E-12
1.550180E+3,	153.445516E-12
1.550184E+3,	168.484703E-12
1.550188E+3,	146.030966E-12
1.550192E+3,	161.816030E-12
1.550196E+3,	152.427588E-12
1.550200E+3,	144.400964E-12
1.550204E+3,	127.478268E-12
1.550208E+3,	131.903806E-12
1.550212E+3,	144.838855E-12
1.550216E+3,	147.877090E-12
1.550220E+3,	151.433803E-12
1.550224E+3,	142.844220E-12
1.550228E+3,	153.230283E-12
1.550232E+3,	156.360413E-12
1.550236E+3,	151.214016E-12
1.550240E+3,	145.499854E-12
1.550244E+3,	164.144136E-12
1.550248E+3,	151.418038E-12
1.550252E+3,	153.041176E-12
1.550256E+3,	137.674557E-12
1.550260E+3,	149.013922E-12
1.550264E+3,	146.310298E-12
1.550268E+3,	142.558964E-12
1.550272E+3,	148.317810E-12
1.550276E+3,	152.586118E-12
1.550280E+3,	141.810342E-12
1.550284E+3,	149.894194E-12
1.550288E+3,	144.745613E-12
1.550292E+3,	158.246620E-12
1.550296E+3,	149.178785E-12
1.550300E+3,	145.004280E-12
1.550304E+3,	180.507859E-12
1.550308E+3,	173.701116E-12
1.550312E+3,	171.949120E-12
1.550316E+3,	168.426906E-12
1.550320E+3,	170.020798E-12
1.550324E+3,	170.577869E-12
1.550328E+3,	169.643373E-12
1.550332E+3,	173.582816E-12
1.550336E+3,	163.326240E-12
1.550340E+3,	190.779508E-12
1.550344E+3,	183.385651E-12
1.550348E+3,	189.560524E-12
1.550352E+3,	175.225444E-12
1.550356E+3,	186.034785E-12
1.550360E+3,	176.148065E-12
1.550364E+3,	181.406762E-12
1.550368E+3,	203.321183E-12
1.550372E+3,	181.239739E-12
1.550376E+3,	196.403693E-12
1.550380E+3,	215.029630E-12
1.550384E+3,	191.704330E-12
1.550388E+3,	199.592921E-12
1.550392E+3,	190.916041E-12
1.550396E+3,	202.406886E-12
1.550400E+3,	223.051495E-12
1.550404E+3,	193.196358E-12
1.550408E+3,	218.514646E-12
1.550412E+3,	185.059010E-12
1.550416E+3,	203.093065E-12
1.550420E+3,	182.548187E-12
1.550424E+3,	189.949210E-12
1.550428E+3,	177.280537E-12
1.550432E+3,	217.406647E-12
1.550436E+3,	202.305017E-12
1.550440E+3,	201.883477E-12
1.550444E+3,	202.058108E-12
1.550448E+3,	209.482558E-12
1.550452E+3,	204.962455E-12
1.550456E+3,	201.975123E-12
1.550460E+3,	195.375884E-12
1.550464E+3,	198.740269E-12
1.550468E+3,	196.705471E-12
1.550472E+3,	206.787793E-12
1.550476E+3,	209.409189E-12
1.550480E+3,	200.616569E-12
1.550484E+3,	236.437558E-12
1.550488E+3,	213.980350E-12
1.550492E+3,	231.498665E-12
1.550496E+3,	230.977040E-12
1.550500E+3,	230.395109E-12
1.550504E+3,	218.978252E-12
1.550508E+3,	220.903071E-12
1.550512E+3,	226.512518E-12
1.550516E+3,	246.902489E-12
1.550520E+3,	238.544744E-12
1.550524E+3,	237.236419E-12
1.550528E+3,	231.187039E-12
1.550532E+3,	231.233798E-12
1.550536E+3,	236.075113E-12
1.550540E+3,	240.004724E-12
1.550544E+3,	240.224765E-12
1.550548E+3,	248.512513E-12
1.550552E+3,	250.759107E-12
1.550556E+3,	247.705771E-12
1.550560E+3,	252.088017E-12
1.550564E+3,	251.024508E-12
1.550568E+3,	265.415948E-12
1.550572E+3,	259.537123E-12
1.550576E+3,	263.236122E-12
1.550580E+3,	256.134301E-12
1.550584E+3,	271.075483E-12
1.550588E+3,	268.447112E-12
1.550592E+3,	277.097900E-12
1.550596E+3,	277.244615E-12
1.550600E+3,	281.278484E-12
1.550604E+3,	280.235243E-12
1.550608E+3,	270.299711E-12
1.550612E+3,	268.505277E-12
1.550616E+3,	287.762234E-12
1.550620E+3,	297.155440E-12
1.550624E+3,	279.913727E-12
1.550628E+3,	292.237153E-12
1.550632E+3,	310.852171E-12
1.550636E+3,	295.153222E-12
1.550640E+3,	305.751526E-12
1.550644E+3,	329.721110E-12
1.550648E+3,	306.817404E-12
1.550652E+3,	305.808720E-12
1.550656E+3,	311.926733E-12
1.550660E+3,	308.199674E-12
1.550664E+3,	317.949756E-12
1.550668E+3,	331.354802E-12
1.550672E+3,	332.750098E-12
1.550676E+3,	329.968379E-12
1.550680E+3,	339.584703E-12
1.550684E+3,	334.917949E-12
1.550688E+3,	317.766184E-12
1.550692E+3,	339.934287E-12
1.550696E+3,	333.355054E-12
1.550700E+3,	332.129714E-12
1.550704E+3,	364.231949E-12
1.550708E+3,	350.033511E-12
1.550712E+3,	352.398896E-12
1.550716E+3,	350.720993E-12
1.550720E+3,	334.642788E-12
1.550724E+3,	346.089514E-12
1.550728E+3,	351.544229E-12
1.550732E+3,	349.956277E-12
1.550736E+3,	362.654369E-12
1.550740E+3,	366.983567E-12
1.550744E+3,	341.301723E-12
1.550748E+3,	337.455884E-12
1.550752E+3,	327.300364E-12
1.550756E+3,	359.306677E-12
1.550760E+3,	350.090680E-12
1.550764E+3,	359.308365E-12
1.550768E+3,	336.206073E-12
1.550772E+3,	366.811229E-12
1.550776E+3,	341.655607E-12
1.550780E+3,	353.503635E-12
1.550784E+3,	327.486869E-12
1.550788E+3,	335.765719E-12
1.550792E+3,	342.481252E-12
1.550796E+3,	332.609770E-12
1.550800E+3,	333.958927E-12
1.550804E+3,	330.290153E-12
1.550808E+3,	354.811353E-12
1.550812E+3,	341.325318E-12
1.550816E+3,	340.460704E-12
1.550820E+3,	325.915241E-12
1.550824E+3,	333.750885E-12
1.550828E+3,	337.127742E-12
1.550832E+3,	348.249438E-12
1.550836E+3,	345.254741E-12
1.550840E+3,	330.922636E-12
1.550844E+3,	353.241267E-12
1.550848E+3,	324.254476E-12
1.550852E+3,	324.434397E-12
1.550856E+3,	331.293543E-12
1.550860E+3,	333.416081E-12
1.550864E+3,	342.339877E-12
1.550868E+3,	332.943337E-12
1.550872E+3,	330.894473E-12
1.550876E+3,	349.893824E-12
1.550880E+3,	342.486726E-12
1.550884E+3,	316.866414E-12
1.550888E+3,	337.611396E-12
1.550892E+3,	328.749598E-12
1.550896E+3,	326.172914E-12
1.550900E+3,	323.235806E-12
1.550904E+3,	335.075972E-12
1.550908E+3,	321.077261E-12
1.550912E+3,	307.161903E-12
1.550916E+3,	306.347509E-12
1.550920E+3,	326.191267E-12
1.550924E+3,	313.548775E-12
1.550928E+3,	297.121733E-12
1.550932E+3,	319.509377E-12
1.550936E+3,	318.499733E-12
1.550940E+3,	311.341332E-12
1.550944E+3,	321.224926E-12
1.550948E+3,	307.812374E-12
1.550952E+3,	309.688438E-12
1.550956E+3,	318.995379E-12
1.550960E+3,	298.264047E-12
1.550964E+3,	302.044434E-12
1.550968E+3,	298.320838E-12
1.550972E+3,	316.810414E-12
1.550976E+3,	309.117108E-12
1.550980E+3,	308.656967E-12
1.550984E+3,	316.277908E-12
1.550988E+3,	326.633583E-12
1.550992E+3,	320.794790E-12
1.550996E+3,	320.088442E-12
1.551000E+3,	316.880995E-12
1.551004E+3,	301.680862E-12
1.551008E+3,	280.657445E-12
1.551012E+3,	299.467875E-12
1.551016E+3,	292.203689E-12
1.551020E+3,	318.224236E-12
1.551024E+3,	295.585009E-12
1.551028E+3,	303.480271E-12
1.551032E+3,	313.952478E-12
1.551036E+3,	296.214733E-12
1.551040E+3,	266.191484E-12
1.551044E+3,	285.625612E-12
1.551048E+3,	272.434409E-12
1.551052E+3,	298.036891E-12
1.551056E+3,	259.418293E-12
1.551060E+3,	263.789247E-12
1.551064E+3,	256.484195E-12
1.551068E+3,	250.351718E-12
1.551072E+3,	242.375360E-12
1.551076E+3,	242.210079E-12
1.551080E+3,	221.126738E-12
1.551084E+3,	220.211702E-12
1.551088E+3,	183.007110E-12
1.551092E+3,	200.851425E-12
1.551096E+3,	205.516188E-12
1.551100E+3,	164.117559E-12
1.551104E+3,	163.465402E-12
1.551108E+3,	164.085130E-12
1.551112E+3,	152.126559E-12
1.551116E+3,	160.278317E-12
1.551120E+3,	148.870345E-12
1.551124E+3,	118.436841E-12
1.551128E+3,	136.531562E-12
1.551132E+3,	102.547185E-12
1.551136E+3,	101.012509E-12
1.551140E+3,	106.944872E-12
1.551144E+3,	88.439403E-12
1.551148E+3,	86.161588E-12
1.551152E+3,	74.707351E-12
1.551156E+3,	75.158232E-12
1.551160E+3,	97.605806E-12
1.551164E+3,	94.372760E-12
1.551168E+3,	66.113942E-12
1.551172E+3,	60.766191E-12
1.551176E+3,	47.614903E-12
1.551180E+3,	76.112606E-12
1.551184E+3,	54.910369E-12
1.551188E+3,	73.336239E-12
1.551192E+3,	62.038310E-12
1.551196E+3,	90.444142E-12
1.551200E+3,	79.768989E-12
1.551204E+3,	82.561801E-12
1.551208E+3,	98.819675E-12
1.551212E+3,	92.869484E-12
1.551216E+3,	79.015666E-12
1.551220E+3,	105.492246E-12
