YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:46:56,	
A_WL(nm),	A_I(mW)
1.547500E+3,	15.633973E-12
1.547504E+3,	2.742812E-12
1.547508E+3,	7.909865E-12
1.547512E+3,	6.096864E-12
1.547516E+3,	13.258218E-12
1.547520E+3,	7.223786E-12
1.547524E+3,	12.152289E-12
1.547528E+3,	11.898465E-12
1.547532E+3,	14.206778E-12
1.547536E+3,	5.195306E-12
1.547540E+3,	13.498678E-12
1.547544E+3,	0.000000E+0
1.547548E+3,	784.771000E-15
1.547552E+3,	5.589223E-12
1.547556E+3,	0.000000E+0
1.547560E+3,	10.973837E-12
1.547564E+3,	15.107477E-12
1.547568E+3,	7.547265E-12
1.547572E+3,	0.000000E+0
1.547576E+3,	0.000000E+0
1.547580E+3,	0.000000E+0
1.547584E+3,	0.000000E+0
1.547588E+3,	0.000000E+0
1.547592E+3,	0.000000E+0
1.547596E+3,	7.256117E-12
1.547600E+3,	28.574152E-12
1.547604E+3,	10.341667E-12
1.547608E+3,	4.176043E-12
1.547612E+3,	0.000000E+0
1.547616E+3,	8.614652E-12
1.547620E+3,	8.370767E-12
1.547624E+3,	5.436008E-12
1.547628E+3,	12.771649E-12
1.547632E+3,	0.000000E+0
1.547636E+3,	0.000000E+0
1.547640E+3,	3.882271E-12
1.547644E+3,	0.000000E+0
1.547648E+3,	0.000000E+0
1.547652E+3,	0.000000E+0
1.547656E+3,	0.000000E+0
1.547660E+3,	1.498866E-12
1.547664E+3,	0.000000E+0
1.547668E+3,	0.000000E+0
1.547672E+3,	0.000000E+0
1.547676E+3,	0.000000E+0
1.547680E+3,	8.050079E-12
1.547684E+3,	7.276989E-12
1.547688E+3,	0.000000E+0
1.547692E+3,	7.784746E-12
1.547696E+3,	3.673621E-12
1.547700E+3,	0.000000E+0
1.547704E+3,	12.991433E-12
1.547708E+3,	14.712006E-12
1.547712E+3,	0.000000E+0
1.547716E+3,	303.641229E-15
1.547720E+3,	0.000000E+0
1.547724E+3,	0.000000E+0
1.547728E+3,	17.871468E-12
1.547732E+3,	11.178412E-12
1.547736E+3,	7.387494E-12
1.547740E+3,	6.997999E-12
1.547744E+3,	0.000000E+0
1.547748E+3,	948.377719E-15
1.547752E+3,	3.977485E-12
1.547756E+3,	0.000000E+0
1.547760E+3,	468.187923E-15
1.547764E+3,	8.874840E-12
1.547768E+3,	0.000000E+0
1.547772E+3,	0.000000E+0
1.547776E+3,	0.000000E+0
1.547780E+3,	0.000000E+0
1.547784E+3,	14.153103E-12
1.547788E+3,	12.872536E-12
1.547792E+3,	9.364577E-12
1.547796E+3,	0.000000E+0
1.547800E+3,	12.154258E-12
1.547804E+3,	17.798916E-12
1.547808E+3,	0.000000E+0
1.547812E+3,	3.161257E-12
1.547816E+3,	2.419719E-12
1.547820E+3,	16.597964E-12
1.547824E+3,	7.733906E-12
1.547828E+3,	0.000000E+0
1.547832E+3,	23.318345E-12
1.547836E+3,	8.029521E-12
1.547840E+3,	4.203749E-12
1.547844E+3,	0.000000E+0
1.547848E+3,	13.739086E-12
1.547852E+3,	0.000000E+0
1.547856E+3,	76.685905E-15
1.547860E+3,	15.272605E-12
1.547864E+3,	3.016845E-12
1.547868E+3,	4.428334E-12
1.547872E+3,	0.000000E+0
1.547876E+3,	989.829373E-15
1.547880E+3,	29.094928E-12
1.547884E+3,	0.000000E+0
1.547888E+3,	0.000000E+0
1.547892E+3,	0.000000E+0
1.547896E+3,	0.000000E+0
1.547900E+3,	15.455940E-12
1.547904E+3,	20.451824E-12
1.547908E+3,	1.220734E-12
1.547912E+3,	2.127861E-12
1.547916E+3,	0.000000E+0
1.547920E+3,	0.000000E+0
1.547924E+3,	12.287681E-12
1.547928E+3,	0.000000E+0
1.547932E+3,	3.778833E-12
1.547936E+3,	1.127080E-12
1.547940E+3,	0.000000E+0
1.547944E+3,	3.271594E-12
1.547948E+3,	5.630667E-12
1.547952E+3,	6.903114E-12
1.547956E+3,	4.408238E-12
1.547960E+3,	19.781471E-12
1.547964E+3,	2.073911E-12
1.547968E+3,	7.027964E-12
1.547972E+3,	0.000000E+0
1.547976E+3,	0.000000E+0
1.547980E+3,	11.104288E-12
1.547984E+3,	18.623715E-12
1.547988E+3,	1.239161E-12
1.547992E+3,	9.967732E-12
1.547996E+3,	19.982585E-12
1.548000E+3,	11.883642E-12
1.548004E+3,	0.000000E+0
1.548008E+3,	3.199007E-12
1.548012E+3,	0.000000E+0
1.548016E+3,	0.000000E+0
1.548020E+3,	7.186254E-12
1.548024E+3,	0.000000E+0
1.548028E+3,	0.000000E+0
1.548032E+3,	0.000000E+0
1.548036E+3,	11.603607E-12
1.548040E+3,	0.000000E+0
1.548044E+3,	0.000000E+0
1.548048E+3,	8.173088E-12
1.548052E+3,	0.000000E+0
1.548056E+3,	0.000000E+0
1.548060E+3,	3.515569E-12
1.548064E+3,	22.566752E-12
1.548068E+3,	5.052298E-12
1.548072E+3,	9.111560E-12
1.548076E+3,	11.086471E-12
1.548080E+3,	2.292727E-12
1.548084E+3,	6.777031E-12
1.548088E+3,	0.000000E+0
1.548092E+3,	0.000000E+0
1.548096E+3,	4.458914E-12
1.548100E+3,	0.000000E+0
1.548104E+3,	9.572911E-12
1.548108E+3,	4.108234E-12
1.548112E+3,	3.203683E-12
1.548116E+3,	0.000000E+0
1.548120E+3,	0.000000E+0
1.548124E+3,	27.809915E-12
1.548128E+3,	10.973380E-12
1.548132E+3,	23.257289E-12
1.548136E+3,	0.000000E+0
1.548140E+3,	0.000000E+0
1.548144E+3,	0.000000E+0
1.548148E+3,	0.000000E+0
1.548152E+3,	0.000000E+0
1.548156E+3,	0.000000E+0
1.548160E+3,	0.000000E+0
1.548164E+3,	0.000000E+0
1.548168E+3,	0.000000E+0
1.548172E+3,	0.000000E+0
1.548176E+3,	0.000000E+0
1.548180E+3,	0.000000E+0
1.548184E+3,	27.431980E-12
1.548188E+3,	487.055367E-15
1.548192E+3,	0.000000E+0
