YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:44:54,	
A_WL(nm),	A_I(mW)
1.547500E+3,	8.567622E-12
1.547504E+3,	1.872572E-12
1.547508E+3,	12.605536E-12
1.547512E+3,	0.000000E+0
1.547516E+3,	5.899566E-12
1.547520E+3,	696.983941E-15
1.547524E+3,	34.832930E-12
1.547528E+3,	22.341351E-12
1.547532E+3,	0.000000E+0
1.547536E+3,	8.531229E-12
1.547540E+3,	15.259771E-12
1.547544E+3,	1.201761E-12
1.547548E+3,	0.000000E+0
1.547552E+3,	0.000000E+0
1.547556E+3,	0.000000E+0
1.547560E+3,	0.000000E+0
1.547564E+3,	23.918661E-12
1.547568E+3,	0.000000E+0
1.547572E+3,	8.925145E-12
1.547576E+3,	0.000000E+0
1.547580E+3,	0.000000E+0
1.547584E+3,	0.000000E+0
1.547588E+3,	19.186730E-12
1.547592E+3,	22.196310E-12
1.547596E+3,	10.429935E-12
1.547600E+3,	10.936276E-12
1.547604E+3,	0.000000E+0
1.547608E+3,	26.154679E-12
1.547612E+3,	21.956975E-12
1.547616E+3,	0.000000E+0
1.547620E+3,	0.000000E+0
1.547624E+3,	14.610454E-12
1.547628E+3,	11.447854E-12
1.547632E+3,	8.346907E-12
1.547636E+3,	0.000000E+0
1.547640E+3,	12.717246E-12
1.547644E+3,	27.315265E-12
1.547648E+3,	0.000000E+0
1.547652E+3,	0.000000E+0
1.547656E+3,	8.525048E-12
1.547660E+3,	3.881125E-12
1.547664E+3,	0.000000E+0
1.547668E+3,	0.000000E+0
1.547672E+3,	16.489156E-12
1.547676E+3,	0.000000E+0
1.547680E+3,	37.530533E-12
1.547684E+3,	11.665461E-12
1.547688E+3,	20.369868E-12
1.547692E+3,	4.357386E-12
1.547696E+3,	0.000000E+0
1.547700E+3,	14.692917E-12
1.547704E+3,	0.000000E+0
1.547708E+3,	12.427098E-12
1.547712E+3,	404.226573E-15
1.547716E+3,	0.000000E+0
1.547720E+3,	11.218318E-12
1.547724E+3,	2.580830E-12
1.547728E+3,	13.500122E-12
1.547732E+3,	1.129761E-12
1.547736E+3,	0.000000E+0
1.547740E+3,	0.000000E+0
1.547744E+3,	712.579287E-15
1.547748E+3,	0.000000E+0
1.547752E+3,	18.270512E-12
1.547756E+3,	19.153955E-12
1.547760E+3,	0.000000E+0
1.547764E+3,	0.000000E+0
1.547768E+3,	6.734515E-12
