YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:46:35,	
A_WL(nm),	A_I(mW)
1.547500E+3,	10.238482E-12
1.547504E+3,	0.000000E+0
1.547508E+3,	21.869971E-12
1.547512E+3,	20.510222E-12
1.547516E+3,	895.684039E-15
1.547520E+3,	0.000000E+0
1.547524E+3,	20.963470E-12
1.547528E+3,	13.040658E-12
1.547532E+3,	19.985172E-12
1.547536E+3,	16.890813E-12
1.547540E+3,	3.284804E-12
1.547544E+3,	29.766680E-12
1.547548E+3,	5.770525E-12
1.547552E+3,	0.000000E+0
1.547556E+3,	0.000000E+0
1.547560E+3,	0.000000E+0
1.547564E+3,	0.000000E+0
1.547568E+3,	8.127425E-12
1.547572E+3,	16.467230E-12
1.547576E+3,	6.104327E-12
1.547580E+3,	9.239081E-12
1.547584E+3,	2.924112E-12
1.547588E+3,	0.000000E+0
1.547592E+3,	0.000000E+0
1.547596E+3,	19.631450E-12
1.547600E+3,	0.000000E+0
1.547604E+3,	0.000000E+0
1.547608E+3,	0.000000E+0
1.547612E+3,	4.284848E-12
1.547616E+3,	1.766331E-12
1.547620E+3,	9.401553E-12
1.547624E+3,	12.469169E-12
1.547628E+3,	10.196593E-12
1.547632E+3,	1.909271E-12
1.547636E+3,	0.000000E+0
1.547640E+3,	4.404534E-12
1.547644E+3,	16.235276E-12
1.547648E+3,	0.000000E+0
1.547652E+3,	1.582856E-12
1.547656E+3,	11.149171E-12
1.547660E+3,	4.797379E-12
1.547664E+3,	0.000000E+0
1.547668E+3,	16.434750E-12
1.547672E+3,	8.618921E-12
1.547676E+3,	0.000000E+0
1.547680E+3,	5.415849E-12
1.547684E+3,	3.849628E-12
1.547688E+3,	440.401663E-15
1.547692E+3,	1.455916E-12
1.547696E+3,	4.313651E-12
1.547700E+3,	0.000000E+0
1.547704E+3,	4.809291E-12
1.547708E+3,	0.000000E+0
1.547712E+3,	0.000000E+0
1.547716E+3,	7.743667E-12
1.547720E+3,	7.496327E-12
1.547724E+3,	0.000000E+0
1.547728E+3,	0.000000E+0
1.547732E+3,	8.675317E-12
1.547736E+3,	0.000000E+0
1.547740E+3,	2.644791E-12
1.547744E+3,	1.891573E-12
1.547748E+3,	4.485358E-12
1.547752E+3,	20.954989E-12
1.547756E+3,	0.000000E+0
1.547760E+3,	11.167911E-12
1.547764E+3,	20.519667E-12
1.547768E+3,	0.000000E+0
1.547772E+3,	0.000000E+0
1.547776E+3,	6.632087E-12
1.547780E+3,	0.000000E+0
1.547784E+3,	0.000000E+0
1.547788E+3,	4.288012E-12
1.547792E+3,	23.222284E-12
1.547796E+3,	0.000000E+0
1.547800E+3,	5.994470E-12
1.547804E+3,	9.763622E-12
1.547808E+3,	6.825204E-12
1.547812E+3,	5.718767E-12
1.547816E+3,	0.000000E+0
1.547820E+3,	0.000000E+0
1.547824E+3,	11.253555E-12
1.547828E+3,	1.783152E-12
1.547832E+3,	0.000000E+0
1.547836E+3,	0.000000E+0
1.547840E+3,	4.547503E-12
1.547844E+3,	30.230649E-12
1.547848E+3,	0.000000E+0
1.547852E+3,	8.858742E-12
1.547856E+3,	10.206626E-12
1.547860E+3,	13.622591E-12
1.547864E+3,	0.000000E+0
1.547868E+3,	18.030882E-12
1.547872E+3,	0.000000E+0
1.547876E+3,	1.689140E-12
1.547880E+3,	0.000000E+0
1.547884E+3,	0.000000E+0
1.547888E+3,	0.000000E+0
1.547892E+3,	0.000000E+0
1.547896E+3,	0.000000E+0
1.547900E+3,	1.316222E-12
1.547904E+3,	0.000000E+0
1.547908E+3,	17.639729E-12
1.547912E+3,	10.564141E-12
1.547916E+3,	18.351558E-12
1.547920E+3,	0.000000E+0
1.547924E+3,	0.000000E+0
1.547928E+3,	0.000000E+0
1.547932E+3,	1.238876E-12
1.547936E+3,	0.000000E+0
1.547940E+3,	0.000000E+0
1.547944E+3,	38.948039E-12
1.547948E+3,	0.000000E+0
1.547952E+3,	0.000000E+0
1.547956E+3,	1.280404E-12
1.547960E+3,	0.000000E+0
1.547964E+3,	1.747270E-12
1.547968E+3,	1.674683E-12
1.547972E+3,	4.033756E-12
1.547976E+3,	32.394939E-12
1.547980E+3,	170.416705E-15
1.547984E+3,	0.000000E+0
1.547988E+3,	0.000000E+0
1.547992E+3,	0.000000E+0
1.547996E+3,	0.000000E+0
1.548000E+3,	37.373095E-12
1.548004E+3,	20.420241E-12
1.548008E+3,	4.977384E-12
1.548012E+3,	0.000000E+0
1.548016E+3,	1.844833E-12
1.548020E+3,	0.000000E+0
1.548024E+3,	7.447052E-12
1.548028E+3,	19.299587E-12
1.548032E+3,	0.000000E+0
1.548036E+3,	13.253689E-12
1.548040E+3,	8.612341E-12
1.548044E+3,	2.782273E-12
1.548048E+3,	0.000000E+0
1.548052E+3,	0.000000E+0
1.548056E+3,	0.000000E+0
1.548060E+3,	0.000000E+0
1.548064E+3,	4.143590E-12
1.548068E+3,	0.000000E+0
1.548072E+3,	5.087540E-12
1.548076E+3,	0.000000E+0
1.548080E+3,	32.502765E-12
1.548084E+3,	7.757404E-12
1.548088E+3,	8.647002E-12
1.548092E+3,	12.405104E-12
1.548096E+3,	5.834879E-12
1.548100E+3,	5.124919E-12
1.548104E+3,	0.000000E+0
1.548108E+3,	1.076336E-12
1.548112E+3,	4.011051E-12
1.548116E+3,	8.403342E-12
1.548120E+3,	0.000000E+0
1.548124E+3,	22.562614E-12
1.548128E+3,	21.142562E-12
1.548132E+3,	8.214825E-12
1.548136E+3,	19.097830E-12
1.548140E+3,	8.067898E-12
1.548144E+3,	2.783554E-12
1.548148E+3,	2.493007E-12
1.548152E+3,	0.000000E+0
1.548156E+3,	13.176383E-12
1.548160E+3,	0.000000E+0
1.548164E+3,	14.732345E-12
1.548168E+3,	23.380424E-12
1.548172E+3,	0.000000E+0
1.548176E+3,	7.688323E-12
1.548180E+3,	0.000000E+0
1.548184E+3,	10.412839E-12
1.548188E+3,	0.000000E+0
1.548192E+3,	6.732354E-12
1.548196E+3,	0.000000E+0
1.548200E+3,	22.909284E-12
1.548204E+3,	15.627927E-12
1.548208E+3,	8.613010E-12
1.548212E+3,	0.000000E+0
1.548216E+3,	6.180758E-12
1.548220E+3,	0.000000E+0
1.548224E+3,	1.294794E-12
1.548228E+3,	23.743663E-12
1.548232E+3,	0.000000E+0
1.548236E+3,	22.896390E-12
1.548240E+3,	26.311904E-12
1.548244E+3,	0.000000E+0
1.548248E+3,	692.354322E-15
1.548252E+3,	11.094132E-12
1.548256E+3,	16.392383E-12
1.548260E+3,	12.086657E-12
1.548264E+3,	2.103017E-12
1.548268E+3,	10.428624E-12
1.548272E+3,	1.949127E-12
1.548276E+3,	22.169688E-12
1.548280E+3,	18.631291E-12
1.548284E+3,	27.744981E-12
1.548288E+3,	23.308137E-12
1.548292E+3,	51.849352E-12
1.548296E+3,	48.396701E-12
1.548300E+3,	40.782715E-12
1.548304E+3,	67.401115E-12
1.548308E+3,	67.106394E-12
1.548312E+3,	58.990872E-12
1.548316E+3,	81.542079E-12
1.548320E+3,	83.886229E-12
1.548324E+3,	87.006450E-12
1.548328E+3,	80.761636E-12
1.548332E+3,	62.548765E-12
1.548336E+3,	95.792646E-12
1.548340E+3,	73.363464E-12
