YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:52:42,	
A_WL(nm),	A_I(mW)
1.547500E+3,	21.786334E-12
1.547504E+3,	17.234977E-12
1.547508E+3,	0.000000E+0
1.547512E+3,	8.423794E-12
1.547516E+3,	14.137946E-12
1.547520E+3,	0.000000E+0
1.547524E+3,	11.959145E-12
1.547528E+3,	17.053680E-12
1.547532E+3,	3.424261E-12
1.547536E+3,	3.410022E-12
1.547540E+3,	6.047808E-12
1.547544E+3,	0.000000E+0
1.547548E+3,	7.535423E-12
1.547552E+3,	0.000000E+0
1.547556E+3,	0.000000E+0
1.547560E+3,	0.000000E+0
1.547564E+3,	7.408513E-12
1.547568E+3,	10.871344E-12
1.547572E+3,	29.490867E-12
1.547576E+3,	19.832900E-12
1.547580E+3,	7.513476E-12
1.547584E+3,	1.679430E-12
1.547588E+3,	11.687196E-12
1.547592E+3,	16.201566E-12
1.547596E+3,	20.895109E-12
1.547600E+3,	0.000000E+0
1.547604E+3,	0.000000E+0
1.547608E+3,	18.907294E-12
1.547612E+3,	23.404570E-12
1.547616E+3,	2.543860E-12
1.547620E+3,	0.000000E+0
1.547624E+3,	11.241609E-12
1.547628E+3,	0.000000E+0
1.547632E+3,	6.430974E-12
1.547636E+3,	8.119101E-12
1.547640E+3,	0.000000E+0
1.547644E+3,	9.042295E-12
1.547648E+3,	7.301414E-12
1.547652E+3,	17.275213E-12
1.547656E+3,	8.956958E-12
1.547660E+3,	6.484421E-12
1.547664E+3,	7.591561E-12
1.547668E+3,	25.743881E-12
1.547672E+3,	7.627829E-12
1.547676E+3,	0.000000E+0
1.547680E+3,	0.000000E+0
1.547684E+3,	15.498067E-12
1.547688E+3,	1.661683E-12
1.547692E+3,	11.762423E-12
1.547696E+3,	7.561693E-12
1.547700E+3,	12.417164E-12
1.547704E+3,	2.902786E-12
1.547708E+3,	0.000000E+0
1.547712E+3,	0.000000E+0
1.547716E+3,	8.437567E-12
1.547720E+3,	8.014119E-12
1.547724E+3,	16.245309E-12
1.547728E+3,	10.187095E-12
1.547732E+3,	7.085435E-12
1.547736E+3,	8.907806E-12
1.547740E+3,	17.781342E-12
1.547744E+3,	2.877336E-12
1.547748E+3,	2.695952E-12
1.547752E+3,	5.960857E-12
1.547756E+3,	2.275569E-12
1.547760E+3,	4.515517E-12
1.547764E+3,	15.628603E-12
1.547768E+3,	6.105964E-12
1.547772E+3,	13.488277E-12
1.547776E+3,	0.000000E+0
1.547780E+3,	0.000000E+0
1.547784E+3,	3.076858E-12
1.547788E+3,	0.000000E+0
1.547792E+3,	3.385211E-12
1.547796E+3,	2.686058E-12
1.547800E+3,	5.641622E-12
1.547804E+3,	19.002338E-12
1.547808E+3,	4.963247E-12
1.547812E+3,	24.661505E-12
1.547816E+3,	0.000000E+0
1.547820E+3,	826.746634E-15
1.547824E+3,	9.554452E-12
1.547828E+3,	12.910822E-12
1.547832E+3,	27.588132E-12
1.547836E+3,	11.086962E-12
1.547840E+3,	0.000000E+0
1.547844E+3,	32.178198E-12
1.547848E+3,	18.734577E-12
1.547852E+3,	13.382526E-12
1.547856E+3,	3.428677E-12
1.547860E+3,	0.000000E+0
1.547864E+3,	755.321882E-15
1.547868E+3,	21.992975E-12
1.547872E+3,	374.328224E-15
1.547876E+3,	944.993898E-15
1.547880E+3,	15.984168E-12
1.547884E+3,	1.317740E-12
1.547888E+3,	8.338901E-12
1.547892E+3,	12.892679E-12
1.547896E+3,	16.568142E-12
1.547900E+3,	1.674862E-12
1.547904E+3,	15.922482E-12
1.547908E+3,	14.706934E-12
1.547912E+3,	9.209744E-12
1.547916E+3,	0.000000E+0
1.547920E+3,	16.868758E-12
1.547924E+3,	0.000000E+0
1.547928E+3,	6.869357E-12
1.547932E+3,	3.676269E-12
1.547936E+3,	24.424146E-12
1.547940E+3,	4.127919E-12
1.547944E+3,	1.245457E-12
1.547948E+3,	0.000000E+0
1.547952E+3,	5.866336E-12
1.547956E+3,	7.741981E-12
1.547960E+3,	22.607770E-12
1.547964E+3,	0.000000E+0
1.547968E+3,	6.635029E-12
1.547972E+3,	1.499511E-12
1.547976E+3,	3.365420E-12
1.547980E+3,	22.419808E-12
1.547984E+3,	11.425764E-12
1.547988E+3,	13.367461E-12
1.547992E+3,	5.745843E-12
1.547996E+3,	15.918677E-12
1.548000E+3,	2.844277E-12
1.548004E+3,	19.501052E-12
1.548008E+3,	2.352407E-12
1.548012E+3,	0.000000E+0
1.548016E+3,	0.000000E+0
1.548020E+3,	0.000000E+0
1.548024E+3,	0.000000E+0
1.548028E+3,	0.000000E+0
1.548032E+3,	11.896688E-12
1.548036E+3,	0.000000E+0
1.548040E+3,	3.619880E-12
1.548044E+3,	6.092032E-12
1.548048E+3,	0.000000E+0
1.548052E+3,	21.383415E-15
1.548056E+3,	0.000000E+0
1.548060E+3,	0.000000E+0
1.548064E+3,	8.088630E-12
1.548068E+3,	0.000000E+0
1.548072E+3,	0.000000E+0
1.548076E+3,	0.000000E+0
1.548080E+3,	0.000000E+0
1.548084E+3,	30.403077E-12
1.548088E+3,	3.787741E-12
1.548092E+3,	14.964857E-12
1.548096E+3,	20.022198E-12
1.548100E+3,	0.000000E+0
1.548104E+3,	12.030144E-12
1.548108E+3,	0.000000E+0
1.548112E+3,	0.000000E+0
1.548116E+3,	0.000000E+0
1.548120E+3,	501.787447E-15
1.548124E+3,	1.947991E-12
1.548128E+3,	0.000000E+0
1.548132E+3,	0.000000E+0
1.548136E+3,	1.355273E-12
1.548140E+3,	19.024228E-12
1.548144E+3,	30.028738E-12
1.548148E+3,	11.930369E-12
1.548152E+3,	22.595864E-12
