YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/10/2023 Time: 11:32:02,	
A_WL(nm),	A_I(mW)
1.546000E+3,	0.000000E+0
1.546004E+3,	13.125748E-12
1.546008E+3,	0.000000E+0
1.546012E+3,	0.000000E+0
1.546016E+3,	2.159865E-12
1.546020E+3,	9.097257E-12
1.546024E+3,	1.237259E-12
1.546028E+3,	23.321778E-12
1.546032E+3,	0.000000E+0
1.546036E+3,	1.780359E-12
1.546040E+3,	0.000000E+0
1.546044E+3,	17.033790E-12
1.546048E+3,	2.213357E-12
1.546052E+3,	11.773988E-12
1.546056E+3,	135.870185E-15
1.546060E+3,	0.000000E+0
1.546064E+3,	12.174368E-12
1.546068E+3,	641.993067E-15
1.546072E+3,	6.173195E-12
1.546076E+3,	10.113724E-12
1.546080E+3,	3.982830E-12
1.546084E+3,	12.539689E-12
1.546088E+3,	7.020589E-12
1.546092E+3,	0.000000E+0
1.546096E+3,	3.805262E-12
1.546100E+3,	12.156290E-12
1.546104E+3,	0.000000E+0
1.546108E+3,	0.000000E+0
1.546112E+3,	0.000000E+0
1.546116E+3,	4.257157E-12
1.546120E+3,	18.772042E-12
1.546124E+3,	8.397582E-12
1.546128E+3,	6.382873E-12
1.546132E+3,	0.000000E+0
1.546136E+3,	20.742305E-12
1.546140E+3,	0.000000E+0
1.546144E+3,	11.498120E-12
1.546148E+3,	986.385259E-15
1.546152E+3,	10.655999E-12
1.546156E+3,	732.372406E-15
1.546160E+3,	0.000000E+0
1.546164E+3,	3.893514E-12
1.546168E+3,	26.176787E-12
1.546172E+3,	12.680517E-12
1.546176E+3,	0.000000E+0
1.546180E+3,	17.366123E-12
1.546184E+3,	20.191918E-12
1.546188E+3,	5.394323E-12
1.546192E+3,	2.974458E-12
1.546196E+3,	7.096695E-12
1.546200E+3,	642.141930E-15
1.546204E+3,	9.828899E-12
1.546208E+3,	0.000000E+0
1.546212E+3,	16.169229E-12
1.546216E+3,	5.831096E-12
1.546220E+3,	8.452695E-12
1.546224E+3,	16.388746E-12
1.546228E+3,	5.257295E-12
1.546232E+3,	10.640371E-12
1.546236E+3,	551.740935E-15
1.546240E+3,	0.000000E+0
1.546244E+3,	3.473254E-12
1.546248E+3,	0.000000E+0
1.546252E+3,	4.193050E-12
1.546256E+3,	4.240057E-12
1.546260E+3,	0.000000E+0
1.546264E+3,	0.000000E+0
1.546268E+3,	3.727157E-12
1.546272E+3,	22.970921E-12
