YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/10/2023 Time: 11:03:05,	
A_WL(nm),	A_I(mW)
1.546000E+3,	4.674878E-12
1.546004E+3,	18.368860E-12
1.546008E+3,	0.000000E+0
1.546012E+3,	11.212482E-12
1.546016E+3,	0.000000E+0
1.546020E+3,	5.301987E-12
1.546024E+3,	22.812584E-12
1.546028E+3,	0.000000E+0
1.546032E+3,	261.055546E-15
1.546036E+3,	550.202289E-15
1.546040E+3,	0.000000E+0
1.546044E+3,	0.000000E+0
1.546048E+3,	145.017568E-15
1.546052E+3,	7.728266E-12
1.546056E+3,	297.269318E-15
1.546060E+3,	8.648297E-12
1.546064E+3,	26.687967E-12
1.546068E+3,	6.629514E-12
1.546072E+3,	14.269877E-12
1.546076E+3,	4.038964E-12
1.546080E+3,	17.975421E-12
1.546084E+3,	0.000000E+0
1.546088E+3,	0.000000E+0
1.546092E+3,	15.781741E-12
1.546096E+3,	387.647004E-15
1.546100E+3,	7.943340E-12
1.546104E+3,	6.502590E-12
1.546108E+3,	0.000000E+0
1.546112E+3,	0.000000E+0
1.546116E+3,	12.426144E-12
1.546120E+3,	25.946856E-12
1.546124E+3,	0.000000E+0
1.546128E+3,	0.000000E+0
1.546132E+3,	8.510920E-12
1.546136E+3,	21.409825E-12
1.546140E+3,	0.000000E+0
1.546144E+3,	2.508898E-12
1.546148E+3,	898.526684E-15
1.546152E+3,	1.598728E-12
1.546156E+3,	0.000000E+0
1.546160E+3,	16.583583E-12
1.546164E+3,	0.000000E+0
1.546168E+3,	0.000000E+0
1.546172E+3,	0.000000E+0
1.546176E+3,	9.789328E-12
1.546180E+3,	16.316201E-12
1.546184E+3,	11.800460E-12
1.546188E+3,	21.133091E-12
1.546192E+3,	0.000000E+0
1.546196E+3,	6.553010E-12
1.546200E+3,	17.708359E-12
1.546204E+3,	9.107605E-12
1.546208E+3,	21.155926E-12
1.546212E+3,	0.000000E+0
1.546216E+3,	16.462287E-12
1.546220E+3,	4.130293E-12
1.546224E+3,	24.371363E-12
1.546228E+3,	19.237545E-12
1.546232E+3,	0.000000E+0
1.546236E+3,	17.509483E-12
1.546240E+3,	1.291735E-12
1.546244E+3,	2.593493E-12
1.546248E+3,	4.130293E-12
1.546252E+3,	6.014418E-12
1.546256E+3,	2.160298E-12
1.546260E+3,	0.000000E+0
1.546264E+3,	12.664045E-12
1.546268E+3,	0.000000E+0
1.546272E+3,	10.719020E-12
1.546276E+3,	26.459071E-12
1.546280E+3,	28.002315E-12
1.546284E+3,	4.004656E-12
1.546288E+3,	8.318256E-12
1.546292E+3,	5.810214E-12
1.546296E+3,	5.719756E-12
1.546300E+3,	5.849236E-12
1.546304E+3,	3.353625E-12
1.546308E+3,	3.518511E-12
1.546312E+3,	3.183254E-12
1.546316E+3,	5.650312E-12
1.546320E+3,	7.259801E-12
1.546324E+3,	279.320236E-15
1.546328E+3,	8.152308E-12
1.546332E+3,	9.762077E-12
1.546336E+3,	12.542541E-12
1.546340E+3,	16.012530E-12
1.546344E+3,	0.000000E+0
1.546348E+3,	8.892693E-12
1.546352E+3,	0.000000E+0
1.546356E+3,	5.740732E-12
1.546360E+3,	0.000000E+0
1.546364E+3,	13.064813E-12
1.546368E+3,	0.000000E+0
1.546372E+3,	10.196095E-12
1.546376E+3,	0.000000E+0
1.546380E+3,	4.608666E-12
1.546384E+3,	9.140551E-12
1.546388E+3,	4.220600E-12
1.546392E+3,	3.663803E-12
1.546396E+3,	0.000000E+0
1.546400E+3,	0.000000E+0
1.546404E+3,	858.210676E-15
1.546408E+3,	15.432068E-12
1.546412E+3,	0.000000E+0
1.546416E+3,	0.000000E+0
1.546420E+3,	20.151204E-12
1.546424E+3,	0.000000E+0
1.546428E+3,	8.006382E-12
1.546432E+3,	4.457785E-12
1.546436E+3,	550.709999E-15
1.546440E+3,	4.439696E-12
1.546444E+3,	5.036610E-12
1.546448E+3,	20.285058E-12
1.546452E+3,	5.498395E-12
1.546456E+3,	17.167202E-12
1.546460E+3,	14.073531E-12
1.546464E+3,	387.914573E-15
1.546468E+3,	8.979864E-12
1.546472E+3,	10.529074E-12
1.546476E+3,	22.330940E-12
1.546480E+3,	8.600008E-12
1.546484E+3,	13.827531E-12
1.546488E+3,	13.538119E-12
1.546492E+3,	0.000000E+0
1.546496E+3,	0.000000E+0
1.546500E+3,	16.282605E-12
1.546504E+3,	2.776210E-12
1.546508E+3,	0.000000E+0
1.546512E+3,	5.691228E-12
1.546516E+3,	6.247110E-12
1.546520E+3,	8.945746E-12
1.546524E+3,	17.503488E-12
1.546528E+3,	315.634782E-15
1.546532E+3,	5.295322E-12
1.546536E+3,	11.206353E-12
1.546540E+3,	0.000000E+0
1.546544E+3,	0.000000E+0
1.546548E+3,	9.940831E-12
1.546552E+3,	7.581360E-12
1.546556E+3,	0.000000E+0
1.546560E+3,	18.353834E-12
1.546564E+3,	4.476904E-12
1.546568E+3,	20.687763E-12
1.546572E+3,	10.812463E-12
1.546576E+3,	3.207574E-12
1.546580E+3,	0.000000E+0
1.546584E+3,	20.416378E-12
1.546588E+3,	7.462163E-12
1.546592E+3,	19.876893E-12
1.546596E+3,	3.438395E-12
1.546600E+3,	369.911458E-15
1.546604E+3,	5.309157E-12
1.546608E+3,	11.949098E-12
1.546612E+3,	8.260134E-12
1.546616E+3,	9.243067E-12
1.546620E+3,	26.899678E-12
1.546624E+3,	19.413454E-12
1.546628E+3,	4.839869E-12
1.546632E+3,	14.327444E-12
1.546636E+3,	30.996752E-12
1.546640E+3,	8.223941E-12
1.546644E+3,	1.817728E-12
1.546648E+3,	13.960575E-12
1.546652E+3,	10.666985E-12
1.546656E+3,	13.650805E-12
1.546660E+3,	1.836777E-12
1.546664E+3,	25.806637E-12
1.546668E+3,	0.000000E+0
1.546672E+3,	0.000000E+0
1.546676E+3,	0.000000E+0
1.546680E+3,	0.000000E+0
1.546684E+3,	5.418960E-12
1.546688E+3,	19.100022E-12
1.546692E+3,	36.816639E-12
1.546696E+3,	10.061282E-12
1.546700E+3,	33.656390E-12
1.546704E+3,	22.755545E-12
1.546708E+3,	3.361009E-12
1.546712E+3,	9.146867E-12
1.546716E+3,	12.794940E-12
1.546720E+3,	6.682868E-12
1.546724E+3,	11.248667E-12
1.546728E+3,	15.828173E-12
1.546732E+3,	5.601216E-12
1.546736E+3,	2.359041E-12
1.546740E+3,	8.536405E-12
1.546744E+3,	4.949587E-12
1.546748E+3,	0.000000E+0
1.546752E+3,	2.071559E-12
1.546756E+3,	2.614582E-12
1.546760E+3,	14.257024E-12
1.546764E+3,	28.227231E-12
1.546768E+3,	12.479524E-12
1.546772E+3,	16.642713E-12
1.546776E+3,	2.870123E-12
1.546780E+3,	24.792837E-12
1.546784E+3,	17.620153E-12
1.546788E+3,	30.226283E-12
1.546792E+3,	29.928706E-12
1.546796E+3,	0.000000E+0
1.546800E+3,	8.566129E-12
1.546804E+3,	27.883310E-12
1.546808E+3,	20.154267E-12
1.546812E+3,	26.308544E-12
1.546816E+3,	23.045073E-12
1.546820E+3,	14.549685E-12
1.546824E+3,	3.754933E-12
1.546828E+3,	3.338614E-12
1.546832E+3,	19.365797E-12
1.546836E+3,	34.534261E-12
1.546840E+3,	25.031279E-12
1.546844E+3,	29.006528E-12
1.546848E+3,	23.073813E-12
1.546852E+3,	16.755173E-12
1.546856E+3,	9.911492E-12
1.546860E+3,	23.574363E-12
1.546864E+3,	28.594875E-12
1.546868E+3,	5.747345E-12
1.546872E+3,	30.007294E-12
1.546876E+3,	2.542765E-12
1.546880E+3,	14.909530E-12
1.546884E+3,	5.816907E-12
1.546888E+3,	17.461267E-12
1.546892E+3,	21.444362E-12
1.546896E+3,	17.787155E-12
1.546900E+3,	12.085156E-12
1.546904E+3,	31.499293E-12
1.546908E+3,	13.315224E-12
1.546912E+3,	14.799112E-12
1.546916E+3,	9.549391E-12
1.546920E+3,	16.440806E-12
1.546924E+3,	31.467282E-12
1.546928E+3,	18.149257E-12
1.546932E+3,	13.351435E-12
1.546936E+3,	21.661622E-12
1.546940E+3,	18.539045E-12
1.546944E+3,	8.744198E-12
1.546948E+3,	27.715069E-12
1.546952E+3,	0.000000E+0
1.546956E+3,	15.600045E-12
1.546960E+3,	10.030658E-12
1.546964E+3,	30.627019E-12
1.546968E+3,	28.493763E-12
1.546972E+3,	21.847704E-12
1.546976E+3,	0.000000E+0
1.546980E+3,	0.000000E+0
1.546984E+3,	34.617510E-12
1.546988E+3,	27.660738E-12
1.546992E+3,	4.481029E-12
1.546996E+3,	0.000000E+0
1.547000E+3,	10.847218E-12
1.547004E+3,	6.027551E-12
1.547008E+3,	10.438939E-12
1.547012E+3,	6.672235E-12
1.547016E+3,	22.155558E-12
1.547020E+3,	17.942516E-12
1.547024E+3,	14.190393E-12
1.547028E+3,	3.285825E-12
1.547032E+3,	4.046410E-12
1.547036E+3,	16.784383E-12
1.547040E+3,	19.118161E-12
1.547044E+3,	6.331784E-12
