YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/10/2023 Time: 11:03:51,	
A_WL(nm),	A_I(mW)
1.546000E+3,	10.222462E-12
1.546004E+3,	0.000000E+0
1.546008E+3,	0.000000E+0
1.546012E+3,	12.704785E-12
1.546016E+3,	0.000000E+0
1.546020E+3,	0.000000E+0
1.546024E+3,	0.000000E+0
1.546028E+3,	3.309425E-12
1.546032E+3,	0.000000E+0
1.546036E+3,	235.340602E-15
1.546040E+3,	1.590716E-12
1.546044E+3,	9.772926E-12
1.546048E+3,	0.000000E+0
1.546052E+3,	17.855207E-12
1.546056E+3,	26.824927E-12
1.546060E+3,	0.000000E+0
1.546064E+3,	0.000000E+0
1.546068E+3,	1.803235E-12
1.546072E+3,	0.000000E+0
1.546076E+3,	488.456801E-15
1.546080E+3,	0.000000E+0
1.546084E+3,	0.000000E+0
1.546088E+3,	0.000000E+0
1.546092E+3,	0.000000E+0
1.546096E+3,	0.000000E+0
1.546100E+3,	5.350853E-12
1.546104E+3,	2.323684E-12
1.546108E+3,	0.000000E+0
1.546112E+3,	0.000000E+0
1.546116E+3,	3.543270E-12
1.546120E+3,	0.000000E+0
1.546124E+3,	0.000000E+0
1.546128E+3,	10.616624E-12
1.546132E+3,	4.723983E-12
1.546136E+3,	36.560654E-15
1.546140E+3,	0.000000E+0
1.546144E+3,	129.066175E-15
1.546148E+3,	0.000000E+0
1.546152E+3,	17.805093E-12
1.546156E+3,	2.928693E-12
1.546160E+3,	0.000000E+0
1.546164E+3,	0.000000E+0
1.546168E+3,	8.655011E-12
1.546172E+3,	0.000000E+0
1.546176E+3,	271.609286E-15
1.546180E+3,	29.416541E-12
1.546184E+3,	3.409019E-12
1.546188E+3,	8.426635E-12
1.546192E+3,	1.410648E-12
1.546196E+3,	0.000000E+0
1.546200E+3,	1.898808E-12
1.546204E+3,	15.520480E-12
1.546208E+3,	19.388811E-12
1.546212E+3,	0.000000E+0
1.546216E+3,	1.772248E-12
1.546220E+3,	13.650796E-12
1.546224E+3,	9.456240E-12
1.546228E+3,	3.740839E-12
1.546232E+3,	0.000000E+0
1.546236E+3,	4.194966E-12
1.546240E+3,	0.000000E+0
1.546244E+3,	10.920720E-12
1.546248E+3,	0.000000E+0
1.546252E+3,	0.000000E+0
1.546256E+3,	13.759277E-12
1.546260E+3,	7.304723E-12
1.546264E+3,	21.786790E-12
1.546268E+3,	0.000000E+0
1.546272E+3,	0.000000E+0
1.546276E+3,	0.000000E+0
1.546280E+3,	6.709627E-12
1.546284E+3,	0.000000E+0
1.546288E+3,	0.000000E+0
1.546292E+3,	3.243183E-12
1.546296E+3,	12.208656E-12
1.546300E+3,	0.000000E+0
1.546304E+3,	12.966742E-12
1.546308E+3,	0.000000E+0
1.546312E+3,	1.804065E-12
1.546316E+3,	5.913927E-12
1.546320E+3,	5.859673E-12
1.546324E+3,	8.789305E-12
1.546328E+3,	11.324276E-12
1.546332E+3,	9.113868E-12
1.546336E+3,	6.531679E-12
1.546340E+3,	0.000000E+0
1.546344E+3,	0.000000E+0
1.546348E+3,	5.541605E-12
1.546352E+3,	4.179751E-12
1.546356E+3,	1.808824E-12
1.546360E+3,	0.000000E+0
1.546364E+3,	15.570861E-12
1.546368E+3,	2.222631E-12
1.546372E+3,	13.248474E-12
1.546376E+3,	0.000000E+0
1.546380E+3,	0.000000E+0
1.546384E+3,	0.000000E+0
1.546388E+3,	0.000000E+0
1.546392E+3,	0.000000E+0
1.546396E+3,	0.000000E+0
1.546400E+3,	9.532948E-12
1.546404E+3,	0.000000E+0
1.546408E+3,	0.000000E+0
1.546412E+3,	0.000000E+0
1.546416E+3,	0.000000E+0
1.546420E+3,	3.285971E-12
1.546424E+3,	21.000940E-12
1.546428E+3,	6.476025E-12
1.546432E+3,	10.739546E-12
1.546436E+3,	0.000000E+0
1.546440E+3,	22.086240E-12
1.546444E+3,	6.566467E-12
1.546448E+3,	0.000000E+0
1.546452E+3,	0.000000E+0
1.546456E+3,	18.003991E-12
1.546460E+3,	0.000000E+0
1.546464E+3,	0.000000E+0
1.546468E+3,	0.000000E+0
1.546472E+3,	103.619484E-15
1.546476E+3,	0.000000E+0
1.546480E+3,	10.292658E-12
1.546484E+3,	0.000000E+0
1.546488E+3,	0.000000E+0
1.546492E+3,	0.000000E+0
1.546496E+3,	4.294955E-12
1.546500E+3,	0.000000E+0
1.546504E+3,	0.000000E+0
1.546508E+3,	12.466128E-12
1.546512E+3,	6.591394E-12
1.546516E+3,	10.763529E-12
1.546520E+3,	2.207692E-12
1.546524E+3,	16.156992E-12
1.546528E+3,	0.000000E+0
1.546532E+3,	7.051154E-12
1.546536E+3,	0.000000E+0
1.546540E+3,	0.000000E+0
1.546544E+3,	7.581157E-12
1.546548E+3,	0.000000E+0
1.546552E+3,	6.604163E-12
1.546556E+3,	0.000000E+0
1.546560E+3,	0.000000E+0
1.546564E+3,	5.699540E-12
1.546568E+3,	0.000000E+0
1.546572E+3,	78.101160E-15
1.546576E+3,	0.000000E+0
1.546580E+3,	0.000000E+0
1.546584E+3,	15.462240E-12
1.546588E+3,	19.250804E-12
1.546592E+3,	16.527354E-12
1.546596E+3,	40.427576E-12
1.546600E+3,	16.971152E-12
1.546604E+3,	20.481095E-12
1.546608E+3,	0.000000E+0
1.546612E+3,	39.797136E-15
1.546616E+3,	0.000000E+0
1.546620E+3,	16.269293E-12
1.546624E+3,	507.839718E-15
1.546628E+3,	1.375755E-12
1.546632E+3,	15.780685E-12
1.546636E+3,	8.317414E-12
1.546640E+3,	7.931503E-12
1.546644E+3,	0.000000E+0
1.546648E+3,	3.782608E-12
1.546652E+3,	0.000000E+0
1.546656E+3,	0.000000E+0
1.546660E+3,	18.378025E-12
1.546664E+3,	31.813580E-12
1.546668E+3,	17.156029E-12
1.546672E+3,	19.363819E-12
1.546676E+3,	6.976134E-12
1.546680E+3,	20.321034E-12
1.546684E+3,	17.047449E-12
1.546688E+3,	2.769197E-12
1.546692E+3,	0.000000E+0
1.546696E+3,	17.323151E-12
1.546700E+3,	8.708705E-12
1.546704E+3,	2.505710E-12
1.546708E+3,	0.000000E+0
1.546712E+3,	5.465597E-12
1.546716E+3,	0.000000E+0
1.546720E+3,	25.441433E-12
1.546724E+3,	0.000000E+0
1.546728E+3,	6.607205E-12
1.546732E+3,	7.584649E-12
1.546736E+3,	13.685687E-12
1.546740E+3,	46.413747E-12
1.546744E+3,	28.617795E-12
1.546748E+3,	11.646472E-12
1.546752E+3,	0.000000E+0
1.546756E+3,	0.000000E+0
1.546760E+3,	5.098170E-12
1.546764E+3,	9.068916E-12
1.546768E+3,	0.000000E+0
1.546772E+3,	0.000000E+0
1.546776E+3,	0.000000E+0
1.546780E+3,	9.739599E-12
1.546784E+3,	7.584650E-12
1.546788E+3,	0.000000E+0
1.546792E+3,	4.199798E-12
1.546796E+3,	0.000000E+0
1.546800E+3,	7.323998E-12
1.546804E+3,	0.000000E+0
1.546808E+3,	14.987881E-12
1.546812E+3,	9.358529E-12
1.546816E+3,	1.994693E-12
1.546820E+3,	0.000000E+0
1.546824E+3,	22.264412E-12
1.546828E+3,	26.746891E-12
1.546832E+3,	7.331237E-12
1.546836E+3,	4.309395E-12
1.546840E+3,	19.081992E-12
1.546844E+3,	18.112058E-12
1.546848E+3,	6.300943E-12
1.546852E+3,	1.485019E-12
1.546856E+3,	14.158504E-12
1.546860E+3,	12.001880E-12
1.546864E+3,	11.251225E-12
1.546868E+3,	10.171787E-12
1.546872E+3,	0.000000E+0
1.546876E+3,	12.510950E-12
1.546880E+3,	3.963271E-12
1.546884E+3,	0.000000E+0
1.546888E+3,	29.638260E-12
1.546892E+3,	0.000000E+0
1.546896E+3,	0.000000E+0
1.546900E+3,	13.152081E-12
1.546904E+3,	3.407005E-12
1.546908E+3,	0.000000E+0
1.546912E+3,	14.186745E-12
1.546916E+3,	18.920112E-12
1.546920E+3,	16.666575E-12
1.546924E+3,	0.000000E+0
1.546928E+3,	851.344298E-15
1.546932E+3,	0.000000E+0
1.546936E+3,	0.000000E+0
1.546940E+3,	0.000000E+0
1.546944E+3,	8.552630E-12
1.546948E+3,	0.000000E+0
1.546952E+3,	0.000000E+0
1.546956E+3,	0.000000E+0
1.546960E+3,	0.000000E+0
1.546964E+3,	18.996904E-12
1.546968E+3,	0.000000E+0
1.546972E+3,	12.459506E-12
1.546976E+3,	16.769482E-12
1.546980E+3,	16.044050E-12
1.546984E+3,	13.038044E-12
1.546988E+3,	0.000000E+0
1.546992E+3,	8.227034E-12
1.546996E+3,	0.000000E+0
1.547000E+3,	6.781463E-12
1.547004E+3,	4.458884E-12
1.547008E+3,	409.315690E-18
1.547012E+3,	15.864023E-12
1.547016E+3,	616.121554E-15
