YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 06/10/2023 Time: 11:17:53,	
A_WL(nm),	A_I(mW)
1.546000E+3,	3.950250E-12
1.546004E+3,	19.303930E-12
1.546008E+3,	12.006594E-12
1.546012E+3,	0.000000E+0
1.546016E+3,	1.922610E-12
1.546020E+3,	9.471246E-12
1.546024E+3,	8.123090E-12
1.546028E+3,	0.000000E+0
1.546032E+3,	0.000000E+0
1.546036E+3,	3.043053E-12
1.546040E+3,	12.417990E-12
1.546044E+3,	0.000000E+0
1.546048E+3,	9.964498E-12
1.546052E+3,	0.000000E+0
1.546056E+3,	242.000108E-15
1.546060E+3,	0.000000E+0
1.546064E+3,	3.565825E-12
1.546068E+3,	0.000000E+0
1.546072E+3,	11.774376E-12
1.546076E+3,	6.676992E-12
1.546080E+3,	2.545584E-12
1.546084E+3,	5.786349E-12
1.546088E+3,	11.651459E-12
1.546092E+3,	0.000000E+0
1.546096E+3,	21.860682E-12
1.546100E+3,	0.000000E+0
1.546104E+3,	18.609157E-12
1.546108E+3,	8.650111E-12
1.546112E+3,	5.682823E-12
1.546116E+3,	0.000000E+0
1.546120E+3,	23.505581E-12
1.546124E+3,	3.655141E-12
1.546128E+3,	350.455929E-15
1.546132E+3,	12.786619E-12
1.546136E+3,	0.000000E+0
1.546140E+3,	0.000000E+0
1.546144E+3,	0.000000E+0
1.546148E+3,	0.000000E+0
1.546152E+3,	0.000000E+0
1.546156E+3,	5.050168E-12
1.546160E+3,	1.615763E-12
1.546164E+3,	16.031760E-12
1.546168E+3,	12.999290E-12
1.546172E+3,	15.519642E-12
1.546176E+3,	12.626846E-12
1.546180E+3,	0.000000E+0
1.546184E+3,	0.000000E+0
1.546188E+3,	13.539408E-12
1.546192E+3,	8.432289E-12
1.546196E+3,	6.298851E-12
1.546200E+3,	9.734048E-12
1.546204E+3,	0.000000E+0
1.546208E+3,	0.000000E+0
1.546212E+3,	8.830049E-12
1.546216E+3,	0.000000E+0
1.546220E+3,	0.000000E+0
1.546224E+3,	13.087352E-12
1.546228E+3,	0.000000E+0
1.546232E+3,	4.020773E-12
1.546236E+3,	1.073736E-12
1.546240E+3,	11.957884E-12
1.546244E+3,	5.672431E-12
1.546248E+3,	17.695901E-12
1.546252E+3,	272.430698E-15
1.546256E+3,	28.718031E-12
1.546260E+3,	9.372448E-12
1.546264E+3,	6.570050E-12
1.546268E+3,	273.961446E-15
1.546272E+3,	0.000000E+0
1.546276E+3,	0.000000E+0
1.546280E+3,	8.162968E-12
1.546284E+3,	7.982127E-12
1.546288E+3,	4.409975E-12
1.546292E+3,	4.430400E-12
1.546296E+3,	0.000000E+0
1.546300E+3,	0.000000E+0
1.546304E+3,	0.000000E+0
1.546308E+3,	22.013299E-12
1.546312E+3,	0.000000E+0
1.546316E+3,	26.880061E-12
1.546320E+3,	9.501197E-12
1.546324E+3,	0.000000E+0
1.546328E+3,	0.000000E+0
1.546332E+3,	3.367052E-12
1.546336E+3,	23.679171E-12
1.546340E+3,	10.586243E-12
1.546344E+3,	7.566192E-12
1.546348E+3,	9.924577E-12
1.546352E+3,	3.126057E-12
1.546356E+3,	0.000000E+0
1.546360E+3,	0.000000E+0
1.546364E+3,	0.000000E+0
1.546368E+3,	0.000000E+0
1.546372E+3,	0.000000E+0
1.546376E+3,	12.286157E-12
1.546380E+3,	10.351151E-12
1.546384E+3,	1.327161E-12
1.546388E+3,	0.000000E+0
1.546392E+3,	0.000000E+0
1.546396E+3,	7.821171E-12
1.546400E+3,	0.000000E+0
1.546404E+3,	7.079551E-12
1.546408E+3,	3.657666E-12
1.546412E+3,	5.822888E-12
1.546416E+3,	35.592516E-12
1.546420E+3,	23.811238E-12
1.546424E+3,	19.831810E-12
1.546428E+3,	6.287921E-12
1.546432E+3,	0.000000E+0
1.546436E+3,	0.000000E+0
1.546440E+3,	0.000000E+0
1.546444E+3,	9.828973E-12
1.546448E+3,	4.764246E-12
1.546452E+3,	0.000000E+0
1.546456E+3,	0.000000E+0
1.546460E+3,	3.932183E-12
1.546464E+3,	0.000000E+0
1.546468E+3,	0.000000E+0
1.546472E+3,	0.000000E+0
1.546476E+3,	2.578416E-12
1.546480E+3,	6.753960E-12
1.546484E+3,	5.451600E-12
1.546488E+3,	11.185595E-12
1.546492E+3,	21.801306E-12
1.546496E+3,	21.579142E-12
1.546500E+3,	0.000000E+0
1.546504E+3,	0.000000E+0
1.546508E+3,	0.000000E+0
1.546512E+3,	0.000000E+0
1.546516E+3,	18.393737E-12
1.546520E+3,	12.327997E-12
1.546524E+3,	3.064652E-12
1.546528E+3,	0.000000E+0
1.546532E+3,	0.000000E+0
