YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 19/10/2023 Time: 17:37:19,	
A_WL(nm),	A_I(mW)
1.543600E+3,	0.000000E+0
1.543604E+3,	9.642802E-12
1.543608E+3,	667.566671E-15
1.543612E+3,	0.000000E+0
1.543616E+3,	0.000000E+0
1.543620E+3,	11.723726E-12
1.543624E+3,	13.714953E-12
1.543628E+3,	0.000000E+0
1.543632E+3,	0.000000E+0
1.543636E+3,	0.000000E+0
1.543640E+3,	15.130024E-12
1.543644E+3,	0.000000E+0
1.543648E+3,	0.000000E+0
1.543652E+3,	8.038340E-12
1.543656E+3,	4.799275E-12
1.543660E+3,	780.940903E-15
1.543664E+3,	19.587339E-12
1.543668E+3,	0.000000E+0
1.543672E+3,	8.022968E-12
1.543676E+3,	0.000000E+0
1.543680E+3,	0.000000E+0
1.543684E+3,	10.380690E-12
1.543688E+3,	28.571845E-12
1.543692E+3,	0.000000E+0
1.543696E+3,	3.382874E-12
1.543700E+3,	5.733424E-12
1.543704E+3,	0.000000E+0
1.543708E+3,	0.000000E+0
1.543712E+3,	0.000000E+0
1.543716E+3,	0.000000E+0
1.543720E+3,	14.112861E-12
1.543724E+3,	2.449831E-12
1.543728E+3,	12.300606E-12
1.543732E+3,	0.000000E+0
1.543736E+3,	0.000000E+0
1.543740E+3,	0.000000E+0
1.543744E+3,	0.000000E+0
1.543748E+3,	2.468342E-12
1.543752E+3,	12.142632E-12
1.543756E+3,	5.774859E-12
1.543760E+3,	16.059140E-12
1.543764E+3,	8.355042E-12
1.543768E+3,	10.706132E-12
1.543772E+3,	7.680226E-12
1.543776E+3,	16.844093E-12
1.543780E+3,	0.000000E+0
1.543784E+3,	0.000000E+0
1.543788E+3,	0.000000E+0
1.543792E+3,	0.000000E+0
1.543796E+3,	2.504237E-12
1.543800E+3,	2.199133E-12
1.543804E+3,	0.000000E+0
1.543808E+3,	0.000000E+0
1.543812E+3,	3.356428E-12
1.543816E+3,	6.328458E-12
1.543820E+3,	0.000000E+0
1.543824E+3,	9.613564E-12
1.543828E+3,	15.622000E-12
1.543832E+3,	0.000000E+0
1.543836E+3,	0.000000E+0
1.543840E+3,	6.669535E-12
1.543844E+3,	1.679049E-12
1.543848E+3,	0.000000E+0
1.543852E+3,	0.000000E+0
1.543856E+3,	0.000000E+0
1.543860E+3,	0.000000E+0
1.543864E+3,	11.031721E-12
1.543868E+3,	0.000000E+0
1.543872E+3,	0.000000E+0
1.543876E+3,	10.185895E-12
1.543880E+3,	1.233100E-12
1.543884E+3,	18.180561E-12
1.543888E+3,	23.944286E-12
1.543892E+3,	0.000000E+0
1.543896E+3,	17.013452E-12
1.543900E+3,	7.260435E-12
1.543904E+3,	0.000000E+0
1.543908E+3,	6.724937E-12
1.543912E+3,	11.855189E-12
1.543916E+3,	4.390721E-12
1.543920E+3,	4.247076E-12
1.543924E+3,	0.000000E+0
1.543928E+3,	0.000000E+0
1.543932E+3,	7.494153E-12
1.543936E+3,	6.294007E-12
1.543940E+3,	9.005289E-12
1.543944E+3,	11.788394E-12
1.543948E+3,	0.000000E+0
1.543952E+3,	0.000000E+0
1.543956E+3,	0.000000E+0
1.543960E+3,	10.246579E-12
1.543964E+3,	13.640953E-12
1.543968E+3,	4.230094E-12
1.543972E+3,	2.267209E-12
1.543976E+3,	12.771707E-12
1.543980E+3,	12.832772E-12
1.543984E+3,	0.000000E+0
1.543988E+3,	0.000000E+0
1.543992E+3,	2.806253E-12
1.543996E+3,	10.761069E-12
1.544000E+3,	14.822510E-12
1.544004E+3,	0.000000E+0
1.544008E+3,	9.384515E-12
1.544012E+3,	6.064852E-12
1.544016E+3,	4.463571E-12
1.544020E+3,	505.050694E-15
1.544024E+3,	4.228203E-12
1.544028E+3,	2.596364E-12
1.544032E+3,	0.000000E+0
1.544036E+3,	3.153241E-12
1.544040E+3,	18.004015E-12
1.544044E+3,	0.000000E+0
1.544048E+3,	8.811835E-12
1.544052E+3,	23.345980E-12
1.544056E+3,	4.284960E-12
