YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 19/10/2023 Time: 17:51:40,	
A_WL(nm),	A_I(mW)
1.543600E+3,	8.618051E-12
1.543604E+3,	0.000000E+0
1.543608E+3,	0.000000E+0
1.543612E+3,	0.000000E+0
1.543616E+3,	11.327389E-12
1.543620E+3,	0.000000E+0
1.543624E+3,	0.000000E+0
1.543628E+3,	782.300233E-15
1.543632E+3,	5.811675E-12
1.543636E+3,	0.000000E+0
1.543640E+3,	0.000000E+0
1.543644E+3,	7.210917E-12
1.543648E+3,	0.000000E+0
1.543652E+3,	3.676935E-12
1.543656E+3,	0.000000E+0
1.543660E+3,	3.476440E-12
1.543664E+3,	0.000000E+0
1.543668E+3,	0.000000E+0
1.543672E+3,	2.475593E-12
1.543676E+3,	5.005573E-12
1.543680E+3,	3.875157E-12
1.543684E+3,	5.820401E-12
1.543688E+3,	0.000000E+0
1.543692E+3,	0.000000E+0
1.543696E+3,	0.000000E+0
1.543700E+3,	0.000000E+0
1.543704E+3,	3.157431E-12
1.543708E+3,	0.000000E+0
1.543712E+3,	0.000000E+0
1.543716E+3,	1.757868E-12
1.543720E+3,	19.001209E-12
1.543724E+3,	14.766631E-12
1.543728E+3,	15.337940E-12
1.543732E+3,	12.763528E-12
1.543736E+3,	0.000000E+0
1.543740E+3,	0.000000E+0
1.543744E+3,	0.000000E+0
1.543748E+3,	0.000000E+0
1.543752E+3,	12.293310E-12
1.543756E+3,	0.000000E+0
1.543760E+3,	0.000000E+0
1.543764E+3,	0.000000E+0
1.543768E+3,	0.000000E+0
1.543772E+3,	14.177771E-12
1.543776E+3,	0.000000E+0
1.543780E+3,	2.198509E-12
1.543784E+3,	0.000000E+0
1.543788E+3,	5.581038E-12
1.543792E+3,	14.393857E-12
1.543796E+3,	7.268079E-12
1.543800E+3,	0.000000E+0
1.543804E+3,	8.950899E-12
1.543808E+3,	8.675524E-12
1.543812E+3,	0.000000E+0
1.543816E+3,	0.000000E+0
1.543820E+3,	0.000000E+0
1.543824E+3,	10.249684E-12
1.543828E+3,	14.857914E-12
1.543832E+3,	0.000000E+0
1.543836E+3,	0.000000E+0
1.543840E+3,	6.479892E-12
1.543844E+3,	20.823054E-12
1.543848E+3,	10.554140E-12
1.543852E+3,	0.000000E+0
1.543856E+3,	5.043783E-12
1.543860E+3,	8.113469E-12
1.543864E+3,	12.852635E-12
1.543868E+3,	8.486140E-12
1.543872E+3,	0.000000E+0
1.543876E+3,	13.806171E-12
1.543880E+3,	27.679539E-12
1.543884E+3,	0.000000E+0
1.543888E+3,	14.722969E-12
1.543892E+3,	14.469439E-12
1.543896E+3,	13.484039E-12
1.543900E+3,	14.861332E-12
1.543904E+3,	0.000000E+0
1.543908E+3,	0.000000E+0
1.543912E+3,	0.000000E+0
1.543916E+3,	17.685632E-12
1.543920E+3,	0.000000E+0
1.543924E+3,	0.000000E+0
1.543928E+3,	0.000000E+0
1.543932E+3,	7.850313E-12
1.543936E+3,	15.513013E-12
1.543940E+3,	7.576672E-12
1.543944E+3,	13.789283E-12
1.543948E+3,	1.603820E-12
1.543952E+3,	18.468488E-12
1.543956E+3,	0.000000E+0
1.543960E+3,	5.315497E-12
1.543964E+3,	4.579154E-12
1.543968E+3,	0.000000E+0
1.543972E+3,	24.073543E-12
1.543976E+3,	9.830557E-12
1.543980E+3,	3.483615E-12
1.543984E+3,	0.000000E+0
1.543988E+3,	0.000000E+0
1.543992E+3,	0.000000E+0
1.543996E+3,	0.000000E+0
1.544000E+3,	6.753218E-12
1.544004E+3,	18.354210E-12
1.544008E+3,	0.000000E+0
1.544012E+3,	8.972805E-12
1.544016E+3,	8.475342E-12
1.544020E+3,	4.416571E-12
1.544024E+3,	26.418096E-12
1.544028E+3,	0.000000E+0
1.544032E+3,	0.000000E+0
1.544036E+3,	0.000000E+0
1.544040E+3,	18.773716E-12
1.544044E+3,	5.211778E-12
1.544048E+3,	0.000000E+0
1.544052E+3,	0.000000E+0
1.544056E+3,	0.000000E+0
1.544060E+3,	861.703141E-15
1.544064E+3,	16.250333E-12
1.544068E+3,	3.010740E-12
1.544072E+3,	955.833879E-15
1.544076E+3,	1.526364E-12
1.544080E+3,	21.430246E-12
1.544084E+3,	0.000000E+0
1.544088E+3,	0.000000E+0
1.544092E+3,	0.000000E+0
1.544096E+3,	2.083241E-12
1.544100E+3,	0.000000E+0
1.544104E+3,	0.000000E+0
1.544108E+3,	15.657962E-12
1.544112E+3,	32.516658E-12
1.544116E+3,	0.000000E+0
1.544120E+3,	7.671747E-12
1.544124E+3,	13.331644E-12
1.544128E+3,	17.985339E-12
1.544132E+3,	28.404622E-12
1.544136E+3,	10.546615E-12
1.544140E+3,	6.521800E-12
1.544144E+3,	538.479706E-15
1.544148E+3,	0.000000E+0
1.544152E+3,	6.786287E-12
1.544156E+3,	3.088868E-12
1.544160E+3,	0.000000E+0
1.544164E+3,	0.000000E+0
1.544168E+3,	12.648858E-12
1.544172E+3,	0.000000E+0
1.544176E+3,	0.000000E+0
1.544180E+3,	0.000000E+0
1.544184E+3,	12.202474E-12
1.544188E+3,	15.832832E-12
1.544192E+3,	0.000000E+0
1.544196E+3,	21.296337E-12
1.544200E+3,	11.995266E-12
1.544204E+3,	7.734051E-12
1.544208E+3,	16.066469E-12
1.544212E+3,	8.194704E-12
1.544216E+3,	6.011457E-12
1.544220E+3,	27.586561E-12
1.544224E+3,	1.186655E-12
1.544228E+3,	0.000000E+0
1.544232E+3,	0.000000E+0
1.544236E+3,	31.942997E-12
1.544240E+3,	16.785351E-12
1.544244E+3,	13.939460E-12
1.544248E+3,	34.121120E-12
1.544252E+3,	5.823731E-12
1.544256E+3,	6.357984E-12
1.544260E+3,	12.564809E-12
1.544264E+3,	2.300395E-12
1.544268E+3,	11.579291E-12
1.544272E+3,	17.772231E-12
1.544276E+3,	14.900278E-12
1.544280E+3,	13.068143E-12
1.544284E+3,	0.000000E+0
1.544288E+3,	0.000000E+0
1.544292E+3,	15.715932E-12
1.544296E+3,	0.000000E+0
1.544300E+3,	10.353734E-12
1.544304E+3,	11.953621E-12
1.544308E+3,	11.594093E-12
1.544312E+3,	184.532052E-15
1.544316E+3,	0.000000E+0
1.544320E+3,	10.230257E-12
1.544324E+3,	35.402744E-12
1.544328E+3,	25.010101E-12
1.544332E+3,	16.703183E-12
1.544336E+3,	10.008148E-12
1.544340E+3,	8.763060E-12
1.544344E+3,	5.950935E-12
1.544348E+3,	19.651958E-12
1.544352E+3,	0.000000E+0
1.544356E+3,	9.535497E-12
1.544360E+3,	0.000000E+0
1.544364E+3,	10.690176E-12
1.544368E+3,	8.576065E-12
1.544372E+3,	28.660114E-12
1.544376E+3,	8.706963E-12
1.544380E+3,	9.678155E-12
1.544384E+3,	4.263657E-12
1.544388E+3,	14.746719E-12
1.544392E+3,	1.761921E-12
1.544396E+3,	0.000000E+0
1.544400E+3,	0.000000E+0
1.544404E+3,	9.464569E-12
1.544408E+3,	0.000000E+0
1.544412E+3,	6.419903E-12
1.544416E+3,	5.773900E-12
1.544420E+3,	8.937731E-12
1.544424E+3,	0.000000E+0
1.544428E+3,	20.331430E-12
1.544432E+3,	16.939880E-12
1.544436E+3,	15.632276E-12
1.544440E+3,	10.844086E-12
1.544444E+3,	22.983611E-12
1.544448E+3,	7.699975E-12
1.544452E+3,	4.195505E-12
1.544456E+3,	18.675237E-12
1.544460E+3,	6.439369E-12
1.544464E+3,	15.577592E-12
1.544468E+3,	15.199831E-12
1.544472E+3,	10.076245E-12
1.544476E+3,	6.127882E-12
1.544480E+3,	2.908561E-12
1.544484E+3,	0.000000E+0
1.544488E+3,	9.947151E-12
1.544492E+3,	1.654394E-12
1.544496E+3,	14.380820E-12
1.544500E+3,	24.222924E-12
1.544504E+3,	16.962715E-12
1.544508E+3,	13.023207E-12
1.544512E+3,	3.777052E-12
1.544516E+3,	7.447790E-12
1.544520E+3,	521.110667E-15
1.544524E+3,	8.562026E-12
1.544528E+3,	0.000000E+0
1.544532E+3,	5.721141E-12
1.544536E+3,	22.773249E-12
1.544540E+3,	16.345056E-12
1.544544E+3,	13.864670E-12
1.544548E+3,	7.610382E-12
1.544552E+3,	4.407670E-12
1.544556E+3,	22.134143E-12
1.544560E+3,	3.058211E-12
1.544564E+3,	0.000000E+0
1.544568E+3,	83.722619E-15
1.544572E+3,	21.932627E-12
1.544576E+3,	14.375664E-12
1.544580E+3,	7.711142E-12
1.544584E+3,	0.000000E+0
1.544588E+3,	6.492937E-12
1.544592E+3,	0.000000E+0
1.544596E+3,	6.728736E-12
1.544600E+3,	17.284396E-12
1.544604E+3,	26.436908E-12
1.544608E+3,	17.017110E-12
1.544612E+3,	0.000000E+0
1.544616E+3,	11.589454E-12
1.544620E+3,	5.225024E-12
1.544624E+3,	9.087881E-12
1.544628E+3,	16.970528E-12
1.544632E+3,	11.821296E-12
1.544636E+3,	26.544888E-12
1.544640E+3,	30.691375E-12
1.544644E+3,	32.303905E-12
1.544648E+3,	0.000000E+0
1.544652E+3,	0.000000E+0
1.544656E+3,	0.000000E+0
1.544660E+3,	0.000000E+0
1.544664E+3,	0.000000E+0
1.544668E+3,	0.000000E+0
1.544672E+3,	19.800603E-12
1.544676E+3,	17.554707E-12
1.544680E+3,	15.188733E-12
1.544684E+3,	30.655242E-12
1.544688E+3,	15.228337E-12
1.544692E+3,	15.462348E-12
1.544696E+3,	20.034617E-12
1.544700E+3,	9.524118E-12
1.544704E+3,	22.619569E-12
1.544708E+3,	15.462349E-12
1.544712E+3,	8.081916E-12
1.544716E+3,	7.523882E-12
1.544720E+3,	0.000000E+0
1.544724E+3,	10.451701E-12
1.544728E+3,	23.731466E-12
1.544732E+3,	42.157916E-12
1.544736E+3,	18.918551E-12
1.544740E+3,	3.843746E-12
1.544744E+3,	0.000000E+0
1.544748E+3,	0.000000E+0
1.544752E+3,	2.196075E-12
1.544756E+3,	26.413074E-12
1.544760E+3,	17.223217E-12
1.544764E+3,	33.579148E-12
1.544768E+3,	4.683970E-12
1.544772E+3,	16.800186E-12
1.544776E+3,	0.000000E+0
1.544780E+3,	11.709304E-12
1.544784E+3,	30.446243E-12
1.544788E+3,	34.731477E-12
1.544792E+3,	15.766702E-12
1.544796E+3,	0.000000E+0
1.544800E+3,	0.000000E+0
1.544804E+3,	8.373300E-12
1.544808E+3,	2.628200E-12
1.544812E+3,	5.371524E-12
1.544816E+3,	13.437258E-12
1.544820E+3,	18.350966E-12
1.544824E+3,	0.000000E+0
1.544828E+3,	0.000000E+0
1.544832E+3,	17.448902E-15
1.544836E+3,	5.651198E-12
1.544840E+3,	7.886587E-12
1.544844E+3,	8.928474E-12
1.544848E+3,	5.330206E-12
1.544852E+3,	0.000000E+0
1.544856E+3,	15.559518E-12
1.544860E+3,	14.651635E-12
1.544864E+3,	0.000000E+0
1.544868E+3,	0.000000E+0
1.544872E+3,	18.441013E-12
1.544876E+3,	9.004115E-12
1.544880E+3,	1.672191E-12
1.544884E+3,	8.390126E-12
1.544888E+3,	18.697449E-12
1.544892E+3,	10.591377E-12
1.544896E+3,	27.938374E-12
1.544900E+3,	16.842062E-12
1.544904E+3,	24.840050E-12
1.544908E+3,	21.727320E-12
1.544912E+3,	5.709719E-12
1.544916E+3,	17.850819E-12
1.544920E+3,	15.887343E-12
1.544924E+3,	12.077847E-12
1.544928E+3,	8.653337E-12
1.544932E+3,	0.000000E+0
1.544936E+3,	6.754502E-12
1.544940E+3,	31.685185E-12
1.544944E+3,	17.680767E-12
1.544948E+3,	40.886899E-12
1.544952E+3,	12.302656E-12
1.544956E+3,	23.512468E-12
1.544960E+3,	14.143290E-12
1.544964E+3,	19.846956E-12
1.544968E+3,	17.908981E-12
1.544972E+3,	17.520011E-12
1.544976E+3,	31.559713E-12
1.544980E+3,	20.971976E-12
1.544984E+3,	24.274967E-12
1.544988E+3,	1.729134E-12
1.544992E+3,	20.701712E-12
1.544996E+3,	0.000000E+0
1.545000E+3,	6.638468E-12
1.545004E+3,	28.391647E-12
1.545008E+3,	22.701672E-12
1.545012E+3,	23.656608E-12
1.545016E+3,	27.211382E-12
1.545020E+3,	24.982327E-12
1.545024E+3,	8.258008E-12
1.545028E+3,	17.224303E-12
1.545032E+3,	161.635261E-15
1.545036E+3,	13.299522E-12
1.545040E+3,	15.946609E-12
1.545044E+3,	3.744368E-12
1.545048E+3,	18.327608E-12
1.545052E+3,	0.000000E+0
1.545056E+3,	0.000000E+0
1.545060E+3,	0.000000E+0
1.545064E+3,	15.206229E-12
1.545068E+3,	0.000000E+0
1.545072E+3,	0.000000E+0
1.545076E+3,	11.605477E-12
1.545080E+3,	10.819934E-12
1.545084E+3,	0.000000E+0
1.545088E+3,	6.599020E-12
1.545092E+3,	0.000000E+0
1.545096E+3,	8.451661E-12
1.545100E+3,	17.498602E-12
1.545104E+3,	17.842075E-12
1.545108E+3,	0.000000E+0
1.545112E+3,	12.887990E-12
1.545116E+3,	0.000000E+0
1.545120E+3,	15.465699E-12
1.545124E+3,	3.391498E-12
1.545128E+3,	0.000000E+0
1.545132E+3,	305.880946E-15
1.545136E+3,	4.992626E-12
1.545140E+3,	15.645958E-12
1.545144E+3,	6.185223E-12
1.545148E+3,	23.559347E-12
1.545152E+3,	11.878536E-12
1.545156E+3,	27.885577E-12
1.545160E+3,	0.000000E+0
