YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 19/10/2023 Time: 17:53:33,	
A_WL(nm),	A_I(mW)
1.543600E+3,	0.000000E+0
1.543604E+3,	6.188394E-12
1.543608E+3,	0.000000E+0
1.543612E+3,	9.238024E-12
1.543616E+3,	30.226643E-12
1.543620E+3,	0.000000E+0
1.543624E+3,	0.000000E+0
1.543628E+3,	9.202145E-12
1.543632E+3,	6.930351E-12
1.543636E+3,	1.412401E-12
1.543640E+3,	20.182696E-12
1.543644E+3,	6.260151E-12
1.543648E+3,	0.000000E+0
1.543652E+3,	4.571015E-12
1.543656E+3,	10.726959E-12
1.543660E+3,	13.606695E-12
1.543664E+3,	0.000000E+0
1.543668E+3,	0.000000E+0
1.543672E+3,	9.877490E-12
1.543676E+3,	0.000000E+0
1.543680E+3,	770.996568E-15
1.543684E+3,	323.473427E-15
1.543688E+3,	7.381621E-12
1.543692E+3,	14.752277E-12
1.543696E+3,	4.216076E-12
1.543700E+3,	0.000000E+0
1.543704E+3,	0.000000E+0
1.543708E+3,	32.519769E-12
1.543712E+3,	10.338268E-12
1.543716E+3,	0.000000E+0
1.543720E+3,	8.701856E-12
1.543724E+3,	8.055905E-12
1.543728E+3,	0.000000E+0
1.543732E+3,	0.000000E+0
1.543736E+3,	0.000000E+0
1.543740E+3,	5.256776E-12
1.543744E+3,	5.527198E-12
1.543748E+3,	0.000000E+0
1.543752E+3,	6.968002E-12
1.543756E+3,	13.726979E-12
1.543760E+3,	0.000000E+0
1.543764E+3,	0.000000E+0
1.543768E+3,	4.073468E-12
1.543772E+3,	21.113311E-12
1.543776E+3,	13.747036E-12
1.543780E+3,	146.186897E-15
1.543784E+3,	10.919873E-12
1.543788E+3,	0.000000E+0
1.543792E+3,	0.000000E+0
1.543796E+3,	1.381380E-12
1.543800E+3,	0.000000E+0
1.543804E+3,	2.363201E-12
1.543808E+3,	151.521183E-15
1.543812E+3,	19.498239E-12
1.543816E+3,	0.000000E+0
1.543820E+3,	0.000000E+0
1.543824E+3,	0.000000E+0
1.543828E+3,	12.526343E-12
1.543832E+3,	0.000000E+0
1.543836E+3,	0.000000E+0
1.543840E+3,	0.000000E+0
1.543844E+3,	15.599197E-12
1.543848E+3,	161.004555E-15
1.543852E+3,	13.273963E-12
1.543856E+3,	3.880532E-12
1.543860E+3,	0.000000E+0
1.543864E+3,	11.990969E-12
1.543868E+3,	2.889617E-12
1.543872E+3,	0.000000E+0
1.543876E+3,	13.273960E-12
1.543880E+3,	11.942783E-12
1.543884E+3,	0.000000E+0
1.543888E+3,	0.000000E+0
1.543892E+3,	0.000000E+0
1.543896E+3,	0.000000E+0
1.543900E+3,	0.000000E+0
1.543904E+3,	0.000000E+0
1.543908E+3,	0.000000E+0
1.543912E+3,	0.000000E+0
1.543916E+3,	0.000000E+0
1.543920E+3,	986.994810E-15
1.543924E+3,	11.692712E-12
1.543928E+3,	11.582645E-12
1.543932E+3,	0.000000E+0
1.543936E+3,	18.529539E-12
1.543940E+3,	0.000000E+0
1.543944E+3,	3.536680E-12
1.543948E+3,	2.554408E-12
1.543952E+3,	0.000000E+0
1.543956E+3,	4.525275E-12
1.543960E+3,	0.000000E+0
1.543964E+3,	0.000000E+0
1.543968E+3,	12.966314E-12
1.543972E+3,	17.095979E-12
1.543976E+3,	1.899573E-12
1.543980E+3,	18.102778E-12
1.543984E+3,	17.617867E-12
1.543988E+3,	14.241450E-12
1.543992E+3,	18.921014E-12
1.543996E+3,	3.493123E-12
1.544000E+3,	0.000000E+0
1.544004E+3,	0.000000E+0
1.544008E+3,	10.128688E-12
1.544012E+3,	0.000000E+0
1.544016E+3,	0.000000E+0
1.544020E+3,	0.000000E+0
1.544024E+3,	10.254405E-12
1.544028E+3,	13.831563E-12
1.544032E+3,	20.943065E-12
1.544036E+3,	0.000000E+0
1.544040E+3,	17.607128E-12
1.544044E+3,	20.573657E-12
1.544048E+3,	0.000000E+0
1.544052E+3,	14.044968E-12
1.544056E+3,	7.813691E-12
1.544060E+3,	0.000000E+0
1.544064E+3,	0.000000E+0
1.544068E+3,	21.004786E-12
1.544072E+3,	0.000000E+0
1.544076E+3,	0.000000E+0
1.544080E+3,	19.849432E-12
1.544084E+3,	10.468104E-12
1.544088E+3,	0.000000E+0
1.544092E+3,	1.059306E-12
1.544096E+3,	3.870279E-12
1.544100E+3,	18.829833E-12
1.544104E+3,	16.997102E-12
1.544108E+3,	0.000000E+0
1.544112E+3,	2.126277E-12
1.544116E+3,	5.337353E-12
1.544120E+3,	9.612285E-12
1.544124E+3,	17.033041E-12
1.544128E+3,	0.000000E+0
1.544132E+3,	1.478095E-12
1.544136E+3,	6.083382E-12
1.544140E+3,	8.085010E-12
1.544144E+3,	0.000000E+0
1.544148E+3,	0.000000E+0
1.544152E+3,	6.120164E-12
1.544156E+3,	0.000000E+0
1.544160E+3,	646.287097E-15
1.544164E+3,	0.000000E+0
1.544168E+3,	3.575059E-12
1.544172E+3,	0.000000E+0
1.544176E+3,	30.455560E-12
1.544180E+3,	21.547948E-12
1.544184E+3,	0.000000E+0
1.544188E+3,	0.000000E+0
1.544192E+3,	0.000000E+0
1.544196E+3,	0.000000E+0
1.544200E+3,	0.000000E+0
1.544204E+3,	5.668210E-12
1.544208E+3,	12.256389E-12
1.544212E+3,	5.732530E-12
1.544216E+3,	9.255055E-12
1.544220E+3,	0.000000E+0
1.544224E+3,	15.724998E-12
1.544228E+3,	2.641334E-12
1.544232E+3,	0.000000E+0
1.544236E+3,	11.308185E-12
1.544240E+3,	6.685050E-12
1.544244E+3,	11.185927E-12
1.544248E+3,	8.780344E-12
1.544252E+3,	30.397201E-12
1.544256E+3,	10.482444E-12
1.544260E+3,	3.900278E-12
1.544264E+3,	12.546831E-12
1.544268E+3,	0.000000E+0
1.544272E+3,	14.820349E-12
1.544276E+3,	0.000000E+0
1.544280E+3,	6.488852E-12
1.544284E+3,	30.666849E-12
1.544288E+3,	0.000000E+0
1.544292E+3,	16.464588E-12
1.544296E+3,	1.426751E-12
1.544300E+3,	0.000000E+0
1.544304E+3,	0.000000E+0
1.544308E+3,	1.545395E-12
1.544312E+3,	0.000000E+0
1.544316E+3,	19.033434E-12
1.544320E+3,	0.000000E+0
1.544324E+3,	0.000000E+0
1.544328E+3,	2.822355E-12
1.544332E+3,	19.346293E-12
1.544336E+3,	11.975409E-12
1.544340E+3,	15.473328E-12
1.544344E+3,	15.426576E-12
1.544348E+3,	23.032264E-12
1.544352E+3,	0.000000E+0
1.544356E+3,	14.385875E-12
1.544360E+3,	24.032817E-12
1.544364E+3,	9.713558E-12
1.544368E+3,	0.000000E+0
1.544372E+3,	11.183216E-12
1.544376E+3,	20.530838E-12
1.544380E+3,	12.790004E-12
1.544384E+3,	3.002849E-12
1.544388E+3,	2.067656E-12
1.544392E+3,	10.268583E-12
1.544396E+3,	17.048015E-12
1.544400E+3,	7.013388E-12
1.544404E+3,	7.306432E-12
1.544408E+3,	17.030746E-12
1.544412E+3,	0.000000E+0
1.544416E+3,	0.000000E+0
1.544420E+3,	12.031060E-12
1.544424E+3,	5.916336E-12
1.544428E+3,	0.000000E+0
1.544432E+3,	3.264098E-12
1.544436E+3,	0.000000E+0
1.544440E+3,	6.032875E-12
1.544444E+3,	4.045950E-12
1.544448E+3,	6.824024E-12
1.544452E+3,	5.263215E-12
1.544456E+3,	3.849007E-12
1.544460E+3,	18.502544E-12
1.544464E+3,	7.986391E-12
1.544468E+3,	5.378042E-12
1.544472E+3,	16.844200E-12
1.544476E+3,	17.420954E-12
1.544480E+3,	12.769208E-12
1.544484E+3,	0.000000E+0
1.544488E+3,	0.000000E+0
1.544492E+3,	1.564451E-12
1.544496E+3,	9.923873E-12
1.544500E+3,	24.624658E-15
1.544504E+3,	0.000000E+0
1.544508E+3,	11.925901E-12
1.544512E+3,	1.636406E-12
1.544516E+3,	5.098688E-12
1.544520E+3,	8.767097E-12
1.544524E+3,	12.969240E-12
1.544528E+3,	3.813908E-12
1.544532E+3,	1.870689E-12
1.544536E+3,	11.478828E-12
1.544540E+3,	0.000000E+0
1.544544E+3,	5.767922E-12
1.544548E+3,	12.090581E-12
1.544552E+3,	2.554414E-12
1.544556E+3,	18.082174E-12
1.544560E+3,	20.044109E-12
1.544564E+3,	5.061759E-12
1.544568E+3,	23.856906E-12
1.544572E+3,	20.637146E-12
1.544576E+3,	19.611560E-12
1.544580E+3,	16.019481E-12
1.544584E+3,	14.269825E-12
1.544588E+3,	0.000000E+0
1.544592E+3,	143.383778E-15
1.544596E+3,	827.108223E-15
1.544600E+3,	15.314813E-12
1.544604E+3,	12.345320E-12
1.544608E+3,	3.335222E-12
1.544612E+3,	3.152689E-12
1.544616E+3,	3.274879E-12
1.544620E+3,	0.000000E+0
1.544624E+3,	10.833585E-12
1.544628E+3,	0.000000E+0
1.544632E+3,	7.857738E-12
1.544636E+3,	9.745243E-12
1.544640E+3,	0.000000E+0
1.544644E+3,	12.471301E-12
1.544648E+3,	13.731086E-12
1.544652E+3,	19.557851E-12
1.544656E+3,	5.744244E-12
1.544660E+3,	23.884226E-12
1.544664E+3,	11.013553E-12
1.544668E+3,	13.803074E-12
1.544672E+3,	23.364815E-12
1.544676E+3,	14.530531E-12
1.544680E+3,	402.095442E-15
1.544684E+3,	0.000000E+0
1.544688E+3,	19.494585E-12
1.544692E+3,	23.616827E-12
1.544696E+3,	26.659009E-12
1.544700E+3,	8.888786E-12
1.544704E+3,	9.702010E-12
1.544708E+3,	0.000000E+0
1.544712E+3,	23.328807E-12
1.544716E+3,	8.603945E-12
