YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 19/10/2023 Time: 18:22:30,	
A_WL(nm),	A_I(mW)
1.543600E+3,	0.000000E+0
1.543604E+3,	0.000000E+0
1.543608E+3,	7.483473E-12
1.543612E+3,	0.000000E+0
1.543616E+3,	4.792625E-12
1.543620E+3,	9.725849E-12
1.543624E+3,	15.161364E-12
1.543628E+3,	1.294523E-12
1.543632E+3,	18.063257E-12
1.543636E+3,	0.000000E+0
1.543640E+3,	0.000000E+0
1.543644E+3,	0.000000E+0
1.543648E+3,	0.000000E+0
1.543652E+3,	0.000000E+0
1.543656E+3,	0.000000E+0
1.543660E+3,	7.874356E-12
1.543664E+3,	0.000000E+0
1.543668E+3,	9.241494E-12
1.543672E+3,	18.212313E-12
1.543676E+3,	15.792863E-12
1.543680E+3,	1.779284E-12
1.543684E+3,	6.882309E-12
1.543688E+3,	0.000000E+0
1.543692E+3,	0.000000E+0
1.543696E+3,	5.421738E-12
1.543700E+3,	0.000000E+0
1.543704E+3,	1.918607E-12
1.543708E+3,	12.522493E-12
1.543712E+3,	6.567943E-12
1.543716E+3,	27.760923E-12
1.543720E+3,	4.973159E-12
1.543724E+3,	0.000000E+0
1.543728E+3,	2.564560E-12
1.543732E+3,	0.000000E+0
1.543736E+3,	18.825252E-12
1.543740E+3,	15.886235E-12
1.543744E+3,	0.000000E+0
1.543748E+3,	0.000000E+0
1.543752E+3,	0.000000E+0
1.543756E+3,	0.000000E+0
1.543760E+3,	8.420178E-12
1.543764E+3,	8.868861E-12
1.543768E+3,	5.907563E-12
1.543772E+3,	20.032048E-12
1.543776E+3,	0.000000E+0
1.543780E+3,	0.000000E+0
1.543784E+3,	0.000000E+0
1.543788E+3,	8.585293E-12
1.543792E+3,	14.217141E-12
1.543796E+3,	0.000000E+0
1.543800E+3,	0.000000E+0
1.543804E+3,	0.000000E+0
1.543808E+3,	0.000000E+0
1.543812E+3,	0.000000E+0
1.543816E+3,	846.631706E-15
1.543820E+3,	9.463297E-12
1.543824E+3,	0.000000E+0
1.543828E+3,	0.000000E+0
1.543832E+3,	6.588203E-12
1.543836E+3,	18.744164E-12
1.543840E+3,	36.964822E-12
1.543844E+3,	21.257358E-12
1.543848E+3,	19.114809E-12
1.543852E+3,	10.759575E-12
1.543856E+3,	0.000000E+0
1.543860E+3,	0.000000E+0
1.543864E+3,	36.157012E-12
1.543868E+3,	24.183435E-12
1.543872E+3,	11.140938E-12
1.543876E+3,	0.000000E+0
1.543880E+3,	15.979651E-12
1.543884E+3,	0.000000E+0
1.543888E+3,	0.000000E+0
1.543892E+3,	0.000000E+0
1.543896E+3,	0.000000E+0
1.543900E+3,	18.360077E-12
1.543904E+3,	14.870088E-12
1.543908E+3,	14.863625E-12
1.543912E+3,	0.000000E+0
1.543916E+3,	5.982105E-12
1.543920E+3,	8.358571E-12
1.543924E+3,	18.859050E-12
1.543928E+3,	595.448904E-15
1.543932E+3,	1.726647E-12
1.543936E+3,	18.550969E-12
1.543940E+3,	23.255317E-12
1.543944E+3,	0.000000E+0
1.543948E+3,	11.002470E-12
1.543952E+3,	0.000000E+0
1.543956E+3,	0.000000E+0
1.543960E+3,	7.599852E-12
1.543964E+3,	9.162343E-12
1.543968E+3,	8.943657E-12
1.543972E+3,	13.078492E-12
1.543976E+3,	11.910170E-12
1.543980E+3,	0.000000E+0
1.543984E+3,	15.849799E-12
1.543988E+3,	4.456913E-12
1.543992E+3,	2.185832E-12
1.543996E+3,	0.000000E+0
1.544000E+3,	19.237710E-12
1.544004E+3,	0.000000E+0
1.544008E+3,	0.000000E+0
1.544012E+3,	7.536465E-12
1.544016E+3,	9.879783E-12
1.544020E+3,	5.498574E-12
1.544024E+3,	5.401591E-12
1.544028E+3,	3.308256E-12
1.544032E+3,	5.751331E-12
1.544036E+3,	6.840783E-12
1.544040E+3,	18.958501E-12
1.544044E+3,	12.344044E-12
1.544048E+3,	0.000000E+0
1.544052E+3,	0.000000E+0
1.544056E+3,	0.000000E+0
1.544060E+3,	14.930832E-12
1.544064E+3,	21.136845E-12
1.544068E+3,	13.697794E-12
1.544072E+3,	11.373999E-12
1.544076E+3,	2.679524E-12
1.544080E+3,	18.469696E-12
1.544084E+3,	9.250045E-12
1.544088E+3,	0.000000E+0
1.544092E+3,	18.092455E-12
1.544096E+3,	0.000000E+0
1.544100E+3,	15.940471E-12
1.544104E+3,	8.478495E-12
1.544108E+3,	2.191413E-12
1.544112E+3,	29.452353E-12
1.544116E+3,	4.369126E-12
1.544120E+3,	0.000000E+0
1.544124E+3,	13.119507E-12
1.544128E+3,	7.463837E-12
1.544132E+3,	31.037316E-12
1.544136E+3,	13.065603E-12
1.544140E+3,	13.874161E-12
1.544144E+3,	0.000000E+0
1.544148E+3,	11.861752E-12
1.544152E+3,	9.011193E-12
1.544156E+3,	21.958784E-12
1.544160E+3,	24.852565E-12
1.544164E+3,	0.000000E+0
1.544168E+3,	0.000000E+0
1.544172E+3,	5.600690E-12
1.544176E+3,	3.416665E-12
1.544180E+3,	0.000000E+0
1.544184E+3,	10.926342E-12
1.544188E+3,	16.303584E-12
1.544192E+3,	11.127628E-12
1.544196E+3,	19.200264E-12
1.544200E+3,	18.853725E-12
1.544204E+3,	4.459992E-12
1.544208E+3,	5.412513E-12
1.544212E+3,	1.764182E-12
1.544216E+3,	11.702735E-12
1.544220E+3,	18.946535E-12
1.544224E+3,	9.869584E-12
1.544228E+3,	0.000000E+0
1.544232E+3,	15.099457E-12
1.544236E+3,	11.415182E-12
1.544240E+3,	14.865011E-12
1.544244E+3,	8.231291E-12
1.544248E+3,	9.997691E-12
1.544252E+3,	3.166732E-12
1.544256E+3,	23.407938E-12
1.544260E+3,	3.404737E-12
1.544264E+3,	6.201443E-12
1.544268E+3,	0.000000E+0
1.544272E+3,	5.953045E-12
1.544276E+3,	0.000000E+0
1.544280E+3,	16.576983E-12
1.544284E+3,	2.034231E-12
1.544288E+3,	13.164674E-12
1.544292E+3,	4.280311E-12
1.544296E+3,	7.013641E-12
1.544300E+3,	0.000000E+0
1.544304E+3,	6.062340E-12
1.544308E+3,	0.000000E+0
1.544312E+3,	2.128198E-12
1.544316E+3,	9.262798E-12
1.544320E+3,	14.171431E-12
1.544324E+3,	1.081742E-12
1.544328E+3,	9.460581E-12
1.544332E+3,	2.925256E-12
1.544336E+3,	10.890493E-12
1.544340E+3,	6.242100E-12
1.544344E+3,	14.107425E-12
1.544348E+3,	0.000000E+0
1.544352E+3,	8.741368E-12
1.544356E+3,	18.371432E-12
1.544360E+3,	25.789575E-12
1.544364E+3,	28.447825E-12
1.544368E+3,	9.082996E-12
1.544372E+3,	19.151989E-12
1.544376E+3,	17.571833E-12
1.544380E+3,	18.135626E-12
1.544384E+3,	16.838556E-12
1.544388E+3,	8.563537E-12
1.544392E+3,	16.170974E-12
1.544396E+3,	0.000000E+0
1.544400E+3,	17.410849E-12
1.544404E+3,	0.000000E+0
1.544408E+3,	5.991755E-12
1.544412E+3,	14.228650E-12
1.544416E+3,	28.220578E-12
1.544420E+3,	0.000000E+0
1.544424E+3,	10.363621E-12
1.544428E+3,	0.000000E+0
