YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 19/10/2023 Time: 18:24:41,	
A_WL(nm),	A_I(mW)
1.543600E+3,	16.399870E-12
1.543604E+3,	182.304613E-15
1.543608E+3,	0.000000E+0
1.543612E+3,	0.000000E+0
1.543616E+3,	21.719481E-12
1.543620E+3,	12.990744E-12
1.543624E+3,	5.635757E-12
1.543628E+3,	14.488294E-12
1.543632E+3,	4.954077E-12
1.543636E+3,	14.303550E-12
1.543640E+3,	1.542079E-12
1.543644E+3,	0.000000E+0
1.543648E+3,	0.000000E+0
1.543652E+3,	146.425797E-15
1.543656E+3,	0.000000E+0
1.543660E+3,	17.252840E-12
1.543664E+3,	39.575383E-12
1.543668E+3,	14.730826E-12
1.543672E+3,	4.070262E-12
1.543676E+3,	0.000000E+0
1.543680E+3,	0.000000E+0
1.543684E+3,	0.000000E+0
1.543688E+3,	4.091114E-12
1.543692E+3,	9.405112E-12
1.543696E+3,	8.382355E-12
1.543700E+3,	0.000000E+0
1.543704E+3,	0.000000E+0
1.543708E+3,	0.000000E+0
1.543712E+3,	0.000000E+0
1.543716E+3,	6.354780E-12
1.543720E+3,	0.000000E+0
1.543724E+3,	22.288272E-12
1.543728E+3,	11.595226E-12
1.543732E+3,	0.000000E+0
1.543736E+3,	0.000000E+0
1.543740E+3,	0.000000E+0
1.543744E+3,	4.220521E-12
1.543748E+3,	22.299864E-12
1.543752E+3,	11.229738E-12
1.543756E+3,	39.533543E-12
1.543760E+3,	0.000000E+0
1.543764E+3,	6.051140E-12
1.543768E+3,	2.174533E-12
1.543772E+3,	0.000000E+0
1.543776E+3,	0.000000E+0
1.543780E+3,	11.210503E-12
1.543784E+3,	8.563755E-12
1.543788E+3,	6.242099E-12
1.543792E+3,	0.000000E+0
1.543796E+3,	164.440080E-15
1.543800E+3,	2.248434E-12
1.543804E+3,	2.255768E-12
1.543808E+3,	1.187435E-12
1.543812E+3,	25.009200E-12
1.543816E+3,	0.000000E+0
1.543820E+3,	6.142291E-12
1.543824E+3,	5.784320E-12
1.543828E+3,	0.000000E+0
1.543832E+3,	3.664999E-12
1.543836E+3,	74.721208E-15
1.543840E+3,	92.673222E-15
1.543844E+3,	0.000000E+0
1.543848E+3,	905.765711E-15
1.543852E+3,	0.000000E+0
1.543856E+3,	2.982847E-12
1.543860E+3,	0.000000E+0
1.543864E+3,	0.000000E+0
1.543868E+3,	14.758956E-12
1.543872E+3,	8.007603E-12
1.543876E+3,	18.108687E-12
1.543880E+3,	0.000000E+0
1.543884E+3,	0.000000E+0
1.543888E+3,	7.849481E-12
1.543892E+3,	0.000000E+0
1.543896E+3,	956.671958E-15
1.543900E+3,	0.000000E+0
1.543904E+3,	0.000000E+0
1.543908E+3,	0.000000E+0
1.543912E+3,	0.000000E+0
1.543916E+3,	5.694818E-12
1.543920E+3,	10.601957E-12
1.543924E+3,	0.000000E+0
1.543928E+3,	0.000000E+0
1.543932E+3,	13.415690E-12
1.543936E+3,	9.106366E-12
1.543940E+3,	21.586172E-12
1.543944E+3,	7.173699E-12
1.543948E+3,	0.000000E+0
1.543952E+3,	20.957011E-12
1.543956E+3,	12.484880E-12
1.543960E+3,	0.000000E+0
1.543964E+3,	0.000000E+0
1.543968E+3,	26.666672E-12
1.543972E+3,	2.688359E-12
1.543976E+3,	21.195310E-12
1.543980E+3,	9.683172E-12
1.543984E+3,	0.000000E+0
1.543988E+3,	24.966838E-12
1.543992E+3,	0.000000E+0
1.543996E+3,	6.386157E-12
1.544000E+3,	0.000000E+0
1.544004E+3,	29.564512E-12
1.544008E+3,	2.427471E-12
1.544012E+3,	8.120682E-12
1.544016E+3,	3.454341E-12
1.544020E+3,	26.145558E-12
1.544024E+3,	8.453295E-12
1.544028E+3,	0.000000E+0
1.544032E+3,	0.000000E+0
1.544036E+3,	12.737135E-12
1.544040E+3,	0.000000E+0
1.544044E+3,	0.000000E+0
1.544048E+3,	0.000000E+0
1.544052E+3,	19.781051E-12
1.544056E+3,	21.415759E-12
1.544060E+3,	0.000000E+0
1.544064E+3,	11.697346E-12
1.544068E+3,	14.194311E-12
1.544072E+3,	0.000000E+0
1.544076E+3,	0.000000E+0
1.544080E+3,	0.000000E+0
1.544084E+3,	0.000000E+0
1.544088E+3,	0.000000E+0
1.544092E+3,	6.954906E-12
1.544096E+3,	12.829066E-12
1.544100E+3,	3.730906E-12
1.544104E+3,	4.682747E-12
1.544108E+3,	0.000000E+0
1.544112E+3,	739.604033E-15
1.544116E+3,	1.098963E-12
1.544120E+3,	0.000000E+0
1.544124E+3,	0.000000E+0
1.544128E+3,	9.708770E-12
1.544132E+3,	0.000000E+0
1.544136E+3,	0.000000E+0
1.544140E+3,	4.869353E-12
1.544144E+3,	5.105811E-12
1.544148E+3,	0.000000E+0
1.544152E+3,	0.000000E+0
1.544156E+3,	10.610617E-12
1.544160E+3,	0.000000E+0
1.544164E+3,	0.000000E+0
1.544168E+3,	0.000000E+0
1.544172E+3,	0.000000E+0
1.544176E+3,	0.000000E+0
1.544180E+3,	0.000000E+0
1.544184E+3,	13.290027E-12
1.544188E+3,	24.013602E-12
1.544192E+3,	8.018462E-12
1.544196E+3,	0.000000E+0
1.544200E+3,	10.998986E-12
1.544204E+3,	0.000000E+0
1.544208E+3,	0.000000E+0
1.544212E+3,	3.795026E-12
1.544216E+3,	0.000000E+0
1.544220E+3,	0.000000E+0
1.544224E+3,	3.140843E-12
1.544228E+3,	1.692294E-12
1.544232E+3,	1.332852E-12
1.544236E+3,	6.994054E-12
1.544240E+3,	4.218870E-12
1.544244E+3,	11.932498E-12
1.544248E+3,	12.190788E-12
1.544252E+3,	6.348521E-12
1.544256E+3,	9.692094E-12
1.544260E+3,	0.000000E+0
1.544264E+3,	0.000000E+0
1.544268E+3,	7.477426E-12
1.544272E+3,	793.873745E-15
1.544276E+3,	0.000000E+0
1.544280E+3,	0.000000E+0
1.544284E+3,	3.795900E-12
1.544288E+3,	0.000000E+0
1.544292E+3,	0.000000E+0
1.544296E+3,	0.000000E+0
1.544300E+3,	0.000000E+0
1.544304E+3,	2.106137E-12
1.544308E+3,	0.000000E+0
1.544312E+3,	18.677307E-12
1.544316E+3,	14.027593E-12
1.544320E+3,	14.135474E-12
1.544324E+3,	0.000000E+0
1.544328E+3,	812.036428E-15
1.544332E+3,	0.000000E+0
1.544336E+3,	0.000000E+0
1.544340E+3,	0.000000E+0
1.544344E+3,	29.077138E-12
1.544348E+3,	0.000000E+0
1.544352E+3,	0.000000E+0
1.544356E+3,	4.905209E-12
1.544360E+3,	15.955275E-12
1.544364E+3,	11.923891E-12
1.544368E+3,	0.000000E+0
1.544372E+3,	0.000000E+0
1.544376E+3,	0.000000E+0
1.544380E+3,	0.000000E+0
1.544384E+3,	11.473426E-12
1.544388E+3,	11.027411E-12
1.544392E+3,	0.000000E+0
1.544396E+3,	0.000000E+0
1.544400E+3,	10.352464E-12
1.544404E+3,	6.031512E-12
1.544408E+3,	0.000000E+0
1.544412E+3,	1.855322E-12
1.544416E+3,	16.332834E-12
1.544420E+3,	1.248167E-12
1.544424E+3,	5.498000E-12
1.544428E+3,	6.488128E-12
1.544432E+3,	19.336243E-12
1.544436E+3,	0.000000E+0
1.544440E+3,	6.837026E-12
1.544444E+3,	3.671757E-12
1.544448E+3,	0.000000E+0
1.544452E+3,	4.123262E-12
1.544456E+3,	7.899930E-12
1.544460E+3,	0.000000E+0
1.544464E+3,	23.909807E-12
1.544468E+3,	7.409331E-12
1.544472E+3,	0.000000E+0
1.544476E+3,	2.125580E-12
1.544480E+3,	6.155033E-12
1.544484E+3,	1.172183E-12
1.544488E+3,	3.762545E-12
1.544492E+3,	11.167510E-12
1.544496E+3,	1.806519E-12
1.544500E+3,	18.845653E-12
1.544504E+3,	5.741296E-12
1.544508E+3,	11.065928E-12
1.544512E+3,	0.000000E+0
1.544516E+3,	5.021750E-12
1.544520E+3,	11.077289E-12
1.544524E+3,	0.000000E+0
1.544528E+3,	14.541081E-12
1.544532E+3,	13.749400E-12
1.544536E+3,	20.594063E-12
1.544540E+3,	0.000000E+0
1.544544E+3,	0.000000E+0
1.544548E+3,	3.007716E-12
1.544552E+3,	26.830145E-12
1.544556E+3,	15.242797E-12
1.544560E+3,	7.664668E-12
1.544564E+3,	966.009745E-15
1.544568E+3,	16.844154E-12
1.544572E+3,	0.000000E+0
1.544576E+3,	1.421473E-12
1.544580E+3,	668.655284E-15
1.544584E+3,	8.222349E-12
1.544588E+3,	9.492309E-12
1.544592E+3,	14.739003E-12
1.544596E+3,	10.636650E-12
1.544600E+3,	13.590593E-12
1.544604E+3,	5.849801E-12
1.544608E+3,	0.000000E+0
1.544612E+3,	0.000000E+0
1.544616E+3,	0.000000E+0
1.544620E+3,	18.128697E-12
1.544624E+3,	8.731427E-12
1.544628E+3,	6.180100E-12
1.544632E+3,	0.000000E+0
1.544636E+3,	596.821855E-15
1.544640E+3,	0.000000E+0
1.544644E+3,	8.101535E-12
1.544648E+3,	0.000000E+0
1.544652E+3,	0.000000E+0
1.544656E+3,	0.000000E+0
1.544660E+3,	0.000000E+0
1.544664E+3,	5.905912E-12
1.544668E+3,	2.396514E-12
1.544672E+3,	5.851150E-12
1.544676E+3,	13.336022E-12
1.544680E+3,	272.940749E-15
1.544684E+3,	21.748201E-12
1.544688E+3,	16.527895E-12
1.544692E+3,	0.000000E+0
1.544696E+3,	6.461069E-12
1.544700E+3,	0.000000E+0
1.544704E+3,	0.000000E+0
1.544708E+3,	12.549660E-12
1.544712E+3,	9.867505E-12
1.544716E+3,	5.367238E-12
1.544720E+3,	2.852386E-12
1.544724E+3,	33.436574E-12
1.544728E+3,	7.707377E-12
1.544732E+3,	6.483305E-12
1.544736E+3,	0.000000E+0
1.544740E+3,	240.266892E-15
1.544744E+3,	0.000000E+0
