YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 19/10/2023 Time: 18:21:17,	
A_WL(nm),	A_I(mW)
1.543600E+3,	33.569637E-12
1.543604E+3,	20.381608E-12
1.543608E+3,	1.525618E-12
1.543612E+3,	0.000000E+0
1.543616E+3,	8.075461E-12
1.543620E+3,	0.000000E+0
1.543624E+3,	271.999164E-15
1.543628E+3,	5.877576E-12
1.543632E+3,	0.000000E+0
1.543636E+3,	0.000000E+0
1.543640E+3,	0.000000E+0
1.543644E+3,	5.671636E-12
1.543648E+3,	3.590713E-12
1.543652E+3,	4.702929E-12
1.543656E+3,	3.045156E-12
1.543660E+3,	1.982813E-12
1.543664E+3,	0.000000E+0
1.543668E+3,	0.000000E+0
1.543672E+3,	19.704461E-12
1.543676E+3,	2.873814E-12
1.543680E+3,	6.123631E-12
1.543684E+3,	0.000000E+0
1.543688E+3,	0.000000E+0
1.543692E+3,	12.132466E-12
1.543696E+3,	0.000000E+0
1.543700E+3,	0.000000E+0
1.543704E+3,	0.000000E+0
1.543708E+3,	9.466118E-12
1.543712E+3,	0.000000E+0
1.543716E+3,	17.623059E-12
1.543720E+3,	10.571412E-12
1.543724E+3,	10.589357E-12
1.543728E+3,	9.112746E-12
1.543732E+3,	3.320503E-12
1.543736E+3,	0.000000E+0
1.543740E+3,	0.000000E+0
1.543744E+3,	0.000000E+0
1.543748E+3,	0.000000E+0
1.543752E+3,	0.000000E+0
1.543756E+3,	5.074810E-12
1.543760E+3,	14.127403E-12
1.543764E+3,	2.300165E-12
1.543768E+3,	0.000000E+0
1.543772E+3,	6.984398E-12
1.543776E+3,	0.000000E+0
1.543780E+3,	0.000000E+0
1.543784E+3,	0.000000E+0
1.543788E+3,	401.345033E-15
1.543792E+3,	0.000000E+0
1.543796E+3,	4.525624E-12
1.543800E+3,	0.000000E+0
1.543804E+3,	7.152536E-12
1.543808E+3,	0.000000E+0
1.543812E+3,	559.409816E-15
1.543816E+3,	8.081040E-12
1.543820E+3,	0.000000E+0
1.543824E+3,	6.303854E-12
1.543828E+3,	0.000000E+0
1.543832E+3,	8.440069E-12
1.543836E+3,	0.000000E+0
1.543840E+3,	19.085238E-12
1.543844E+3,	0.000000E+0
1.543848E+3,	0.000000E+0
1.543852E+3,	0.000000E+0
1.543856E+3,	7.524548E-12
1.543860E+3,	0.000000E+0
1.543864E+3,	2.607304E-12
1.543868E+3,	7.129618E-12
1.543872E+3,	0.000000E+0
1.543876E+3,	13.185848E-12
1.543880E+3,	0.000000E+0
1.543884E+3,	0.000000E+0
1.543888E+3,	0.000000E+0
1.543892E+3,	505.672316E-15
1.543896E+3,	4.442157E-12
1.543900E+3,	17.316764E-12
1.543904E+3,	0.000000E+0
1.543908E+3,	0.000000E+0
1.543912E+3,	9.124321E-12
1.543916E+3,	3.432422E-12
1.543920E+3,	4.670295E-12
1.543924E+3,	22.941567E-12
1.543928E+3,	0.000000E+0
1.543932E+3,	2.013935E-12
1.543936E+3,	5.982105E-12
1.543940E+3,	953.123418E-15
1.543944E+3,	12.436298E-12
1.543948E+3,	9.903592E-12
1.543952E+3,	7.831525E-12
1.543956E+3,	7.186781E-12
1.543960E+3,	0.000000E+0
1.543964E+3,	0.000000E+0
1.543968E+3,	0.000000E+0
1.543972E+3,	0.000000E+0
1.543976E+3,	0.000000E+0
1.543980E+3,	0.000000E+0
1.543984E+3,	0.000000E+0
1.543988E+3,	7.563934E-12
1.543992E+3,	8.804205E-12
1.543996E+3,	0.000000E+0
1.544000E+3,	7.689651E-12
1.544004E+3,	4.169558E-12
1.544008E+3,	4.438953E-12
1.544012E+3,	6.712434E-12
1.544016E+3,	7.066733E-12
1.544020E+3,	0.000000E+0
1.544024E+3,	0.000000E+0
1.544028E+3,	4.206446E-12
1.544032E+3,	8.122553E-12
1.544036E+3,	8.324380E-12
1.544040E+3,	9.428237E-12
1.544044E+3,	0.000000E+0
1.544048E+3,	0.000000E+0
1.544052E+3,	19.080463E-12
1.544056E+3,	2.535814E-12
1.544060E+3,	0.000000E+0
1.544064E+3,	0.000000E+0
1.544068E+3,	0.000000E+0
1.544072E+3,	0.000000E+0
1.544076E+3,	0.000000E+0
1.544080E+3,	1.958858E-12
1.544084E+3,	15.169085E-12
1.544088E+3,	9.308163E-12
1.544092E+3,	0.000000E+0
1.544096E+3,	0.000000E+0
1.544100E+3,	953.781203E-15
1.544104E+3,	4.042436E-12
1.544108E+3,	595.860727E-15
1.544112E+3,	0.000000E+0
1.544116E+3,	0.000000E+0
1.544120E+3,	9.004851E-12
1.544124E+3,	0.000000E+0
1.544128E+3,	21.910051E-12
1.544132E+3,	15.898862E-12
1.544136E+3,	10.945388E-12
1.544140E+3,	0.000000E+0
1.544144E+3,	10.963357E-12
1.544148E+3,	501.121241E-15
1.544152E+3,	6.029362E-12
1.544156E+3,	4.476933E-12
1.544160E+3,	0.000000E+0
1.544164E+3,	2.536396E-12
1.544168E+3,	3.452762E-12
1.544172E+3,	9.622206E-12
1.544176E+3,	0.000000E+0
1.544180E+3,	0.000000E+0
1.544184E+3,	0.000000E+0
1.544188E+3,	4.118523E-12
1.544192E+3,	10.246998E-12
1.544196E+3,	3.190318E-12
1.544200E+3,	0.000000E+0
1.544204E+3,	0.000000E+0
1.544208E+3,	0.000000E+0
1.544212E+3,	20.455133E-12
1.544216E+3,	13.288508E-12
1.544220E+3,	0.000000E+0
1.544224E+3,	3.214169E-12
1.544228E+3,	3.363697E-12
1.544232E+3,	12.421617E-12
1.544236E+3,	0.000000E+0
1.544240E+3,	0.000000E+0
1.544244E+3,	0.000000E+0
1.544248E+3,	14.401863E-12
1.544252E+3,	0.000000E+0
1.544256E+3,	0.000000E+0
1.544260E+3,	0.000000E+0
1.544264E+3,	0.000000E+0
1.544268E+3,	16.019718E-12
1.544272E+3,	0.000000E+0
1.544276E+3,	0.000000E+0
1.544280E+3,	5.413759E-12
1.544284E+3,	0.000000E+0
1.544288E+3,	12.659115E-12
1.544292E+3,	16.918529E-12
1.544296E+3,	0.000000E+0
1.544300E+3,	747.134883E-15
1.544304E+3,	0.000000E+0
1.544308E+3,	0.000000E+0
1.544312E+3,	0.000000E+0
1.544316E+3,	1.729034E-12
1.544320E+3,	16.293116E-12
1.544324E+3,	5.900474E-12
1.544328E+3,	2.538149E-12
1.544332E+3,	6.072873E-12
1.544336E+3,	0.000000E+0
1.544340E+3,	12.277742E-12
1.544344E+3,	0.000000E+0
1.544348E+3,	0.000000E+0
1.544352E+3,	6.493826E-12
1.544356E+3,	0.000000E+0
1.544360E+3,	738.222770E-15
1.544364E+3,	0.000000E+0
1.544368E+3,	0.000000E+0
1.544372E+3,	0.000000E+0
1.544376E+3,	0.000000E+0
1.544380E+3,	2.861796E-12
1.544384E+3,	5.811910E-12
1.544388E+3,	0.000000E+0
1.544392E+3,	0.000000E+0
1.544396E+3,	7.502453E-12
1.544400E+3,	0.000000E+0
1.544404E+3,	0.000000E+0
1.544408E+3,	8.257801E-12
1.544412E+3,	2.916408E-12
1.544416E+3,	0.000000E+0
1.544420E+3,	0.000000E+0
1.544424E+3,	8.283960E-12
1.544428E+3,	13.761055E-12
1.544432E+3,	2.682610E-12
1.544436E+3,	12.735936E-12
1.544440E+3,	0.000000E+0
1.544444E+3,	27.681043E-12
1.544448E+3,	4.123262E-12
1.544452E+3,	7.826172E-12
1.544456E+3,	0.000000E+0
1.544460E+3,	3.027171E-12
1.544464E+3,	0.000000E+0
1.544468E+3,	7.942255E-12
1.544472E+3,	0.000000E+0
1.544476E+3,	16.390562E-12
1.544480E+3,	0.000000E+0
1.544484E+3,	0.000000E+0
1.544488E+3,	0.000000E+0
1.544492E+3,	0.000000E+0
1.544496E+3,	0.000000E+0
1.544500E+3,	9.330386E-12
1.544504E+3,	5.183647E-12
1.544508E+3,	23.981763E-12
1.544512E+3,	0.000000E+0
1.544516E+3,	16.189847E-12
1.544520E+3,	7.036474E-12
1.544524E+3,	10.094542E-12
1.544528E+3,	0.000000E+0
1.544532E+3,	5.904551E-12
1.544536E+3,	14.777104E-12
1.544540E+3,	4.180844E-12
1.544544E+3,	31.076437E-12
1.544548E+3,	0.000000E+0
1.544552E+3,	0.000000E+0
1.544556E+3,	1.046503E-12
1.544560E+3,	2.762168E-12
1.544564E+3,	9.261622E-12
1.544568E+3,	17.347953E-12
1.544572E+3,	8.477517E-12
1.544576E+3,	0.000000E+0
1.544580E+3,	4.021853E-12
1.544584E+3,	4.267209E-12
1.544588E+3,	3.529506E-12
1.544592E+3,	10.924535E-12
1.544596E+3,	0.000000E+0
1.544600E+3,	0.000000E+0
1.544604E+3,	6.993137E-12
1.544608E+3,	0.000000E+0
1.544612E+3,	1.406682E-12
1.544616E+3,	0.000000E+0
1.544620E+3,	9.091364E-12
