YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:45:57,	
A_WL(nm),	A_I(mW)
1.547500E+3,	12.135607E-12
1.547504E+3,	16.684788E-12
1.547508E+3,	0.000000E+0
1.547512E+3,	11.191395E-12
1.547516E+3,	4.607003E-12
1.547520E+3,	0.000000E+0
1.547524E+3,	422.170260E-15
1.547528E+3,	1.310541E-12
1.547532E+3,	18.906077E-12
1.547536E+3,	0.000000E+0
1.547540E+3,	0.000000E+0
1.547544E+3,	14.920378E-12
1.547548E+3,	21.670544E-12
1.547552E+3,	14.454799E-12
1.547556E+3,	5.590871E-12
1.547560E+3,	0.000000E+0
1.547564E+3,	4.392642E-12
1.547568E+3,	0.000000E+0
1.547572E+3,	0.000000E+0
1.547576E+3,	16.304058E-12
1.547580E+3,	0.000000E+0
1.547584E+3,	186.480859E-15
1.547588E+3,	4.175083E-12
1.547592E+3,	30.481721E-12
1.547596E+3,	0.000000E+0
1.547600E+3,	7.523232E-12
1.547604E+3,	5.916926E-12
1.547608E+3,	20.206663E-12
1.547612E+3,	7.113781E-12
1.547616E+3,	14.874145E-12
1.547620E+3,	3.949844E-12
1.547624E+3,	14.784544E-12
1.547628E+3,	8.129296E-12
1.547632E+3,	6.116402E-12
1.547636E+3,	39.816314E-12
1.547640E+3,	25.425683E-12
1.547644E+3,	0.000000E+0
1.547648E+3,	0.000000E+0
1.547652E+3,	6.914306E-12
1.547656E+3,	17.114251E-12
1.547660E+3,	9.951305E-12
1.547664E+3,	10.142189E-12
1.547668E+3,	0.000000E+0
1.547672E+3,	9.580031E-12
1.547676E+3,	19.482360E-12
1.547680E+3,	23.901263E-12
1.547684E+3,	0.000000E+0
1.547688E+3,	0.000000E+0
1.547692E+3,	1.564722E-12
1.547696E+3,	6.604958E-12
1.547700E+3,	26.375150E-12
1.547704E+3,	9.979708E-12
1.547708E+3,	15.727520E-12
1.547712E+3,	20.320147E-12
1.547716E+3,	15.526672E-12
1.547720E+3,	12.567812E-12
1.547724E+3,	34.177855E-12
1.547728E+3,	21.027543E-12
1.547732E+3,	0.000000E+0
1.547736E+3,	19.281989E-12
1.547740E+3,	0.000000E+0
1.547744E+3,	0.000000E+0
1.547748E+3,	0.000000E+0
1.547752E+3,	730.718190E-15
1.547756E+3,	20.331882E-12
1.547760E+3,	6.768881E-12
1.547764E+3,	4.956955E-12
1.547768E+3,	17.490562E-12
1.547772E+3,	23.675745E-12
1.547776E+3,	12.304059E-12
1.547780E+3,	0.000000E+0
1.547784E+3,	12.683896E-12
1.547788E+3,	20.551592E-12
1.547792E+3,	9.618513E-12
1.547796E+3,	13.613898E-12
1.547800E+3,	7.975177E-12
1.547804E+3,	9.527822E-12
1.547808E+3,	29.044696E-12
1.547812E+3,	7.079143E-12
1.547816E+3,	24.467429E-12
1.547820E+3,	22.738278E-12
1.547824E+3,	32.244473E-12
1.547828E+3,	13.394378E-12
1.547832E+3,	26.130440E-12
1.547836E+3,	7.734970E-12
1.547840E+3,	7.985036E-12
1.547844E+3,	22.175365E-12
1.547848E+3,	6.500212E-12
