YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:51:12,	
A_WL(nm),	A_I(mW)
1.547500E+3,	0.000000E+0
1.547504E+3,	0.000000E+0
1.547508E+3,	11.161425E-12
1.547512E+3,	1.552520E-12
1.547516E+3,	10.298650E-12
1.547520E+3,	16.994518E-12
1.547524E+3,	12.484915E-12
1.547528E+3,	8.151842E-12
1.547532E+3,	7.740655E-12
1.547536E+3,	20.735718E-12
1.547540E+3,	7.307367E-12
1.547544E+3,	13.501649E-12
1.547548E+3,	24.106251E-12
1.547552E+3,	20.425863E-12
1.547556E+3,	13.536456E-12
1.547560E+3,	27.308013E-12
1.547564E+3,	3.129831E-12
1.547568E+3,	14.660517E-12
1.547572E+3,	482.849003E-15
1.547576E+3,	17.913252E-12
1.547580E+3,	5.063063E-12
1.547584E+3,	7.626074E-12
1.547588E+3,	8.242492E-12
1.547592E+3,	18.250258E-12
1.547596E+3,	25.118332E-12
1.547600E+3,	8.500179E-12
1.547604E+3,	11.508545E-12
1.547608E+3,	15.987687E-12
1.547612E+3,	19.886537E-12
1.547616E+3,	15.050045E-12
1.547620E+3,	16.860995E-12
1.547624E+3,	25.342750E-12
1.547628E+3,	25.181719E-12
1.547632E+3,	20.013476E-12
1.547636E+3,	14.686972E-12
1.547640E+3,	26.530904E-12
1.547644E+3,	44.367694E-12
1.547648E+3,	22.389055E-12
1.547652E+3,	23.168825E-12
1.547656E+3,	14.064397E-12
1.547660E+3,	28.634847E-12
1.547664E+3,	17.329619E-12
1.547668E+3,	6.050155E-12
1.547672E+3,	9.386846E-12
1.547676E+3,	9.558587E-12
1.547680E+3,	6.644765E-12
1.547684E+3,	0.000000E+0
1.547688E+3,	22.661069E-12
1.547692E+3,	17.764840E-12
1.547696E+3,	21.463148E-12
1.547700E+3,	22.610484E-12
1.547704E+3,	26.700639E-12
1.547708E+3,	13.757185E-12
1.547712E+3,	3.167550E-12
1.547716E+3,	25.428267E-12
1.547720E+3,	13.999779E-12
1.547724E+3,	13.905460E-12
1.547728E+3,	0.000000E+0
1.547732E+3,	11.746994E-12
1.547736E+3,	13.440262E-12
1.547740E+3,	12.786609E-12
1.547744E+3,	15.918816E-12
1.547748E+3,	10.586139E-12
1.547752E+3,	20.761759E-12
1.547756E+3,	0.000000E+0
1.547760E+3,	0.000000E+0
1.547764E+3,	0.000000E+0
1.547768E+3,	8.844856E-12
1.547772E+3,	8.336981E-12
1.547776E+3,	13.401853E-12
1.547780E+3,	16.796139E-12
1.547784E+3,	5.471120E-12
1.547788E+3,	15.910836E-12
1.547792E+3,	9.280178E-12
1.547796E+3,	23.884851E-12
1.547800E+3,	21.726719E-12
1.547804E+3,	1.716481E-12
1.547808E+3,	6.468730E-12
1.547812E+3,	17.823343E-12
1.547816E+3,	13.593907E-12
1.547820E+3,	6.256798E-12
1.547824E+3,	5.399811E-12
1.547828E+3,	19.587275E-12
1.547832E+3,	8.556612E-12
1.547836E+3,	23.637331E-12
1.547840E+3,	2.820706E-12
1.547844E+3,	16.230906E-12
1.547848E+3,	0.000000E+0
1.547852E+3,	2.079726E-12
1.547856E+3,	23.304363E-12
1.547860E+3,	19.664616E-12
1.547864E+3,	15.614059E-12
1.547868E+3,	27.548943E-12
1.547872E+3,	4.746680E-12
1.547876E+3,	13.572200E-12
1.547880E+3,	8.886804E-12
1.547884E+3,	26.263728E-12
1.547888E+3,	22.399366E-12
1.547892E+3,	14.380368E-12
1.547896E+3,	20.307640E-12
1.547900E+3,	30.618893E-12
1.547904E+3,	10.334583E-12
1.547908E+3,	11.060283E-12
1.547912E+3,	9.119032E-12
1.547916E+3,	10.549089E-12
1.547920E+3,	0.000000E+0
1.547924E+3,	21.601096E-12
1.547928E+3,	17.881876E-12
1.547932E+3,	37.657242E-12
1.547936E+3,	9.193720E-12
1.547940E+3,	12.609120E-12
1.547944E+3,	24.219200E-12
1.547948E+3,	18.793330E-12
1.547952E+3,	11.702320E-12
1.547956E+3,	9.338890E-12
1.547960E+3,	28.291318E-12
1.547964E+3,	11.625379E-12
1.547968E+3,	34.272477E-12
1.547972E+3,	18.176340E-12
1.547976E+3,	20.696600E-12
1.547980E+3,	19.462850E-12
1.547984E+3,	17.904142E-12
1.547988E+3,	20.553563E-12
1.547992E+3,	30.316495E-12
1.547996E+3,	6.401258E-12
1.548000E+3,	6.672280E-12
1.548004E+3,	9.084838E-12
1.548008E+3,	5.001827E-12
1.548012E+3,	32.312630E-12
1.548016E+3,	19.445756E-12
1.548020E+3,	13.781323E-12
1.548024E+3,	10.593451E-12
1.548028E+3,	0.000000E+0
1.548032E+3,	9.927680E-12
1.548036E+3,	14.542098E-12
1.548040E+3,	21.436799E-12
1.548044E+3,	28.326881E-12
1.548048E+3,	42.484576E-12
1.548052E+3,	7.149734E-12
1.548056E+3,	6.494982E-12
1.548060E+3,	8.397196E-12
1.548064E+3,	29.887855E-12
1.548068E+3,	11.122392E-12
1.548072E+3,	32.368098E-12
1.548076E+3,	17.683062E-12
1.548080E+3,	20.871667E-12
1.548084E+3,	5.530628E-12
1.548088E+3,	30.548317E-12
1.548092E+3,	10.838316E-12
1.548096E+3,	8.257711E-12
1.548100E+3,	7.200893E-12
1.548104E+3,	1.118944E-12
1.548108E+3,	10.940840E-12
1.548112E+3,	12.619649E-12
1.548116E+3,	0.000000E+0
1.548120E+3,	0.000000E+0
1.548124E+3,	15.406179E-12
1.548128E+3,	0.000000E+0
1.548132E+3,	16.556221E-12
1.548136E+3,	0.000000E+0
1.548140E+3,	7.293348E-12
1.548144E+3,	0.000000E+0
1.548148E+3,	1.586001E-12
1.548152E+3,	11.998507E-12
1.548156E+3,	15.918995E-12
1.548160E+3,	20.731196E-12
1.548164E+3,	17.026712E-12
