YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:52:13,	
A_WL(nm),	A_I(mW)
1.547500E+3,	29.879567E-12
1.547504E+3,	7.299733E-12
1.547508E+3,	0.000000E+0
1.547512E+3,	0.000000E+0
1.547516E+3,	0.000000E+0
1.547520E+3,	0.000000E+0
1.547524E+3,	0.000000E+0
1.547528E+3,	14.279786E-12
1.547532E+3,	17.539563E-12
1.547536E+3,	11.400411E-12
1.547540E+3,	24.986986E-12
1.547544E+3,	0.000000E+0
1.547548E+3,	14.733038E-12
1.547552E+3,	0.000000E+0
1.547556E+3,	0.000000E+0
1.547560E+3,	2.114550E-12
1.547564E+3,	8.478184E-12
1.547568E+3,	2.785361E-12
1.547572E+3,	10.128015E-12
1.547576E+3,	3.375119E-12
1.547580E+3,	8.566925E-12
1.547584E+3,	7.789243E-12
1.547588E+3,	0.000000E+0
1.547592E+3,	0.000000E+0
1.547596E+3,	0.000000E+0
1.547600E+3,	13.425041E-12
1.547604E+3,	0.000000E+0
1.547608E+3,	0.000000E+0
1.547612E+3,	10.420495E-12
1.547616E+3,	19.747865E-12
1.547620E+3,	22.404324E-12
1.547624E+3,	0.000000E+0
1.547628E+3,	0.000000E+0
1.547632E+3,	13.974794E-12
1.547636E+3,	5.903433E-12
1.547640E+3,	0.000000E+0
1.547644E+3,	0.000000E+0
1.547648E+3,	7.736635E-12
1.547652E+3,	0.000000E+0
1.547656E+3,	4.502349E-12
1.547660E+3,	0.000000E+0
1.547664E+3,	0.000000E+0
1.547668E+3,	12.687267E-12
1.547672E+3,	18.580876E-12
1.547676E+3,	0.000000E+0
1.547680E+3,	8.752150E-12
1.547684E+3,	2.858539E-12
1.547688E+3,	0.000000E+0
1.547692E+3,	14.174271E-12
1.547696E+3,	0.000000E+0
1.547700E+3,	757.836860E-15
1.547704E+3,	0.000000E+0
1.547708E+3,	18.399535E-12
1.547712E+3,	7.738415E-12
1.547716E+3,	12.342262E-12
1.547720E+3,	6.664627E-12
1.547724E+3,	12.563218E-12
1.547728E+3,	5.289738E-12
1.547732E+3,	0.000000E+0
1.547736E+3,	0.000000E+0
1.547740E+3,	0.000000E+0
1.547744E+3,	14.286365E-12
1.547748E+3,	0.000000E+0
1.547752E+3,	0.000000E+0
1.547756E+3,	2.954157E-12
1.547760E+3,	4.561339E-12
1.547764E+3,	7.937938E-12
1.547768E+3,	809.563062E-15
1.547772E+3,	0.000000E+0
1.547776E+3,	20.431003E-12
1.547780E+3,	27.839540E-12
1.547784E+3,	0.000000E+0
1.547788E+3,	0.000000E+0
1.547792E+3,	21.704951E-12
1.547796E+3,	0.000000E+0
1.547800E+3,	8.492972E-12
1.547804E+3,	8.391398E-12
1.547808E+3,	0.000000E+0
1.547812E+3,	14.685410E-12
1.547816E+3,	4.669834E-12
1.547820E+3,	30.199432E-12
1.547824E+3,	11.332420E-12
1.547828E+3,	5.798947E-12
1.547832E+3,	0.000000E+0
1.547836E+3,	0.000000E+0
1.547840E+3,	1.354025E-12
1.547844E+3,	0.000000E+0
1.547848E+3,	1.009317E-12
1.547852E+3,	4.147976E-12
1.547856E+3,	0.000000E+0
1.547860E+3,	10.154109E-12
1.547864E+3,	6.089227E-12
1.547868E+3,	5.725650E-12
1.547872E+3,	3.004996E-12
