YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:54:23,	
A_WL(nm),	A_I(mW)
1.547500E+3,	9.898851E-12
1.547504E+3,	21.694962E-12
1.547508E+3,	13.971574E-12
1.547512E+3,	0.000000E+0
1.547516E+3,	12.231095E-12
1.547520E+3,	13.605159E-12
1.547524E+3,	7.970544E-12
1.547528E+3,	15.113768E-12
1.547532E+3,	16.582298E-12
1.547536E+3,	3.581433E-12
1.547540E+3,	24.483166E-12
1.547544E+3,	9.672588E-12
1.547548E+3,	0.000000E+0
1.547552E+3,	392.199504E-15
1.547556E+3,	29.583162E-12
1.547560E+3,	0.000000E+0
1.547564E+3,	3.619341E-12
1.547568E+3,	14.950597E-12
1.547572E+3,	392.199745E-15
1.547576E+3,	0.000000E+0
1.547580E+3,	22.467871E-12
1.547584E+3,	7.952412E-12
1.547588E+3,	1.226180E-12
1.547592E+3,	33.950854E-12
1.547596E+3,	16.390334E-12
1.547600E+3,	6.026294E-12
1.547604E+3,	6.557912E-12
1.547608E+3,	5.814412E-12
1.547612E+3,	21.663686E-12
1.547616E+3,	1.161392E-12
1.547620E+3,	22.473047E-12
1.547624E+3,	16.969111E-12
1.547628E+3,	0.000000E+0
1.547632E+3,	10.311689E-12
1.547636E+3,	17.390615E-12
1.547640E+3,	18.566369E-12
1.547644E+3,	6.612315E-12
1.547648E+3,	8.588942E-12
1.547652E+3,	5.651204E-12
1.547656E+3,	13.053151E-12
1.547660E+3,	8.545991E-12
1.547664E+3,	0.000000E+0
1.547668E+3,	4.889567E-12
1.547672E+3,	21.047125E-12
1.547676E+3,	1.353401E-12
1.547680E+3,	757.836076E-15
1.547684E+3,	19.759598E-12
1.547688E+3,	24.619563E-12
1.547692E+3,	0.000000E+0
1.547696E+3,	23.447238E-12
1.547700E+3,	0.000000E+0
1.547704E+3,	5.270385E-12
1.547708E+3,	6.032019E-12
1.547712E+3,	0.000000E+0
1.547716E+3,	10.574597E-12
1.547720E+3,	26.493479E-12
1.547724E+3,	0.000000E+0
1.547728E+3,	5.434845E-12
1.547732E+3,	38.609905E-12
1.547736E+3,	13.261014E-12
1.547740E+3,	7.127442E-12
1.547744E+3,	1.879727E-12
1.547748E+3,	3.113134E-12
1.547752E+3,	0.000000E+0
1.547756E+3,	18.382435E-12
1.547760E+3,	2.682587E-12
1.547764E+3,	29.468171E-12
1.547768E+3,	23.101607E-12
1.547772E+3,	12.889710E-12
1.547776E+3,	25.590832E-12
1.547780E+3,	12.374198E-12
1.547784E+3,	13.524553E-12
1.547788E+3,	0.000000E+0
1.547792E+3,	900.254799E-15
1.547796E+3,	21.497184E-12
1.547800E+3,	2.920868E-12
1.547804E+3,	15.138868E-12
1.547808E+3,	13.470139E-12
1.547812E+3,	9.933158E-12
1.547816E+3,	8.574915E-12
1.547820E+3,	39.341166E-12
1.547824E+3,	0.000000E+0
1.547828E+3,	10.225726E-12
1.547832E+3,	20.367405E-12
1.547836E+3,	15.889401E-12
1.547840E+3,	8.252009E-12
1.547844E+3,	24.104767E-12
1.547848E+3,	22.000231E-12
1.547852E+3,	19.550991E-12
1.547856E+3,	19.833800E-12
1.547860E+3,	21.543807E-12
1.547864E+3,	30.599797E-12
1.547868E+3,	4.036218E-12
1.547872E+3,	0.000000E+0
1.547876E+3,	23.929940E-12
1.547880E+3,	13.872376E-12
1.547884E+3,	0.000000E+0
1.547888E+3,	31.670206E-12
1.547892E+3,	10.824429E-12
1.547896E+3,	20.128352E-12
1.547900E+3,	7.793672E-12
1.547904E+3,	26.572151E-12
1.547908E+3,	174.761319E-15
1.547912E+3,	12.257690E-12
1.547916E+3,	2.135222E-12
1.547920E+3,	22.529228E-12
1.547924E+3,	4.528969E-12
1.547928E+3,	1.408453E-12
1.547932E+3,	6.361365E-12
1.547936E+3,	20.696600E-12
1.547940E+3,	0.000000E+0
1.547944E+3,	10.572869E-12
1.547948E+3,	8.921516E-12
1.547952E+3,	20.569532E-12
1.547956E+3,	25.928289E-12
1.547960E+3,	0.000000E+0
1.547964E+3,	5.001827E-12
1.547968E+3,	0.000000E+0
1.547972E+3,	0.000000E+0
1.547976E+3,	8.975958E-12
1.547980E+3,	16.414199E-12
1.547984E+3,	15.036959E-12
1.547988E+3,	15.545069E-12
1.547992E+3,	11.752405E-12
1.547996E+3,	18.659902E-12
1.548000E+3,	13.136331E-12
1.548004E+3,	4.366692E-12
1.548008E+3,	0.000000E+0
1.548012E+3,	8.213795E-12
1.548016E+3,	17.741703E-12
1.548020E+3,	7.361639E-12
1.548024E+3,	0.000000E+0
1.548028E+3,	3.859473E-12
1.548032E+3,	6.477557E-12
1.548036E+3,	0.000000E+0
1.548040E+3,	28.167148E-12
1.548044E+3,	21.483988E-12
1.548048E+3,	22.863460E-12
1.548052E+3,	4.483203E-12
1.548056E+3,	16.840992E-12
1.548060E+3,	21.756255E-12
1.548064E+3,	28.054614E-12
1.548068E+3,	16.151346E-12
1.548072E+3,	2.905618E-12
1.548076E+3,	9.771270E-12
1.548080E+3,	20.381479E-12
1.548084E+3,	17.222495E-12
1.548088E+3,	392.742265E-15
1.548092E+3,	18.630048E-12
1.548096E+3,	3.327176E-12
1.548100E+3,	1.209720E-12
1.548104E+3,	25.210729E-12
1.548108E+3,	17.948697E-12
1.548112E+3,	13.811478E-12
1.548116E+3,	0.000000E+0
1.548120E+3,	14.429935E-12
1.548124E+3,	12.965574E-12
1.548128E+3,	3.189357E-12
1.548132E+3,	3.943793E-12
1.548136E+3,	0.000000E+0
1.548140E+3,	8.037878E-12
1.548144E+3,	0.000000E+0
1.548148E+3,	5.418673E-12
1.548152E+3,	5.851121E-12
1.548156E+3,	18.461294E-12
1.548160E+3,	25.634198E-12
1.548164E+3,	11.796843E-12
1.548168E+3,	23.184833E-12
1.548172E+3,	28.743249E-12
1.548176E+3,	8.348507E-12
1.548180E+3,	6.495836E-12
1.548184E+3,	19.355547E-12
1.548188E+3,	0.000000E+0
1.548192E+3,	7.940308E-12
1.548196E+3,	5.533176E-12
1.548200E+3,	4.534186E-12
1.548204E+3,	20.850040E-12
1.548208E+3,	0.000000E+0
1.548212E+3,	0.000000E+0
1.548216E+3,	3.716832E-12
1.548220E+3,	0.000000E+0
1.548224E+3,	0.000000E+0
1.548228E+3,	0.000000E+0
1.548232E+3,	26.383610E-12
1.548236E+3,	1.047048E-12
1.548240E+3,	12.474479E-12
1.548244E+3,	0.000000E+0
1.548248E+3,	39.266935E-12
1.548252E+3,	0.000000E+0
1.548256E+3,	0.000000E+0
1.548260E+3,	0.000000E+0
1.548264E+3,	0.000000E+0
1.548268E+3,	1.264103E-12
1.548272E+3,	19.959539E-12
1.548276E+3,	0.000000E+0
1.548280E+3,	21.272507E-12
1.548284E+3,	8.962713E-12
1.548288E+3,	19.076586E-12
1.548292E+3,	0.000000E+0
1.548296E+3,	9.817002E-12
1.548300E+3,	0.000000E+0
1.548304E+3,	0.000000E+0
1.548308E+3,	0.000000E+0
1.548312E+3,	9.297286E-12
1.548316E+3,	16.366119E-12
1.548320E+3,	3.536826E-12
1.548324E+3,	12.413218E-12
1.548328E+3,	11.409998E-12
1.548332E+3,	0.000000E+0
1.548336E+3,	5.373415E-12
1.548340E+3,	0.000000E+0
1.548344E+3,	9.874363E-12
1.548348E+3,	15.551969E-12
1.548352E+3,	2.937833E-12
1.548356E+3,	12.861922E-12
1.548360E+3,	32.572178E-12
1.548364E+3,	39.216151E-12
1.548368E+3,	48.450501E-12
1.548372E+3,	52.012997E-12
1.548376E+3,	29.833204E-12
1.548380E+3,	31.865744E-12
1.548384E+3,	50.923260E-12
1.548388E+3,	51.697734E-12
1.548392E+3,	60.551482E-12
1.548396E+3,	53.079431E-12
1.548400E+3,	69.238282E-12
1.548404E+3,	54.675645E-12
1.548408E+3,	81.458677E-12
1.548412E+3,	67.041811E-12
1.548416E+3,	58.478942E-12
1.548420E+3,	82.294974E-12
1.548424E+3,	76.358660E-12
1.548428E+3,	89.785174E-12
1.548432E+3,	79.967904E-12
1.548436E+3,	123.081094E-12
1.548440E+3,	116.619192E-12
1.548444E+3,	118.846288E-12
1.548448E+3,	113.881975E-12
1.548452E+3,	134.521216E-12
1.548456E+3,	140.602256E-12
1.548460E+3,	166.325670E-12
1.548464E+3,	167.307617E-12
1.548468E+3,	187.570827E-12
1.548472E+3,	199.312083E-12
1.548476E+3,	227.200255E-12
1.548480E+3,	266.746959E-12
1.548484E+3,	260.920721E-12
1.548488E+3,	285.262489E-12
1.548492E+3,	296.430265E-12
1.548496E+3,	310.198994E-12
1.548500E+3,	332.128634E-12
1.548504E+3,	340.282916E-12
1.548508E+3,	339.537078E-12
1.548512E+3,	349.249825E-12
1.548516E+3,	399.314344E-12
1.548520E+3,	368.796755E-12
1.548524E+3,	373.986271E-12
1.548528E+3,	415.146922E-12
1.548532E+3,	422.476897E-12
1.548536E+3,	434.249218E-12
1.548540E+3,	457.296469E-12
1.548544E+3,	452.937896E-12
1.548548E+3,	485.907403E-12
1.548552E+3,	526.287679E-12
1.548556E+3,	560.192641E-12
1.548560E+3,	591.151677E-12
1.548564E+3,	637.375841E-12
1.548568E+3,	684.167661E-12
1.548572E+3,	747.260087E-12
1.548576E+3,	800.317324E-12
1.548580E+3,	848.211489E-12
1.548584E+3,	923.311092E-12
1.548588E+3,	970.266392E-12
1.548592E+3,	1.030151E-9
1.548596E+3,	1.085749E-9
1.548600E+3,	1.148929E-9
1.548604E+3,	1.179900E-9
1.548608E+3,	1.225083E-9
1.548612E+3,	1.276239E-9
1.548616E+3,	1.280644E-9
1.548620E+3,	1.341416E-9
1.548624E+3,	1.375990E-9
1.548628E+3,	1.396462E-9
1.548632E+3,	1.394373E-9
1.548636E+3,	1.436095E-9
1.548640E+3,	1.450975E-9
1.548644E+3,	1.490394E-9
1.548648E+3,	1.532264E-9
1.548652E+3,	1.561507E-9
1.548656E+3,	1.629375E-9
1.548660E+3,	1.718743E-9
1.548664E+3,	1.796225E-9
1.548668E+3,	1.914210E-9
1.548672E+3,	2.033684E-9
1.548676E+3,	2.154423E-9
1.548680E+3,	2.291295E-9
1.548684E+3,	2.453467E-9
1.548688E+3,	2.668905E-9
1.548692E+3,	2.844411E-9
1.548696E+3,	2.988599E-9
1.548700E+3,	3.157266E-9
1.548704E+3,	3.312741E-9
1.548708E+3,	3.520551E-9
1.548712E+3,	3.687462E-9
1.548716E+3,	3.794890E-9
1.548720E+3,	3.892704E-9
1.548724E+3,	4.012516E-9
1.548728E+3,	4.106093E-9
1.548732E+3,	4.197740E-9
1.548736E+3,	4.257323E-9
1.548740E+3,	4.323499E-9
1.548744E+3,	4.374605E-9
1.548748E+3,	4.438924E-9
1.548752E+3,	4.498906E-9
1.548756E+3,	4.584891E-9
1.548760E+3,	4.655033E-9
1.548764E+3,	4.768512E-9
1.548768E+3,	4.946928E-9
1.548772E+3,	5.095248E-9
1.548776E+3,	5.311559E-9
1.548780E+3,	5.521569E-9
1.548784E+3,	5.860696E-9
1.548788E+3,	6.222315E-9
1.548792E+3,	6.521253E-9
1.548796E+3,	6.844489E-9
1.548800E+3,	7.197389E-9
1.548804E+3,	7.573134E-9
1.548808E+3,	7.914330E-9
1.548812E+3,	8.223995E-9
1.548816E+3,	8.559484E-9
1.548820E+3,	8.889805E-9
1.548824E+3,	9.156636E-9
1.548828E+3,	9.431142E-9
1.548832E+3,	9.612507E-9
1.548836E+3,	9.811437E-9
1.548840E+3,	9.981327E-9
1.548844E+3,	10.105772E-9
1.548848E+3,	10.226600E-9
1.548852E+3,	10.306504E-9
1.548856E+3,	10.385841E-9
1.548860E+3,	10.544643E-9
1.548864E+3,	10.656960E-9
1.548868E+3,	10.814679E-9
1.548872E+3,	11.001465E-9
1.548876E+3,	11.208894E-9
1.548880E+3,	11.582445E-9
1.548884E+3,	11.925823E-9
1.548888E+3,	12.273659E-9
1.548892E+3,	12.731012E-9
1.548896E+3,	13.246075E-9
1.548900E+3,	13.927523E-9
1.548904E+3,	14.564004E-9
1.548908E+3,	15.108926E-9
1.548912E+3,	15.703310E-9
1.548916E+3,	16.253636E-9
1.548920E+3,	16.974650E-9
1.548924E+3,	17.545086E-9
1.548928E+3,	17.968570E-9
1.548932E+3,	18.352492E-9
1.548936E+3,	18.718464E-9
1.548940E+3,	19.007261E-9
1.548944E+3,	19.186918E-9
1.548948E+3,	19.287904E-9
1.548952E+3,	19.385319E-9
1.548956E+3,	19.419493E-9
1.548960E+3,	19.481098E-9
1.548964E+3,	19.480714E-9
1.548968E+3,	19.470946E-9
1.548972E+3,	19.441840E-9
1.548976E+3,	19.491302E-9
1.548980E+3,	19.596001E-9
1.548984E+3,	19.752422E-9
1.548988E+3,	19.974901E-9
1.548992E+3,	20.245071E-9
1.548996E+3,	20.705700E-9
1.549000E+3,	21.280671E-9
1.549004E+3,	21.807441E-9
1.549008E+3,	22.489298E-9
1.549012E+3,	23.387263E-9
1.549016E+3,	24.209855E-9
1.549020E+3,	24.975129E-9
1.549024E+3,	25.809180E-9
1.549028E+3,	26.564297E-9
1.549032E+3,	27.455196E-9
1.549036E+3,	28.115568E-9
1.549040E+3,	28.529254E-9
1.549044E+3,	28.970159E-9
1.549048E+3,	29.259947E-9
1.549052E+3,	29.498075E-9
1.549056E+3,	29.599950E-9
1.549060E+3,	29.567406E-9
1.549064E+3,	29.492509E-9
1.549068E+3,	29.246784E-9
1.549072E+3,	29.037096E-9
1.549076E+3,	28.775704E-9
1.549080E+3,	28.491279E-9
1.549084E+3,	28.248732E-9
1.549088E+3,	28.059291E-9
1.549092E+3,	27.901944E-9
1.549096E+3,	27.880378E-9
1.549100E+3,	28.006491E-9
1.549104E+3,	28.248577E-9
1.549108E+3,	28.792376E-9
1.549112E+3,	29.460275E-9
1.549116E+3,	30.084803E-9
1.549120E+3,	30.908136E-9
1.549124E+3,	32.156923E-9
1.549128E+3,	33.362739E-9
