YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:54:50,	
A_WL(nm),	A_I(mW)
1.547500E+3,	4.955885E-12
1.547504E+3,	29.182652E-12
1.547508E+3,	4.997224E-12
1.547512E+3,	0.000000E+0
1.547516E+3,	10.938533E-12
1.547520E+3,	9.643275E-12
1.547524E+3,	0.000000E+0
1.547528E+3,	34.911736E-12
1.547532E+3,	11.987428E-12
1.547536E+3,	25.020995E-12
1.547540E+3,	26.024405E-12
1.547544E+3,	2.513411E-12
1.547548E+3,	11.886625E-12
1.547552E+3,	5.214782E-12
1.547556E+3,	7.803107E-12
1.547560E+3,	27.803818E-12
1.547564E+3,	0.000000E+0
1.547568E+3,	10.218663E-12
1.547572E+3,	718.540107E-15
1.547576E+3,	1.788209E-12
1.547580E+3,	1.971419E-12
1.547584E+3,	573.499678E-15
1.547588E+3,	21.332360E-12
1.547592E+3,	8.423793E-12
1.547596E+3,	9.863528E-12
1.547600E+3,	1.559559E-12
1.547604E+3,	11.290937E-12
1.547608E+3,	13.358231E-12
1.547612E+3,	361.099410E-15
1.547616E+3,	21.782385E-12
1.547620E+3,	14.112232E-12
1.547624E+3,	16.725387E-12
1.547628E+3,	11.762423E-12
1.547632E+3,	0.000000E+0
1.547636E+3,	8.264174E-12
1.547640E+3,	18.827504E-12
1.547644E+3,	8.879090E-12
1.547648E+3,	13.648378E-12
1.547652E+3,	15.679408E-12
1.547656E+3,	30.487567E-12
1.547660E+3,	4.170881E-12
1.547664E+3,	0.000000E+0
1.547668E+3,	9.042297E-12
1.547672E+3,	0.000000E+0
1.547676E+3,	0.000000E+0
1.547680E+3,	3.460785E-12
1.547684E+3,	11.526679E-12
1.547688E+3,	2.115037E-12
1.547692E+3,	14.917771E-12
1.547696E+3,	24.804102E-12
1.547700E+3,	14.707799E-12
1.547704E+3,	15.750492E-12
1.547708E+3,	0.000000E+0
1.547712E+3,	21.632403E-12
1.547716E+3,	19.149093E-12
1.547720E+3,	22.880320E-12
1.547724E+3,	11.057735E-12
1.547728E+3,	21.831925E-12
1.547732E+3,	17.551270E-12
1.547736E+3,	28.791717E-12
1.547740E+3,	21.859605E-12
1.547744E+3,	13.669661E-12
1.547748E+3,	29.994182E-12
1.547752E+3,	7.919799E-12
1.547756E+3,	17.396558E-12
1.547760E+3,	16.750319E-12
1.547764E+3,	7.176129E-12
1.547768E+3,	0.000000E+0
1.547772E+3,	13.016680E-12
1.547776E+3,	22.710030E-12
1.547780E+3,	12.213818E-12
1.547784E+3,	0.000000E+0
1.547788E+3,	0.000000E+0
1.547792E+3,	9.951297E-12
1.547796E+3,	4.414149E-12
1.547800E+3,	28.931276E-12
1.547804E+3,	1.716480E-12
1.547808E+3,	120.305017E-15
1.547812E+3,	21.958892E-12
1.547816E+3,	7.614646E-12
1.547820E+3,	7.516940E-12
1.547824E+3,	846.033961E-15
1.547828E+3,	0.000000E+0
1.547832E+3,	5.998515E-12
1.547836E+3,	21.421804E-12
1.547840E+3,	6.349907E-12
1.547844E+3,	23.669349E-12
1.547848E+3,	30.273229E-12
1.547852E+3,	30.291373E-12
1.547856E+3,	17.131629E-12
1.547860E+3,	0.000000E+0
1.547864E+3,	18.643865E-12
1.547868E+3,	0.000000E+0
1.547872E+3,	1.789446E-12
1.547876E+3,	6.750605E-12
1.547880E+3,	2.682059E-12
1.547884E+3,	8.393330E-12
1.547888E+3,	19.768699E-12
1.547892E+3,	2.914282E-12
1.547896E+3,	16.747438E-12
1.547900E+3,	19.962540E-12
1.547904E+3,	3.567414E-12
1.547908E+3,	4.293116E-12
1.547912E+3,	14.489223E-12
1.547916E+3,	5.464910E-12
1.547920E+3,	0.000000E+0
1.547924E+3,	19.042998E-12
1.547928E+3,	19.169998E-12
1.547932E+3,	34.518578E-12
1.547936E+3,	17.084334E-12
1.547940E+3,	0.000000E+0
1.547944E+3,	22.912635E-12
1.547948E+3,	10.099602E-12
1.547952E+3,	29.826534E-12
1.547956E+3,	8.613025E-12
1.547960E+3,	0.000000E+0
1.547964E+3,	0.000000E+0
1.547968E+3,	22.331940E-12
1.547972E+3,	9.810706E-12
1.547976E+3,	9.923858E-12
1.547980E+3,	0.000000E+0
1.547984E+3,	0.000000E+0
1.547988E+3,	39.916108E-12
1.547992E+3,	4.348545E-12
1.547996E+3,	17.097145E-12
1.548000E+3,	16.322511E-12
1.548004E+3,	0.000000E+0
1.548008E+3,	12.097193E-12
1.548012E+3,	21.442749E-12
1.548016E+3,	10.323327E-12
1.548020E+3,	0.000000E+0
1.548024E+3,	2.316646E-12
1.548028E+3,	828.273133E-15
1.548032E+3,	29.042233E-12
1.548036E+3,	4.587419E-12
1.548040E+3,	0.000000E+0
1.548044E+3,	0.000000E+0
1.548048E+3,	12.916768E-12
1.548052E+3,	14.014074E-12
1.548056E+3,	0.000000E+0
1.548060E+3,	33.862902E-12
1.548064E+3,	18.271283E-12
1.548068E+3,	15.570382E-12
1.548072E+3,	0.000000E+0
1.548076E+3,	26.970814E-12
1.548080E+3,	6.402071E-12
1.548084E+3,	23.504154E-12
1.548088E+3,	23.776481E-12
1.548092E+3,	12.734989E-12
1.548096E+3,	12.362668E-12
1.548100E+3,	0.000000E+0
1.548104E+3,	19.219554E-12
1.548108E+3,	24.992864E-12
1.548112E+3,	35.366890E-12
1.548116E+3,	0.000000E+0
1.548120E+3,	17.916514E-12
1.548124E+3,	15.555809E-12
1.548128E+3,	8.420874E-12
1.548132E+3,	0.000000E+0
1.548136E+3,	1.645821E-12
1.548140E+3,	23.491404E-12
1.548144E+3,	9.218229E-12
1.548148E+3,	16.583409E-12
1.548152E+3,	8.488992E-12
1.548156E+3,	12.813763E-12
1.548160E+3,	12.813763E-12
1.548164E+3,	11.578933E-12
1.548168E+3,	25.325489E-12
1.548172E+3,	0.000000E+0
1.548176E+3,	22.733950E-12
1.548180E+3,	20.826790E-12
1.548184E+3,	11.745070E-12
1.548188E+3,	6.509727E-12
1.548192E+3,	9.362792E-12
1.548196E+3,	0.000000E+0
1.548200E+3,	8.711777E-12
1.548204E+3,	9.359121E-12
1.548208E+3,	10.747734E-12
