YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/10/2023 Time: 12:59:36,	
A_WL(nm),	A_I(mW)
1.547500E+3,	955.829460E-15
1.547504E+3,	0.000000E+0
1.547508E+3,	5.114855E-12
1.547512E+3,	0.000000E+0
1.547516E+3,	0.000000E+0
1.547520E+3,	4.262744E-12
1.547524E+3,	15.539609E-12
1.547528E+3,	6.977895E-12
1.547532E+3,	564.221206E-15
1.547536E+3,	2.548634E-12
1.547540E+3,	9.397162E-12
1.547544E+3,	0.000000E+0
1.547548E+3,	5.060464E-12
1.547552E+3,	8.722725E-12
1.547556E+3,	0.000000E+0
1.547560E+3,	14.980441E-12
1.547564E+3,	0.000000E+0
1.547568E+3,	0.000000E+0
1.547572E+3,	3.392504E-12
1.547576E+3,	0.000000E+0
1.547580E+3,	3.071888E-12
1.547584E+3,	20.670404E-12
1.547588E+3,	1.452593E-12
1.547592E+3,	6.510866E-12
1.547596E+3,	7.103823E-12
1.547600E+3,	0.000000E+0
1.547604E+3,	28.037643E-12
1.547608E+3,	13.890801E-12
1.547612E+3,	0.000000E+0
1.547616E+3,	9.090715E-12
1.547620E+3,	281.458347E-15
1.547624E+3,	15.398112E-12
1.547628E+3,	1.271586E-12
1.547632E+3,	0.000000E+0
1.547636E+3,	10.996842E-12
1.547640E+3,	13.380448E-12
1.547644E+3,	7.799891E-12
1.547648E+3,	1.724940E-12
1.547652E+3,	10.302410E-12
1.547656E+3,	0.000000E+0
1.547660E+3,	0.000000E+0
1.547664E+3,	0.000000E+0
1.547668E+3,	11.462998E-12
1.547672E+3,	6.149681E-12
1.547676E+3,	12.417709E-12
1.547680E+3,	0.000000E+0
1.547684E+3,	7.092659E-12
1.547688E+3,	0.000000E+0
1.547692E+3,	16.171356E-12
1.547696E+3,	2.074435E-12
1.547700E+3,	16.428135E-12
1.547704E+3,	0.000000E+0
1.547708E+3,	4.789617E-12
1.547712E+3,	0.000000E+0
1.547716E+3,	0.000000E+0
1.547720E+3,	35.012090E-12
1.547724E+3,	2.432734E-12
1.547728E+3,	0.000000E+0
1.547732E+3,	8.400254E-12
1.547736E+3,	17.042646E-12
1.547740E+3,	11.963010E-12
1.547744E+3,	17.832200E-12
1.547748E+3,	3.448481E-12
1.547752E+3,	6.042267E-12
1.547756E+3,	22.753031E-12
1.547760E+3,	13.383529E-12
1.547764E+3,	14.803096E-12
1.547768E+3,	7.239399E-12
1.547772E+3,	0.000000E+0
1.547776E+3,	0.000000E+0
1.547780E+3,	9.815043E-12
1.547784E+3,	0.000000E+0
1.547788E+3,	0.000000E+0
1.547792E+3,	0.000000E+0
1.547796E+3,	9.660044E-12
1.547800E+3,	0.000000E+0
1.547804E+3,	9.035096E-12
1.547808E+3,	183.576259E-15
1.547812E+3,	0.000000E+0
1.547816E+3,	1.896051E-12
1.547820E+3,	9.603112E-12
1.547824E+3,	3.558130E-12
1.547828E+3,	0.000000E+0
1.547832E+3,	0.000000E+0
1.547836E+3,	0.000000E+0
1.547840E+3,	16.778311E-12
1.547844E+3,	8.583613E-12
1.547848E+3,	3.503702E-12
1.547852E+3,	5.032030E-12
1.547856E+3,	1.191355E-12
1.547860E+3,	0.000000E+0
1.547864E+3,	0.000000E+0
1.547868E+3,	14.679505E-12
1.547872E+3,	0.000000E+0
1.547876E+3,	623.987488E-15
1.547880E+3,	10.905857E-12
1.547884E+3,	0.000000E+0
1.547888E+3,	17.201320E-12
1.547892E+3,	0.000000E+0
1.547896E+3,	16.892894E-12
1.547900E+3,	2.569840E-12
1.547904E+3,	8.638042E-12
1.547908E+3,	4.011694E-12
1.547912E+3,	9.762878E-12
1.547916E+3,	0.000000E+0
1.547920E+3,	21.545026E-12
1.547924E+3,	3.666986E-12
1.547928E+3,	0.000000E+0
1.547932E+3,	13.282530E-12
1.547936E+3,	37.776183E-12
1.547940E+3,	0.000000E+0
1.547944E+3,	10.085234E-12
1.547948E+3,	20.072459E-12
1.547952E+3,	4.829220E-12
1.547956E+3,	5.467655E-12
1.547960E+3,	4.484432E-12
1.547964E+3,	9.874006E-12
1.547968E+3,	5.065126E-12
1.547972E+3,	15.553928E-12
1.547976E+3,	6.072803E-12
1.547980E+3,	5.000181E-12
1.547984E+3,	0.000000E+0
1.547988E+3,	0.000000E+0
1.547992E+3,	5.754702E-12
1.547996E+3,	7.571510E-12
1.548000E+3,	5.825380E-12
1.548004E+3,	0.000000E+0
1.548008E+3,	29.055082E-12
1.548012E+3,	0.000000E+0
1.548016E+3,	0.000000E+0
1.548020E+3,	0.000000E+0
1.548024E+3,	0.000000E+0
1.548028E+3,	0.000000E+0
1.548032E+3,	20.948327E-12
1.548036E+3,	267.857652E-15
1.548040E+3,	2.089547E-12
1.548044E+3,	1.290907E-12
1.548048E+3,	0.000000E+0
1.548052E+3,	0.000000E+0
1.548056E+3,	1.906128E-12
1.548060E+3,	8.569416E-12
1.548064E+3,	0.000000E+0
1.548068E+3,	19.210264E-12
1.548072E+3,	5.562986E-12
1.548076E+3,	9.107442E-12
1.548080E+3,	0.000000E+0
1.548084E+3,	3.306418E-12
1.548088E+3,	2.108183E-12
1.548092E+3,	3.961068E-12
1.548096E+3,	11.079656E-12
1.548100E+3,	0.000000E+0
1.548104E+3,	10.223501E-12
1.548108E+3,	573.716149E-15
1.548112E+3,	1.759936E-12
1.548116E+3,	0.000000E+0
1.548120E+3,	0.000000E+0
1.548124E+3,	13.294770E-12
1.548128E+3,	0.000000E+0
1.548132E+3,	3.872253E-12
1.548136E+3,	0.000000E+0
1.548140E+3,	0.000000E+0
1.548144E+3,	12.368648E-12
1.548148E+3,	14.024345E-12
1.548152E+3,	4.866009E-12
1.548156E+3,	2.453695E-12
1.548160E+3,	0.000000E+0
1.548164E+3,	23.191566E-12
1.548168E+3,	19.254211E-12
1.548172E+3,	0.000000E+0
1.548176E+3,	13.679263E-12
1.548180E+3,	9.792288E-12
1.548184E+3,	23.451193E-12
1.548188E+3,	15.412270E-12
1.548192E+3,	9.295183E-12
1.548196E+3,	11.481487E-12
1.548200E+3,	0.000000E+0
1.548204E+3,	0.000000E+0
1.548208E+3,	14.362870E-12
