YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:31:37,	
A_WL(nm),	A_I(mW)
1.545800E+3,	130.023620E-15
1.545804E+3,	0.000000E+0
1.545808E+3,	11.009242E-12
1.545812E+3,	16.950634E-12
1.545816E+3,	2.504693E-12
1.545820E+3,	0.000000E+0
1.545824E+3,	9.347414E-12
1.545828E+3,	10.015755E-12
1.545832E+3,	10.647975E-12
1.545836E+3,	23.527135E-12
1.545840E+3,	21.467918E-12
1.545844E+3,	8.428085E-12
1.545848E+3,	22.768478E-12
1.545852E+3,	21.511268E-12
1.545856E+3,	6.692104E-12
1.545860E+3,	8.061633E-12
1.545864E+3,	12.515725E-12
1.545868E+3,	11.713712E-12
1.545872E+3,	6.294710E-12
1.545876E+3,	18.505526E-12
1.545880E+3,	17.313348E-12
1.545884E+3,	3.694440E-12
1.545888E+3,	0.000000E+0
1.545892E+3,	0.000000E+0
1.545896E+3,	14.665026E-12
1.545900E+3,	7.145333E-12
1.545904E+3,	0.000000E+0
1.545908E+3,	21.803780E-12
1.545912E+3,	4.850761E-12
1.545916E+3,	3.188550E-12
1.545920E+3,	14.390400E-12
1.545924E+3,	16.341689E-12
1.545928E+3,	480.550912E-15
1.545932E+3,	3.112477E-12
1.545936E+3,	6.408901E-12
1.545940E+3,	0.000000E+0
1.545944E+3,	0.000000E+0
1.545948E+3,	15.287398E-12
1.545952E+3,	0.000000E+0
1.545956E+3,	10.632358E-12
1.545960E+3,	12.803408E-12
1.545964E+3,	0.000000E+0
1.545968E+3,	16.030792E-12
1.545972E+3,	8.203693E-12
1.545976E+3,	0.000000E+0
1.545980E+3,	15.243081E-12
1.545984E+3,	0.000000E+0
1.545988E+3,	13.164840E-12
1.545992E+3,	455.148124E-15
1.545996E+3,	0.000000E+0
1.546000E+3,	0.000000E+0
1.546004E+3,	9.098716E-12
1.546008E+3,	27.098089E-12
1.546012E+3,	16.719640E-12
1.546016E+3,	0.000000E+0
1.546020E+3,	0.000000E+0
1.546024E+3,	3.659147E-12
1.546028E+3,	4.924164E-12
1.546032E+3,	13.492255E-12
1.546036E+3,	24.023054E-12
1.546040E+3,	20.140501E-12
1.546044E+3,	17.881543E-12
1.546048E+3,	2.502561E-12
1.546052E+3,	14.465077E-12
1.546056E+3,	20.695025E-12
1.546060E+3,	24.649636E-12
1.546064E+3,	2.611593E-12
1.546068E+3,	15.662335E-12
1.546072E+3,	7.919505E-12
1.546076E+3,	0.000000E+0
1.546080E+3,	12.788279E-12
1.546084E+3,	8.992356E-12
1.546088E+3,	0.000000E+0
1.546092E+3,	7.239003E-12
1.546096E+3,	11.938716E-12
1.546100E+3,	36.666443E-12
1.546104E+3,	18.897909E-12
1.546108E+3,	0.000000E+0
1.546112E+3,	9.697315E-12
1.546116E+3,	24.774675E-12
1.546120E+3,	0.000000E+0
1.546124E+3,	25.025614E-12
1.546128E+3,	0.000000E+0
1.546132E+3,	10.998772E-12
1.546136E+3,	3.964089E-12
1.546140E+3,	15.799710E-12
1.546144E+3,	0.000000E+0
1.546148E+3,	13.728223E-12
1.546152E+3,	0.000000E+0
1.546156E+3,	5.826963E-12
1.546160E+3,	15.283695E-12
1.546164E+3,	16.588021E-12
1.546168E+3,	0.000000E+0
1.546172E+3,	9.374108E-12
1.546176E+3,	4.169200E-12
1.546180E+3,	31.077320E-12
1.546184E+3,	13.333624E-12
1.546188E+3,	11.579866E-12
1.546192E+3,	21.813140E-12
1.546196E+3,	1.450821E-12
1.546200E+3,	12.957750E-12
1.546204E+3,	8.940188E-12
1.546208E+3,	4.112833E-12
1.546212E+3,	7.963868E-12
1.546216E+3,	8.827453E-12
1.546220E+3,	3.799763E-12
1.546224E+3,	5.979410E-12
1.546228E+3,	8.000030E-12
1.546232E+3,	0.000000E+0
1.546236E+3,	1.948552E-12
1.546240E+3,	15.629783E-12
1.546244E+3,	0.000000E+0
1.546248E+3,	8.162749E-12
1.546252E+3,	0.000000E+0
1.546256E+3,	20.709192E-12
1.546260E+3,	11.381936E-12
1.546264E+3,	4.313159E-12
1.546268E+3,	22.861773E-12
1.546272E+3,	5.902751E-12
1.546276E+3,	5.893473E-12
1.546280E+3,	17.940537E-12
1.546284E+3,	22.035169E-12
1.546288E+3,	9.520939E-12
1.546292E+3,	7.133832E-12
1.546296E+3,	5.090324E-12
1.546300E+3,	3.927619E-12
1.546304E+3,	5.043305E-12
1.546308E+3,	4.330788E-12
1.546312E+3,	0.000000E+0
1.546316E+3,	16.392917E-12
1.546320E+3,	8.472058E-12
1.546324E+3,	0.000000E+0
1.546328E+3,	6.537055E-12
1.546332E+3,	0.000000E+0
1.546336E+3,	9.756034E-12
1.546340E+3,	6.161543E-12
1.546344E+3,	6.678873E-12
1.546348E+3,	23.150602E-12
1.546352E+3,	0.000000E+0
1.546356E+3,	0.000000E+0
1.546360E+3,	20.190584E-12
1.546364E+3,	20.567500E-12
1.546368E+3,	2.793637E-12
1.546372E+3,	0.000000E+0
1.546376E+3,	20.425680E-12
1.546380E+3,	0.000000E+0
1.546384E+3,	0.000000E+0
1.546388E+3,	9.923970E-12
1.546392E+3,	0.000000E+0
1.546396E+3,	12.959910E-12
1.546400E+3,	1.451489E-12
1.546404E+3,	17.167824E-12
1.546408E+3,	3.192223E-12
1.546412E+3,	0.000000E+0
1.546416E+3,	0.000000E+0
1.546420E+3,	2.843225E-12
1.546424E+3,	2.773336E-12
1.546428E+3,	4.836088E-12
1.546432E+3,	0.000000E+0
1.546436E+3,	0.000000E+0
1.546440E+3,	6.903519E-12
1.546444E+3,	0.000000E+0
1.546448E+3,	24.681139E-12
1.546452E+3,	12.055496E-12
1.546456E+3,	840.742914E-15
1.546460E+3,	4.311571E-12
1.546464E+3,	0.000000E+0
1.546468E+3,	0.000000E+0
1.546472E+3,	3.517813E-12
1.546476E+3,	352.358921E-15
1.546480E+3,	1.745159E-12
1.546484E+3,	0.000000E+0
1.546488E+3,	16.016835E-12
1.546492E+3,	1.926042E-12
1.546496E+3,	13.846239E-12
1.546500E+3,	13.777057E-12
1.546504E+3,	7.990656E-12
1.546508E+3,	7.230436E-12
1.546512E+3,	0.000000E+0
1.546516E+3,	19.222894E-12
1.546520E+3,	0.000000E+0
1.546524E+3,	417.359813E-15
1.546528E+3,	12.989558E-12
1.546532E+3,	11.081278E-12
1.546536E+3,	4.387062E-12
1.546540E+3,	5.762090E-12
1.546544E+3,	9.982958E-12
1.546548E+3,	0.000000E+0
1.546552E+3,	0.000000E+0
1.546556E+3,	0.000000E+0
1.546560E+3,	750.473602E-15
1.546564E+3,	18.348069E-12
1.546568E+3,	7.824632E-12
1.546572E+3,	0.000000E+0
1.546576E+3,	20.905493E-12
1.546580E+3,	0.000000E+0
1.546584E+3,	27.837040E-12
1.546588E+3,	0.000000E+0
1.546592E+3,	20.399628E-12
1.546596E+3,	3.265328E-12
1.546600E+3,	1.817930E-12
1.546604E+3,	0.000000E+0
1.546608E+3,	0.000000E+0
1.546612E+3,	7.446406E-12
1.546616E+3,	11.319086E-12
1.546620E+3,	6.595863E-12
1.546624E+3,	0.000000E+0
1.546628E+3,	0.000000E+0
1.546632E+3,	0.000000E+0
1.546636E+3,	20.494084E-12
1.546640E+3,	12.640139E-12
1.546644E+3,	2.525183E-12
1.546648E+3,	6.820643E-12
1.546652E+3,	22.394232E-12
1.546656E+3,	0.000000E+0
1.546660E+3,	5.238615E-12
1.546664E+3,	0.000000E+0
1.546668E+3,	0.000000E+0
1.546672E+3,	7.012086E-12
1.546676E+3,	12.656067E-12
1.546680E+3,	13.671650E-12
1.546684E+3,	12.910524E-12
1.546688E+3,	18.455831E-12
1.546692E+3,	9.020815E-12
1.546696E+3,	0.000000E+0
1.546700E+3,	3.863269E-12
1.546704E+3,	17.526237E-12
1.546708E+3,	16.372306E-12
1.546712E+3,	19.735931E-12
1.546716E+3,	6.436612E-12
1.546720E+3,	7.466219E-12
1.546724E+3,	4.262376E-12
1.546728E+3,	6.179996E-12
1.546732E+3,	0.000000E+0
1.546736E+3,	0.000000E+0
1.546740E+3,	13.077470E-12
1.546744E+3,	34.183017E-12
1.546748E+3,	12.504634E-12
1.546752E+3,	0.000000E+0
1.546756E+3,	3.101753E-12
1.546760E+3,	14.887552E-12
1.546764E+3,	7.629127E-12
1.546768E+3,	11.533578E-12
1.546772E+3,	36.499917E-12
1.546776E+3,	14.923756E-12
1.546780E+3,	18.308603E-12
1.546784E+3,	11.448397E-12
1.546788E+3,	6.857183E-12
1.546792E+3,	15.807835E-12
1.546796E+3,	8.262655E-12
1.546800E+3,	14.561738E-12
1.546804E+3,	16.100305E-12
1.546808E+3,	6.422760E-12
1.546812E+3,	25.433658E-12
1.546816E+3,	13.403287E-12
1.546820E+3,	26.671180E-12
1.546824E+3,	15.919299E-12
1.546828E+3,	18.407628E-12
1.546832E+3,	17.755381E-12
1.546836E+3,	9.477593E-12
1.546840E+3,	7.239093E-12
1.546844E+3,	0.000000E+0
1.546848E+3,	9.951516E-12
1.546852E+3,	28.549757E-12
1.546856E+3,	30.569894E-12
1.546860E+3,	4.136623E-12
1.546864E+3,	841.517201E-15
1.546868E+3,	9.938735E-12
1.546872E+3,	8.127343E-12
1.546876E+3,	27.817934E-12
1.546880E+3,	5.031734E-12
1.546884E+3,	3.937467E-12
1.546888E+3,	20.167758E-12
1.546892E+3,	24.776299E-12
1.546896E+3,	30.099160E-12
1.546900E+3,	16.484220E-12
1.546904E+3,	16.357487E-12
1.546908E+3,	11.432931E-12
1.546912E+3,	27.051132E-12
1.546916E+3,	5.657441E-12
1.546920E+3,	0.000000E+0
1.546924E+3,	18.711134E-12
1.546928E+3,	13.279639E-12
1.546932E+3,	20.852843E-12
1.546936E+3,	29.624625E-12
1.546940E+3,	21.843293E-12
1.546944E+3,	0.000000E+0
1.546948E+3,	8.411335E-12
1.546952E+3,	22.749522E-12
1.546956E+3,	20.595934E-12
1.546960E+3,	30.831903E-12
1.546964E+3,	15.419577E-12
1.546968E+3,	0.000000E+0
1.546972E+3,	0.000000E+0
1.546976E+3,	5.338499E-12
1.546980E+3,	19.657116E-12
1.546984E+3,	26.122084E-12
1.546988E+3,	21.486140E-12
1.546992E+3,	14.159392E-12
1.546996E+3,	2.799405E-12
1.547000E+3,	14.912518E-12
1.547004E+3,	11.952036E-12
1.547008E+3,	5.731181E-12
1.547012E+3,	16.920506E-12
1.547016E+3,	23.249397E-12
1.547020E+3,	21.087738E-12
1.547024E+3,	27.009431E-12
1.547028E+3,	25.071752E-12
1.547032E+3,	24.360171E-12
1.547036E+3,	18.971827E-12
1.547040E+3,	17.846202E-12
1.547044E+3,	26.833410E-12
1.547048E+3,	34.615270E-12
1.547052E+3,	25.643978E-12
1.547056E+3,	24.396463E-12
1.547060E+3,	20.585422E-12
1.547064E+3,	16.201999E-12
1.547068E+3,	0.000000E+0
1.547072E+3,	15.108809E-12
1.547076E+3,	11.906282E-12
1.547080E+3,	17.343136E-12
1.547084E+3,	20.040572E-12
1.547088E+3,	11.764235E-12
1.547092E+3,	2.999037E-12
1.547096E+3,	15.028254E-12
1.547100E+3,	1.747571E-12
1.547104E+3,	23.012607E-12
1.547108E+3,	31.073030E-12
1.547112E+3,	21.719099E-12
1.547116E+3,	37.394579E-12
1.547120E+3,	44.078402E-12
1.547124E+3,	41.451964E-12
1.547128E+3,	56.835244E-12
1.547132E+3,	28.239120E-12
1.547136E+3,	35.003626E-12
1.547140E+3,	46.741053E-12
1.547144E+3,	70.252134E-12
1.547148E+3,	31.616432E-12
1.547152E+3,	51.471825E-12
1.547156E+3,	49.955696E-12
1.547160E+3,	28.410380E-12
1.547164E+3,	34.776160E-12
1.547168E+3,	40.168648E-12
1.547172E+3,	29.589616E-12
1.547176E+3,	12.509763E-12
1.547180E+3,	36.388612E-12
1.547184E+3,	23.960015E-12
1.547188E+3,	22.039557E-12
1.547192E+3,	17.606107E-12
1.547196E+3,	17.584569E-12
1.547200E+3,	19.756756E-12
1.547204E+3,	1.838561E-12
1.547208E+3,	0.000000E+0
1.547212E+3,	22.975082E-12
1.547216E+3,	32.359287E-12
1.547220E+3,	21.677213E-12
1.547224E+3,	26.931284E-12
1.547228E+3,	45.900294E-12
1.547232E+3,	48.900334E-12
1.547236E+3,	54.132313E-12
1.547240E+3,	55.647503E-12
1.547244E+3,	43.853025E-12
1.547248E+3,	77.963176E-12
1.547252E+3,	78.302593E-12
1.547256E+3,	84.994219E-12
1.547260E+3,	60.086303E-12
1.547264E+3,	82.606337E-12
1.547268E+3,	37.964835E-12
1.547272E+3,	51.100016E-12
1.547276E+3,	36.290174E-12
1.547280E+3,	59.103438E-12
1.547284E+3,	49.951993E-12
1.547288E+3,	35.273449E-12
1.547292E+3,	38.089767E-12
1.547296E+3,	55.743683E-12
1.547300E+3,	22.225854E-12
1.547304E+3,	17.622951E-12
1.547308E+3,	17.568587E-12
1.547312E+3,	12.339954E-12
1.547316E+3,	40.891159E-12
1.547320E+3,	27.988540E-12
1.547324E+3,	0.000000E+0
1.547328E+3,	13.599943E-12
1.547332E+3,	28.854120E-12
1.547336E+3,	31.148960E-12
1.547340E+3,	61.477371E-12
1.547344E+3,	50.550009E-12
1.547348E+3,	60.516931E-12
1.547352E+3,	62.867414E-12
1.547356E+3,	79.713489E-12
1.547360E+3,	90.961309E-12
1.547364E+3,	73.129598E-12
1.547368E+3,	72.042309E-12
1.547372E+3,	70.286632E-12
1.547376E+3,	89.102035E-12
1.547380E+3,	88.315544E-12
1.547384E+3,	76.518358E-12
1.547388E+3,	70.028801E-12
1.547392E+3,	75.714977E-12
1.547396E+3,	49.784147E-12
1.547400E+3,	36.568504E-12
1.547404E+3,	40.846203E-12
